statement_id,carrier_code,statement_date,policy_number,insured_name,transaction_type,premium_basis,commission_pct_paid,commission_paid,expected_commission,variance,matched_to_policy_id,match_status
TRV-COMM-202511,TRV,2025-11-30,TRV-WC-9582732,Blue Ridge Transport Co.,RN,49184,15.0,7377.6,7377.6,0.0,MER-P00061,Matched
TRV-COMM-202511,TRV,2025-11-30,TRV-AUTO-7819839,Beacon Supply LP,RN,76902,15.0,11535.3,11535.3,0.0,MER-P00095,Matched
TRV-COMM-202512,TRV,2025-12-31,TRV-GL-7968846,Pioneer Supply LLC,RN,23764,15.0,3564.6,3564.6,0.0,MER-P00029,Matched
TRV-COMM-202512,TRV,2025-12-31,TRV-PROP-1059147,Coastal Medical Group Co.,NB,62510,15.0,9376.5,9376.5,0.0,MER-P00045,Matched
TRV-COMM-202512,TRV,2025-12-31,TRV-AUTO-5864908,Valley Marine Co.,RN,29761,15.0,4464.15,4464.15,0.0,MER-P00088,Matched
TRV-COMM-202603,TRV,2026-03-31,TRV-GL-5328352,Valley Electric Corp.,RN,8195,15.0,1229.25,1229.25,0.0,MER-P00032,Matched
TRV-COMM-202603,TRV,2026-03-31,TRV-WC-1793950,Northgate Manufacturing Inc.,NB,116861,15.0,17529.15,17529.15,0.0,MER-P00080,Matched
HIG-COMM-202510,HIG,2025-10-31,HIG-WC-8196119,Liberty Electric Inc.,NB,38261,14.0,5356.54,5356.54,0.0,MER-P00002,Matched
HIG-COMM-202510,HIG,2025-10-31,HIG-WC-3086050,Summit Hospitality Group Inc.,RN,131436,14.0,18401.04,18401.04,0.0,MER-P00057,Matched
HIG-COMM-202511,HIG,2025-11-30,HIG-WC-9720344,Bayside Automotive Corp.,RN,130227,14.0,18231.78,18231.78,0.0,MER-P00042,Matched
HIG-COMM-202512,HIG,2025-12-31,HIG-BOP-5207763,Pioneer Hardware Inc.,RN,2065,14.0,289.1,289.1,0.0,MER-P00121,Matched
HIG-COMM-202601,HIG,2026-01-31,HIG-WC-8757868,Sterling Automotive Inc.,RN,36295,14.0,5081.3,5081.3,0.0,MER-P00027,Matched
HIG-COMM-202602,HIG,2026-02-28,HIG-WC-9984539,Evergreen Electric LLC,RN,106738,14.0,14943.32,14943.32,0.0,MER-P00005,Matched
LIB-COMM-202511,LIB,2025-11-30,LIB-PROP-9155931,Sterling Automotive Inc.,NB,39808,12.0,4776.96,4776.96,0.0,MER-P00026,Matched
LIB-COMM-202511,LIB,2025-11-30,LIB-AUTO-4090414,Ironclad Electric LLC,RN,28781,12.0,3453.72,3453.72,0.0,MER-P00054,Matched
LIB-COMM-202601,LIB,2026-01-31,LIB-WC-4008578,Valley Electric Corp.,NB,27452,12.0,3294.24,3294.24,0.0,MER-P00033,Matched
LIB-COMM-202602,LIB,2026-02-28,LIB-AUTO-3288560,Cornerstone Electric LLC,RN,79224,10.0,7922.4,9506.88,-1584.48,MER-P00091,Matched - Rate Variance
LIB-COMM-202603,LIB,2026-03-31,LIB-AUTO-5622571,Pioneer Supply LLC,NB,119316,12.0,14317.92,14317.92,0.0,MER-P00030,Matched
LIB-COMM-202603,LIB,2026-03-31,LIB-AUTO-8870950,Valley Electric Corp.,RN,16410,12.0,1969.2,1969.2,0.0,MER-P00034,Matched
CNA-COMM-202511,CNA,2025-11-30,CNA-CYB-9793167,Patriot Medical Group Corp.,RN,24651,15.0,3697.65,3697.65,0.0,MER-P00104,Matched
CNA-COMM-202602,CNA,2026-02-28,CNA-GL-9198228,Bayside Automotive Corp.,RN,54073,15.0,8110.95,8110.95,0.0,MER-P00040,Matched
CNA-COMM-202603,CNA,2026-03-31,CNA-CYB-7743987,Summit Software Inc.,RN,9272,15.0,1390.8,1390.8,0.0,MER-P00083,Matched
CHB-COMM-202510,CHB,2025-10-31,CHB-DO-2603921,Summit Software Inc.,NB,14852,15.0,2227.8,2227.8,0.0,MER-P00085,Matched
AMT-COMM-202603,AMT,2026-03-31,AMT-WC-2820114,Blue Ridge Manufacturing Inc.,NB,61054,10.0,6105.4,6105.4,0.0,MER-P00017,Matched
AMT-COMM-202603,AMT,2026-03-31,AMT-BOP-8586621,Summit Associates Corp.,NB,5434,10.0,543.4,543.4,0.0,MER-P00020,Matched
AMT-COMM-202603,AMT,2026-03-31,AMT-WC-2916243,Patriot Hardware LLC,NB,15927,10.0,1592.7,1592.7,0.0,MER-P00108,Matched
MKL-COMM-202511,MKL,2025-11-30,MKL-GL-4669323,Summit Supply Inc.,RN,13925,12.0,1671.0,1671.0,0.0,MER-P00049,Matched
MKL-COMM-202512,MKL,2025-12-31,MKL-GL-9145128,Summit Hotels LP,RN,17575,12.0,2109.0,2109.0,0.0,MER-P00073,Matched
MKL-COMM-202512,MKL,2025-12-31,MKL-PL-1155624,Bayside Associates Co.,RN,37114,12.0,4453.68,4453.68,0.0,MER-P00106,Matched
MKL-COMM-202603,MKL,2026-03-31,MKL-GL-9433463,Ironclad Supply LP,RN,33794,12.0,4055.28,4055.28,0.0,MER-P00022,Matched
BEZ-COMM-202512,BEZ,2025-12-31,BEZ-CYB-4049132,Bayside Associates Co.,RN,10609,15.0,1591.35,1591.35,0.0,MER-P00107,Matched
