invoice_id,client_id,policy_id,policy_number,carrier_code,invoice_date,due_date,transaction_type,premium,agency_fee,surplus_lines_tax,total_amount,payment_plan,amount_paid,balance,status,premium_finance,premium_finance_company,cancellation_notice
MER-INV00001,MER-C0001,MER-P00001,CNA-GL-7570178,CNA,2025-08-24,2025-09-28,New Business,21020,0,0,21020,Quarterly,0.0,21020.0,Past Due >60,N,,Carrier NOC issued - cancel eff 2026-04-09
MER-INV00002,MER-C0001,MER-P00004,LIB-UMB-2133128,LIB,2026-03-18,2026-04-16,Renewal,5760,500,0,6260,Full Pay,0.0,6260,Open,N,,
MER-INV00003,MER-C0002,MER-P00007,MKL-UMB-5215874,MKL,2025-12-06,2025-12-24,Renewal,23237,1103.76,929.48,25270.24,25% Down + 9,25270.24,0.0,Paid,N,,
MER-INV00004,MER-C0003,MER-P00008,LIB-PROP-9406069,LIB,2025-08-17,2025-09-11,New Business,15472,0,0,15472,Full Pay,0.0,15472.0,Past Due >60,N,,
MER-INV00005,MER-C0003,MER-P00009,HIG-GL-4793721,HIG,2025-09-07,2025-10-10,Renewal,30876,500,0,31376,Full Pay,15688.0,15688.0,Past Due >60,N,,
MER-INV00006,MER-C0003,MER-P00011,TRV-UMB-5587034,TRV,2025-05-11,2025-06-07,New Business,6964,0,0,6964,25% Down + 9,0.0,6964.0,Past Due >60,N,,
MER-INV00007,MER-C0004,MER-P00012,CNA-GL-8490536,CNA,2025-07-31,2025-08-20,New Business,56974,150,0,57124,Full Pay,57124,0.0,Paid,Y,AFCO,
MER-INV00008,MER-C0004,MER-P00013,HIG-PROP-2653381,HIG,2026-02-25,2026-04-06,New Business,81758,500,0,82258,Quarterly,82258,0.0,Paid,Y,Imperial PFS,
MER-INV00009,MER-C0005,MER-P00015,CHB-PROP-3823676,CHB,2026-01-31,2026-02-28,Renewal,54490,150,0,54640,Quarterly,54640,0.0,Paid,Y,AFCO,
MER-INV00010,MER-C0006,MER-P00018,MKL-PL-8392796,MKL,2025-08-22,2025-09-18,Renewal,12242,581.5,489.68,13313.18,Quarterly,13313.18,0.0,Paid,N,,
MER-INV00011,MER-C0007,MER-P00021,CHB-PROP-4812910,CHB,2025-05-09,2025-06-19,New Business,10990,250,0,11240,25% Down + 9,0.0,11240.0,Past Due >60,N,,
MER-INV00012,MER-C0009,MER-P00028,CNA-PROP-5475715,CNA,2026-02-16,2026-03-26,Renewal,25050,0,0,25050,Quarterly,25050.0,0.0,Paid,N,,
MER-INV00013,MER-C0011,MER-P00036,BEZ-CYB-8023139,BEZ,2025-04-01,2025-05-07,Renewal,14783,702.19,591.32,16076.51,Full Pay,16076.51,0.0,Paid,N,,
MER-INV00014,MER-C0011,MER-P00037,CNA-PL-3454217,CNA,2026-01-02,2026-02-08,Renewal,31639,500,0,32139,25% Down + 9,32139.0,0.0,Paid,N,,
MER-INV00015,MER-C0011,MER-P00038,CHB-GL-4780971,CHB,2025-09-13,2025-09-26,New Business,31052,250,0,31302,Full Pay,31302.0,0.0,Paid,N,,
MER-INV00016,MER-C0012,MER-P00041,HIG-PROP-3707721,HIG,2026-03-12,2026-03-27,Renewal,50170,500,0,50670,Quarterly,12667.5,38002.5,Partial,N,,
MER-INV00017,MER-C0013,MER-P00043,MKL-PL-9547589,MKL,2025-08-15,2025-09-10,New Business,35623,1692.09,1424.92,38740.01,Full Pay,38740.01,0.0,Paid,N,,
MER-INV00018,MER-C0013,MER-P00044,CNA-GL-2113318,CNA,2025-11-25,2026-01-03,Renewal,50175,250,0,50425,Quarterly,50425.0,0.0,Paid,N,,
MER-INV00019,MER-C0013,MER-P00046,CHB-CYB-7316127,CHB,2025-06-30,2025-07-24,Renewal,9680,0,0,9680,25% Down + 9,2420.0,7260.0,Past Due >60,N,,
MER-INV00020,MER-C0014,MER-P00048,CNA-PROP-6988417,CNA,2025-05-21,2025-06-06,Renewal,47600,0,0,47600,Quarterly,47600,0.0,Paid,Y,AFCO,
MER-INV00021,MER-C0015,MER-P00052,LIB-GL-9817327,LIB,2026-01-16,2026-02-04,New Business,45237,0,0,45237,Quarterly,45237.0,0.0,Paid,N,,
MER-INV00022,MER-C0017,MER-P00058,CNA-PL-7293906,CNA,2025-04-11,2025-05-17,Renewal,5328,150,0,5478,Full Pay,5478.0,0.0,Paid,N,,
MER-INV00023,MER-C0017,MER-P00059,CHB-CYB-2468186,CHB,2025-07-09,2025-07-30,New Business,21436,500,0,21936,Full Pay,21936.0,0.0,Paid,N,,
MER-INV00024,MER-C0018,MER-P00060,MKL-GL-1076329,MKL,2026-03-05,2026-04-07,Renewal,18170,863.08,726.8,19759.88,Full Pay,0.0,19759.88,Open,N,,
MER-INV00025,MER-C0018,MER-P00062,MKL-UMB-7337932,MKL,2025-08-24,2025-10-06,Renewal,16747,795.48,669.88,18212.36,Full Pay,18212.36,0.0,Paid,N,,
MER-INV00026,MER-C0019,MER-P00064,LIB-GL-3321649,LIB,2025-07-29,2025-09-04,Renewal,59497,0,0,59497,Quarterly,59497.0,0.0,Paid,N,,
MER-INV00027,MER-C0019,MER-P00065,CHB-CYB-1466267,CHB,2025-09-17,2025-10-01,New Business,17540,500,0,18040,Quarterly,18040.0,0.0,Paid,N,,
MER-INV00028,MER-C0020,MER-P00066,LIB-GL-7256933,LIB,2025-05-22,2025-06-05,Renewal,64192,500,0,64692,Quarterly,64692.0,0.0,Paid,N,,
MER-INV00029,MER-C0021,MER-P00070,TRV-GL-3042199,TRV,2025-05-01,2025-06-10,New Business,34386,250,0,34636,Full Pay,8659.0,25977.0,Past Due >60,N,,
MER-INV00030,MER-C0022,MER-P00072,HIG-PROP-6569719,HIG,2025-07-19,2025-08-11,New Business,69693,150,0,69843,Quarterly,69843,0.0,Paid,Y,AFCO,
MER-INV00031,MER-C0023,MER-P00076,CHB-GL-5415328,CHB,2025-07-11,2025-08-30,Renewal,19163,500,0,19663,Quarterly,19663.0,0.0,Paid,N,,
MER-INV00032,MER-C0023,MER-P00077,TRV-UMB-1855834,TRV,2025-10-07,2025-11-10,New Business,8199,0,0,8199,Full Pay,8199.0,0.0,Paid,N,,
MER-INV00033,MER-C0024,MER-P00078,CNA-PROP-7416790,CNA,2025-10-04,2025-10-31,Renewal,66842,0,0,66842,Full Pay,66842,0.0,Paid,Y,AFCO,
MER-INV00034,MER-C0025,MER-P00082,LIB-UMB-8296691,LIB,2025-11-08,2025-12-07,Renewal,22454,0,0,22454,Full Pay,22454.0,0.0,Paid,N,,
MER-INV00035,MER-C0026,MER-P00084,MKL-PL-4465866,MKL,2026-02-25,2026-03-25,Renewal,24785,1177.29,991.4,26953.69,25% Down + 9,26953.69,0.0,Paid,N,,
MER-INV00036,MER-C0028,MER-P00092,LIB-UMB-2806129,LIB,2025-04-06,2025-04-29,Renewal,7418,250,0,7668,25% Down + 9,7668.0,0.0,Paid,N,,
MER-INV00037,MER-C0029,MER-P00093,CNA-PROP-9308427,CNA,2025-05-25,2025-06-23,Renewal,54862,150,0,55012,Full Pay,13753.0,41259.0,Past Due >60,N,,
MER-INV00038,MER-C0029,MER-P00094,HIG-GL-4066488,HIG,2025-06-28,2025-07-13,New Business,41228,250,0,41478,Full Pay,41478,0.0,Paid,Y,Imperial PFS,
MER-INV00039,MER-C0031,MER-P00100,CNA-GL-9757826,CNA,2025-12-30,2026-02-13,Renewal,34490,250,0,34740,Quarterly,34740.0,0.0,Paid,N,,
MER-INV00040,MER-C0031,MER-P00101,CHB-DO-6404495,CHB,2025-10-05,2025-11-01,Renewal,44322,250,0,44572,25% Down + 9,0.0,44572.0,Past Due >60,N,,
MER-INV00041,MER-C0032,MER-P00102,BEZ-PL-9123541,BEZ,2025-11-25,2026-01-09,Renewal,27837,1322.26,1113.48,30272.74,25% Down + 9,15136.37,15136.37,Past Due >60,N,,
