Bom Id,Parent Item Id,Parent Revision,Line,Component Item Id,Component Revision,Qty Per,Uom,Scrap Pct,Effective Date,Status
BOM-CONV-1013,CONV-1013,B,10,AC-1086,,4,EA,0,2025-01-01,Released
BOM-CONV-1013,CONV-1013,B,20,SPRO-1050,,2,EA,5,2025-01-01,Released
BOM-CONV-1013,CONV-1013,B,30,ROLL-1053,,4,EA,2,2025-01-01,Released
BOM-CONV-1013,CONV-1013,B,40,SHEA-1072,,0.75,EA,0,2025-01-01,Released
BOM-CONV-1013,CONV-1013,B,50,MOUN-1034,,2.5,EA,0,2025-01-01,Released
BOM-CONV-1022,CONV-1022,B,10,GEAR-1001,,1,EA,0,2025-01-01,Released
BOM-CONV-1022,CONV-1022,B,20,AC-1063,,2,EA,0,2025-01-01,Released
BOM-CONV-1022,CONV-1022,B,30,GEAR-1080,,1,EA,5,2025-01-01,Released
BOM-CONV-1022,CONV-1022,B,40,AC-1057,,2.5,EA,2,2025-01-01,Released
BOM-CONV-1023,CONV-1023,A,10,SHEA-1035,,2,EA,0,2025-01-01,Released
BOM-CONV-1023,CONV-1023,A,20,SHEA-1088,,2,EA,0,2025-01-01,Released
BOM-CONV-1023,CONV-1023,A,30,TIMI-1058,,1,EA,3,2025-01-01,Released
BOM-CONV-1023,CONV-1023,A,40,SHEA-1077,,2.5,EA,5,2025-01-01,Released
BOM-CONV-1023,CONV-1023,A,50,SHEA-1072,,1,EA,3,2025-01-01,Released
BOM-CONV-1023,CONV-1023,A,60,MOUN-1031,,1,EA,3,2025-01-01,Released
BOM-CONV-1039,CONV-1039,B,10,TIMI-1014,,0.75,EA,0,2025-01-01,Released
BOM-CONV-1039,CONV-1039,B,20,AC-1063,,1,EA,5,2025-01-01,Released
BOM-CONV-1039,CONV-1039,B,30,AC-1074,,2,EA,2,2025-01-01 ,Released
BOM-CONV-1042,CONV-1042,B,10,TIMI-1058,,0.75,EA,0,2025-01-01,Released
BOM-CONV-1042,CONV-1042,B,20,SPRO-1009,,0.75,EA,5,2025-01-01,Released
BOM-CONV-1042,CONV-1042,B,30,TIMI-1020,,1,EA,2,2025-01-01,Released
BOM-CONV-1042,CONV-1042,B,40,MOUN-1031,,4,EA,3,2025-01-01,Released
BOM-CONV-1042,CONV-1042,B,50,MOUN-1029,,4,EA,2,2025-01-01,Released
BOM-CONV-1043,CONV-1043,C,10,SHEA-1045,,1,EA,2,2025-01-01,Released
BOM-CONV-1043,CONV-1043,C,20,SKF-6205-2RS1,,1,EA,3,01-Jan-2025,Released
BOM-CONV-1043,CONV-1043,C,30,SHEA-1077,,1,EA,3,2025-01-01,Released
BOM-CONV-1043,CONV-1043,C,40,GEAR-1066,,1,EA,3,2025-01-01,Released
BOM-CONV-1046,CONV-1046,A,10,AC-1057 ,,2,EA,0,2025-01-01,Released
BOM-CONV-1046,CONV-1046,A,20,GEAR-1084,,1,EA,0,2025-01-01,Released
BOM-CONV-1046,CONV-1046,A,30,MOUN-1062,,4,EA,0,2025-01-01,Released
BOM-CONV-1046,CONV-1046,A,40,TIMI-1058 ,,2.5,EA,3,2025-01-01,Released
BOM-CONV-1051,CONV-1051,B,10,GEAR-1066,,4,EA,2,2025-01-01,Released
BOM-CONV-1051,CONV-1051,B,20,SHEA-1003,,2.5,EA,0,2025-01-01,Released
BOM-CONV-1051,CONV-1051,B,30,SPRO-1055,,1,EA ,2,2025-01-01,Released
BOM-CONV-1051,CONV-1051,B ,40,GEAR-1024,,0.75,EA,0,2025-01-01,Released
BOM-CONV-1052 ,CONV-1052,C,10,SHEA-1049,,4,EA,0,2025-01-01,Released
BOM-CONV-1052,CONV-1052,C,20,TIMI-1000,,1,EA,3,2025-01-01,Released
BOM-CONV-1052,CONV-1052,C,30,SPRO-1055,,2,EA,3,2025-01-01,Released
BOM-CONV-1052,CONV-1052,C,40,SHEA-1037,,2,EA,0,2025-01-01,Released
BOM-CONV-1052,CONV-1052,C,50,GEAR-1001,,1,EA,5,"Jan 01, 2025",Released
BOM-CONV-1059,CONV-1059,A,10,SHEA-1007,,1,EA,0,2025-01-01,Released
BOM-CONV-1059,CONV-1059,A,20,MOUN-1034,,2,EA,0,2025-01-01,Released
BOM-CONV-1059,CONV-1059,A,30,TIMI-1075,,1,EA ,0,2025-01-01,Released
BOM-CONV-1059,CONV-1059,A,40,SHEA-1049,,2,EA,5,2025-01-01,Released
BOM-CONV-1059,CONV-1059,A,50,AC-1086,,1,EA,3,2025-01-01,Released
BOM-CONV-1065,CONV-1065,C,10,SPRO-1061,,1,EA,5,2025-01-01,Released
BOM-CONV-1065,CONV-1065,C,20,GEAR-1084,,2,EA,2,2025-01-01,Released
BOM-CONV-1065,CONV-1065,C,30,ROLL-1026,,2,EA ,2,2025-01-01,Released
BOM-CONV-1065,CONV-1065,C,40,TIMI-1071,,0.75,EA,3,01/01/25,Released
BOM-CONV-1065,CONV-1065,C,50,BRI-HHCS-0500-13-200-G8,,0.75,BX,3,2025-01-01 ,Released
BOM-CONV-1089,CONV-1089,B,10,TIMI-1014,,2.5,EA,0,2025-01-01,Released
BOM-CONV-1089 ,CONV-1089,B,20,SPRO-1050,,1,EA,5,2025-01-01,Released
BOM-CONV-1089,CONV-1089,B,30,AC-1086,,4,EA,5,2025-01-01,Released 
BOM-CONV-1089,CONV-1089,B,40,ROLL-1053,,2.5,EA,2,2025-01-01,Released
BOM-CONV-1089,CONV-1089,B,50,GEAR-1016,,2,EA,0,2025-01-01,Released 
