Agreement Id,Customer Id,Item Id,Contract Price,Min Qty,Effective Date,Expiration Date,Approved By,Source Document
KBD-CPA001,KBD-CUST0003,ROLL-1021,131.32,100,2025-01-01,2026-06-30,E001,quote_2501.pdf
KBD-CPA002,KBD-CUST0003,MOUN-1008,90.31,10,2025-01-01,2026-12-31,E001,quote_2458.pdf
KBD-CPA003,KBD-CUST0003,SHEA-1045,61.51,25,2025-01-01,2026-12-31,E001,quote_2496.pdf
KBD-CPA004,KBD-CUST0001,TIMI-1058,110.11,100,2025-01-01,2026-12-31,E001,quote_2477.pdf
KBD-CPA005,KBD-CUST0001,SPRO-1078,86.77,10,2025-01-01,2026-06-30,E001,quote_2581.pdf
KBD-CPA006,KBD-CUST0001,GEAR-1066,1271.04,25,2025-01-01,2025-12-31,E001,quote_2494.pdf 
KBD-CPA007,KBD-CUST0023,TIMI-1075,80.22,100,2025-01-01 ,2025-12-31,E001,quote_2509.pdf
KBD-CPA008,KBD-CUST0023,TIMI-1071,90.45,25,2025-01-01,2026-06-30 ,E001,quote_2593.pdf
KBD-CPA009,KBD-CUST0023,TIMI-1032,44.36,100,2025-01-01,2026-06-30,E001,quote_2476.pdf
KBD-CPA010,KBD-CUST0024,SHEA-1028,458.06,1,2025-01-01,2026-06-30,E001,quote_2588.pdf
KBD-CPA011,KBD-CUST0024,SHEA-1045,62.22,10,2025-01-01,31-Dec-2026,E001,quote_2491.pdf
KBD-CPA012,KBD-CUST0024,TIMI-1020,57.75,10,01/01/2025,2026-06-30,E001,quote_2517.pdf
KBD-CPA013,KBD-CUST0014,SHEA-1082,266.48,25,2025-01-01,2026-06-30,E001,quote_2466.pdf
KBD-CPA014,KBD-CUST0014,MOUN-1031,48.6,10,2025-01-01,2026-06-30,E001,quote_2545.pdf
KBD-CPA015,KBD-CUST0014,ROLL-1079,120.25,25,2025-01-01,2026-06-30,E001,quote_2575.pdf
KBD-CPA016,KBD-CUST0007,MOUN-1008,101.29,1,2025-01-01,2026-06-30,E001,quote_2595.pdf
KBD-CPA017,KBD-CUST0007,TIMI-1075,79.15,10,2025-01-01,2026-12-31,E001 ,quote_2494.pdf
KBD-CPA018,KBD-CUST0007,ROLL-1021,115.87,100,01/01/2025,2025-12-31,E001,quote_2431.pdf
KBD-CPA019,KBD-CUST0020,SPRO-1002,73.0,25,01/01/2025,2026-12-31,E001,quote_2569.pdf
KBD-CPA020,KBD-CUST0020,GEAR-1073,2371.28,25,2025-01-01,2025-12-31,E001,quote_2408.pdf
KBD-CPA021,KBD-CUST0020,SKF-6308-2Z,10.13,1,2025-01-01,2025-12-31,E001,quote_2594.pdf
KBD-CPA022,KBD-CUST0004,SKF-6308-2Z,9.6,100,2025-01-01,2025-12-31,E001,quote_2501.pdf
KBD-CPA023,KBD-CUST0004,TIMI-1014,58.88,1,01/01/25,2026-12-31,E001,quote_2583.pdf
KBD-CPA024,KBD-CUST0004,SHEA-1019,152.1,10,2025-01-01,2026-12-31,E001,quote_2436.pdf
