Price List Id,Price Level,Item Id,Unit Price,Currency,Effective Date,Expiration Date
PL-A,A,SKF-6205-2RS1,5.11,USD,2025-01-01,2026-12-31
PL-B,B,SKF-6205-2RS1,4.85,USD,2025-01-01,2026-12-31
PL-C,C,SKF-6205-2RS1,4.6,USD,01-Jan-2025,2026-12-31
PL-D,D,SKF-6205-2RS1,4.19,USD,2025-01-01,2026-12-31
PL-A,A,SKF-6308-2Z,13.33,USD,01/01/2025,2026-12-31
PL-B,B,SKF-6308-2Z,12.66,USD,2025-01-01,2026-12-31
PL-C,C,SKF-6308-2Z,12.0,USD,2025-01-01,2026-12-31
PL-D,D,SKF-6308-2Z,10.93,USD,2025-01-01,2026-12-31
PL-A,A,TIM-LM11949-LM11910,9.96,USD,2025-01-01,2026-12-31
PL-B,B,TIM-LM11949-LM11910,9.46,USD,01-Jan-2025,2026-12-31
PL-C,C,TIM-LM11949-LM11910,8.96,USD,2025-01-01,12/31/2026
PL-D,D,TIM-LM11949-LM11910,8.17,USD,2025-01-01,2026-12-31
PL-A,A,GAT-B62,19.56,USD,2025-01-01,2026-12-31
PL-B,B,GAT-B62,18.58,USD,2025-01-01,2026-12-31
PL-C,C,GAT-B62,17.6,USD,2025-01-01,2026-12-31
PL-D,D,GAT-B62,16.04,USD,2025-01-01,2026-12-31
PL-A,A,DOD-TXT315,1640.2,USD,2025-01-01,2026-12-31
PL-B,B,DOD-TXT315,1558.19,USD,2025-01-01,2026-12-31
PL-C,C,DOD-TXT315,1476.18,USD,2025-01-01,12/31/2026
PL-D,D,DOD-TXT315,1344.96,USD,2025-01-01,2026-12-31
PL-A,A,BRI-HHCS-0500-13-200-G8,63.1,USD,2025-01-01,2026-12-31
PL-B,B,BRI-HHCS-0500-13-200-G8,59.95,USD,2025-01-01,2026-12-31
PL-C,C,BRI-HHCS-0500-13-200-G8,56.79,USD,2025-01-01,2026-12-31
PL-D,D,BRI-HHCS-0500-13-200-G8,51.74,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1000,62.25,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1000,59.14,USD,2025-01-01,2026-12-31
PL-C,C,TIMI-1000,56.02,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1000,51.05,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1002,94.81,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1002,90.07,USD ,2025-01-01,2026-12-31
PL-C,C,SPRO-1002,85.33,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1002,77.74,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1003,322.94,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1003,306.79,USD,"Jan 01, 2025",31-Dec-2026
PL-C,C,SHEA-1003,290.65,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1003,264.81,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1004,56.55,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1004,53.72,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1004,50.89,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1004,46.37,USD,2025-01-01,2026-12-31
PL-A,A,AC-1006,3707.1,USD,2025-01-01,2026-12-31
PL-B,B,AC-1006,3521.74,USD,2025-01-01,2026-12-31
PL-C,C,AC-1006,3336.39,USD,2025-01-01,2026-12-31
PL-D,D,AC-1006,3039.82,USD,2025-01-01,2026-12-31
PL-A,A ,SHEA-1007,211.8,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1007,201.21,USD,2025-01-01,2026-12-31
PL-C ,C,SHEA-1007,190.62,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1007,173.68,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1008,122.04,USD,2025-01-01,12/31/2026
PL-B,B,MOUN-1008,115.94,USD,2025-01-01,12/31/2026
PL-C,C,MOUN-1008,109.84,USD,2025-01-01,2026-12-31
PL-D,D,MOUN-1008,100.07,USD,2025-01-01,"Dec 31, 2026"
PL-A,A,SPRO-1009,42.7,USD,2025-01-01,31-Dec-2026
PL-B,B,SPRO-1009,40.56,USD,"Jan 01, 2025",2026-12-31
PL-C,C,SPRO-1009,38.43,USD,01/01/25,12/31/26
PL-D,D,SPRO-1009,35.01,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1010,4844.42,USD,2025-01-01,2026-12-31
PL-B,B,GEAR-1010,4602.2,USD,2025-01-01,2026-12-31
PL-C,C,GEAR-1010,4359.98,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1010,3972.42,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1011,223.93,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1011,212.73,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1011,201.54,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1011,183.62,USD,2025-01-01,"Dec 31, 2026"
PL-A,A,ROLL-1012,62.25,USD,2025-01-01,2026-12-31
PL-B,B,ROLL-1012,59.14,USD,2025-01-01,2026-12-31
PL-C,C,ROLL-1012,56.02,USD,2025-01-01,31-Dec-2026
PL-D,D,ROLL-1012,51.05,USD,01/01/2025,2026-12-31
PL-A,A,CONV-1013,4415.38,USD,01/01/25,2026-12-31
PL-B,B,CONV-1013,4194.61,USD,2025-01-01,2026-12-31
PL-C ,C,CONV-1013,3973.84,USD ,2025-01-01,2026-12-31
PL-D,D,CONV-1013,3620.61,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1014,84.12,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1014,79.91,USD,2025-01-01,2026-12-31
PL-C,C,TIMI-1014,75.71,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1014 ,68.98,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1015,104.41,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1015,99.19,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1015,93.97,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1015,85.62,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1016,3375.24,USD,2025-01-01,2026-12-31
PL-B,B,GEAR-1016,3206.48,USD,2025-01-01,12/31/2026
PL-C,C,GEAR-1016,3037.72,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1016,2767.7,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1017,75.02,USD,2025-01-01,2026-12-31
PL-B ,B,TIMI-1017,71.27,USD,2025-01-01,2026-12-31
PL-C,C,TIMI-1017,67.52,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1017,61.52,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1018,193.16,USD,2025-01-01,12/31/2026
PL-B,B,MOUN-1018,183.5,USD,01/01/2025,2026-12-31
PL-C,C,MOUN-1018,173.84,USD,"Jan 01, 2025",2026-12-31
PL-D,D,MOUN-1018,158.39,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1019,174.83,USD,2025-01-01 ,2026-12-31
PL-B,B,SHEA-1019,166.09,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1019,157.35,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1019,143.36,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1020 ,77.0,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1020,73.15,USD,2025-01-01 ,2026-12-31
PL-C,C,TIMI-1020,69.3,USD,2025-01-01,2026-12-31 
PL-D,D,TIMI-1020,63.14,USD,2025-01-01,2026-12-31
PL-A,A,ROLL-1021,154.49,USD,2025-01-01,2026-12-31
PL-B,B,ROLL-1021,146.77,USD,2025-01-01,2026-12-31
PL-C,C,ROLL-1021,139.04,USD,2025-01-01,2026-12-31
PL-D,D,ROLL-1021,126.68,USD,2025-01-01,2026-12-31
PL-A,A,CONV-1022,2929.51,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1022,2783.03,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1022,2636.56,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1022,2402.2,USD,2025-01-01,2026-12-31
PL-A,A,CONV-1023,6500.83,USD,2025-01-01,12/31/2026
PL-B,B,CONV-1023,6175.79,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1023,5850.75,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1023,5330.68,USD,01/01/25,2026-12-31
PL-A,A,SHEA-1025,264.79,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1025,251.55,USD,"Jan 01, 2025",2026-12-31
PL-C,C,SHEA-1025,238.31,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1025,217.13,USD,2025-01-01,2026-12-31
PL-A,A,ROLL-1026,237.75,USD,2025-01-01,2026-12-31
PL-B,B,ROLL-1026,225.86,USD,2025-01-01,2026-12-31
PL-C,C,ROLL-1026,213.97,USD,2025-01-01,2026-12-31
PL-D,D,ROLL-1026,194.96,USD,01/01/2025,2026-12-31
PL-A,A,SPRO-1027,102.15,USD,01/01/2025,2026-12-31
PL-B,B,SPRO-1027,97.04,USD,2025-01-01,2026-12-31 
PL-C,C,SPRO-1027,91.94,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1027,83.76,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1028,526.51,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1028,500.18,USD,2025-01-01,2026-12-31
PL-C,C ,SHEA-1028,473.86,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1028,431.74,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1029,144.09,USD,2025-01-01,12/31/2026
PL-B,B,MOUN-1029,136.89,USD,2025-01-01,2026-12-31
PL-C,C,MOUN-1029,129.68,USD,2025-01-01,2026-12-31
PL-D,D,MOUN-1029,118.15,USD,"Jan 01, 2025",12/31/26
PL-A,A,TIMI-1030,111.12,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1030,105.56,USD,2025-01-01 ,2026-12-31
PL-C,C,TIMI-1030,100.01,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1030,91.12,USD,2025-01-01,2026-12-31
PL-A ,A,MOUN-1031,58.56,USD ,2025-01-01,2026-12-31
PL-B,B,MOUN-1031,55.63,USD,2025-01-01,2026-12-31
PL-C,C,MOUN-1031,52.7,USD,2025-01-01,2026-12-31
PL-D,D,MOUN-1031,48.02,USD,2025-01-01,2026-12-31 
PL-A,A,TIMI-1032,54.1,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1032,51.39,USD,2025-01-01,2026-12-31
PL-C,C,TIMI-1032,48.69,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1032,44.36,USD,2025-01-01 ,2026-12-31
PL-A,A,AC-1033,1443.12,USD,01-Jan-2025,2026-12-31
PL-B,B ,AC-1033,1370.96,USD,2025-01-01,2026-12-31
PL-C,C,AC-1033,1298.81,USD,"Jan 01, 2025",2026-12-31
PL-D,D,AC-1033,1183.36,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1034,45.02,USD,01/01/25,2026-12-31
PL-B,B,MOUN-1034,42.77,USD,"Jan 01, 2025",2026-12-31
PL-C,C,MOUN-1034,40.52,USD,2025-01-01,2026-12-31
PL-D,D,MOUN-1034,36.92,USD,2025-01-01,2026-12-31
