So Number,Check Date,Customer Id,Credit Limit,Open Ar At Check,Order Total,Result,Reviewed By
SO-26001,2025-06-14,KBD-CUST0003,100000,36237.09,6847.56,Approved,E002
SO-26002,2025-07-24,KBD-CUST0025,50000,32381.81,2402.4,Approved,E002
SO-26005,2025-08-05,KBD-CUST0021,150000,8781.75,32623.65,Approved,E002
SO-26007,2025-12-04,KBD-CUST0011 ,25000,22990.31,39801.81,Approved,E002
SO-26009,2025-11-24,KBD-CUST0011 ,25000,16871.41,7514.5,Approved,E002
SO-26010,2025-08-14,KBD-CUST0019,250000,75268.23,126.2,Approved,E002
SO-26012,2025-09-12,KBD-CUST0010,250000,147123.32,991.91,Approved,E002
SO-26013,05/14/2025,KBD-CUST0028,25000,6112.29,2402.4,Approved,E002
SO-26014,2026-03-18,KBD-CUST0007,75000,43698.25,30321.98,Approved,E002
SO-26015,2025-10-04,KBD-CUST0011,25000,10703.39,547.97,Approved,E002
SO-26018,2026-01-06,KBD-CUST0027 ,50000,28075.2,6220.83,Approved,E002
SO-26020,2025-10-12,KBD-CUST0025,50000,29225.02,8147.25,Approved,E002
SO-26023 ,2025-05-26,KBD-CUST0006,150000,8739.29,23832.58,Approved,E002
SO-26025,2025-11-18,KBD-CUST0023 ,50000,5725.03,25317.46,Approved,E002
SO-26026,2025-10-28,KBD-CUST0025,50000,23671.03,2952.36,Approved,E002
SO-26028,2025-12-29,KBD-CUST0020,50000,23472.17,3104.57,Approved,E002
SO-26030,2025-11-13,KBD-CUST0007,75000,65744.83,46394.06,Approved,E002
SO-26031,"Aug 06, 2025",KBD-CUST0013,150000,97906.2,5318.78,Approved,E002
SO-26032,2025-07-30,KBD-CUST0025,50000,52548.32,4004.0,Approved,E002
SO-26033,09-Jan-2026,KBD-CUST0007,75000,26674.26,1382.06,Approved,E002
SO-26034,2025-11-21,KBD-CUST0008,50000,43603.9,51.1,Approved,E002
SO-26035,2025-09-06,KBD-CUST0011,25000,8849.02,660.66,Approved,E002
SO-26037,2026-01-10,KBD-CUST0008,50000,51061.42,5776.6,Approved,E002
SO-26044,2026-02-19,KBD-CUST0025,50000,15.97,22824.0,Approved,E002
SO-26052,2025-11-13,KBD-CUST0005,50000,17822.17,38277.7,Approved,E002
SO-26053,2025-10-30 ,KBD-CUST0031,250000,255263.95,20351.73,Approved,E002
SO-26054,2025-08-04,KBD-CUST0020,50000,18109.42,11710.92,Approved,E002
SO-26056,2025-11-21,KBD-CUST0027,50000,22344.67,5128.18,Approved,E002
SO-26057,2026-01-26,KBD-CUST0032,50000,20338.12,21393.47,Approved,E002
SO-26058,10/02/25,KBD-CUST0020,50000,22526.54,2333.98,Approved,E002
SO-26064,2025-09-28,KBD-CUST0015,100000,56791.89,1796.08,Approved,E002
SO-26068,2025-08-07,KBD-CUST0031,250000,209986.82,10858.84,Approved,E002
SO-26070,2025-07-13,KBD-CUST0010,250000,48893.02,12223.68,Approved,E002
SO-26073,2025-06-27,KBD-CUST0020,50000,14368.19,12522.53,Approved,E002
SO-26074,2025-12-27,KBD-CUST0011,25000,1926.65,25337.73,Approved,E002
SO-26075,2025-10-10,KBD-CUST0011,25000,11730.93,31887.56,Approved,E002
SO-26077,2025-12-22,KBD-CUST0015,100000,85124.38,118.28,Approved,E002
SO-26080,2025-12-19,KBD-CUST0011,25000,11014.63,8792.29,Approved,E002
SO-26083,2025-06-10,KBD-CUST0017,25000,9029.73,25678.73,Approved,E002
SO-26084,2025-11-16,KBD-CUST0023,50000,13588.09,87040.01,Approved,E002
SO-26085,03/31/2026,KBD-CUST0025 ,50000,4509.08,5089.0,Approved,E002
SO-26086,2026-03-28,KBD-CUST0017,25000,23937.12,12225.93,Approved,E002
SO-26087,2025-11-23,KBD-CUST0011,25000,19747.62,15801.3,Approved,E002
SO-26089,2025-06-03,KBD-CUST0028,25000,26844.46,26375.78,Approved,E002
SO-26093,2026-03-15 ,KBD-CUST0028,25000,24066.03,19628.59,Approved,E002
SO-26095,2025-05-31,KBD-CUST0026,100000,33481.91,460.0,Approved,E002
SO-26096,2025-11-29,KBD-CUST0018,25000,11443.92,26258.02,Approved,E002
SO-26100,2025-07-18,KBD-CUST0032,50000,39920.17,26828.06,Approved,E002
SO-26102,2025-06-30,KBD-CUST0023,50000,53675.11,28975.05,Approved,E002
SO-26105,2025-08-05,KBD-CUST0015,100000,102967.49,630.63,Approved,E002
SO-26106,2025-08-07,KBD-CUST0018,25000,17370.29,5760.36,Approved,E002
SO-26107,2026-03-28,KBD-CUST0018,25000,8234.57,13458.02,Approved,E002
SO-26108,2025-06-05,KBD-CUST0017,25000,23097.81,38548.94,Approved,E002
SO-26109,2025-11-17,KBD-CUST0006,150000,132920.53,19105.61,Approved,E002
SO-26110,2026-03-23,KBD-CUST0025,50000,1622.6,60119.73,Approved,E002
SO-26112,2025-08-11,KBD-CUST0023,50000,35713.44,2540.65,Approved,E002
SO-26113 ,2025-07-14,KBD-CUST0007,75000,49497.59,18.92,Approved,E002
SO-26115,2025-04-05,KBD-CUST0005,50000,34502.02,3147.0,Hold,E002
SO-26116,2025-10-06,KBD-CUST0020,50000,34232.11,7868.31,Approved,E002
SO-26117,12/22/25,KBD-CUST0007,75000,6940.1,22919.19,Approved,E002
SO-26118,2025-10-28,KBD-CUST0028,25000,13009.0,6995.03,Approved,E002
SO-26119,2026-01-03 ,KBD-CUST0012,150000,94157.27,968.73,Approved,E002
SO-26120,2026-03-11,KBD-CUST0018,25000,12896.43,11319.3,Approved,E002
SO-26122,2025-06-25,KBD-CUST0032,50000,37762.04,15478.3,Approved,E002
SO-26126,2025-12-08,KBD-CUST0025,50000,39219.17,15885.56,Approved,E002
SO-26127,10-Feb-2026,KBD-CUST0011,25000,9596.1,1027.44,Approved,E002
SO-26133,2025-12-22,KBD-CUST0032,50000,32206.4,16826.2,Approved,E002
SO-26134,2025-05-12 ,KBD-CUST0008,50000,15348.36,3320.24,Approved,E002
SO-26135,2026-02-23,KBD-CUST0023,50000,15808.94,7450.8,Approved,E002
SO-26137,2025-11-23,KBD-CUST0032,50000,43648.37,5034.04,Approved,E002
SO-26139,2025-09-30,KBD-CUST0017,25000,652.13,41647.45,Approved,E002
SO-26144,2025-10-06,KBD-CUST0017,25000,26275.5,6572.96,Approved,E002
SO-26145,12-Jul-2025,KBD-CUST0031,250000,169367.15,49094.13,Approved,E002
SO-26149,2025-06-30,KBD-CUST0007,75000,23993.5,17717.14,Hold,E002
SO-26151,2025-05-23,KBD-CUST0031,250000,135431.69,1763.15,Approved,E002
SO-26152,2025-05-26,KBD-CUST0018,25000,16330.21,32077.07,Approved,E002
SO-26153,2025-08-10,KBD-CUST0029,100000,45092.26,29253.75,Approved,E002
SO-26154,2025-12-20,KBD-CUST0025,50000,19297.87,15264.06,Approved,E002
SO-26158,2025-07-14,KBD-CUST0029,100000,93055.06,17609.04,Approved,E002
SO-26164,2025-06-03,KBD-CUST0005,50000,41265.58,12922.76,Approved,E002
SO-26166,2026-03-08,KBD-CUST0006,150000,30238.21,58814.45,Approved,E002
SO-26168,2025-06-03,KBD-CUST0031,250000,7712.34,2636.56,Approved,E002
SO-26170,2025-10-28,KBD-CUST0020,50000,10454.32,13113.85,Approved,E002
SO-26172,2025-11-24,KBD-CUST0031,250000,65041.76,7452.39,Approved,E002
SO-26175,2025-06-15,KBD-CUST0010,250000,157165.77,26933.41,Approved,E002 
SO-26176,2026-03-15,KBD-CUST0025,50000,15049.55,17377.22,Approved,E002
SO-26178,04/03/25,KBD-CUST0008,50000,20347.59,7834.0,Approved,E002
SO-26179,2025-11-18,KBD-CUST0008,50000,13318.63,44783.36,Approved,E002
SO-26181,2025-12-08,KBD-CUST0023,50000,44958.42,55392.12,Approved,E002
SO-26182,07-Nov-2025,KBD-CUST0024,75000,30734.51,4056.67,Approved,E002
SO-26183,2025-06-11,KBD-CUST0027,50000,37267.81,5831.5,Approved,E002
SO-26185,2025-09-24,KBD-CUST0025,50000,6099.74,23782.78,Approved,E002
SO-26187,2025-05-05,KBD-CUST0017,25000,13591.05,8811.58,Approved,E002
SO-26189 ,2026-02-05,KBD-CUST0020,50000,37513.19,8908.78,Approved ,E002
SO-26190,2025-05-03,KBD-CUST0021,150000,83305.52,5363.69,Approved,E002
SO-26192,2025-04-03,KBD-CUST0032,50000,21682.45,26967.65,Approved,E002
SO-26194,2026-02-11,KBD-CUST0025,50000,11659.6,1452.67,Approved,E002
SO-26195,2025-12-21,KBD-CUST0017,25000,9014.61,33226.1,Approved,E002
SO-26196,"Sep 14, 2025",KBD-CUST0017,25000,2867.37,148.86,Approved,E002
SO-26197,2026-01-29,KBD-CUST0005,50000,50237.55,274.97,Approved,E002
SO-26198,2025-11-23,KBD-CUST0028,25000,19688.0,15489.98,Approved,E002
SO-26199,2025-10-03,KBD-CUST0025,50000,2666.27,17721.45,Approved,E002
SO-26201,2025-09-06,KBD-CUST0018,25000,1494.61,2026.87,Approved,E002
SO-26202,2025-04-25,KBD-CUST0028,25000,14668.07,1954.41,Approved,E002
SO-26203,07/29/2025,KBD-CUST0011,25000,19099.67,3383.04,Approved,E002
SO-26207,2025-06-04,KBD-CUST0027 ,50000,21832.28,42121.19,Approved,E002
SO-26208,2026-01-04 ,KBD-CUST0007,75000,46319.51,4065.99,Approved,E002
SO-26211,2025-10-31,KBD-CUST0032,50000,50585.38,25266.77,Approved,E002
SO-26213,2025-06-17,KBD-CUST0020,50000,50206.31,16243.26,Approved,E002
SO-26219,2025-10-14,KBD-CUST0032,50000,41507.31,2237.0,Approved,E002
SO-26221,2026-02-17,KBD-CUST0011,25000,25747.8,14411.7,Approved,E002
SO-26223,31-Mar-2026,KBD-CUST0018,25000,4303.45,1593.21,Approved,E002
SO-26224,2025-12-09,KBD-CUST0032,50000,16423.26,775.44,Approved,E002
SO-26225,2026-01-22,KBD-CUST0023,50000,13602.28,12875.2,Approved,E002
SO-26229,"Mar 29, 2026",KBD-CUST0027,50000,49900.89,7254.37,Approved,E002
SO-26233,2026-02-11,KBD-CUST0028,25000,21057.06,15118.48,Approved,E002
SO-26235,2025-07-22,KBD-CUST0003,100000,49345.26,7345.59,Approved,E002
SO-26237,2025-04-20,KBD-CUST0032,50000,18530.38,146.77,Approved,E002
SO-26238,2025-12-28,KBD-CUST0018,25000,16060.88,20272.95,Approved,E002
SO-26240,2026-01-08,KBD-CUST0008,50000,39420.55,28508.83,Approved,E002
SO-26243,2025-12-12 ,KBD-CUST0008,50000,35483.92,13674.1,Approved,E002
SO-26244,2025-12-16,KBD-CUST0018 ,25000,21520.63,16097.76,Approved,E002
SO-26245,"Oct 15, 2025",KBD-CUST0028,25000,9649.45,721.14,Approved,E002
SO-26246,2025-08-18,KBD-CUST0023 ,50000,39853.63,2054.0,Approved,E002
SO-26247,07/12/25,KBD-CUST0017,25000,20651.97,5428.33,Approved,E002 
SO-26248 ,2025-05-15,KBD-CUST0028,25000,2319.23,301.08,Approved,E002
SO-26250,2025-12-29,KBD-CUST0025,50000,33040.5,4986.4,Approved,E002
SO-26253,2025-04-16,KBD-CUST0025,50000,31454.96,18010.9,Approved,E002
SO-26254,2025-06-03,KBD-CUST0023,50000,36608.12,37854.82,Approved,E002
SO-26257,2025-11-07,KBD-CUST0023,50000,41476.99,12021.9,Approved,E002
SO-26258,2025-09-15,KBD-CUST0008,50000,15922.8,25178.32,Approved,E002
SO-26259,2025-08-05,KBD-CUST0004,250000,220766.44,12987.09,Approved,E002
SO-26260,2025-05-11,KBD-CUST0010,250000,139910.6,17729.28,Approved,E002
SO-26262,10/25/2025,KBD-CUST0032,50000,36840.01,9102.66,Approved,E002
SO-26263,2026-03-21,KBD-CUST0025,50000,11826.15,4408.88,Approved,E002
SO-26268,2025-09-27,KBD-CUST0028,25000,20046.61,38150.26,Approved,E002
SO-26273,2026-03-01,KBD-CUST0032,50000,53107.14,7353.13,Approved,E002
SO-26276,01-Oct-2025,KBD-CUST0027,50000,41165.2,22895.34,Approved,E002 
SO-26277,05/24/2025,KBD-CUST0025,50000,33460.56,26692.42,Approved,E002
