Change Id,So Number,Change Date,Change Type,Requested By,Old Value,New Value,Approved By,Source
KBD-CHG0001,SO-26010,2025-08-23,Ship-to change,Customer,12,30,E017,EDI 860
KBD-CHG0002,SO-26011,2025-06-28,Qty change,Customer,39,7,E018,Phone
KBD-CHG0003,SO-26018,"Jan 16, 2026",Date change,Customer,37,5,E022,EDI 860
KBD-CHG0004,SO-26031,2025-08-10,Cancel line,Customer,37,50,E019,Phone
KBD-CHG0005,SO-26033,2026-01-13,Ship-to change,Customer,44,48,E019,EDI 860
KBD-CHG0006,SO-26038,2026-03-24,Cancel line,Customer,6,45,E017,EDI 860 
KBD-CHG0007,SO-26054,2025-08-13,Qty change,Customer,14,17,E019,Phone
KBD-CHG0008,SO-26058,"Oct 10, 2025",Add line,Customer,4,39,E019,Phone
KBD-CHG0009,SO-26078,2025-12-17,Add line,Customer,20,44,E020,Email
KBD-CHG0010,SO-26083,06/12/25,Qty change,Customer,38,4,E017,Phone
KBD-CHG0011,SO-26134,2025-05-13,Qty change,Customer,46,21,E014,Email
KBD-CHG0012,SO-26155,"Jul 20, 2025",Add line,Customer,21,8,E019,Phone
KBD-CHG0013,SO-26159,2025-06-30,Date change,Customer,47,8,E019,EDI 860
KBD-CHG0014,SO-26167,2026-02-25,Qty change,Customer,35,2,E014,EDI 860
KBD-CHG0015,SO-26184,2025-09-23,Add line,Customer,33,36,E017,Email
KBD-CHG0016,SO-26189,2026-02-11,Cancel line,Customer,49,40,E019,Email
KBD-CHG0017,SO-26194,2026-02-21 ,Add line,Customer,25,47,E021,Email
KBD-CHG0018,SO-26202,2025-04-29,Ship-to change,Customer,12,49,E021,Email
KBD-CHG0019,SO-26209,2025-08-16,Date change,Customer,26,48,E017,EDI 860
KBD-CHG0020,SO-26220,2026-03-02,Add line,Customer,47,6,E023,EDI 860
KBD-CHG0021,SO-26239,2025-05-29,Qty change,Customer,4,48,E017,EDI 860
KBD-CHG0022,SO-26244,2025-12-25,Cancel line,Customer,35,17 ,E014,EDI 860
KBD-CHG0023,SO-26255,2026-03-22,Date change,Customer,33,46,E019,Email
KBD-CHG0024,SO-26301,2025-06-25,Qty change,Customer,48,17,E023,EDI 860
KBD-CHG0025,SO-26320,2025-10-06,Qty change,Customer,18,44,E016,Email
KBD-CHG0026,SO-26323,2025-10-02,Qty change,Customer,16,45,E014,Email
KBD-CHG0027,SO-26330,2025-07-23,Add line,Customer,10,25,E023,EDI 860
KBD-CHG0028,SO-26332,03/20/2026,Qty change,Customer,49,5,E016,Email
KBD-CHG0029,SO-26338,2025-08-25,Ship-to change,Customer,24,44,E014,Phone
KBD-CHG0030,SO-26344,2025-06-09,Cancel line,Customer,16,23,E021,Email
KBD-CHG0031,SO-26365,2025-11-12,Date change,Customer,11,8,E017,EDI 860
KBD-CHG0032,SO-26368,2025-12-01,Cancel line,Customer,45,22,E023,Phone
KBD-CHG0033,SO-26371,2025-12-22,Add line,Customer,29,30,E022,Phone 
KBD-CHG0034,SO-26374,2026-04-08,Ship-to change,Customer,47,49,E016,EDI 860
KBD-CHG0035,SO-26380,2026-03-11,Add line,Customer,8,12,E019,Email
KBD-CHG0036,SO-26381,2026-03-15,Add line,Customer,12,3,E019,EDI 860
KBD-CHG0037,SO-26383,16-Jul-2025,Ship-to change,Customer,1,41,E018,Email
KBD-CHG0038,SO-26403 ,2026-03-16,Date change,Customer,21,30,E020,EDI 860
KBD-CHG0039,SO-26412,2026-02-03,Qty change,Customer ,31,21,E021,EDI 860
KBD-CHG0040,SO-26426,2025-08-04,Ship-to change,Customer,9,1,E021,EDI 860
KBD-CHG0041,SO-26436,2025-07-16,Cancel line,Customer,12,49,E018,EDI 860
KBD-CHG0042,SO-26439,2025-05-01,Cancel line,Customer,25 ,49,E014,Phone
KBD-CHG0043,SO-26447,2025-08-30,Date change,Customer,22,50,E019,EDI 860
KBD-CHG0044,SO-26448,2025-06-13,Add line,Customer,40,2,E023,Phone
KBD-CHG0045,SO-26451,09-Dec-2025,Date change,Customer,41,37,E018,EDI 860
KBD-CHG0046,SO-26452,2025-11-15,Cancel line,Customer,22,16,E019,Phone
KBD-CHG0047,SO-26455,2025-07-01,Cancel line,Customer,17,35,E018,EDI 860
KBD-CHG0048,SO-26479,2026-01-26,Add line,Customer,5,21,E016,EDI 860
KBD-CHG0049,SO-26481,2025-10-28,Date change,Customer,11,37,E016,Email
KBD-CHG0050,SO-26491,2025-07-01,Cancel line,Customer,21,35,E020,Phone
KBD-CHG0051,SO-26495,2025-05-17,Qty change,Customer,25,13,E013,EDI 860
KBD-CHG0052,SO-26502,2025-08-22,Qty change,Customer,38,28,E021,EDI 860 
KBD-CHG0053,SO-26504,2025-12-24,Ship-to change,Customer,8,36,E016,Email
KBD-CHG0054,SO-26506,2025-12-23,Cancel line,Customer,9,32,E016,EDI 860
KBD-CHG0055,SO-26511,2026-02-28,Date change,Customer,29,36,E019,EDI 860
KBD-CHG0056,SO-26513,2025-09-06,Cancel line,Customer,46,3,E022,EDI 860
KBD-CHG0057,SO-26518,2025-05-22,Add line,Customer,43,17,E018,EDI 860
