So Number,Line,Item Id,Description,Qty,Uom,Price,Extended Price,Cost,Price Source,Requested Date,Promised Date,Shipped Qty,Line Status,Ship To Id
SO-26001,1,AC-1033,AC Motor TEFC 3/4-10,2,EA,1443.12,2886.24,1093.27,Price List A,2025-07-03,2025-07-03,2,Shipped,KBD-CUST0003-S1
SO-26001,2,GAT-B62,Hi-Power II V-belt B62,12,EA,19.56,234.72,12.7,Price List A,2025-06-24,2025-07-01,12,Shipped,KBD-CUST0003-S1
SO-26001,3,GEAR-1016,Gear Reducer size 6,1,EA,3375.24,3375.24,2265.26,Price List A,2025-06-26,2025-06-27,1,Shipped,KBD-CUST0003-S1
SO-26001,4,MOUN-1031,Mounted Ball Bearing Unit 1.500,6,EA,58.56,351.36,38.78,Price List A,2025-07-09,2025-07-10,0,Open,KBD-CUST0003-S1
SO-26002,1,AC-1040,AC Motor TEFC #50,3,EA,800.8,2402.4,609.44,Price List C,2025-08-21,2025-08-21,3,Shipped,KBD-CUST0025-S1
SO-26003,1,SPRO-1087,Sprocket 1/2-13,50,EA,61.79,3089.5,44.550000000000004,Price List B,2026-03-14,2026-03-14,50,Shipped,KBD-CUST0007-S1
SO-26003,2,GEAR-1010,Gear Reducer 1.375,1,EA,4602.2,4602.2,2784.15,Price List B,2026-03-12,2026-03-19,1,Shipped,KBD-CUST0007-S1
SO-26003,3,GEAR-1060,Gear Reducer #60,1,EA,4686.22,4686.22,3102.4300000000003,Price List B,2026-03-10,2026-03-10,1,Shipped,KBD-CUST0007-S1
SO-26003,4,SPRO-1004,Sprocket 3/8-16,50,EA,53.72,2686.0,42.84,Price List B,2026-03-03,2026-03-04,50,Shipped,KBD-CUST0007-S1
SO-26003,5,AC-1057,AC Motor TEFC M10,3,EA,1116.16,3348.48,687.08,Price List B,2026-02-16,2026-02-16,3,Shipped,KBD-CUST0007-S1
SO-26004,1,AC-1048,AC Motor TEFC M6,1,EA,2277.84,2277.84,1745.47,Price List C,2026-03-08,2026-03-08,1,Shipped,KBD-CUST0026-S1
SO-26004,2,CONV-1051,Conveyor Drive Package 1/4-20,3,EA,5524.58,16573.74,4147.58,Price List C,"Feb 22, 2026",2026-02-22,3,Shipped,KBD-CUST0026-S1
SO-26004,3,CONV-1052,Conveyor Drive Package size 4,3,EA,3640.77,10922.31,2311.6,Price List C,2026-03-08,2026-03-15,3,Shipped,KBD-CUST0026-S1
SO-26004,4,GEAR-1084,Gear Reducer M6,1,EA,5318.78,5318.78,3456.0,Price List C,2026-03-07,2026-03-14,1,Shipped,KBD-CUST0026-S1
SO-26005,1,SHEA-1019,Sheave / Pulley M8,6,EA,166.09,996.54,94.5,Price List B,"Sep 01, 2025",2025-09-04,6,Shipped,KBD-CUST0021-S1
SO-26005,2,GEAR-1073,Gear Reducer 5/16-18,1,EA,2781.13,2781.13,1938.75,Price List B,2025-08-25,2025-08-28,1,Shipped,KBD-CUST0021-S1
SO-26005,3,CONV-1023,Conveyor Drive Package 3/4-10 ,1,EA,6175.79,6175.79,3652.15,Price List B,2025-09-01,2025-09-01,1,Shipped,KBD-CUST0021-S1
SO-26005,4,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,1,EA,1558.19,1558.19,1180.0,Price List B,2025-08-28,2025-08-28,1,Shipped,KBD-CUST0021-S1
SO-26005 ,5,TIMI-1030,Timing Belt 1/2-13,200,EA,105.56,21112.0,66.14,Price List B,2025-08-12,2025-08-12,0,Backordered,KBD-CUST0021-S1
SO-26006,1,SHEA-1035,Sheave / Pulley 1.000,1,EA,187.14,187.14,148.52,Price List C,2025-09-09,2025-09-09,1,Shipped,KBD-CUST0026-S1
SO-26006,2,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",6,BX,56.79,340.74,44.75,Price List C,2025-09-12,2025-09-12,6,Shipped,KBD-CUST0026-S1
SO-26006,3,MOUN-1018,Mounted Ball Bearing Unit M8,2,EA,173.84,347.68,109.13,Price List C,2025-09-04,2025-09-05,2,Shipped,KBD-CUST0026-S1
SO-26006,4,ROLL-1053,Roller Chain ANSI #80,4,EA,122.44,489.76,86.10000000000001,Price List C,2025-09-02,2025-09-02,4,Shipped,KBD-CUST0026-S1
SO-26007,1,SPRO-1078,Sprocket M6,25,EA,101.65,2541.25,69.25,Price List D,12/21/2025,2025-12-24,25,Shipped,KBD-CUST0011-S1
SO-26007,2,CONV-1046,Conveyor Drive Package 1/4-20,3,EA,8454.0,25362.0,7311.89,Price List D,12/22/25,2025-12-29,3,Shipped,KBD-CUST0011-S1
SO-26007,3,SHEA-1035,Sheave / Pulley 1.000,3,EA,170.5,511.5,148.52,Price List D,2025-12-14,2025-12-14,3,Shipped,KBD-CUST0011-S1
SO-26007,4,SHEA-1072,Sheave / Pulley 3/8-16,3,EA,122.07,366.21,101.96000000000001,Price List D,2025-12-27,2026-01-03,3,Shipped,KBD-CUST0011-S1
SO-26007,5,AC-1054,AC Motor TEFC 1.500,5,EA,2204.17,11020.85,1828.58,Price List D,2025-12-11,2025-12-11,5,Shipped,KBD-CUST0011-S1
SO-26008,1,SHEA-1064,Sheave / Pulley M12,5,EA,216.6,1083.0,139.88,Price List B,2025-06-06,2025-06-06,5,Shipped,KBD-CUST0007-S1
SO-26009,1,MOUN-1031,Mounted Ball Bearing Unit 1.500,25,EA,48.02,1200.5,38.78,Price List D,2025-11-28,2025-11-29,25,Shipped,KBD-CUST0011-S1
SO-26009,2,TIMI-1020,Timing Belt 5/16-18,100,EA,63.14,6314.0,52.03,Price List D,2025-11-27,2025-11-27,100,Shipped,KBD-CUST0011-S1
SO-26010,1,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",2,BX,63.1,126.2,44.75,Price List A,2025-08-17,2025-08-17 ,2,Shipped,KBD-CUST0019-S1
SO-26011,1,CONV-1043,Conveyor Drive Package 1.375,3,EA,2622.13,7866.39,1971.53,Price List B,2025-07-16,2025-07-16,3,Shipped,KBD-CUST0022-S1
SO-26011,2,CONV-1023,Conveyor Drive Package 3/4-10,5,EA,6175.79,30878.95,3652.15,Price List B,2025-07-14,2025-07-14,5,Shipped,KBD-CUST0022-S1
SO-26012,1,TIMI-1032,Timing Belt size 6,6,EA,54.1,324.6,32.99,Price List A,2025-09-22,09/29/25,6,Shipped,KBD-CUST0010-S1
SO-26012,2,MOUN-1062,Mounted Ball Bearing Unit 1/2-13,1,EA,221.27,221.27,135.75,Price List A,10/06/25,2025-10-07,1,Shipped,KBD-CUST0010-S1
SO-26012,3,SKF-6308-2Z,"Deep groove ball bearing 40x90x23, shielded",12,EA,13.33,159.96,10.25,Price List A,2025-09-22,22-Sep-2025,12,Shipped,KBD-CUST0010-S1
SO-26012,4,SHEA-1045,Sheave / Pulley M10,4,EA,71.52,286.08,47.68,Price List A,2025-09-29,2025-09-29,4,Shipped,KBD-CUST0010-S1
SO-26013,1,AC-1040,AC Motor TEFC #50,3,EA,800.8,2402.4,609.44,Price List C,"Jun 11, 2025",2025-06-18,3,Shipped,KBD-CUST0028-S1
SO-26014,1,SPRO-1027,Sprocket 1/4-20,12,EA,97.04,1164.48,77.98,Price List B,2026-04-10,"Apr 17, 2026",0,Open,KBD-CUST0007-S1
SO-26014,2,CONV-1051,Conveyor Drive Package 1/4-20,5,EA,5831.5,29157.5,4147.58,Price List B,2026-03-31,2026-04-01,0,Open,KBD-CUST0007-S1
SO-26015,1,SHEA-1049,Sheave / Pulley size 4,1,EA,227.67,227.67,153.4,Price List D,2025-10-23,2025-10-24,1,Shipped,KBD-CUST0011-S1
SO-26015,2,SPRO-1055,Sprocket #50,10,EA,32.03,320.3,26.94,Price List D,2025-10-25,2025-10-26,10,Shipped,KBD-CUST0011-S1
SO-26016,1,MOUN-1008,Mounted Ball Bearing Unit #60,1,EA,109.84,109.84,71.79,Price List C,2025-12-29,2025-12-29,1,Shipped,KBD-CUST0016-S1
SO-26016,2,TIMI-1017,Timing Belt size 6,50,EA,67.52,3376.0,50.69,Price List C,"Dec 17, 2025",2025-12-18,50,Shipped,KBD-CUST0016-S1
SO-26017,1,TIMI-1014,Timing Belt 1.000,10,EA,68.98,689.8,49.480000000000004,Price List D,2025-07-04,2025-07-04,10,Shipped,KBD-CUST0001-S1
SO-26017,2,CONV-1013,Conveyor Drive Package 1.500,3,EA,3620.61,10861.83,2336.18,Price List D,2025-07-04,2025-07-04 ,3,Shipped,KBD-CUST0001-S1
SO-26017,3,CONV-1023,Conveyor Drive Package 3/4-10,5,EA,5010.84,25054.2,3652.15,Manual override,2025-07-02,2025-07-05,5,Shipped,KBD-CUST0001-S1
SO-26017,4,CONV-1051,Conveyor Drive Package 1/4-20,1,EA,5033.5,5033.5,4147.58,Price List D,2025-07-20,2025-07-27,1,Shipped,KBD-CUST0001-S1
SO-26017,5,ROLL-1012,Roller Chain ANSI 2.000,200,EA,51.05,10210.0,47.52,Price List D,2025-06-26,2025-07-03,200,Shipped,KBD-CUST0001-S1
SO-26018,1,CONV-1013,Conveyor Drive Package 1.500,1,EA,4194.61,4194.61,2336.18,Price List B,09-Jan-2026,2026-01-09,1,Shipped,KBD-CUST0027-S1
