So Number,Customer Id,Customer Po Number,Order Date,Quote Id,Sales Rep Id,Entered By,Order Source,Payment Terms,Ship Via,Freight Terms,Order Total,Credit Hold,Order Status,Invoiced
SO-26001,KBD-CUST0003,PO703488,2025-06-14,,E021,E014,Phone,Net 30,FedEx Ground,Prepaid & Add,6847.56,N,Partially Shipped,N
SO-26002,KBD-CUST0025,PO197525,2025-07-24,,E021,E017,EDI 850,Net 45,Customer Pickup,Prepaid,2402.4,N,Closed,Y
SO-26003,KBD-CUST0007,4500458676,2026-02-14,,E019,E017,Email,Net 30,Company Truck,Collect,18412.4,N,Closed,Y
SO-26004,KBD-CUST0026,4500503261,2026-02-18,Q-26001,E019,E014,EDI 850,COD,Company Truck ,Collect,35092.67,N,Closed,Y
SO-26005,KBD-CUST0021,P785691,2025-08-05,,E016,E017,Portal,2% 10 Net 30,LTL - Estes ,Collect,32623.65,N,Partially Shipped,Y
SO-26006,KBD-CUST0026,P821082,2025-08-16,,E019,E025,Portal,COD,Company Truck,Prepaid & Add,1365.32,N ,Closed,Y
SO-26007,KBD-CUST0011,PO682347,2025-12-04,,E014,E015,Email,Net 30,Company Truck,Prepaid & Add,39801.81,N,Closed,Y
SO-26008,KBD-CUST0007,P971067,2025-05-14,,E019,E013,Phone,Net 30,Company Truck,Collect,1083.0,N,Closed,Y
SO-26009,KBD-CUST0011,4500424151,2025-11-24,,E014,E017,EDI 850 ,Net 30,Company Truck,Collect,7514.5,N,Closed ,Y
SO-26010,KBD-CUST0019,PUR-647553,"Aug 14, 2025",,E017,E017,Email,Net 45,LTL - XPO,Prepaid & Add,126.2,N,Closed,Y
SO-26011,KBD-CUST0022 ,4500276836,2025-06-19,,E018,E025,EDI 850,Net 60,UPS Ground,Prepaid & Add,38745.34,Y,Closed,Y
SO-26012,KBD-CUST0010,P725502,09/12/25,,E018,E018,Phone,Net 30,LTL - Estes,Prepaid & Add,991.91,N,Closed,Y
SO-26013,KBD-CUST0028,4500314058,2025-05-14,,E021,E018,Email,Net 45,UPS Ground,Collect,2402.4,N,Closed,Y
SO-26014,KBD-CUST0007,P566353,2026-03-18,,E019,E025,EDI 850,Net 30,Company Truck,Prepaid & Add,30321.98,N,Open,N
SO-26015,KBD-CUST0011,PO306977,2025-10-04,Q-26002,E014,E013,EDI 850,Net 30,Company Truck,Prepaid,547.97,N,Closed,Y
SO-26016,KBD-CUST0016,P266473,2025-12-06,Q-26003,E016,E016,Phone,Net 30,FedEx Ground ,Collect,3485.84,N,Closed,Y
SO-26017,KBD-CUST0001,PUR-356485,2025-06-24,,E018,E016 ,Portal,Net 30,Customer Pickup,Collect,51849.33,N,Closed,Y
SO-26018,KBD-CUST0027,4500461969,01/06/26,,E022,E014,Email,Net 30,FedEx Ground,Prepaid,6220.83,N,Partially Shipped,Y
SO-26019,KBD-CUST0030,P541294,2026-02-25,Q-26004,E023,E025,Email,Net 30,Customer Pickup,Prepaid & Add,36329.43,N,Partially Shipped,Y
SO-26020,KBD-CUST0025,PUR-469305,2025-10-12,,E021,E024,EDI 850,Net 45,Customer Pickup,Prepaid,8147.25,N,Closed,Y
SO-26021,KBD-CUST0026,PO186462,2025-08-03,Q-26005,E019,E013,Portal,COD,Company Truck,Prepaid,3664.64,N,Closed,Y
SO-26022,KBD-CUST0019,4500794401,2025-09-20,,E017,E018,Email,Net 45,LTL - XPO,Prepaid & Add,8332.09,N,Closed,Y
SO-26023,KBD-CUST0006,PO400844 ,2025-05-26,,E023,E025,Email,Net 60,FedEx Ground,Collect,23832.58,N,Partially Shipped,Y
SO-26024,KBD-CUST0004,P608920,2025-05-09,,E016,E018,Phone,Net 60,Customer Pickup,Prepaid & Add,12785.57,N ,Partially Shipped,Y
SO-26025,KBD-CUST0023,PUR-286928,18-Nov-2025,,E015,E017,Portal,Net 60,UPS Ground,Collect,25317.46,N,Partially Shipped,Y
SO-26026,KBD-CUST0025,P952578,2025-10-28,,E021,E015,EDI 850,Net 45,Customer Pickup,Collect,2952.36,N,Closed,Y
SO-26027,KBD-CUST0019,PUR-421011,2025-11-14,,E017,E014,Portal,Net 45,LTL - XPO,Collect,4620.59,N,Closed,Y
SO-26028,KBD-CUST0020,PO112885,2025-12-29,,E019,E015,EDI 850,Net 45,Company Truck,Prepaid,3104.57,N,Closed,Y
SO-26029,KBD-CUST0019,PUR-556461,2025-08-16,Q-26006,E017,E013,EDI 850,Net 45,LTL - XPO,Prepaid,626.46,N,Closed,Y
SO-26030,KBD-CUST0007,P762607,2025-11-13,,E019,E024,Portal,Net 30,Company Truck,Prepaid & Add,46394.06,N,Closed,Y
SO-26031,KBD-CUST0013,PUR-618354,2025-08-06,,E019,E017 ,Portal,Net 30,Customer Pickup,Prepaid & Add,5318.78,N,Closed,Y
SO-26032,KBD-CUST0025,4500278054,2025-07-30,,E021,E024,EDI 850,Net 45,Customer Pickup ,Collect,4004.0,N,Closed,Y
SO-26033,KBD-CUST0007,4500321599,2026-01-09,,E019,E016,Portal,Net 30,Company Truck,Prepaid,1382.06,N,Closed,Y
SO-26034,KBD-CUST0008,PO698399,2025-11-21,,E014,E016 ,Phone,Net 60,LTL - Estes,Collect,51.1,N,Closed,Y
SO-26035,KBD-CUST0011,P952763,2025-09-06,,E014,E015,Phone,Net 30,Company Truck,Prepaid & Add,660.66,N,Closed,Y
