Quote Id,Line,Item Id,Qty,Unit Price,Lead Time Days
Q-26001,1,AC-1048,1,2277.84,20
Q-26001 ,2,CONV-1051,3,5524.58,21
Q-26001,3,CONV-1052,3,3640.77,21
Q-26001,4,GEAR-1084,1,5318.78,11
Q-26002,1,SHEA-1049,1,227.67,21
Q-26002,2,SPRO-1055,10,32.03,16
Q-26003,1,MOUN-1008,1,109.84,21
Q-26003,2,TIMI-1017,50,67.52,21
Q-26004,1,GEAR-1073,5,2781.13,3
Q-26004,2,CONV-1089,3,7409.9,28
Q-26004,3,SPRO-1027,2,97.04,4
Q-26005,1,SPRO-1070,4,36.16,21
Q-26005,2,GAT-B62,200,17.6,11
Q-26006,1,SPRO-1015,6,104.41,13
Q-26007,1,BRI-HHCS-0500-13-200-G8,12,56.79,15
Q-26007,2,AC-1048,5,2277.84,29
Q-26007,3,SHEA-1064,3,205.2,20
Q-26007,4,ROLL-1044,1,229.17,8
Q-26007,5,MOUN-1029,50,129.68,12
Q-26008,1,MOUN-1029,200,114.12,21
Q-26009,1,CONV-1051,1,4972.12,25
Q-26009,2,SHEA-1019,6,157.35,26
Q-26009,3,TIMI-1032,25,48.69,7
Q-26010,1,CONV-1039,2,7795.61,12
Q-26010,2,CONV-1043,1,2622.13,16
Q-26011,1,CONV-1052,2,3843.03,26
Q-26011,2,CONV-1052,1,3843.03,11
Q-26011,3,TIMI-1030,12,105.56,10
Q-26011,4,SPRO-1015,200,99.19,5
Q-26011,5,SPRO-1002,1,90.07,29
Q-26012,1,CONV-1013,1,3417.5,18
Q-26012,2,AC-1086,3,3341.93,18
Q-26012,3,GEAR-1060,5,4439.57,21
Q-26012,4,CONV-1022,1,2636.56,27
Q-26013,1,CONV-1013,5,4194.61,28
Q-26013,2,MOUN-1062,2,210.21,24
Q-26014,1,GEAR-1084,3,5318.78,22
Q-26014 ,2,MOUN-1008,10,103.25,16
Q-26014,3,SHEA-1028,1,473.86,27
Q-26014,4,MOUN-1081,2,74.96,13
Q-26015,1,CONV-1023,2,5330.68,13
Q-26016,1,ROLL-1026,3,225.86,21
Q-26016,2,SPRO-1047,50,22.37,30
Q-26017,1,MOUN-1083,12,131.75,13
Q-26017,2,SHEA-1035,1,197.53,10
Q-26017,3,SPRO-1004,200,53.72,25
Q-26018,1,TIMI-1071,1,119.01,17
Q-26018,2,TIMI-1030,12,111.12,28
Q-26018,3,AC-1086,2,3992.74,27
Q-26018,4,TIMI-1056,100,27.88,4
Q-26019,1,CONV-1051 ,3,5770.11,15
Q-26020,1,SKF-6205-2RS1,100,4.6,6
Q-26021,1,CONV-1089,1,6395.92,22
Q-26021,2,GEAR-1010,5,3972.42,19
Q-26022,1,SPRO-1055,12,32.03,22
Q-26022,2,MOUN-1029,50,107.52,15
Q-26023,1,SPRO-1050,6,15.04,13
Q-26023,2,SHEA-1035,3,197.53,11
Q-26023,3,AC-1086,3,3793.1,14
Q-26023 ,4,AC-1006,2,3521.74,29
Q-26024,1,SHEA-1049,1,250.58,11
Q-26024,2,CONV-1022,3,2783.03,22
Q-26024,3,SPRO-1055 ,200,37.11,3
Q-26024,4,MOUN-1008,25,102.03,27
Q-26024,5,GEAR-1060,1,4686.22,24
Q-26025,1,AC-1074,3,2622.77,3
Q-26026,1,ROLL-1079,2,160.9,26
Q-26026,2,GEAR-1073,3,2781.13,26
Q-26026,3,TIMI-1017,200,71.27,6
Q-26027,1,GEAR-1080,3,2297.75,25
Q-26027,2,SPRO-1004,2,50.89,11
Q-26028,1,SHEA-1038,5,457.09,26
Q-26029,1,SPRO-1061,4,109.19,15
Q-26029,2,GEAR-1066,1,1588.8,14
Q-26029,3,TIMI-1020,200,69.3,4
Q-26030,1,CONV-1051,5,5033.5,8
Q-26030,2,ROLL-1079,1,120.25,18
Q-26030,3,CONV-1065,1,3928.51,28
Q-26030,4,TIMI-1071,12,97.59,17
Q-26030,5,TIMI-1032,2,44.36,15
Q-26031,1,GEAR-1060,1,4932.86,14
Q-26031,2,SHEA-1049,1,277.65,11
Q-26031,3,SHEA-1049,3,260.99,25
Q-26031,4,MOUN-1018,3,193.16,12
Q-26032,1,ROLL-1044,1,229.17,9
Q-26033,1,MOUN-1029,100,118.01,9
Q-26033,2,SPRO-1069,2,182.33,22
Q-26033,3,TIMI-1014,10,75.71,16
Q-26034,1,TIMI-1071,25,113.06,29
Q-26034,2,SHEA-1082,5,301.38,20
Q-26034,3,MOUN-1029,200,136.89,18
Q-26035,1,SHEA-1068,3,290.24,22
Q-26036,1,GEAR-1060,5,4044.95,28
Q-26036,2,AC-1057,2,963.43,27
Q-26036,3,TIMI-1058,50,110.11,8
Q-26036,4,MOUN-1008,50,100.07,5
Q-26037,1,TIMI-1056,10,27.88,11
Q-26037 ,2,SHEA-1037,6,159.37,28
Q-26037,3,SHEA-1049,5,277.65,8
Q-26037,4,SHEA-1088,5,286.68,9
Q-26038,1,CONV-1051,1,5831.5,14
Q-26039,1,GEAR-1016,1,3206.48,18
Q-26039,2,SPRO-1002,4,73.0,21
Q-26039,3,SKF-6205-2RS1,200,4.85,12
Q-26039,4,MOUN-1081,50,79.13,28
Q-26039,5,ROLL-1044,2,241.9,6
Q-26040,1,SKF-6308-2Z,50,12.66,16
Q-26040,2,AC-1063,1,1985.66,8
Q-26040,3,SHEA-1003,1,306.79,22
Q-26040,4,SPRO-1047,100,21.48,28
Q-26040,5,SHEA-1068,1,290.24,29
Q-26041,1,SHEA-1007,1,211.8,27
Q-26042,1,SPRO-1027,4,83.76,13
Q-26042,2,GAT-B62,200,15.24,26
Q-26043,1,CONV-1052,1,3843.03,17
Q-26043,2,GAT-B62,12,18.58,10
Q-26044,1,SPRO-1069,1,202.59,20
Q-26044,2,GEAR-1066,2,1765.33,23
Q-26044,3,TIMI-1075,50,106.96,13
Q-26045,1,SHEA-1088,1,271.59,20
Q-26045,2,GEAR-1016,1,3037.72,5
Q-26045,3,GEAR-1060,1,4439.57,9
Q-26045,4,AC-1048,5,2277.84,26
Q-26046,1,TIMI-1030,12,105.56,15
Q-26047,1,MOUN-1081,2,68.3,21
Q-26047,2,SHEA-1037,100,140.52,28
Q-26047,3,ROLL-1053,2,111.55,19
Q-26048,1,SHEA-1072,1,122.07,17
Q-26048,2,MOUN-1034,25,36.92,12
Q-26048,3,MOUN-1034,2,33.97,24
Q-26048,4,MOUN-1031 ,10,48.02,19
Q-26049,1,ROLL-1053,6,129.24,22
Q-26050,1,SHEA-1038,3,358.16,15
Q-26051,1,ROLL-1021,1,146.77,9
Q-26052,1,SPRO-1078,200,123.96,19
Q-26052 ,2,MOUN-1018,2,193.16,21
Q-26053,1,SKF-6205-2RS1,2,4.6,4
Q-26053,2,MOUN-1034,100,40.52,30
Q-26053,3,MOUN-1018,2,173.84,20
Q-26054,1,CONV-1039,3,9171.31,26
Q-26054,2,TIMI-1030,6,105.56,28
Q-26055,1,AC-1033,1,1443.12,3
Q-26055,2,CONV-1052,2,4045.3,20
Q-26055,3,SPRO-1061,4,121.32,8
Q-26055,4,ROLL-1079,3,169.37,9
Q-26055,5,BRI-HHCS-0500-13-200-G8,200,63.1,20
Q-26056,1,TIM-LM11949-LM11910,6,8.96,15
Q-26056,2,SPRO-1087,10,58.54,26
Q-26056,3,SHEA-1068,5,274.97,16
Q-26056,4,AC-1085,5,480.61,16
Q-26057,1,CONV-1042,1,6261.67,18
Q-26058,1,GEAR-1067,3,667.19,5
Q-26058,2,GEAR-1060,3,4686.22,17
Q-26058,3,SHEA-1028,1,500.18,12
Q-26058,4,SHEA-1019,100,166.09,23
Q-26059,1,ROLL-1053,200,129.24,26
Q-26059,2,MOUN-1083,200,131.75,13
Q-26059,3,SHEA-1077,1,114.3,22
Q-26060,1,TIMI-1075,4,101.61,18
Q-26060,2,TIMI-1032,6,51.39,11
Q-26060,3,ROLL-1044,1,212.87,7
Q-26060,4,ROLL-1044,3,212.87,5
Q-26061,1,AC-1006,2,3707.1,3
Q-26061,2,MOUN-1034,2,45.02,11
Q-26061,3,CONV-1013,5,4415.38,16
Q-26061,4,AC-1085,2,534.01,27
Q-26061,5,SHEA-1072,1,148.86,4
Q-26062,1,SPRO-1061,25,109.19,17
Q-26062,2,AC-1057,1,1057.42,3
Q-26062,3,CONV-1051,5,5524.58,23
Q-26062,4,TIMI-1075,12,96.26,6
Q-26062,5,SHEA-1035,5,187.14,17
Q-26063,1,SPRO-1041,25,57.91,20
Q-26063,2,GEAR-1067,5,632.08,5
Q-26064,1,SPRO-1002,6,85.33,21
Q-26064,2,MOUN-1008,12,109.84,11
Q-26064,3,SPRO-1061,1,109.19,14
Q-26064,4,AC-1074,1,2484.73,17
Q-26065,1,SPRO-1050,10,17.99,17
Q-26065,2,SHEA-1068,1,305.52,18
Q-26066,1,CONV-1059,2,4637.35,23
Q-26066,2,CONV-1089,1,7019.91,15
Q-26066,3,SPRO-1087,200,58.54,8
Q-26066,4,SPRO-1027,1,91.94,6
