Quote Id,Rfq Id,Customer Id,Quote Date,Valid Until,Sales Rep Id,Status,Converted Order Id,Total
Q-26001,KBD-RFQ0001,KBD-CUST0026,2026-02-16,2026-03-18 ,E019,Won,SO-26004,35092.67
Q-26002,KBD-RFQ0002,KBD-CUST0011,2025-09-13,2025-10-13,E014,Won,SO-26015,547.97
Q-26003,KBD-RFQ0003,KBD-CUST0016,2025-11-20,2025-12-20,E016,Won,SO-26016,3485.84
Q-26004,KBD-RFQ0004,KBD-CUST0030,2026-02-14,2026-03-16,E023,Won,SO-26019,36329.43
Q-26005,KBD-RFQ0005,KBD-CUST0026,2025-08-01,2025-08-31,E019,Won,SO-26021,3664.64
Q-26006,KBD-RFQ0006,KBD-CUST0019,2025-08-08,2025-09-07,E017,Won,SO-26029,626.46
Q-26007,KBD-RFQ0007,KBD-CUST0026,2025-09-03,2025-10-03,E019,Won,SO-26041,19399.45
Q-26008,KBD-RFQ0008,KBD-CUST0025,2026-02-14,2026-03-16,E021,Won,SO-26044,22824.0
Q-26009,KBD-RFQ0009,KBD-CUST0013,2025-05-28,2025-06-27,E019,Won,SO-26048,7133.47
Q-26010,KBD-RFQ0010,KBD-CUST0022,2025-05-08,2025-06-07,E018,Won,SO-26049,18213.35
Q-26011,KBD-RFQ0011,KBD-CUST0022,2025-04-01,2025-05-01,E018,Won,SO-26050,32723.88
Q-26012,KBD-RFQ0012,KBD-CUST0005,2025-11-08,2025-12-08,E022,Won,SO-26052,38277.7
Q-26013,KBD-RFQ0013,KBD-CUST0032,01/12/2026,2026-02-11,E020,Won,SO-26057,21393.47
Q-26014,KBD-RFQ0014,KBD-CUST0031,"Apr 10, 2025",2025-05-10,E019,Won,SO-26059,17612.62
Q-26015,KBD-RFQ0015,KBD-CUST0014,2025-10-20,2025-11-19,E014,Won,SO-26060,10661.36
Q-26016,KBD-RFQ0016,KBD-CUST0015,2025-09-08,2025-10-08,E020 ,Won,SO-26064,1796.08
Q-26017,KBD-RFQ0017,KBD-CUST0020,2025-06-07,2025-07-07,E019,Won,SO-26073,12522.53
Q-26018,KBD-RFQ0018,KBD-CUST0017,2026-03-08,2026-04-07,E017 ,Won,SO-26086,12225.93
Q-26019,KBD-RFQ0019,KBD-CUST0019,2025-05-08,2025-06-07,E017,Won,SO-26090,17310.33
Q-26020,KBD-RFQ0020,KBD-CUST0026,2025-05-11,2025-06-10,E019,Won,SO-26095,460.0
Q-26021,KBD-RFQ0021,KBD-CUST0018,2025-11-15,2025-12-15,E014,Won,SO-26096,26258.02
Q-26022,KBD-RFQ0022,KBD-CUST0018,2025-07-25,2025-08-24,E014,Won,SO-26106,5760.36
Q-26023,KBD-RFQ0023,KBD-CUST0006,11/04/25,2025-12-04,E023,Won,SO-26109,19105.61
Q-26024,KBD-RFQ0024,KBD-CUST0015,2025-06-22,2025-07-22,E020,Won,SO-26111,23258.64
Q-26025,KBD-RFQ0025,KBD-CUST0020,2025-09-29,2025-10-29,E019,Won,SO-26116,7868.31
Q-26026,KBD-RFQ0026,KBD-CUST0007,2025-12-01,2025-12-31,E019,Won,SO-26117,22919.19
Q-26027,KBD-RFQ0027,KBD-CUST0028,2025-10-17,2025-11-16,E021,Won,SO-26118,6995.03
Q-26028,KBD-RFQ0028,KBD-CUST0016,2026-03-23,2026-04-22,E016,Won,SO-26125,2285.45
Q-26029,KBD-RFQ0029,KBD-CUST0025,2025-12-01,2025-12-31,E021,Won,SO-26126,15885.56
Q-26030,KBD-RFQ0030,KBD-CUST0014,09/01/2025,2025-10-01,E014,Won,SO-26128,30476.06
Q-26031,KBD-RFQ0031,KBD-CUST0017,2025-10-02,2025-11-01,E017,Won,SO-26144,6572.96
Q-26032,KBD-RFQ0032,KBD-CUST0012,2025-09-23 ,2025-10-23,E019,Won,SO-26162,229.17
Q-26033,KBD-RFQ0033,KBD-CUST0005,05/27/2025,2025-06-26,E022,Won,SO-26164,12922.76
Q-26034,KBD-RFQ0034 ,KBD-CUST0030,2025-11-04,2025-12-04 ,E023,Won,SO-26173,31711.4
Q-26035,KBD-RFQ0035,KBD-CUST0021,2026-01-06,2026-02-05,E016,Won,SO-26174,870.72
Q-26036,KBD-RFQ0036,KBD-CUST0014,2025-12-16,2026-01-15,E014,Won,SO-26180,32660.61
Q-26037,KBD-RFQ0037,KBD-CUST0024,11/01/25,2025-12-01,E022,Won,SO-26182,4056.67
Q-26038,KBD-RFQ0038,KBD-CUST0027,2025-05-30,2025-06-29,E022,Won,SO-26183,5831.5
Q-26039,KBD-RFQ0039 ,KBD-CUST0020,2026-02-01 ,2026-03-03,E019,Won,SO-26189,8908.78
Q-26040,KBD-RFQ0040,KBD-CUST0021,2025-04-22,2025-05-22,E016,Won,SO-26190,5363.69
Q-26041,KBD-RFQ0041,KBD-CUST0010,2025-04-24,2025-05-24,E018,Won,SO-26193,211.8
Q-26042,KBD-RFQ0042,KBD-CUST0011,2025-07-13,2025-08-12,E014,Won,SO-26203,3383.04
Q-26043,KBD-RFQ0043,KBD-CUST0007,2025-12-27,2026-01-26,E019,Won,SO-26208,4065.99
Q-26044,KBD-RFQ0044,KBD-CUST0003,2025-04-16,2025-05-16,E021,Won,SO-26210,9081.25
Q-26045,KBD-RFQ0045,KBD-CUST0029,10/24/2025,2025-11-23,E013,Won,SO-26215,19138.08
Q-26046,KBD-RFQ0046,KBD-CUST0006,2026-02-19,2026-03-21,E023,Won,SO-26220,1266.72
Q-26047,KBD-RFQ0047,KBD-CUST0011,2026-01-30,2026-03-01,E014,Won,SO-26221,14411.7
Q-26048,KBD-RFQ0048,KBD-CUST0018,03/19/26,2026-04-18,E014,Won,SO-26223,1593.21
Q-26049,KBD-RFQ0049,KBD-CUST0032,2025-11-29,2025-12-29,E020,Won,SO-26224,775.44
Q-26050,KBD-RFQ0050,KBD-CUST0004,2026-02-26,2026-03-28,E016,Won,SO-26228,1074.48
Q-26051,KBD-RFQ0051,KBD-CUST0032,2025-04-12,2025-05-12,E020,Won,SO-26237,146.77
Q-26052,KBD-RFQ0052,KBD-CUST0008,2025-09-03,2025-10-03,E014,Won,SO-26258,25178.32
Q-26053,KBD-RFQ0053,KBD-CUST0025,2026-03-08,2026-04-07 ,E021,Won,SO-26263,4408.88
Q-26054 ,KBD-RFQ0054,KBD-CUST0007,2025-11-02,2025-12-02,E019,Won,SO-26265,28147.29
Q-26055,KBD-RFQ0055,KBD-CUST0024,2025-10-24,2025-11-23,E022,Won,SO-26266,23147.11
Q-26056,KBD-RFQ0056,KBD-CUST0016,2026-01-28,2026-02-27,E016,Won,SO-26270,4417.06
Q-26057,KBD-RFQ0057,KBD-CUST0001,2025-04-16,2025-05-16,E018,Won,SO-26274,6261.67
Q-26058,KBD-RFQ0058,KBD-CUST0006,2025-09-27 ,2025-10-27,E023,Won,SO-26275,33169.41
Q-26059,KBD-RFQ0059,KBD-CUST0015,2025-07-16,2025-08-15,E020,Won,SO-26278,52312.3
Q-26060,KBD-RFQ0060,KBD-CUST0030,2025-12-26,2026-01-25,E023,Won,SO-26280,1566.26
Q-26061,KBD-RFQ0061,KBD-CUST0008,30-Aug-2025,2025-09-29,E014,Won,SO-26284,30798.02
Q-26062,KBD-RFQ0062,KBD-CUST0005,2025-08-19,2025-09-18,E022,Won,SO-26287,33500.89
Q-26063,KBD-RFQ0063,KBD-CUST0029,2026-02-02,2026-03-04,E013,Won,SO-26288,4608.15
Q-26064,KBD-RFQ0064,KBD-CUST0005,12/22/2025,2026-01-21,E022,Won,SO-26293,4423.98
Q-26065,KBD-RFQ0065,KBD-CUST0010,2026-01-15,2026-02-14,E018,Won,SO-26294,485.42
Q-26066,KBD-RFQ0066,KBD-CUST0031,2025-07-30,2025-08-29,E019,Won,SO-26296,43093.5
Q-26067,KBD-RFQ0067,KBD-CUST0003,2025-08-10,2025-09-09,E021,Won,SO-26297,12372.74
Q-26068,KBD-RFQ0068,KBD-CUST0025,2025-05-21,2025-06-20,E021,Won,SO-26298,15611.17
Q-26069,KBD-RFQ0069,KBD-CUST0004,2025-04-24,2025-05-24,E016,Won,SO-26299,4846.0
Q-26070,KBD-RFQ0070,KBD-CUST0006,2025-06-12,2025-07-12,E023,Won,SO-26301,15645.28
Q-26071,KBD-RFQ0071,KBD-CUST0001,2026-01-20,2026-02-19,E018,Won,SO-26304,1143.0
Q-26072,KBD-RFQ0072,KBD-CUST0015,2025-06-21,2025-07-21,E020,Won,SO-26306,5283.65
Q-26073,KBD-RFQ0073,KBD-CUST0007,2026-01-15,2026-02-14,E019,Won,SO-26307,10875.53
Q-26074,KBD-RFQ0074,KBD-CUST0011,2025-05-22,2025-06-21,E014,Won,SO-26312,323.66
Q-26075,KBD-RFQ0075,KBD-CUST0021,2026-03-23,2026-04-22,E016,Won,SO-26313,2253.8
Q-26076,KBD-RFQ0076,KBD-CUST0025,2026-01-09,2026-02-08,E021,Won,SO-26315,36019.84
Q-26077,KBD-RFQ0077,KBD-CUST0031,2025-06-09,2025-07-09,E019,Won,SO-26316,26537.61
Q-26078,KBD-RFQ0078,KBD-CUST0006,2025-12-26,2026-01-25,E023,Won,SO-26317,4752.54
Q-26079,KBD-RFQ0079,KBD-CUST0016,2025-09-30,2025-10-30,E016,Won,SO-26320,1972.25
Q-26080,KBD-RFQ0080,KBD-CUST0006,07/03/2025,2025-08-02,E023,Won,SO-26330,1246.48
Q-26081,KBD-RFQ0081,KBD-CUST0008,2025-05-28,2025-06-27,E014,Won,SO-26337,6504.0
Q-26082,KBD-RFQ0082,KBD-CUST0032,2025-11-22,2025-12-22,E020,Won,SO-26340,699.09
Q-26083,KBD-RFQ0083,KBD-CUST0003,2025-05-23,2025-06-22,E021,Won,SO-26344,26033.8
Q-26084,KBD-RFQ0084,KBD-CUST0030,2025-05-03,2025-06-02,E023,Won ,SO-26345,35481.01
Q-26085,KBD-RFQ0085,KBD-CUST0029,2025-11-05,2025-12-05,E013,Won,SO-26349,6792.96
Q-26086,KBD-RFQ0086,KBD-CUST0004,2026-01-23,2026-02-22,E016,Won,SO-26355,1864.79
Q-26087,KBD-RFQ0087,KBD-CUST0016,2025-06-27,2025-07-27,E016,Won,SO-26359,20430.17
Q-26088,KBD-RFQ0088,KBD-CUST0017,2025-10-30,2025-11-29,E017,Won,SO-26365,7086.52
Q-26089,KBD-RFQ0089,KBD-CUST0018,2025-07-01,2025-07-31,E014,Won,SO-26366,9447.5
Q-26090,KBD-RFQ0090,KBD-CUST0030,2026-01-06,2026-02-05,E023,Won ,SO-26367,32877.93
Q-26091,KBD-RFQ0091,KBD-CUST0021,2026-03-23,2026-04-22,E016,Won,SO-26374,1868.54
Q-26092,KBD-RFQ0092,KBD-CUST0026,2026-02-21,2026-03-23,E019,Won,SO-26380,4968.26
Q-26093,KBD-RFQ0093,KBD-CUST0021,2026-01-11,2026-02-10,E016,Won,SO-26394,3053.8
Q-26094,KBD-RFQ0094,KBD-CUST0016,2025-10-31,2025-11-30,E016,Won,SO-26404,40242.61
Q-26095,KBD-RFQ0095,KBD-CUST0014,2025-09-11,2025-10-11,E014,Won,SO-26405,4285.22
Q-26096,KBD-RFQ0096,KBD-CUST0025,2026-01-21,2026-02-20,E021,Won,SO-26412,1274.66
Q-26097,KBD-RFQ0097,KBD-CUST0005,2025-08-04,2025-09-03,E022,Won,SO-26424,15416.82
Q-26098,KBD-RFQ0098,KBD-CUST0028,"Jul 27, 2025",2025-08-26,E021,Won,SO-26426,15233.84
Q-26099,KBD-RFQ0099,KBD-CUST0021,2025-06-24,2025-07-24,E016,Won,SO-26427,1069.25
Q-26100,KBD-RFQ0100,KBD-CUST0030,2026-01-04,2026-02-03,E023,Won,SO-26430,16361.7
Q-26101,KBD-RFQ0101,KBD-CUST0010,2025-10-12,2025-11-11,E018,Won,SO-26434,4621.4
Q-26102,KBD-RFQ0102,KBD-CUST0010,2025-06-29,2025-07-29,E018,Won ,SO-26436,5008.48
Q-26103,KBD-RFQ0103,KBD-CUST0017,2025-08-22,2025-09-21,E017,Won,SO-26450,832.95
Q-26104,KBD-RFQ0104,KBD-CUST0015,"Jan 17, 2026",2026-02-16,E020,Won,SO-26457,22052.31
Q-26105,KBD-RFQ0105,KBD-CUST0018,2026-03-06,2026-04-05,E014,Won,SO-26463,14432.08
Q-26106,KBD-RFQ0106,KBD-CUST0018,2025-08-12,2025-09-11,E014,Won,SO-26469,1020.11
Q-26107,KBD-RFQ0107,KBD-CUST0023,2025-11-20,2025-12-20,E015 ,Won,SO-26470 ,8492.74
Q-26108,KBD-RFQ0108,KBD-CUST0026,2025-05-06,2025-06-05,E019,Won,SO-26473,3334.37
Q-26109,KBD-RFQ0109,KBD-CUST0018,2025-06-24,2025-07-24,E014,Won,SO-26476,9214.75
Q-26110,KBD-RFQ0110,KBD-CUST0021,2026-01-11,2026-02-10,E016,Won,SO-26479,4602.2
Q-26111,KBD-RFQ0111,KBD-CUST0030,2025-05-09,2025-06-08,E023,Won,SO-26490 ,23478.24
Q-26112,KBD-RFQ0112,KBD-CUST0015,2025-09-07,2025-10-07,E020,Won,SO-26498,27235.43
Q-26113,KBD-RFQ0113,KBD-CUST0007,12/27/25 ,2026-01-26,E019,Won,SO-26501,3368.38
Q-26114,KBD-RFQ0114,KBD-CUST0019,2026-01-17,2026-02-16,E017,Won,SO-26503,4186.87
Q-26115,KBD-RFQ0115,KBD-CUST0008,2025-09-12,2025-10-12,E014,Won,SO-26505,40805.47
Q-26116,KBD-RFQ0116,KBD-CUST0010,2026-01-14,2026-02-13,E018,Won,SO-26510,18935.82
Q-26117,KBD-RFQ0117,KBD-CUST0027,2025-08-26,2025-09-25,E022,Won,SO-26513,13739.09
Q-26118,KBD-RFQ0118,KBD-CUST0031,2025-08-31,2025-09-30,E019,Won,SO-26514,14231.29
Q-26119,KBD-RFQ0119,KBD-CUST0024,2025-11-01,2025-12-01,E022,Won,SO-26517,25406.92
