Po Number,Ack Date,Confirmed Total,Confirmed Ship Date,Method
PO-31002,2025-10-20,9351.72,2025-10-23,Email
PO-31003,11/26/2025,264433.87,2025-12-02,EDI 855
PO-31006 ,2025-05-03,43943.0,"May 31, 2025",Portal
PO-31008,2025-12-20,11931.49,2026-01-08,EDI 855
PO-31010,2025-08-08,292285.32,2025-08-21,EDI 855
PO-31011,2025-04-04,15236.0,2025-04-21,Email
PO-31012,2026-03-11,1052390.07,2026-04-01,Portal
PO-31013,2025-04-08,316913.68,2025-05-03,EDI 855
PO-31014,2026-02-12,338501.48,2026-02-17,Portal
PO-31015,2025-10-22,20734.7,2025-11-10,Portal
PO-31016,2025-09-15,26483.41,2025-09-19,Portal
PO-31018,2025-04-14,12877.8,27-Apr-2025,EDI 855
PO-31019,2025-12-18,8890.74,2026-01-04,Portal
PO-31021,2025-06-04,1254422.37,2025-06-13,Portal
PO-31022,2025-10-13,584487.23,2025-11-01,Portal
PO-31024,2025-09-21,6918.12,2025-09-28,Email
PO-31025,2025-07-08,94241.3,04-Aug-2025,Portal
PO-31026 ,2025-10-07,11932.8,2025-10-26,Email
PO-31027,2025-12-18,133645.7,2025-12-25,EDI 855
PO-31028,2026-03-03,48751.39,2026-03-22,EDI 855
PO-31029,2026-02-03,8255.74,2026-02-21,Email
PO-31031,2026-02-26,81363.5,2026-03-23,Portal
PO-31032,2025-06-09,355222.78,2025-06-12,EDI 855
PO-31033,2026-01-18,32101.14,2026-01-25,Portal
PO-31034,2026-01-07,42801.28,2026-01-07,EDI 855
PO-31035,2026-03-01,18563.74,2026-03-13,Portal
PO-31036 ,2026-03-23,8796.18,2026-04-07,Portal
PO-31037,2025-06-12,7582.68,2025-06-19,Email
PO-31038,2026-02-21,175062.0,03/11/2026,Portal
PO-31040,2025-07-09,74214.4,2025-07-16,EDI 855
PO-31041,2025-05-16,4147.24,"May 31, 2025",Portal
PO-31042,2025-12-01,4884.33,2025-12-06,Email
PO-31043,2025-11-24,33941.9,2025-12-10,Email
PO-31046,2026-02-06,12080.24,2026-02-12,EDI 855
PO-31048,2025-10-27,33564.22,2025-10-31,EDI 855
PO-31049,2025-12-23,32881.6,2026-01-17,EDI 855
PO-31050,2025-11-03,129436.78,2025-11-20,EDI 855
PO-31051,2025-09-01,25345.0,2025-09-26,Email
PO-31052,2025-06-09,3203.4,2025-07-04,Portal
PO-31053,2025-10-09,66656.66,2025-11-04,Email
PO-31054,2025-07-27,313345.47,2025-08-17,Portal
PO-31055,2025-08-15,441.45,2025-09-02,Portal
PO-31056,2025-08-15,69774.4,2025-08-21,Email
PO-31057,2025-12-05 ,384447.97,2025-12-28,Email
PO-31058,2026-03-07,900.25,2026-03-20,Email
PO-31059,2025-05-10,5672.5,2025-05-29,Email
PO-31060,05/25/25,664393.75,2025-05-31,Portal
PO-31061,2025-12-21,57345.73,2026-01-04,Email
PO-31062,2026-02-25,14253.5,03/12/2026,Email
PO-31063,2026-03-23,3217.24,2026-04-03,Email
PO-31064,2026-01-07,15550.15,2026-01-18,Portal
PO-31067,2025-05-30 ,20501.8,2025-06-21,EDI 855
PO-31070,2025-05-21,44198.06,2025-06-01,Portal
PO-31071,2025-10-28,59057.64,2025-11-24,Email
PO-31072,2026-02-13,245539.59,2026-03-05,EDI 855
PO-31073,2025-09-21,4888.3,2025-10-09,Portal
PO-31074,2025-08-19,36022.73,2025-09-04,Portal
PO-31075,2026-02-17,71898.5,2026-03-14,Portal
PO-31076,2025-07-12,314271.94,2025-07-22,Email
PO-31077,2025-07-07,550056.39,2025-07-25,Portal
PO-31078,2025-06-20,339911.57,2025-06-23,EDI 855
PO-31080,2025-06-03,681.05,2025-06-13,Portal
PO-31081,2025-07-26,25478.74,"Aug 05, 2025",Portal
PO-31082,2026-01-14,2474.0,2026-02-07,Portal
PO-31083,2025-08-02,414182.42,08/18/25,Portal
PO-31084,25-Jul-2025,531390.14,2025-08-06,EDI 855
PO-31086,2026-03-16,257433.68,2026-03-21,Email
PO-31087,2025-07-03 ,10604.0,2025-07-14,Portal
PO-31088,2026-04-01,46368.53,2026-04-20,EDI 855
PO-31089,13-Aug-2025,21942.5,2025-08-25,EDI 855
PO-31092,2025-07-31,1227.75,2025-08-03,EDI 855
PO-31093,2025-04-05,40284.9,2025-04-07,Email
PO-31094,2025-06-03,2879.2,2025-07-01,Portal
PO-31095,2026-01-07,5326.74,2026-01-17,Portal
PO-31098,2025-07-22,633866.76,2025-08-07,Portal
PO-31099,2025-04-22,29299.4,2025-04-29,Email
PO-31100,2026-03-01,51593.5,2026-03-22,Email
PO-31101,2025-07-09,22413.36,2025-07-15,EDI 855
PO-31102,2025-05-03,31856.8,2025-05-12,Portal
PO-31103,2025-08-10,55951.3,2025-08-23,EDI 855
PO-31105,21-Nov-2025,50863.33,2025-12-18,EDI 855
PO-31106,2025-07-07,32441.6,2025-07-13,Portal
PO-31108,2026-01-19,1040794.28,2026-02-06,Email
PO-31110,2026-02-26,8880.34,2026-03-14,Email 
PO-31111,2026-01-16,1649579.19,2026-02-10,EDI 855
PO-31112,2025-12-26,1016921.25,2026-01-20,Portal
PO-31113,2026-01-01,4559.56,12-Jan-2026,Portal
PO-31114,2026-03-07 ,3861.05,"Mar 14, 2026",Email
PO-31115,2025-11-16,83296.9,2025-11-26,EDI 855
PO-31116,12/26/25,258.15,22-Jan-2026,Email
PO-31117,2026-01-24,26686.2,2026-02-21,EDI 855
PO-31118,2026-01-28,257683.0,"Feb 21, 2026",Portal
PO-31121,2025-08-04,12994.0,2025-08-23,Portal
PO-31122,2025-10-14,363594.04,2025-11-08,Email
PO-31123,2025-10-24,17294.6,2025-10-29,EDI 855
PO-31124,"Jun 24, 2025",12112.26,2025-07-21,EDI 855
PO-31125,2025-12-05,5657.6,12/20/2025,Email
PO-31127,2025-05-15,274756.25,2025-05-19,EDI 855
PO-31129,2025-09-02,307201.44,2025-09-12,EDI 855
PO-31131,2025-09-21,356456.49,2025-10-13,EDI 855
PO-31132,2025-07-30,160663.62,2025-08-14,Portal
PO-31133,2025-05-19 ,91429.0,2025-05-28,EDI 855 
PO-31134,2025-07-31,31278.3,2025-08-24,Portal
PO-31135,08/09/2025,49949.2,"Aug 16, 2025",Portal
PO-31136,2025-08-23,436367.5,2025-09-06,Email
PO-31137,2025-09-03,7875.15,2025-10-02,EDI 855
PO-31138,2025-06-04,993452.84,2025-07-03,EDI 855
PO-31140,11/07/25,41904.58,2025-11-16,EDI 855
PO-31141,2025-12-12,17526.64,2025-12-28,Portal
PO-31142,2025-10-13,60925.92,2025-11-06,Portal
PO-31143,2025-04-23,208291.2,2025-05-18,Portal
PO-31144,2025-06-03 ,38633.4,2025-06-22,Email
PO-31146,2025-04-29,23403.76,2025-05-17,Email
PO-31148,2025-05-24,216208.2,2025-06-20,Portal
PO-31149,"Feb 24, 2026",406224.05,2026-03-05,Email
PO-31150,2025-09-30,282998.94,2025-10-23,Portal
PO-31151,2025-10-08,76821.51,2025-10-15,EDI 855
PO-31153,2025-04-15,564236.44,2025-05-09,Email
PO-31155,2025-06-15,3543.6,2025-06-25,EDI 855
PO-31156,2025-08-10,280486.81,2025-09-02,Email
PO-31157,2026-02-25,1755.4,2026-02-25,Portal
PO-31158,2026-03-19,236652.75,2026-04-01,EDI 855
PO-31160,2025-12-03,82676.3,12/04/25,Email
PO-31161,2025-05-28,1968.0,2025-06-24 ,Portal
PO-31162,2025-12-29,319612.5,2026-01-10,EDI 855
PO-31163,2025-06-09,73242.04,2025-06-30,Email
PO-31164,07-Dec-2025,311773.68,2026-01-02,EDI 855
PO-31165,2026-01-17,29823.28,2026-02-13,Portal
PO-31166,2026-02-28,39639.34,17-Mar-2026,EDI 855
PO-31167,2025-10-10,6133.55,2025-10-24,EDI 855
PO-31170,2025-06-08,41611.62,25-Jun-2025,EDI 855
PO-31171,2025-09-30,1148.0,2025-10-10,EDI 855
PO-31172,2025-08-29,74536.98,09-Sep-2025,EDI 855
PO-31173,2025-10-21,2379.3,2025-10-26,Email
PO-31175,12/01/2025,689650.98,2025-12-26,Email
PO-31176,2025-10-02,393612.52,"Oct 28, 2025",Portal
PO-31177,2026-03-08,141781.44,2026-03-18,Email
PO-31178,2026-01-25,15586.99,2026-02-09,Portal
PO-31179,2026-01-02,85801.2,2026-01-25,EDI 855
PO-31180,2025-05-12,155559.09,2025-05-26 ,Portal
PO-31182,2025-12-24,7331.2,2025-12-30,Email
PO-31183,2025-11-14,90390.0,2025-12-07,Portal
PO-31184,2025-09-16,266356.47,21-Sep-2025,EDI 855
PO-31185,2026-02-14,22939.36,2026-03-07,EDI 855
PO-31186,2025-06-20,6870.8,2025-07-08,EDI 855
PO-31187,2025-11-29,5512.38,2025-12-02,Portal
PO-31189,2025-08-23,14852.0,2025-08-23,Portal
PO-31190,2025-12-30,8195.08,2026-01-23,Email
PO-31191,2025-09-06,659300.35,2025-09-06,Email
PO-31192,2026-02-10,37275.71,2026-02-23,Email
PO-31193,2025-11-02,328926.69,2025-11-07,EDI 855
PO-31194,"Aug 24, 2025",360753.85,09/11/2025,EDI 855
PO-31196,2025-09-26,9351.72,2025-09-27,Email
PO-31197,09/03/25,83988.6,2025-09-28,Email
PO-31198,2025-05-21,60853.45,2025-06-11,Email
PO-31199,2025-06-28,22268.55,2025-07-17,Portal
PO-31200,2025-05-04,155925.39,2025-05-07,Email
PO-31201,2025-10-12,55653.48,2025-11-09,EDI 855
PO-31202,2025-07-20,15631.35,2025-07-23,Email
PO-31203,2025-10-29,1667.4,2025-11-08,Portal
PO-31204,2025-10-19,216563.2,2025-11-02,Portal
PO-31206,2025-10-11,26388.7,2025-11-07,EDI 855
PO-31208,2026-01-29,1152811.78,2026-02-23,Portal
PO-31209,2026-03-14,107137.16,2026-03-17,Portal
PO-31210,03/29/26,6542.54,2026-04-17 ,EDI 855
PO-31211,2025-04-16,1314045.14,2025-05-12,EDI 855
PO-31212,2026-02-05,702881.64,2026-02-21,Email
PO-31213,2025-06-04,151543.99,2025-06-06,Portal
