Po Number,Line,Item Id,Description,Manufacturer Part Number,Ordered Qty,Uom,Price,Extended Cost,Need By Date,Promised Date,Received Qty,Line Status,Gl Account
PO-31001,1,TIMI-1014,Timing Belt 1.000,R36113,189,EA,49.480000000000004,9351.72,2026-03-17,2026-03-17,189,Received,1230
PO-31002,1,TIMI-1014,Timing Belt 1.000,R36113,189,EA,49.480000000000004,9351.72,2025-11-26,2025-11-26,189,Received,1230
PO-31003,1,ROLL-1012,Roller Chain ANSI 2.000,L28546,182,EA,47.52,8648.64,2025-12-25,"Dec 27, 2025",182,Received,1230
PO-31003,2,GEAR-1010,Gear Reducer 1.375,A41776,85,EA,2784.15,236652.75,2025-12-29,2025-12-29,85,Received,1230
PO-31003,3,ROLL-1044,Roller Chain ANSI #80,A27272,136,EA,140.68,19132.48,2026-01-03,2026-01-03,136,Received,1230 
PO-31004,1,SHEA-1088,Sheave / Pulley 1/4-20,L25703,500,EA,189.79,94895.0,2025-09-16,2025-09-16,500,Received,1230
PO-31004,2,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2025-09-12,2025-09-14,130,Received,1230
PO-31004,3,SPRO-1027,Sprocket 1/4-20,K15825,500,EA,77.98,38990.0,2025-09-03,09/03/2025,500,Received,1230
PO-31004,4,SPRO-1027,Sprocket 1/4-20,K15825,183,EA,77.98,14270.34,2025-09-03,2025-09-03,0,Open,1230
PO-31005,1,HEN-243,"Threadlocker 243 medium strength blue, 50 mL",243,100,EA,22.1,2210.0,2025-11-16,2025-11-16,100,Received,6700
PO-31005,2,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.05,340.2,2025-11-29,29-Nov-2025,84,Received,6700
PO-31005,3,HEN-243,"Threadlocker 243 medium strength blue, 50 mL",243,500,EA,21.88,10940.0,2025-11-16,2025-11-16,500,Received,6700
PO-31005,4,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog ,SF401AF,100,EA,4.05,405.0,2025-11-29,2025-11-29,0,Open,6700
PO-31006,1,SHEA-1037,Sheave / Pulley 1.375,R78752,50,EA,99.06,4953.0,2025-05-28,2025-05-28,50,Received,1230
PO-31006,2,SPRO-1027,Sprocket 1/4-20,K15825,500,EA,77.98,38990.0,2025-05-19,05/19/25,500,Received,1230
PO-31007,1,ULI-S-4123,"Corrugated box 12x12x12, 25/bd",S-4123,170,BD,31.0,5270.0,2026-03-06,2026-03-08,170,Received,1200
PO-31007,2,SPRO-1041,Sprocket M6,R97964,100,EA,35.35,3535.0,03/26/26,2026-03-28,100,Received,1230
PO-31008,1,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,101,EA,81.74,8255.74,2026-01-06,2026-01-11,101,Received,1230
PO-31008,2,SHEA-1035,Sheave / Pulley 1.000,D8005,25,EA,147.03,3675.75,2026-01-29,2026-01-29,25,Received,1230 
PO-31009,1,HEN-243,"Threadlocker 243 medium strength blue, 50 mL",243,240,EA,22.1,5304.0,2025-10-19,2025-10-19,240,Received,6700
PO-31009,2,KIM-G10,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,281,BX,11.4,3203.4,2025-11-05,2025-11-07,281,Received,6700
PO-31009,3,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.05,340.2,2025-11-01,2025-11-01,84,Received,6700
PO-31009,4,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.25,357.0,2025-11-01 ,2025-11-01,84,Received ,6700
PO-31010,1,GAT-B62,Hi-Power II V-belt B62,B62,289,EA,12.7,3670.3,2025-08-12,2025-08-12,289,Received,1230 
PO-31010,2,GAT-B62,Hi-Power II V-belt B62,B62,289,EA,12.7,3670.3,2025-08-12,2025-08-12,0,Open,1230
PO-31010,3,GEAR-1016,Gear Reducer size 6,R82188,122,EA,2265.26,276361.72,09/07/2025,09/07/25,122,Received,1230
PO-31010,4,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,100,EA,85.83,8583.0,2025-08-28,2025-08-28,100,Received,1230
PO-31011,1,AC-1040,AC Motor TEFC #50,L98065,25,EA,609.44,15236.0,2025-05-02,2025-05-04,25,Received,1230
PO-31012,1,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2026-03-22,2026-03-24,179,Received,1230
PO-31012,2,GEAR-1080,Gear Reducer #60,R61870,500,EA,1573.39,786695.0,2026-03-22,2026-03-22,0,Open,1230
PO-31013,1,SPRO-1050,Sprocket 5/16-18,K95916,500,EA,12.85,6425.0,2025-04-26,2025-04-26,500,Received,1230
PO-31013,2,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2025-05-13 ,2025-05-13,0,Open,1230 
PO-31013,3,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2025-05-13,2025-05-13,142,Received,1230
PO-31014,1,AC-1033 ,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2026-03-17,2026-03-17,142,Received,1230
PO-31014,2,AC-1033,AC Motor TEFC 3/4-10,L32810,25,EA,1093.27,27331.75,03/17/26,2026-03-19,25,Received,1230
PO-31014,3,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,12.85,681.05,"Feb 28, 2026",2026-02-28,53,Received,1230
