Po Number,Supplier Id,Supplier Name,Po Date,Buyer Id,Payment Terms,Ship Via,Freight Terms,Po Total,Po Status,Approved By,Sent Method
PO-31001,KBD-V013,Motion Industries,2026-02-05,E012,Net 30,LTL - Estes,FOB Destination,9351.72,Closed,E012,Email PDF
PO-31002,KBD-V013,Motion Industries,2025-10-17,E011,Net 30,LTL - Estes,Prepaid & Add,9351.72,Closed ,E011,EDI 850
PO-31003,KBD-V009,Haas Automation,2025-11-24,E012,Net 30,FedEx Ground,FOB Origin,264433.87,Closed,E001,Supplier Portal
PO-31004,KBD-V017,Sandvik Coromant,2025-08-18,E012,Net 30,FedEx Ground,FOB Destination,161033.14,Open,E001,Phone
PO-31005,KBD-V007,GRAINGER,2025-11-12,E011,Net 30,Will Call,Prepaid & Add,13895.2,Open,E001,Phone
PO-31006,KBD-V017,Sandvik Coromant,2025-05-03,E011,Net 30,FedEx Ground,Prepaid & Add,43943.0,Closed,E001,Email PDF
PO-31007,KBD-V018,Uline,2026-02-21,E012,Net 30,Supplier Truck,FOB Origin,8805.0,Closed,E012,Supplier Portal
PO-31008,KBD-V010,Kaman Industrial Technologies,2025-12-17,E012,Net 30,Supplier Truck,FOB Destination,11931.49,Closed,E001,Email PDF
PO-31009,KBD-V007,GRAINGER,"Oct 15, 2025",E012,Net 30,Supplier Truck,Collect,9204.6,Closed,E012,Phone
PO-31010,KBD-V010,Kaman Industrial Technologies,2025-08-08,E012,Net 30,UPS Ground,Prepaid & Add,292285.32,Open,E001,EDI 850
PO-31011,KBD-V012,McMaster-Carr,2025-04-02,E012,Net 30,FedEx Ground,Prepaid & Add,15236.0,Closed,E001,Phone
PO-31012,KBD-V014,Parker Hannifin,03/09/2026,E011,Net 45,UPS Ground,Prepaid & Add,1052390.07,Open,E001,Supplier Portal
PO-31013,KBD-V004,Baldor-Reliance (ABB),2025-04-08,E012,Net 45,UPS Ground,FOB Destination,316913.68,Open,E001,Email PDF
PO-31014,KBD-V004,Baldor-Reliance (ABB),2026-02-10,E011,Net 45,LTL - Estes,FOB Destination,338501.48,Closed,E001,EDI 850
PO-31015,KBD-V015,Regal Rexnord,2025-10-21,E012,Net 45,FedEx Ground,FOB Origin,20734.7,Closed,E001,Phone
PO-31016,KBD-V002,Apex Fastener Corp,2025-09-12,E012,Net 30,FedEx Ground,FOB Destination,26483.41,Closed,E001,Phone
PO-31017,KBD-V006,Fastenal,2025-04-17,E012,Net 30,UPS Ground,Prepaid & Add,37280.06,Open,E001,Phone
PO-31018,KBD-V017,Sandvik Coromant,2025-04-11,E012,Net 30,UPS Ground,Prepaid & Add,12877.8,Closed,E001,EDI 850
PO-31019,KBD-V010,Kaman Industrial Technologies,2025-12-16,E011,Net 30,FedEx Ground,FOB Destination,8890.74,Closed,E011,Supplier Portal 
PO-31020,KBD-V005,Brighton-Best International,2025-12-01,E011,Net 30,Supplier Truck,FOB Destination,52306.4,Closed ,E001,Phone
PO-31021,KBD-V005,Brighton-Best International,2025-06-01,E011,Net 30,LTL - Estes,Prepaid & Add,1217885.8,Closed,E001,Phone
PO-31022,KBD-V004,Baldor-Reliance (ABB),2025-10-11,E011,Net 45,FedEx Ground,Collect,584487.23,Open,E001,Phone
PO-31023,KBD-V009,Haas Automation,2026-01-21,E011,Net 30,FedEx Ground,FOB Destination,28019.32,Closed,E001,Email PDF
PO-31024,KBD-V011,MSC Industrial Supply,2025-09-21,E012,Net 30,FedEx Ground,Prepaid & Add,6918.12,Closed,E012,Email PDF
PO-31025,KBD-V008,Garlock Sealing Technologies,2025-07-05,E011,Net 30,LTL - Estes,FOB Destination,94241.3,Closed,E001,EDI 850
PO-31026,KBD-V003,Applied Industrial Technologies,2025-10-04,E011,Net 30 ,UPS Ground,FOB Destination,11932.8,Closed,E001,Phone 
PO-31027,KBD-V008,Garlock Sealing Technologies,2025-12-17,E011,Net 30,Supplier Truck,FOB Origin,133645.7,Open,E001,Phone
