Supplier Quote Id,Supplier Id,Item Id,Quote Date,Quoted Unit Cost,Min Order Qty,Lead Time Days,Valid Until,Awarded
KBD-SQ0001,KBD-V005,DOD-TXT315,2025-10-05,1121.0,50,11,2026-05-10,N
KBD-SQ0002,KBD-V006,DOD-TXT315,2026-01-26,1333.4,50,6,2026-07-24,N
KBD-SQ0003,KBD-V017,GEAR-1066,2025-09-25,1193.82,10,13,2026-05-20,N
KBD-SQ0004,KBD-V011,GEAR-1066,2025-07-06,1447.82,10,45,2026-06-24,N
KBD-SQ0005,KBD-V013,MOUN-1031,2025-10-11,43.43,50,8,2026-05-04,N
KBD-SQ0006,KBD-V018,MOUN-1031,2025-07-28,39.17,1,30,2026-06-13,N
KBD-SQ0007,KBD-V016,GEAR-1010,2026-02-22,2644.94,10,37,2026-05-23,N
KBD-SQ0008,KBD-V001,GEAR-1010,06-Jul-2025,2561.42,10,4,2026-05-12,N
KBD-SQ0009,KBD-V007,ROLL-1079,2025-11-29,111.89,50,38,2026-04-21,N
KBD-SQ0010,KBD-V001,ROLL-1079,2025-07-11,110.86,50,22,2026-06-26,Y
KBD-SQ0011,KBD-V004,GEAR-1016,2025-12-09,2174.65,50,16,2026-05-07,N
KBD-SQ0012,KBD-V003,GEAR-1016,2025-10-04,2491.79,50,3,2026-05-09,N
KBD-SQ0013,KBD-V012,ROLL-1044,2025-10-30,130.83,1,42,2026-07-10,N
KBD-SQ0014,KBD-V009,ROLL-1044,2026-03-26,132.24,100,16,2026-05-30,Y
KBD-SQ0015,KBD-V018,GEAR-1067,2025-09-05,493.11,50,3,2026-05-11,N
KBD-SQ0016,KBD-V001,GEAR-1067,2026-03-18,518.01,25,33,2026-06-06,Y
KBD-SQ0017,KBD-V002,SPRO-1041,26-Jun-2025,38.89,100,17,2026-05-20,N
KBD-SQ0018,KBD-V012,SPRO-1041,2025-07-04,41.36,1,13,2026-07-01,N
KBD-SQ0019,KBD-V017,TIMI-1071,2026-02-07,71.86,50,4,2026-07-11,N
KBD-SQ0020,KBD-V009,TIMI-1071,2025-11-21,81.59,25,39,2026-06-25,N
KBD-SQ0021,KBD-V005,SKF-6308-2Z,2025-12-04,11.89,1,18,2026-07-10,N
KBD-SQ0022,KBD-V003,SKF-6308-2Z,2025-10-12,10.04,25,10,2026-06-26,Y
KBD-SQ0023,KBD-V012,TIMI-1058,2025-06-13,90.36,50,3,2026-04-28,N
KBD-SQ0024,KBD-V004,TIMI-1058,2025-06-20,90.36,10,20,2026-05-06,N
KBD-SQ0025,KBD-V016,SPRO-1055,2026-02-24,29.36,100,19,2026-06-23,Y
KBD-SQ0026,KBD-V002,SPRO-1055,2026-01-22,30.98,100,21,2026-07-16,N
KBD-SQ0027,KBD-V011,AC-1054,2026-02-02,1974.87,100,12,2026-07-06,N
KBD-SQ0028,KBD-V002,AC-1054,2025-08-19,1865.15,1,23,2026-05-28,N
KBD-SQ0029,KBD-V005,KIM-G10,2026-03-27,13.11,50,9,2026-04-17,N
KBD-SQ0030,KBD-V015,KIM-G10,2026-02-22,11.51,1,39,2026-05-26,N
KBD-SQ0031,KBD-V017,AC-1074,16-Jan-2026,1929.24,1,37,2026-05-17,N
KBD-SQ0032,KBD-V012,AC-1074,2026-01-02,1596.61,25,30,2026-04-15,N
KBD-SQ0033,KBD-V012,SIG-SF18-80,2026-02-07,28.54,100,17,2026-05-11,N
KBD-SQ0034,KBD-V006,SIG-SF18-80,2025-11-12,26.57,1,27,2026-06-21,N
KBD-SQ0035,KBD-V001 ,SKF-6205-2RS1,2025-10-17,3.98,25,37,2026-04-27,N
KBD-SQ0036,KBD-V018,SKF-6205-2RS1,2026-02-10,4.08,25,25,2026-07-02,N
KBD-SQ0037,KBD-V011,SPRO-1002 ,2025-10-23,77.69,50,14,2026-06-06,N
KBD-SQ0038,KBD-V018,SPRO-1002,2025-07-21,71.77,1,39,2026-04-15,Y
KBD-SQ0039,KBD-V011,3M-SF401AF,03/25/2026,4.5,100,3,2026-05-17,N
KBD-SQ0040,KBD-V014,3M-SF401AF,06/11/25,4.33,50,23,2026-06-19,N
KBD-SQ0041,KBD-V009,MOUN-1008,2025-08-24,78.25,10,8,2026-05-22,N
KBD-SQ0042,KBD-V005,MOUN-1008,12-Dec-2025,73.94,50,35,2026-04-16,N
KBD-SQ0043,KBD-V007,GEAR-1084,2025-08-10,3456.0,50,32,2026-06-21,N
KBD-SQ0044,KBD-V012,GEAR-1084,2025-08-28,3317.76,10,44,2026-06-02,N
KBD-SQ0045,KBD-V006,ULI-S-4123,2025-06-01,35.96,10,9,2026-06-18 ,N
KBD-SQ0046,KBD-V015,ULI-S-4123,2025-10-01,29.14,100,6,2026-05-25,N
KBD-SQ0047,KBD-V012,TIMI-1020,2026-03-17,53.59,50,13,2026-07-16,N
KBD-SQ0048,KBD-V004,TIMI-1020,2025-12-18,57.75,50,40,2026-04-20,N
KBD-SQ0049,KBD-V014,ROLL-1053,2025-12-22,83.52,25,26,2026-07-03,N 
KBD-SQ0050,KBD-V010,ROLL-1053,2025-09-19,92.13,10,13,2026-07-27,N
