Asn Id,Po Number,Supplier Id,Ship Date,Carrier,Tracking Number,Cartons,Weight Lb
ASN-PO-31007,PO-31007,KBD-V018,2026-03-04,Supplier Truck,368926405130,5,498
ASN-PO-31008,PO-31008,KBD-V010,2026-01-07,Supplier Truck,909807821998,6,241
ASN-PO-31011,PO-31011,KBD-V012,"May 07, 2025",FedEx Ground,575640715372,2,293
ASN-PO-31013,PO-31013,KBD-V004 ,2025-04-22,UPS Ground,1Z3276379881,10,524
ASN-PO-31014,PO-31014,KBD-V004,2026-03-15,LTL - Estes,335303498882,10,886
ASN-PO-31015,PO-31015,KBD-V015,2025-11-25,FedEx Ground,147811754039,9,488
ASN-PO-31016,PO-31016,KBD-V002,2025-10-22,FedEx Ground,662129131212,8,218
ASN-PO-31017,PO-31017,KBD-V006,2025-05-08,UPS Ground,1Z7964917955,3,856
ASN-PO-31020,PO-31020,KBD-V005,2025-12-30,Supplier Truck,732842666238,1,298
ASN-PO-31022,PO-31022,KBD-V004,2025-11-13,FedEx Ground,208342630232,8,588
ASN-PO-31024,PO-31024,KBD-V011,2025-09-26,FedEx Ground,631060174807,2,413
ASN-PO-31025,PO-31025,KBD-V008,2025-07-10,LTL - Estes,240573356935,1,895
ASN-PO-31028,PO-31028,KBD-V018,2026-03-18,UPS Ground,1Z3620656637,1,726
ASN-PO-31030,PO-31030,KBD-V017,2025-05-10,Supplier Truck,232029813000,5,570
ASN-PO-31031,PO-31031,KBD-V002,2026-03-19,Supplier Truck,406493188252,4,331
ASN-PO-31032,PO-31032,KBD-V005,2025-06-27,Will Call,758487284828,11,881
ASN-PO-31033,PO-31033,KBD-V017,2026-02-11,Supplier Truck,898355185203,3,243
ASN-PO-31034,PO-31034,KBD-V005,2026-01-07,UPS Ground,1Z8608540134,12,362
ASN-PO-31035,PO-31035,KBD-V013,2026-03-29,Will Call,784984035096,12,221
ASN-PO-31040,PO-31040,KBD-V011,"Jul 10, 2025",FedEx Ground,779217439314,9,564
ASN-PO-31042,PO-31042,KBD-V004,2025-12-21,FedEx Ground,682012001094,10,499
ASN-PO-31045,PO-31045,KBD-V011,08/19/25,LTL - Estes,314490399800,5,573
ASN-PO-31046,PO-31046,KBD-V010,2026-02-25,FedEx Ground,377615279198,11,592
ASN-PO-31049,PO-31049,KBD-V012,2026-01-08,Supplier Truck,864295758635,1,817
