As Of Date,Supplier Id,Supplier Invoice Number,Invoice Date,Due Date,Open Amount,Aging Bucket,Hold Reason
03/31/26,KBD-V013,INV4184275,2026-03-19,2026-04-18,9351.72,Current,
2026-03-31,KBD-V018,91928070,2026-03-10,2026-04-09,8805.0,Current,
2026-03-31,KBD-V014,INV4057929,2026-03-24,05/08/26,265698.44,Current,
2026-03-31,KBD-V004,8265890,2026-03-22,"May 06, 2026",338501.48,Current,
2026-03-31,KBD-V009,96256531,2026-02-28,"Mar 30, 2026",28019.32,1-30,
31-Mar-2026,KBD-V018,92029408,2026-03-26,2026-04-25,30593.7,Current,
2026-03-31,KBD-V010,9358121,2026-03-01,2026-03-31,8255.74,Current,
2026-03-31,KBD-V002,SI4515505,2026-03-27,2026-04-26,81363.5,Current,
2026-03-31,KBD-V017,INV5342354,02/14/2026,2026-03-16,23185.74,1-30,
2026-03-31,KBD-V013,7559349,2026-04-07,2026-05-07,2132.25,Current,
2026-03-31,KBD-V016,3259015,2026-04-03,2026-05-18,511.86,Current,
2026-03-31,KBD-V012,91661172,2026-03-26,2026-04-25,162539.6,Current,
2026-03-31,KBD-V010,SI4442108,2026-03-03,2026-04-02,12080.24,Current,
2026-03-31,KBD-V018,4562271,10-Mar-2026,2026-04-09,4868.6,Current,
2026-03-31,KBD-V011,646076,2026-04-05,2026-05-05 ,3313.9,Current,
2026-03-31,KBD-V009,SI4471251,2026-03-16,2026-04-15,8886.84,Current,
2026-03-31,KBD-V012,1177837,11-Mar-2026,2026-04-10,72003.01,Current,
2026-03-31,KBD-V013,93294665,2026-02-27,03/29/26,2484.83,1-30,
2026-03-31,KBD-V003,91347766,04/01/2026,2026-05-01,253700.0,Current,
2026-03-31,KBD-V017,3456834,2026-03-31,2026-04-30,7096.18,Current,
2026-03-31,KBD-V013,SI6435742,2026-04-06,2026-05-06,4804.31,Current,
03/31/2026,KBD-V011,SI1798694,2026-03-24,2026-04-23,50980.0,Current,
2026-03-31,KBD-V005,98083799,2026-03-05,2026-04-04,1040794.28,Current,
2026-03-31,KBD-V014,SI6444561,2026-03-29,2026-05-13,8948.38,Current,
2026-03-31,KBD-V001,SI9255157,2026-02-25,2026-03-27,1649579.19,1-30,
2026-03-31,KBD-V004,7461611,2026-03-30,2026-05-14,3861.05,Current,
2026-03-31,KBD-V013,SI2517757,2026-03-13,2026-04-12,26730.85,Current,
2026-03-31 ,KBD-V003,9259945,2026-02-17,2026-03-19,260791.3,1-30,Price variance
2026-03-31,KBD-V012,INV726543,2026-03-02,2026-04-01,145196.64,Current,
2026-03-31,KBD-V018 ,109103,2026-04-04,2026-05-04,2368.45,Current,
2026-03-31,KBD-V018,91551864,2026-03-10,04/09/26,373304.05,Current,
2026-03-31,KBD-V002,SI6466811,"Mar 28, 2026",2026-04-27,877.7,Current,
2026-03-31,KBD-V009,SI1558178,2026-04-05,2026-05-05,116934.3,Current,
2026-03-31,KBD-V005,4996299,2026-02-23,2026-03-25,29823.28,1-30,
"Mar 31, 2026",KBD-V018,95876187,2026-03-14,2026-04-13,26190.34,Current,
2026-03-31,KBD-V009,SI1575334,2026-04-04,2026-05-04,21987.64,Current,
2026-03-31,KBD-V009,97579869,2026-03-08,2026-04-07,707.0,Current,Price variance
"Mar 31, 2026 ",KBD-V018,95248089,2026-03-24,23-Apr-2026,31168.13,Current,
2026-03-31,KBD-V008 ,INV3472357,2026-03-07,2026-04-06,30100.9,Current,Price variance
2026-03-31,KBD-V010,SI9859808,2026-03-06,2026-04-05,1152811.78,Current,
2026-03-31,KBD-V005,INV6781275,"Apr 04, 2026",2026-05-04,32205.94,Current,
2026-03-31,KBD-V004,91360287,15-Mar-2026,2026-04-29,702560.39,Current,
2026-03-31,KBD-V009,SI6235817,2026-03-03,2026-04-02,6798.0,Current,
2026-03-31,KBD-V005,SI3015425,2026-02-20,2026-03-22,428671.78,1-30,
2026-03-31,KBD-V005,INV1531737,02/19/26,2026-03-21,336723.56,1-30,
2026-03-31,KBD-V001,8513875,2026-04-02 ,05/02/26,249990.0,Current,
2026-03-31,KBD-V017,92367300,2026-03-19,2026-04-18,31581.97,Current,
2026-03-31,KBD-V009 ,99208006,2026-03-07,2026-04-06,37468.53,Current,
2026-03-31,KBD-V002,1501403,2026-03-29,"Apr 28, 2026",11096.37,Current,
2026-03-31,KBD-V010 ,92294328,2026-02-15,2026-03-17,94244.15,1-30,Price variance
03/31/2026,KBD-V007,INV6742790,2026-04-07,2026-05-07,1766.1,Current,
2026-03-31,KBD-V013,99706485,2026-02-28 ,2026-03-30,28055.16,1-30,
2026-03-31,KBD-V012,INV2470614,2026-02-27,"Mar 29, 2026",12522.4,1-30,
