Payment Id,Supplier Id,Supplier Invoice Number,Payment Date,Amount,Method,Check Number,Bank Account
KBD-APP00001,KBD-V013,95662838,2025-12-31 ,9463.25,ACH,,1000
KBD-APP00002,KBD-V009,98303346,2026-01-23,264694.13,ACH,,1000
KBD-APP00003,KBD-V017,INV4465502,27-Oct-2025,147406.3,ACH,,1000
KBD-APP00004,KBD-V007,379957,2025-12-17,13589.08,Check,,1000
KBD-APP00005,KBD-V017,96298620,2025-07-06,43976.68,Check,,1000
KBD-APP00006,KBD-V010,8560081,2026-02-09,11931.49,Check,26244,1000
KBD-APP00007,KBD-V007,3623313,2025-11-29,9204.6,ACH,25777,1000
KBD-APP00008,KBD-V010,93995405,2025-09-28,288782.5,Check,16271,1000
KBD-APP00009,KBD-V012,92327789,06/11/2025,15249.78,Card,,1000
KBD-APP00010,KBD-V004,3069796,2025-06-21,161669.34,Check,13011,1000
KBD-APP00011,KBD-V015,SI4073147,2026-01-14,20734.7,ACH,,1000
KBD-APP00012,KBD-V002,INV3820000 ,2025-12-02,26483.41,Card,,1000
KBD-APP00013,KBD-V006,8152743,2025-06-10,29281.0,Check,12941,1000
KBD-APP00014,KBD-V017,SI4483768,2025-06-06,12896.87,Check ,25650,1000
KBD-APP00015,KBD-V010,SI7146057,2026-02-03 ,8890.74,Card,13444,1000
KBD-APP00016,KBD-V005,98219681,2026-02-09,52306.4,ACH,,1000
KBD-APP00017,KBD-V005,379297,2025-08-06,1218003.31,Card,,1000
KBD-APP00018,KBD-V004,2538793,14-Jan-2026,506865.06,Check,,1000
KBD-APP00019,KBD-V011,93769357,2025-11-15,6968.05,Check,,1000
KBD-APP00020,KBD-V008,INV2640916,2025-08-19,94241.3,Card,,1000
KBD-APP00021,KBD-V003,SI7604679,2026-01-02,11932.8,ACH,,1000
KBD-APP00022,KBD-V008,SI3056949,2026-02-17,114663.8,ACH,,1000
KBD-APP00023,KBD-V017,INV6348124,2025-06-23,53402.99,Check,,1000
KBD-APP00024 ,KBD-V005,INV7694626,2025-07-27 ,313346.71,ACH,,1000
KBD-APP00025,KBD-V005,SI8848852,2026-02-17,42955.22,Card,,1000 
KBD-APP00026,KBD-V008,SI631213,08/19/2025,7582.68,ACH,,1000
KBD-APP00027,KBD-V011,INV7348332,2025-08-14,74281.38,Card,,1000
KBD-APP00028,KBD-V003,99200340,2025-07-01,4182.74,ACH,13167,1000
KBD-APP00029,KBD-V004,2405897,2026-02-08,4884.33,Check,,1000
KBD-APP00030,KBD-V018,INV7638244,2026-01-03,33941.9,ACH,23677,1000
KBD-APP00031,KBD-V009,SI4061254,2026-01-27,278415.0,ACH,,1000
KBD-APP00032,KBD-V011,95977332,2025-10-03,30344.64,ACH,,1000
KBD-APP00033,KBD-V003,INV9660187,2026-03-02,843788.75,Check,12243,1000
KBD-APP00034,KBD-V011,SI9033609,01/01/26,33841.22,Card,17204,1000
KBD-APP00035,KBD-V012,5648433,2026-02-11,26620.4,ACH,21558,1000
KBD-APP00036,KBD-V017,SI4693485,2025-12-27,129436.78,ACH,,1000
KBD-APP00037,KBD-V009,INV5740380,2025-11-17,25345.0,ACH,28372,1000
KBD-APP00038,KBD-V007,96832322,2025-08-05,3203.4,ACH,,1000
KBD-APP00039,KBD-V013,INV3391737,2025-12-24,67068.97,Check ,27545,1000
KBD-APP00040,KBD-V006,91637374,2025-09-07,307201.44,ACH,11194,1000
KBD-APP00041,KBD-V007,1684698,2025-10-18,441.45,Card,,1000
KBD-APP00042,KBD-V017,SI2123422,2025-10-21,69500.27,Check,28723,1000
KBD-APP00043,KBD-V005,INV206319,02/06/26,384447.97,ACH,,1000
KBD-APP00044,KBD-V018,SI7699281,2025-07-07,5699.54,Card,,1000
KBD-APP00045,KBD-V014,94566515,2025-07-21,672186.25,ACH,,1000
KBD-APP00046,KBD-V015,INV9233430,03/16/26,56512.03,ACH,,1000
KBD-APP00047,KBD-V018,4670772,2026-02-26,15557.99,Card,21531,1000
KBD-APP00048,KBD-V004,8305112,2025-07-10,315827.33,ACH,18844,1000
KBD-APP00049,KBD-V007,6947904,2025-11-20,5984.4,ACH,,1000
KBD-APP00050,KBD-V015,INV5558310,2025-08-30,20976.8,Card,14024,1000
KBD-APP00051,KBD-V005,SI9802172,11/08/25,185117.78,Card,25676,1000
KBD-APP00052,KBD-V018,99058267,2025-11-23,9384.9,Card,,1000
KBD-APP00053,KBD-V018,9837104,2025-07-10,44198.06,Check,,1000
KBD-APP00054,KBD-V015,INV3066238,2026-01-11,59057.64,Check,,1000
KBD-APP00055,KBD-V011,3279767,2025-11-27,4888.3,Card,25456,1000
KBD-APP00056,KBD-V018,SI1658736,2025-10-31,36022.73,Check,13857,1000
KBD-APP00057,KBD-V006,96901149,2025-09-12,320629.1,Check,15612,1000
KBD-APP00058,KBD-V014,INV9588895,2025-09-07 ,550056.39,ACH,,1000
KBD-APP00059,KBD-V014,INV2218397,2025-08-20,265695.07,ACH,23937,1000
KBD-APP00060,KBD-V010,94757308,02/23/26,315358.18,Card,,1000
KBD-APP00061,KBD-V004,4758210,2025-08-13,681.05,ACH,16723,1000
KBD-APP00062,KBD-V015,SI6624399,2025-10-29 ,11252.1,Check,16143,1000
KBD-APP00063,KBD-V018,SI3304553,2025-10-11,414182.42,ACH,,1000
KBD-APP00064,KBD-V014,92876398,2025-10-01,265695.07,ACH,21329,1000
KBD-APP00065,KBD-V009,5821287,2026-01-02,480415.15,ACH,13923,1000
KBD-APP00066,KBD-V011,SI9755882,2025-09-02,10604.0,ACH,,1000
KBD-APP00067,KBD-V002,INV6468586,2025-10-22,21942.5,Card,,1000 
KBD-APP00068,KBD-V013,7597081,2025-08-25,14018.7,ACH,25377,1000
KBD-APP00069,KBD-V004,SI5134844,2025-11-04,367467.18,Card,,1000
KBD-APP00070,KBD-V007,96217029,2025-09-29,1257.05,Check,,1000
KBD-APP00071,KBD-V013,95753238,2025-06-23,40284.9,Check,29923,1000
KBD-APP00072,KBD-V007,6878908,2025-07-12,2893.45,ACH,,1000
KBD-APP00073,KBD-V016,INV2881961,2026-03-24,5326.74,ACH,,1000
KBD-APP00074,KBD-V003,4084421,2025-11-27,249504.3,ACH,,1000
KBD-APP00075,KBD-V006,SI9769797,2025-08-31,633967.13,Check,18927,1000
KBD-APP00076,KBD-V008,98341182 ,2025-06-07,29465.87,Check,20354,1000
KBD-APP00077,KBD-V002,95318323,2025-09-24,18024.86,Card,,1000
KBD-APP00078,KBD-V017,9394749,2025-07-05,31985.03,ACH,19720,1000
KBD-APP00079,KBD-V008,SI2061471,2025-10-10,55984.44,ACH,,1000
KBD-APP00080,KBD-V010,97342566,2025-08-08,293947.34,Card,,1000
KBD-APP00081,KBD-V017,6013528,01/29/2026,51034.41,Card,14359,1000
KBD-APP00082,KBD-V013,7473736,2025-09-25,32468.15,ACH,,1000
KBD-APP00083,KBD-V017,99749431,2025-06-08,13263.9,Card,23707,1000
KBD-APP00084,KBD-V013,95802295,2025-09-25,4310.08,ACH,28525,1000
KBD-APP00085,KBD-V014,94368276,2026-03-07,1016921.25,ACH,21755,1000
KBD-APP00086,KBD-V016,INV2818920,2026-03-31,4559.56,ACH,,1000
KBD-APP00087,KBD-V001,4380612,2026-01-22,83296.9,ACH,,1000
KBD-APP00088,KBD-V015,9342146,2026-03-05,258.15,ACH,,1000 
KBD-APP00089,KBD-V003,2082537,2025-11-18,17778.8,Card,,1000
KBD-APP00090,KBD-V018,94060450,2025-09-12,12994.0,Check,,1000
KBD-APP00091,KBD-V005,INV5541275,2025-12-18,363594.04,Card,18286,1000
KBD-APP00092,KBD-V012,5299984,2025-12-25,17294.6,ACH,,1000
KBD-APP00093,KBD-V002,5890986,2025-08-25,12112.26,ACH,,1000
KBD-APP00094,KBD-V018,SI6772560,2026-01-12,5657.6,Check,,1000
KBD-APP00095,KBD-V004,96041340,2025-09-09,110021.66,ACH,,1000
KBD-APP00096,KBD-V014,SI3260903,2025-07-27 ,274756.25,ACH,22490,1000
KBD-APP00097,KBD-V017 ,99004703,2026-01-16,19495.0,Card,15097,1000
KBD-APP00098,KBD-V006,92595741,2025-10-06,316417.92,Check,,1000
KBD-APP00099,KBD-V011,INV8069868,2025-07-26,11104.08,Card,,1000
KBD-APP00100,KBD-V001,91844964,2025-11-21 ,356609.72,ACH,,1000
