Receipt Id,Po Number,Po Line,Item Id,Received Qty,Uom,Lot Number,Bin Location,Putaway By,Qc Status
RCV-40001,PO-31001,1,TIMI-1014,189,EA,,A-37-3,E035,Accepted
RCV-40002,PO-31002,1,TIMI-1014,189,EA,,A-11-5,E033,Accepted
RCV-40003,PO-31003,1,ROLL-1012,182,EA,,F-13-5,E029,Accepted
RCV-40003,PO-31003,2,GEAR-1010,85,EA,,E-09-2,E031,Accepted
RCV-40003,PO-31003,3,ROLL-1044,136,EA,,F-08-1,E035,Accepted
RCV-40004,PO-31004,1,SHEA-1088,500,EA,,C-19-2,E026,Accepted
RCV-40004,PO-31004,2,SHEA-1037,130,EA,,C-30-1,E026,Accepted
RCV-40004,PO-31004,3,SPRO-1027,500,EA,,E-28-2,E032,Accepted
RCV-40005,PO-31005,1,HEN-243,100,EA,,B-34-2,E031,Accepted
RCV-40005,PO-31005,2,3M-SF401AF,84,EA,,B-12-5,E030,Accepted
RCV-40005,PO-31005,3,HEN-243,500,EA,,E-15-3,E030,Accepted
RCV-40006,PO-31006,1,SHEA-1037,50,EA,,E-24-3,E027 ,Accepted
RCV-40006,PO-31006,2,SPRO-1027,500,EA,,D-11-4,E029,Accepted
RCV-40007,PO-31007,1,ULI-S-4123,170,BD,,B-05-2,E035,Accepted
RCV-40007 ,PO-31007,2,SPRO-1041,100,EA,,E-13-5,E026,Accepted
RCV-40008,PO-31008,1,ROLL-1021,101,EA,,F-24-5,E038,Accepted
RCV-40008,PO-31008,2,SHEA-1035,25,EA,,E-10-1,E028,Accepted
RCV-40009,PO-31009,1,HEN-243,240,EA,,F-14-5,E031,Hold
RCV-40009,PO-31009,2,KIM-G10,281,BX,,C-36-2,E029,Accepted
RCV-40009,PO-31009,3,3M-SF401AF,84,EA,,F-20-2,E028,Accepted
RCV-40009,PO-31009,4,3M-SF401AF,84,EA,,A-37-2,E037,Accepted
RCV-40010,PO-31010,1,GAT-B62,289,EA,,D-37-2,E037,Accepted
RCV-40010,PO-31010,3,GEAR-1016,122,EA,,D-29-2,E028,Accepted
RCV-40010,PO-31010,4,ROLL-1021,100,EA,,E-18-4,E028,Accepted
RCV-40011,PO-31011,1,AC-1040,25,EA,,F-19-4 ,E028,Accepted
RCV-40012,PO-31012,1,GEAR-1080,179,EA,,B-27-2,E029,Accepted
RCV-40013,PO-31013,1,SPRO-1050,500,EA,,A-15-1,E028,Accepted
RCV-40013,PO-31013,3,AC-1033,142,EA,,D-33-4,E039,Accepted
RCV-40014,PO-31014,1,AC-1033,142,EA,,E-14-4,E039,Accepted
RCV-40014,PO-31014,2,AC-1033,25,EA,,E-13-4,E038,Accepted
RCV-40014,PO-31014,3,SPRO-1050,53,EA,,A-14-4,E033,Accepted
RCV-40014,PO-31014,4,AC-1033 ,142,EA,,B-31-2 ,E032,Accepted
RCV-40015,PO-31015,1,MOUN-1018,95,EA,,E-29-1,E028,Accepted
RCV-40015,PO-31015,2,MOUN-1018 ,95,EA,,B-07-5,E034,Accepted
RCV-40016,PO-31016,1,ROLL-1026,50,EA,,F-32-1,E038,Accepted
RCV-40016,PO-31016,2,TIMI-1000,10,EA,,C-22-5,E037,Accepted
RCV-40016,PO-31016,3,MOUN-1083,138,EA,,B-39-2,E037,Accepted
RCV-40016,PO-31016,4,SPRO-1087,167,EA,,C-11-1,E034,Accepted
RCV-40017,PO-31017,1,SPRO-1011,148,EA,,F-13-4,E026,Accepted
RCV-40017,PO-31017,2,BRI-HHCS-0500-13-200-G8,79,BX,,C-10-1,E026,Accepted
RCV-40017,PO-31017,3,SPRO-1069,70,EA,,A-40-2,E028,Accepted
RCV-40018,PO-31018,1,SHEA-1037,130,EA,,F-21-5,E036,Accepted
RCV-40019,PO-31019,1,ROLL-1021,101,EA,,E-29-2,E035,Accepted
RCV-40019,PO-31019,2,GAT-B62,50,EA,,F-30-2,E039,Accepted
RCV-40020,PO-31020,1,SHEA-1045,169,EA,,D-23-5,E037,Accepted
RCV-40020,PO-31020,2,SHEA-1003,10,EA,,D-27-2,E037,Accepted
RCV-40020,PO-31020,3,AC-1048,24,EA,,B-36-2,E036,Accepted
RCV-40021,PO-31021,1,SHEA-1038,10,EA,,F-10-2,E028,Accepted
RCV-40021,PO-31021,2,AC-1048,100,EA,,C-19-1,E033,Accepted
RCV-40021,PO-31021,3,GEAR-1073,500,EA,,E-23-2,E038,Accepted
RCV-40021,PO-31021,4,AC-1063,25,EA,,F-03-1,E037,Accepted
RCV-40022,PO-31022,1,AC-1033,250,EA,,E-22-1,E036,Accepted
RCV-40022,PO-31022,2,AC-1033,71,EA,,B-39-4,E034,Accepted
RCV-40022,PO-31022,3,AC-1033,142,EA,,C-10-5,E029,Accepted
RCV-40022,PO-31022,4,SPRO-1050,53,EA,,C-13-3,E037,Accepted
RCV-40023,PO-31023,1,MOUN-1029,103,EA,,F-28-5,E036,Accepted
RCV-40023,PO-31023,2,ROLL-1044,136,EA,,E-23-2,E032,Accepted
RCV-40024,PO-31024,1,SHEA-1064,23,EA,,D-14-2,E028 ,Accepted
RCV-40024,PO-31024,2,MOUN-1008,52,EA,,B-25-5,E030,Accepted
RCV-40025,PO-31025,1,SHEA-1049,100,EA,,C-13-5,E028,Accepted
RCV-40025,PO-31025,2,SHEA-1049,191,EA,,F-14-4,E039,Accepted
RCV-40025,PO-31025,3,SHEA-1068,105,EA,,E-39-1,E037,Accepted
RCV-40025,PO-31025,4,MOUN-1081,500,EA,,B-07-4,E029,Accepted
RCV-40026,PO-31026,1,SPRO-1015,160,EA,,D-28-3,E034,Accepted
RCV-40027,PO-31027,1,SHEA-1068,105,EA,,C-30-2,E036,Accepted
RCV-40027,PO-31027,3,SHEA-1068,105,EA,,A-13-1,E034,Accepted
