Receipt Id,Po Number,Supplier Id,Receipt Date,Received By,Packing Slip Number,Carrier,Condition,Inspection Required
RCV-40001,PO-31001,KBD-V013,2026-03-17,E032,PS336783,LTL - Estes,OK,N
RCV-40002,PO-31002,KBD-V013,2025-11-29,E035,PS654363,LTL - Estes,OK,N
RCV-40003,PO-31003,KBD-V009,2025-12-28,E034,PS552120,FedEx Ground,OK,N
RCV-40004,PO-31004,KBD-V017,2025-09-20,E028,PS620535,FedEx Ground,OK,N
RCV-40005,PO-31005,KBD-V007,2025-11-17,E027,PS183680,Will Call,Short vs packing slip,N
RCV-40006,PO-31006,KBD-V017,28-May-2025,E039,PS565235,FedEx Ground,Damaged carton - contents OK,N
RCV-40007,PO-31007,KBD-V018,03/07/26,E029,PS707532,Supplier Truck,OK,N
RCV-40008,PO-31008,KBD-V010,2026-01-08,E031,PS231125,Supplier Truck,OK,N
RCV-40009,PO-31009,KBD-V007,2025-10-22,E035,PS855374,Supplier Truck,OK,N
RCV-40010,PO-31010,KBD-V010,2025-08-15,E037,PS731443,UPS Ground,OK,N
RCV-40011,PO-31011,KBD-V012,08-May-2025,E031,PS352120,FedEx Ground,OK,N
RCV-40012,PO-31012,KBD-V014,2026-03-24,E027,PS692052,UPS Ground,OK,N
RCV-40013,PO-31013,KBD-V004,2025-04-26,E028,PS113891,UPS Ground,OK,N
RCV-40014,PO-31014,KBD-V004,2026-03-18,E034,PS764420,LTL - Estes,OK,N
RCV-40015,PO-31015,KBD-V015,2025-11-26,E038,PS769047,FedEx Ground,OK,N
RCV-40016,PO-31016,KBD-V002 ,2025-10-26,E039,PS654980,FedEx Ground,OK,N
RCV-40017,PO-31017,KBD-V006,2025-05-09,E030,PS143877,UPS Ground,OK ,N
RCV-40018,PO-31018,KBD-V017,2025-05-07,E032,PS180456,UPS Ground,OK,N
RCV-40019,PO-31019,KBD-V010,2026-01-03,E032,PS359552,FedEx Ground,OK,N
RCV-40020,PO-31020,KBD-V005 ,2026-01-02,E027,PS151416,Supplier Truck,Short vs packing slip,N
RCV-40021,PO-31021,KBD-V005,2025-07-02,E027,PS676932,LTL - Estes,OK,N
RCV-40022 ,PO-31022,KBD-V004,2025-11-16,E039,PS403824,FedEx Ground,OK,N
RCV-40023,PO-31023,KBD-V009,2026-02-22,E036,PS906451,FedEx Ground,OK,N
RCV-40024,PO-31024,KBD-V011,2025-09-30 ,E034,PS646356,FedEx Ground,OK,N
RCV-40025,PO-31025,KBD-V008,2025-07-12,E035,PS775190,LTL - Estes,OK,N
RCV-40026,PO-31026,KBD-V003,2025-11-18,E034,PS714838,UPS Ground,Damaged carton - contents OK,N
RCV-40027,PO-31027,KBD-V008,2026-01-15,E039,PS468060,Supplier Truck,OK,N
RCV-40028,PO-31028,KBD-V018,2026-03-19,E029,PS446235,UPS Ground,OK,N
RCV-40029,PO-31029,KBD-V010,2026-02-26,E036,PS269609,UPS Ground,Short vs packing slip,N
RCV-40030,PO-31030,KBD-V017,2025-05-11,E038,PS187270,Supplier Truck,OK,N
RCV-40031,PO-31031,KBD-V002,2026-03-23,E028,PS606940,Supplier Truck,Damaged carton - contents OK,N
RCV-40032,PO-31032,KBD-V005 ,06/28/2025,E035,PS301152,Will Call,OK,N
RCV-40033,PO-31033,KBD-V017,2026-02-12,E039,PS897111,Supplier Truck,OK,N
RCV-40034,PO-31034,KBD-V005,2026-01-09,E038,PS579896,UPS Ground,OK,N
RCV-40035,PO-31035,KBD-V013,03/31/26,E034,PS772696,Will Call,OK,N
RCV-40036,PO-31036,KBD-V016,2026-03-31,E032,PS107896,Will Call,Short vs packing slip,N
RCV-40037,PO-31037,KBD-V008,2025-07-08,E039,PS360372,Supplier Truck,OK,N
RCV-40038,PO-31038,KBD-V012,2026-03-21,E032,PS850870,UPS Ground,OK,N
RCV-40039,PO-31040,KBD-V011,2025-07-12,E032 ,PS195422,FedEx Ground,OK,N
RCV-40040,PO-31041,KBD-V003,06/03/25,E039,PS639836,Supplier Truck,OK,N
RCV-40041,PO-31042,KBD-V004,2025-12-24,E036,PS659285,FedEx Ground,OK,N
RCV-40042,PO-31043,KBD-V018,2025-12-04,E036,PS909880,UPS Ground,Damaged carton - contents OK,N
RCV-40043,PO-31044,KBD-V009,2025-12-22,E026,PS759907,UPS Ground,OK,N
RCV-40044,PO-31045,KBD-V011,2025-08-22,E034,PS574573,LTL - Estes,OK,N
RCV-40045,PO-31046,KBD-V010 ,2026-02-26,E035,PS549376,FedEx Ground,Short vs packing slip,N
RCV-40046,PO-31047,KBD-V003,2026-01-24,E035,PS568208,Will Call,OK,N
RCV-40047,PO-31048,KBD-V011,2025-11-23,E027,PS126975,LTL - Estes,OK,N
RCV-40048,PO-31049,KBD-V012,2026-01-12,E039,PS945001,Supplier Truck,Damaged carton - contents OK,N
RCV-40049,PO-31050,KBD-V017,2025-11-28,E033,PS354899,LTL - Estes,OK,N
RCV-40050,PO-31051,KBD-V009,2025-10-11,E034,PS356496,FedEx Ground,OK,N
RCV-40051,PO-31052,KBD-V007,2025-06-26,E038,PS371515,UPS Ground,OK,N
RCV-40052,PO-31053,KBD-V013,2025-11-19,E037,PS795698,Will Call,OK,N
RCV-40053,PO-31054,KBD-V006,2025-07-30,E039,PS190938,UPS Ground,OK,N
RCV-40054,PO-31055,KBD-V007,2025-09-05,E037,PS376901,LTL - Estes,OK,N
RCV-40055 ,PO-31056,KBD-V017,2025-09-16,E036,PS167066 ,Will Call,Short vs packing slip,N
RCV-40056,PO-31057,KBD-V005,2026-01-05,E038,PS294726,LTL - Estes,Short vs packing slip,N
RCV-40057,PO-31059,KBD-V018,2025-06-08,E032,PS889946,LTL - Estes,Short vs packing slip,N
RCV-40058,PO-31060,KBD-V014,2025-06-07,E038,PS612788,Will Call,Damaged carton - contents OK,N
RCV-40059,PO-31061,KBD-V015,2026-01-13,E037,PS644360,FedEx Ground,Damaged carton - contents OK,N
RCV-40060,PO-31062,KBD-V018,03/03/2026,E033,PS276342,Will Call,OK,N
RCV-40061,PO-31063,KBD-V011,2026-03-31,E037,PS225843,FedEx Ground,Damaged carton - contents OK,N
