Supplier Invoice Number,Po Number,Po Line,Item Id,Invoiced Qty,Unit Price,Extended
INV4184275,PO-31001,1,TIMI-1014,189,49.480000000000004,9351.72
95662838,PO-31002,1,TIMI-1014,189,49.480000000000004,9351.72
98303346,PO-31003,1,ROLL-1012,182,48.95,8908.9
98303346,PO-31003,2,GEAR-1010,85,2784.15,236652.75
98303346,PO-31003,3,ROLL-1044,136,140.68,19132.48
INV4465502,PO-31004,1,SHEA-1088,500,189.79,94895.0
INV4465502,PO-31004,2,SHEA-1037,130,104.01,13521.3
INV4465502,PO-31004,3,SPRO-1027,500,77.98,38990.0
379957,PO-31005,1,HEN-243,100,22.1,2210.0
379957,PO-31005,2,3M-SF401AF,84,4.05,340.2
379957,PO-31005,3,HEN-243,500,21.88,10940.0
96298620,PO-31006,1,SHEA-1037,50,99.06,4953.0
96298620,PO-31006,2,SPRO-1027,500,77.98,38990.0
91928070,PO-31007 ,1,ULI-S-4123,170,31.0,5270.0
91928070,PO-31007,2,SPRO-1041,100,35.35,3535.0
8560081,PO-31008,1,ROLL-1021,101,81.74,8255.74
8560081,PO-31008,2,SHEA-1035,25,147.03,3675.75
3623313,PO-31009,1,HEN-243,240,22.1,5304.0
3623313,PO-31009,2,KIM-G10 ,281,11.4,3203.4
3623313,PO-31009,3,3M-SF401AF,84,4.05,340.2
3623313,PO-31009 ,4,3M-SF401AF,84,4.25,357.0
93995405,PO-31010,1,GAT-B62,289,12.7,3670.3
93995405,PO-31010,3,GEAR-1016,122,2265.26,276361.72
93995405,PO-31010,4,ROLL-1021,100,85.83,8583.0
92327789,PO-31011,1,AC-1040,25,609.44,15236.0
INV4057929,PO-31012,1,GEAR-1080,179,1484.33,265695.07
3069796,PO-31013,1,SPRO-1050,500,12.85,6425.0
3069796,PO-31013,3,AC-1033,142,1093.27,155244.34
8265890,PO-31014,1,AC-1033,142,1093.27,155244.34
8265890,PO-31014,2,AC-1033,25,1093.27,27331.75
8265890,PO-31014,3,SPRO-1050 ,53,12.85,681.05
8265890 ,PO-31014,4,AC-1033,142,1093.27,155244.34
SI4073147,PO-31015,1,MOUN-1018,95,109.13,10367.35
SI4073147 ,PO-31015,2,MOUN-1018,95,109.13,10367.35
INV3820000,PO-31016,1,ROLL-1026,50,129.92000000000002,6496.0
INV3820000,PO-31016,2,TIMI-1000,10,43.53,435.3
INV3820000,PO-31016,3,MOUN-1083,138,87.77,12112.26
INV3820000,PO-31016,4,SPRO-1087,167,44.550000000000004,7439.85
8152743,PO-31017,1,SPRO-1011,148,118.48,17535.04
8152743,PO-31017,2,BRI-HHCS-0500-13-200-G8,79,46.54,3676.66
8152743,PO-31017,3,SPRO-1069,70,113.96,7977.2
SI4483768,PO-31018,1,SHEA-1037,130,99.06,12877.8
SI7146057,PO-31019,1,ROLL-1021,101,81.74,8255.74
SI7146057,PO-31019,2,GAT-B62,50,12.7,635.0
98219681,PO-31020,1,SHEA-1045,169,47.68,8057.92
98219681,PO-31020,2,SHEA-1003,10,235.72,2357.2
98219681,PO-31020,3,AC-1048,24,1745.47,41891.28
379297,PO-31021,1,SHEA-1038,10,295.28000000000003,2952.8
379297,PO-31021,2,AC-1048,100,1745.47,174547.0
379297,PO-31021,3,GEAR-1073,500,1996.91,998455.0
379297,PO-31021,4,AC-1063,25,1677.24,41931.0
2538793,PO-31022,1,AC-1033,250,1093.27,273317.5
2538793,PO-31022,2,AC-1033,71,1093.27,77622.17
2538793,PO-31022,3,AC-1033,142,1093.27,155244.34
2538793,PO-31022,4,SPRO-1050,53,12.85,681.05
96256531,PO-31023,1,MOUN-1029,103,86.28,8886.84
96256531,PO-31023,2,ROLL-1044,136,140.68,19132.48
93769357,PO-31024,1,SHEA-1064,23,138.48,3185.04
93769357,PO-31024,2,MOUN-1008,52,71.79,3733.08
INV2640916,PO-31025,1,SHEA-1049,100,153.4,15340.0
INV2640916,PO-31025,2,SHEA-1049,191,153.4,29299.4
INV2640916,PO-31025,3,SHEA-1068,105,180.78,18981.9
