Supplier Invoice Number,Supplier Id,Supplier Name,Po Number,Invoice Date,Received Date,Due Date,Merchandise Total,Freight,Sales Tax,Invoice Total,Gl Account,Status,Match Status,Entered By
INV4184275,KBD-V013,Motion Industries,PO-31001,2026-03-19,2026-03-19,2026-04-18,9351.72,0.0,0.0,9351.72,2000,Approved,Matched,E002 
95662838,KBD-V013,Motion Industries,PO-31002,2025-11-30,2025-12-03,2025-12-30,9351.72,111.53,0.0,9463.25,2000,Paid,Matched ,E002
98303346,KBD-V009,Haas Automation,PO-31003,2025-12-28,2025-12-29,2026-01-27,264694.13,0.0,0.0,264694.13,2000,Paid,Price variance,E002
INV4465502,KBD-V017,Sandvik Coromant,PO-31004,2025-09-24,2025-09-27,2025-10-24,147406.3,0.0,0.0,147406.3,2000,Paid,Price variance,E002
379957,KBD-V007,GRAINGER,PO-31005,2025-11-22,2025-11-22,2025-12-22,13490.2,98.88,0.0,13589.08,2000,Paid,Matched,E002
96298620,KBD-V017,Sandvik Coromant,PO-31006,2025-05-29,29-May-2025,2025-06-28,43943.0,33.68,0.0,43976.68,2000,Paid,Matched,E002
91928070,KBD-V018,Uline,PO-31007,2026-03-10,2026-03-14,2026-04-09,8805.0,0.0,0.0,8805.0,2000,Approved,Matched,E002
8560081,KBD-V010,Kaman Industrial Technologies,PO-31008,2026-01-12,"Jan 13, 2026",2026-02-11,11931.49,0.0,0.0,11931.49,2000,Paid,Matched,E002
3623313,KBD-V007,GRAINGER,PO-31009,2025-10-27,2025-11-01,11/26/25,9204.6,0.0,0.0,9204.6,2000,Paid,Matched,E002
93995405,KBD-V010,Kaman Industrial Technologies,PO-31010,08/20/2025,2025-08-22,2025-09-19,288615.02,167.48,0.0,288782.5,2000,Paid,Matched,E002
92327789,KBD-V012,McMaster-Carr,PO-31011,2025-05-09,2025-05-09,08-Jun-2025,15236.0,13.78,0.0,15249.78,2000,Paid,Matched,E002
INV4057929,KBD-V014,Parker Hannifin,PO-31012,2026-03-24,2026-03-26,2026-05-08,265695.07,3.37,0.0,265698.44,2000,Approved,Matched,E002
3069796,KBD-V004,Baldor-Reliance (ABB),PO-31013,2025-05-03,2025-05-06,2025-06-17,161669.34,0.0,0.0,161669.34,2000,Paid,Matched,E002
8265890,KBD-V004,Baldor-Reliance (ABB),PO-31014,2026-03-22,2026-03-24,2026-05-06,338501.48,0.0,0.0,338501.48,2000,Approved,Matched,E002
SI4073147,KBD-V015,Regal Rexnord,PO-31015,2025-11-27,2025-12-01,2026-01-11,20734.7,0.0,0.0,20734.7,2000,Paid,Matched,E002
INV3820000,KBD-V002,Apex Fastener Corp,PO-31016,2025-11-02,2025-11-03,2025-12-02,26483.41,0.0,0.0,26483.41,2000,Paid,Matched,E002
8152743,KBD-V006,Fastenal,PO-31017,2025-05-13,2025-05-16,2025-06-12,29188.9,92.1,0.0,29281.0,2000,Paid,Matched,E002
SI4483768,KBD-V017,Sandvik Coromant,PO-31018,2025-05-07,2025-05-10,2025-06-06,12877.8,19.07,0.0,12896.87,2000,Paid,Matched,E002
SI7146057,KBD-V010,Kaman Industrial Technologies,PO-31019,"Jan 08, 2026",2026-01-12,2026-02-07,8890.74,0.0,0.0,8890.74,2000,Paid,Matched,E002
98219681,KBD-V005,Brighton-Best International,PO-31020,2026-01-09,2026-01-09,2026-02-08,52306.4,0.0,0.0,52306.4,2000,Paid,Matched,E002
