Supplier Invoice Number,Po Number,Receipt Id,Po Amount,Received Amount,Invoiced Amount,Variance,Result,Tolerance Pct,Resolved
INV4184275,PO-31001,RCV-40001,9351.72,9351.72,9351.72,0.0,Matched,2.0,Y 
95662838,PO-31002,RCV-40002,9351.72,9351.72,9351.72,0.0,Matched,2.0,Y
98303346,PO-31003,RCV-40003,264433.87,264433.87,264694.13,260.26,Price variance,2.0,Y
INV4465502,PO-31004,RCV-40004,146762.8,146762.8,147406.3,643.5,Price variance,2.0,Y
379957,PO-31005,RCV-40005,13490.2,13490.2,13490.2,0.0,Matched,2.0,Y
96298620,PO-31006,RCV-40006,43943.0,43943.0,43943.0,0.0,Matched,2.0,Y
91928070,PO-31007,RCV-40007,8805.0,8805.0,8805.0,0.0,Matched,2.0,Y
8560081,PO-31008,RCV-40008,11931.49,11931.49,11931.49,0.0,Matched,2.0,Y
3623313,PO-31009,RCV-40009,9204.6,9204.6,9204.6,0.0,Matched,2.0,Y
93995405,PO-31010,RCV-40010,288615.02,288615.02,288615.02,0.0,Matched,2.0,Y
92327789,PO-31011,RCV-40011,15236.0,15236.0,15236.0,0.0,Matched,2.0,Y
INV4057929,PO-31012,RCV-40012,265695.07,265695.07,265695.07,0.0,Matched,2.0,Y
3069796,PO-31013,RCV-40013,161669.34,161669.34,161669.34,0.0,Matched,2.0,Y
8265890,PO-31014,RCV-40014,338501.48,338501.48,338501.48,0.0,Matched ,2.0,Y
SI4073147,PO-31015,RCV-40015,20734.7,20734.7,20734.7,0.0,Matched,2.0,Y
INV3820000,PO-31016,RCV-40016,26483.41,26483.41,26483.41,0.0,Matched,2.0,Y
8152743,PO-31017,RCV-40017,37280.06,29188.9,29188.9,0.0,Matched,2.0,Y
SI4483768,PO-31018,RCV-40018,12877.8,12877.8,12877.8,0.0,Matched,2.0,Y
SI7146057,PO-31019,RCV-40019,8890.74,8890.74,8890.74,0.0,Matched,2.0,Y
98219681,PO-31020,RCV-40020,52306.4,52306.4,52306.4,0.0,Matched,2.0,Y
379297,PO-31021,RCV-40021,1217885.8,1217885.8,1217885.8,0.0,Matched,2.0,Y
2538793,PO-31022,RCV-40022,584487.23,506865.06,506865.06,0.0,Matched,2.0,Y
96256531,PO-31023,RCV-40023,28019.32,28019.32,28019.32,0.0,Matched,2.0,Y
93769357,PO-31024,RCV-40024,6918.12,6918.12,6918.12,0.0,Matched,2.0,Y
INV2640916,PO-31025,RCV-40025,94241.3,94241.3,94241.3,0.0,Matched,2.0,Y
SI7604679,PO-31026,RCV-40026 ,11932.8,11932.8,11932.8,0.0,Matched,2.0,Y
SI3056949,PO-31027,RCV-40027,114663.8,114663.8,114663.8,0.0,Matched,2.0,Y
92029408,PO-31028,RCV-40028,30593.7,30593.7,30593.7,0.0,Matched,2.0,Y
9358121,PO-31029,RCV-40029,8255.74,8255.74,8255.74,0.0,Matched,2.0,Y
INV6348124,PO-31030,RCV-40030,61318.78,52588.44,53279.13,690.69,Price variance,2.0,Y
SI4515505,PO-31031,RCV-40031,81363.5,81363.5,81363.5,0.0,Matched,2.0,Y
INV7694626,PO-31032,RCV-40032,313331.5,313331.5,313331.5,0.0,Matched,2.0,Y
INV5342354,PO-31033,RCV-40033,32101.14,23185.74,23185.74,0.0,Matched,2.0,Y
SI8848852,PO-31034,RCV-40034,42801.28,42801.28,42801.28,0.0,Matched,2.0,Y
7559349,PO-31035,RCV-40035,4264.5,2132.25,2132.25,0.0,Matched,2.0,Y
3259015,PO-31036,RCV-40036,1023.72,511.86,511.86,0.0,Matched,2.0,Y
SI631213,PO-31037,RCV-40037,7582.68,7582.68,7582.68,0.0,Matched,2.0,Y
91661172,PO-31038,RCV-40038,162539.6,162539.6,162539.6,0.0,Matched,2.0,Y
INV7348332,PO-31040,RCV-40039,74214.4,74214.4,74214.4,0.0,Matched,2.0,Y
99200340,PO-31041,RCV-40040,4147.24,4147.24,4182.74,35.5,Qty variance,2.0,Y
2405897,PO-31042,RCV-40041,4884.33,4884.33,4884.33,0.0,Matched,2.0,Y
INV7638244,PO-31043,RCV-40042,33941.9,33941.9,33941.9,0.0,Matched,2.0,Y
SI4061254,PO-31044,RCV-40043,278415.0,278415.0,278415.0,0.0,Matched,2.0,Y
95977332,PO-31045,RCV-40044,30344.64,30344.64,30344.64,0.0,Matched,2.0,Y
SI4442108,PO-31046,RCV-40045,12080.24,12080.24,12080.24,0.0,Matched,2.0,Y
INV9660187,PO-31047,RCV-40046,843788.75,843788.75,843788.75,0.0,Matched,2.0,Y
