Count Id,Count Date,Item Id,Bin Location,System Qty,Counted Qty,Variance Qty,Variance Value,Counted By,Approved By,Posted
CC-0001,2025-10-05,SPRO-1002,C-06-3,384,384,0,0.0,E032,E026,N
CC-0002,2025-12-01,MOUN-1081,E-31-4,388,388,0,0.0,E033,E026,N
CC-0003,"Oct 07, 2025",CONV-1042 ,B-34-5,179,185,6,30957.48,E036,E026,Y
CC-0004,2025-09-01,CONV-1089,A-13-1,332,332,0,0.0,E038,E026 ,Y
CC-0005,10-Mar-2026,SPRO-1076,F-06-1,43,43,0,0.0,E037,E026,N
CC-0006 ,2025-12-06,HEN-243,A-02-1,703,703,0,0.0,E030,E026 ,Y
CC-0007,2025-12-15,SHEA-1049,E-08-5,402,402,0,0.0,E036,E026,Y
CC-0008,"Dec 01, 2025",CONV-1059,A-36-3,66,66,0,0.0,E027,E026,Y
CC-0009,2025-09-03,SHEA-1028,A-02-1,77,77,0,0.0,E034,E026,Y
CC-0010,12/02/2025,ULI-S-4123,C-10-4,212,212,0,0.0,E032,E026,N
CC-0011,2025-09-18,ROLL-1079,B-35-2,51,51,0,0.0,E038,E026,Y
CC-0012,"Oct 01, 2025",BRI-HHCS-0500-13-200-G8,D-27-4,90,93,3,134.25,E028,E026,Y
CC-0013,2026-01-31,ROLL-1053,B-29-2,178,178,0,0.0,E039 ,E026,N
CC-0014,2026-03-10 ,MOUN-1062,B-26-2,43,36,-7,-950.25,E034,E026,Y
CC-0015,2025-10-06,KIM-G10,B-26-4,366,368,2,22.8,E026,E026,Y
CC-0016,2026-03-04,AC-1033,B-14-3,323,323,0,0.0,E039,E026,Y
CC-0017 ,2025-12-27,3M-SF401AF,A-14-1,248,248,0,0.0,E037,E026 ,Y
CC-0018,2026-01-14,SHEA-1003,E-22-1,153,153,0,0.0,E027,E026,Y
CC-0019,2025-12-06,MOUN-1083,C-28-3,324,324,0,0.0,E027,E026,Y
CC-0020,2026-03-17,AC-1048,E-34-4,14,14,0,0.0,E032,E026,Y
CC-0021,2026-03-06,SPRO-1050,C-03-2,108,108,0,0.0,E037,E026,Y
CC-0022,2026-03-22,TIMI-1058,A-31-5,199,199,0,0.0,E032,E026,Y
CC-0023,2025-10-15 ,MOUN-1031,C-03-4,341,341,0,0.0,E037,E026 ,Y
CC-0024,2026-02-04,GEAR-1073,E-22-4,83,83,0,0.0,E027,E026,N
CC-0025,2026-01-19,GEAR-1060,C-19-1,251,243,-8,-24819.44,E029,E026,Y
CC-0026,2026-02-12,AC-1086,F-08-1,93,93,0,0.0,E030,E026,Y
CC-0027,2025-09-06,DOD-TXT315,F-17-1,418,418,0,0.0,E034,E026,Y
CC-0028,12/25/2025,CONV-1051,D-17-4,206,206,0,0.0,E027,E026,Y
CC-0029,16-Dec-2025,SHEA-1064,B-08-3,46,48,2,279.76,E033,E026,Y
CC-0030,2025-11-13,CONV-1022,A-18-1,93,93,0,0.0,E038,E026,N
CC-0031,2025-09-26,ROLL-1021,F-36-1,210,216,6,490.44,E035,E026,Y
CC-0032,2025-11-10,CONV-1013 ,C-17-4,66,65,-1,-2336.18,E032,E026,Y
CC-0033,22-Dec-2025,TIMI-1071,A-21-2,21,14,-7,-523.95,E031,E026,Y
CC-0034,2025-11-11,SHEA-1082,A-14-1,32,40,8,1492.88,E032,E026,Y
CC-0035,2025-09-26,TIMI-1017,E-03-1,236,236,0,0.0,E031,E026,Y
CC-0036,2025-10-23,ROLL-1012,E-37-4,94,94,0,0.0,E029,E026,Y
CC-0037,2025-11-27,GEAR-1066,C-17-4,118,118,0,0.0,E039,E026,Y
CC-0038,2026-02-03,AC-1040,F-02-3,152,152,0,0.0,E038,E026,Y
CC-0039,2025-10-30,SPRO-1078,B-20-3,31,31,0,0.0,E029,E026,Y
CC-0040,2026-03-16,AC-1074,E-23-5,305,311,6,9978.84,E034,E026,Y
CC-0041,2025-09-10,SPRO-1061,A-24-3 ,428,434,6,523.68,E035,E026,Y
CC-0042,2025-09-14,AC-1057,A-36-4,207,213,6,4122.48,E034,E026,Y
CC-0043,09/16/2025,SHEA-1007,C-06-1,78,78,0,0.0,E038,E026,Y
CC-0044,2026-03-09,TIM-LM11949-LM11910,C-40-1,730,730,0,0.0,E027,E026,N
CC-0045,01/21/26,AC-1054,A-36-4,247,247,0,0.0,E032,E026,Y
CC-0046,2025-10-03,SPRO-1004,D-17-2,162,162,0,0.0,E026,E026,Y
CC-0047,2025-11-10,TIMI-1056,E-15-1,36,36,0,0.0,E035,E026,Y
CC-0048,2026-03-16,AC-1063,A-13-5,487,487,0,0.0,E038,E026,N
CC-0049,2025-09-04,TIMI-1032,E-16-5,203,203,0,0.0,E027,E026,Y 
CC-0050,2026-02-05,GEAR-1084,A-37-2,491,491,0,0.0,E026,E026,Y
CC-0051,2025-12-22,SPRO-1041,F-24-2,26,27,1,35.35,E030,E026,Y
CC-0052,2025-09-02,TIMI-1014,F-12-3,64,64,0,0.0,E028,E026,Y
CC-0053,2025-12-13,SHEA-1038,A-23-4,29,29,0,0.0,E029,E026,Y
CC-0054,2026-03-27,SPRO-1069,E-36-5,410,410,0,0.0,E036,E026,Y
CC-0055,2025-09-20,SPRO-1087,D-14-3,17,17,0,0.0,E029,E026,N
CC-0056,2026-01-28,SHEA-1068,E-29-1,20,26,6,1084.68,E026,E026,Y
CC-0057,"Sep 04, 2025",GEAR-1016,C-30-4,165,165,0,0.0,E039,E026,Y
CC-0058,2025-11-22,SHEA-1019,D-08-4,76,76,0,0.0,E038,E026,Y
CC-0059,2025-09-26,SPRO-1011,B-08-5 ,440,440,0,0.0,E039,E026,Y
CC-0060,2025-09-09,SHEA-1088,B-24-5,139,131,-8,-1518.32,E039,E026,Y
