Transaction Id,Transaction Date,Type,Item Id,Qty,Uom,From Location,To Location,Reference,Lot Number,User Id,Unit Cost
IT-001196,2025-04-06,SO Issue ,CONV-1022,-3,EA,E-37-4,SHIPPING,SO-26192,,E038,2154.05
IT-001194,2025-04-08,SO Issue,ROLL-1053,-4,EA,F-06-1,SHIPPING,SO-26192,,E039,86.10000000000001
IT-001286,2025-04-09,SO Issue,CONV-1046,-1,EA,F-08-1,SHIPPING,SO-26231,,E038,7311.89
IT-002079,2025-04-10,Scrap,ROLL-1053,-3,EA,A-21-5,A-21-3,,,E034,86.10000000000001
IT-001805,2025-04-12,SO Issue,SPRO-1078,-2,EA,F-36-1,SHIPPING,SO-26431,,E036,69.25
IT-001005,2025-04-13,SO Issue ,AC-1040,-3,EA,B-31-3,SHIPPING,SO-26115,,E033,609.44
IT-001195,2025-04-13,SO Issue,AC-1006,-5,EA,A-12-2,SHIPPING,SO-26192,,E033,2130.52
IT-001074,2025-04-15,SO Issue,SPRO-1041,-25,EA,F-36-1,SHIPPING,SO-26142,,E038,35.35
IT-001156,2025-04-15,SO Issue,MOUN-1034,-200,EA,A-37-2,SHIPPING,SO-26178,,E035,23.82
IT-000835,2025-04-16,SO Issue,MOUN-1083,-50,EA,A-36-4,SHIPPING,SO-26051,,E035,87.77
IT-000939,2025-04-16,SO Issue,MOUN-1062,-1,EA,C-11-3,SHIPPING,SO-26088,,E029,135.75
IT-001802,2025-04-16,SO Issue,MOUN-1018,-5,EA,E-36-5,SHIPPING,SO-26431,,E036,109.13
IT-000922,2025-04-17,SO Issue,ROLL-1053,-4,EA,E-37-4,SHIPPING,SO-26082,,E038,86.10000000000001
IT-000924,04/17/2025,SO Issue,SHEA-1045,-200,EA,E-15-1,SHIPPING,SO-26082,,E037,47.68
IT-000832,2025-04-19,SO Issue,SPRO-1002,-1,EA,E-05-1,SHIPPING,SO-26050,,E034,65.84
IT-000833,"Apr 19, 2025",SO Issue,MOUN-1081,-50,EA,A-14-1,SHIPPING,SO-26051,,E037,61.24
IT-000616,2025-04-20,PO Receipt,SHEA-1072 ,11,EA,RECEIVING,E-28-2,PO-31267,,E036,101.96000000000001
IT-000617,2025-04-20,PO Receipt,MOUN-1008,52,EA,RECEIVING,D-37-2,PO-31267,,E027,71.79
IT-000830,04/21/2025,SO Issue,TIMI-1030,-12,EA,C-10-4,SHIPPING,SO-26050,,E035,66.14
IT-001003,2025-04-21,SO Issue,SPRO-1009,-10,EA,C-28-3,SHIPPING,SO-26115,,E035,24.54
IT-001285,2025-04-21,SO Issue,SHEA-1088,-5,EA ,B-20-3,SHIPPING,SO-26231,,E027,189.79
IT-001868,04/21/25,SO Issue,SKF-6205-2RS1,-1,EA,E-34-4,SHIPPING,SO-26454,,E037,3.55
IT-002033,2025-04-21,SO Issue,AC-1063,-5,EA,C-40-1,SHIPPING,SO-26515,,E026,1677.24
IT-000855,2025-04-22,SO Issue,GEAR-1084,-3,EA,D-17-2,SHIPPING,SO-26059,,E028,3456.0
IT-001002,2025-04-22,SO Issue,SPRO-1002,-1,EA,C-38-3,SHIPPING,SO-26115,,E027,65.84
IT-001614,2025-04-22,SO Issue,AC-1057,-1,EA,D-08-4,SHIPPING,SO-26356,,E031,687.08
IT-002063,2025-04-22,Cycle Count Adj,AC-1063,-5,EA,A-13-5,B-15-1,,,E034,1677.24
IT-000938,2025-04-23,SO Issue,MOUN-1034,-4,EA,C-10-4,SHIPPING,SO-26088,,E028,23.82
IT-001004,2025-04-23,SO Issue,SHEA-1068,-1,EA,F-08-1,SHIPPING,SO-26115,,E034,180.78
IT-001193,2025-04-23,SO Issue,MOUN-1081,-6,EA,B-34-5,SHIPPING,SO-26192,,E038,61.24
IT-001334,2025-04-23,SO Issue,TIMI-1056,-100,EA,B-14-3,SHIPPING,SO-26253,,E032,17.21
IT-000858,04/24/2025,SO Issue,MOUN-1081,-2,EA,C-09-4,SHIPPING,SO-26059,,E026,61.24
IT-000237,2025-04-25,PO Receipt,SHEA-1049,191,EA,RECEIVING,B-02-5,PO-31099,,E037,153.4
IT-000923,2025-04-25,SO Issue,SPRO-1009,-1,EA,E-22-4,SHIPPING,SO-26082,,E039,24.54
IT-001141,2025-04-25,SO Issue,ROLL-1012,-4,EA,E-08-5,SHIPPING,SO-26171,,E034,47.52
IT-001283,2025-04-25,SO Issue,CONV-1065,-1,EA,F-09-3,SHIPPING,SO-26231,,E031,2903.56
IT-001646,2025-04-25,SO Issue,MOUN-1062,-1,EA,B-21-3,SHIPPING,SO-26369,,E036,135.75
IT-001781,2025-04-25,SO Issue,GEAR-1084,-1,EA,C-38-3,SHIPPING,SO-26423,,E034,3456.0
IT-000027,2025-04-26,PO Receipt,SPRO-1050,500,EA,RECEIVING,A-15-1,PO-31013,,E028,12.85
IT-000028,2025-04-26,PO Receipt,AC-1033,142,EA,RECEIVING,D-33-4,PO-31013,,E039,1093.27
IT-000834,2025-04-26,SO Issue,SPRO-1069,-1,EA,E-22-1,SHIPPING,SO-26051,,E032,115.11
IT-001782,2025-04-26,SO Issue,ROLL-1053,-50,EA,C-06-1,SHIPPING,SO-26423,,E031,86.10000000000001
IT-001948,2025-04-26,SO Issue,BRI-HHCS-0500-13-200-G8,-12,BX,B-14-4 ,SHIPPING,SO-26482,,E026,44.75
IT-000626,2025-04-28,PO Receipt,KIM-G10,100,BX,RECEIVING,A-40-4,PO-31274,,E028,11.4
IT-000627,2025-04-28,PO Receipt,HEN-243,240,EA,RECEIVING,A-10-4,PO-31274,,E036,22.1
IT-000856,2025-04-28,SO Issue,MOUN-1008,-10,EA,B-20-3,SHIPPING,SO-26059,,E029,71.79
IT-001576,2025-04-28,SO Issue,AC-1085,-5,EA,B-20-3,SHIPPING,SO-26342,,E031,365.76
IT-000258,2025-04-29,PO Receipt,SHEA-1037,130,EA,RECEIVING,B-29-3,PO-31107,,E034,99.06
IT-001247,2025-04-29,SO Issue,GEAR-1066,-3,EA,F-23-3,SHIPPING,SO-26212,,E026,1270.02
IT-001897,2025-04-29,SO Issue,MOUN-1031,-12,EA,C-28-3,SHIPPING,SO-26464 ,,E028,38.78
IT-001899,2025-04-29,SO Issue,SHEA-1028,-5,EA,F-36-1,SHIPPING,SO-26464,,E030,284.6
IT-000491,2025-04-30,PO Receipt,GEAR-1080,179,EA,RECEIVING,E-33-2,PO-31211,,E032,1484.33
IT-000492,2025-04-30,PO Receipt,GEAR-1080,500,EA,RECEIVING,D-35-3,PO-31211,,E036,1484.33
IT-000493,2025-04-30,PO Receipt,GEAR-1080,179,EA,RECEIVING,D-19-2,PO-31211,,E031,1484.33
IT-000494,2025-04-30,PO Receipt,TIMI-1030,500,EA,RECEIVING,F-04-2,PO-31211,,E038,66.14
IT-001222,2025-04-30,SO Issue,MOUN-1081,-1,EA,E-31-4,SHIPPING,SO-26202,,E029,61.24
IT-001282,2025-04-30,SO Issue,SHEA-1049,-1,EA,E-08-5,SHIPPING,SO-26231,,E038,153.4
IT-001505,2025-04-30,SO Issue,TIMI-1017,-1,EA,C-11-2,SHIPPING,SO-26311,,E034,50.69
IT-001826,2025-04-30,SO Issue,SPRO-1050,-10,EA,F-24-2,SHIPPING,SO-26439,,E035,12.85
IT-001766,2025-05-01,SO Issue,SPRO-1004,-4,EA,A-12-2 ,SHIPPING,SO-26417,,E026,42.84
