Bol Number,Shipment Id,Carrier,Ship Date,Shipper,Consignee,Nmfc Class,Pallets,Weight Lb,Freight Terms,Hazmat,Signed
BOL-SH-50001,SH-50001,FedEx Ground,2025-07-03,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,55,1,169.8,Prepaid & Add,N,Y
BOL-SH-50003,SH-50003,Company Truck,2026-03-19,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,70,2,1162.2,Collect,N,Y
BOL-SH-50004,SH-50004,Company Truck,2026-03-15,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,55,1,245.8,Collect,N ,Y
BOL-SH-50005,SH-50005,LTL - Estes,2025-09-04,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,50,1,414.8,Collect,N,Y
BOL-SH-50006,SH-50006,Company Truck,2025-09-12,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,50,1,258.2,Prepaid & Add,N,Y
BOL-SH-50007,SH-50007,Company Truck,"Jan 03, 2026",Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,60,4,2558.8,Prepaid & Add,N,Y
BOL-SH-50009,SH-50009,Company Truck,29-Nov-2025,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,60,10,7386.2,Collect,N,Y
BOL-SH-50011,SH-50011,UPS Ground,2025-07-16,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,55,1,356.1,Prepaid & Add,N,Y
BOL-SH-50012,SH-50012,LTL - Estes,2025-10-07,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,85,1,666.6,Prepaid & Add,N,Y
BOL-SH-50014,SH-50014,Company Truck,2025-10-26,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,70,2,953.6,Prepaid,N,Y
BOL-SH-50015,SH-50015,FedEx Ground,2025-12-29,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,50,4,3083.7,Collect,N ,Y
BOL-SH-50016,SH-50016,Customer Pickup,2025-07-27,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,50,23,18082.5,Collect,N,Y
BOL-SH-50017,SH-50017,FedEx Ground,02/06/2026,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,55,1,283.5,Prepaid,N,Y
BOL-SH-50018,SH-50018,Customer Pickup,2026-03-18,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,85,1,519.4,Prepaid & Add,N,Y
BOL-SH-50019,SH-50019,Customer Pickup ,2025-11-07,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,85,1,278.1,Prepaid,N,Y
BOL-SH-50020,SH-50020,Company Truck,2025-08-27,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,55,3,1999.0,Prepaid,N,Y
BOL-SH-50021 ,SH-50021,LTL - XPO,2025-10-14,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,60,1,717.4,Prepaid & Add,N,Y
BOL-SH-50022,SH-50022,FedEx Ground,2025-06-30,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,55,16,12670.6,Collect,N,Y
BOL-SH-50023,SH-50023,Customer Pickup,2025-06-07,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",50,1,304.9,Prepaid & Add,N,Y
BOL-SH-50024,SH-50024,UPS Ground,2025-12-09,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,50,18,14286.2,Collect,N,Y
BOL-SH-50026,SH-50026,LTL - XPO,2025-12-12,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,50,1,578.5,Collect,N,Y
BOL-SH-50027,SH-50027,Company Truck,2026-02-01,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,60,2,1134.3,Prepaid,N ,Y
BOL-SH-50029,SH-50029,Company Truck,2025-12-03,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,50,19,15170.1,Prepaid & Add,N,Y
BOL-SH-50031,SH-50031,Customer Pickup,2025-08-20,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,60,1,212.2,Collect,N,Y
BOL-SH-50032,SH-50032,Company Truck,2026-02-06,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,60,2,894.3,Prepaid,N,Y
BOL-SH-50034,SH-50034,Company Truck,2025-10-04,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,70,1,498.0,Prepaid & Add,N,Y
BOL-SH-50035,SH-50035,LTL - XPO,2026-01-27,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,1,337.6,Collect,N,Y
BOL-SH-50036,SH-50036,LTL - Estes,2026-01-27,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,60,9,6644.4,Prepaid & Add,N,Y
BOL-SH-50037,SH-50037,LTL - XPO,2026-03-23,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,60,3,1657.5,Prepaid & Add,N,Y
BOL-SH-50038,SH-50038,Company Truck,2026-01-13,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,50,1,231.1,Collect,N,Y
BOL-SH-50039,SH-50039,UPS Ground,2025-12-06,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,60,6,4491.4,Prepaid & Add,N,Y
BOL-SH-50040,SH-50040,Company Truck,2025-10-09,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,60,6,4073.7,Prepaid & Add,N,Y
BOL-SH-50041,SH-50041,UPS Ground,2026-03-11,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,70,1,314.4,Prepaid & Add,N,Y
BOL-SH-50043,SH-50043,Customer Pickup,19-Mar-2026,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,55 ,20,15310.0,Prepaid,N,Y
BOL-SH-50044,SH-50044,Customer Pickup,2025-12-03,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,50,1,716.1,Prepaid,N,Y
BOL-SH-50045,SH-50045,Customer Pickup,2025-10-03,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,55,1,498.2,Prepaid,N,Y
BOL-SH-50046,SH-50046,Customer Pickup,2025-05-09,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",55,2,1116.2,Prepaid,N,Y
BOL-SH-50047,SH-50047,Customer Pickup,2025-06-20,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,85,3,2331.9,Prepaid & Add ,N,Y
BOL-SH-50049,SH-50049,UPS Ground,2025-05-06,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,50,5,3811.9,Prepaid & Add,N,Y
BOL-SH-50050,SH-50050,LTL - XPO,04/26/2025,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,85,5,3946.5,Prepaid & Add,N,Y
BOL-SH-50051,SH-50051,UPS Ground,2025-11-29,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,85,1,586.8,Collect,N,Y
BOL-SH-50052,SH-50052 ,LTL - XPO,2025-11-11,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,60,1,210.0,Prepaid & Add,N,Y
BOL-SH-50053,SH-50053,Company Truck,2025-08-27,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,50,12,8801.4,Prepaid & Add,N,Y
BOL-SH-50054,SH-50054,Company Truck,2025-06-22,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,70,1,542.8,Prepaid & Add,N,Y
BOL-SH-50055,SH-50055,FedEx Ground,2025-12-18,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,85,5,3565.2,Collect,N,Y
BOL-SH-50057,SH-50057,Company Truck,2025-10-13,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,50,1,166.0,Prepaid & Add,N,Y
BOL-SH-50058,SH-50058,LTL - XPO,2025-05-05,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,1,685.8,Prepaid & Add,N,Y
BOL-SH-50061,SH-50061,FedEx Ground,2026-01-02,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,50,1,157.2,Prepaid & Add,N,Y 
BOL-SH-50062,SH-50062,FedEx Ground,2026-02-22,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,85,1,171.3,Prepaid & Add,N,Y
BOL-SH-50063,SH-50063,Customer Pickup,2025-10-24,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,60,4,2857.8,Prepaid & Add,N,Y
BOL-SH-50064,SH-50064,UPS Ground,2026-03-12,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,60,2,1550.2,Collect,N,Y
BOL-SH-50065,SH-50065,Customer Pickup,2025-12-23,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,60,11,8722.5,Prepaid,N,Y
BOL-SH-50066,SH-50066,FedEx Ground,2025-06-12,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,60,2,833.7,Prepaid,N,Y
BOL-SH-50067,SH-50067,LTL - XPO,2025-09-10,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,2,1134.2,Collect,N,Y
BOL-SH-50069,SH-50069,LTL - Estes,2025-07-29,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,50,1,641.2,Prepaid & Add ,N,Y
BOL-SH-50070,SH-50070,LTL - XPO,2025-08-18,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,55,1,401.9,Prepaid & Add,N,Y
BOL-SH-50071 ,SH-50071,FedEx Ground,2025-09-12,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,85,3,1858.1,Collect,N,Y
BOL-SH-50072,SH-50072,Company Truck,07/22/25,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,55,2,871.4,Prepaid & Add,N,Y
BOL-SH-50074,SH-50074,Company Truck,10/29/2025,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,85,4,3194.2,Collect,N,Y
BOL-SH-50075,SH-50075,LTL - Estes,2025-10-16,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,50,23,18044.6,Prepaid,N,Y
BOL-SH-50076,SH-50076,Customer Pickup,2025-12-27,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,70,1,167.7,Collect,N,Y
BOL-SH-50077,SH-50077,Customer Pickup,2026-01-13,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,55,1,353.9,Collect,N,Y
BOL-SH-50078,SH-50078,FedEx Ground,2025-09-16,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,50,6,4302.6,Collect,N,Y
BOL-SH-50079,SH-50079,Company Truck,2025-12-28,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,70,2,1102.5,Collect,N,Y
BOL-SH-50080,SH-50080,Customer Pickup,2025-12-06,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,60,3,1936.0,Prepaid & Add,N,Y
BOL-SH-50081,SH-50081,Customer Pickup,2025-04-25,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,50,2,1435.3,Prepaid & Add,N,Y
BOL-SH-50082,SH-50082,FedEx Ground,2025-07-10,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,60,1,428.7,Prepaid & Add,N,Y
BOL-SH-50083,SH-50083,UPS Ground,2025-12-04,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,70,5,3722.4,Prepaid & Add,N,Y
BOL-SH-50084,SH-50084,Company Truck,22-Dec-2025,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,85,1,548.3,Prepaid,N,Y
BOL-SH-50086,SH-50086,UPS Ground,2025-06-28,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,60,1,701.8,Prepaid & Add,N,Y
BOL-SH-50088,SH-50088,FedEx Ground,2025-08-07,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,50,2,943.3,Prepaid,N,Y
BOL-SH-50089,SH-50089,Customer Pickup,2025-11-02,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,50,2,1104.5,Prepaid,N,Y
BOL-SH-50090 ,SH-50090,UPS Ground,2026-03-27,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,85,1,788.6,Collect,N,Y
BOL-SH-50094,SH-50094,UPS Ground,04-Jan-2026,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,50,20,15787.5,Prepaid & Add,N,Y
BOL-SH-50095,SH-50095,FedEx Ground,2026-01-12,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,55,16,12677.7,Prepaid & Add,N,Y
BOL-SH-50096,SH-50096,FedEx Ground,2026-01-11,Keystone Bearing & Drive Co.,Riverbend Packaging Systems Inc. - Plant 12,55,8,6177.5,Prepaid & Add,N,Y
BOL-SH-50097,SH-50097,UPS Ground,2025-08-05,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,50,33,26059.1,Prepaid & Add,N,Y
BOL-SH-50099,SH-50099,UPS Ground,2025-07-28,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,85,1,298.1,Prepaid & Add,N,Y
BOL-SH-50100,SH-50100,LTL - XPO,2025-07-07,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,60,2,1214.5,Prepaid & Add,N,Y
BOL-SH-50101,SH-50101,Customer Pickup,"Oct 15, 2025",Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,55,1,301.8,Prepaid,N,Y
BOL-SH-50102,SH-50102,Customer Pickup,2025-08-18,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,60,1,190.5,Collect,N,Y
BOL-SH-50103,SH-50103,FedEx Ground,2025-08-23,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,85,7,4889.5,Prepaid & Add,N,Y
BOL-SH-50104,SH-50104,FedEx Ground,2025-06-21,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,85,4,3052.3,Collect,N,Y 
BOL-SH-50105,SH-50105,FedEx Ground,2025-12-19,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,70,1,625.0,Collect ,N,Y
BOL-SH-50106,SH-50106,Customer Pickup,2025-07-26,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,85,25,19242.7,Prepaid & Add,N,Y
BOL-SH-50110,SH-50110,UPS Ground,2025-04-23,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,55,2,1154.4,Prepaid & Add,N,Y
BOL-SH-50111,SH-50111,Company Truck,2025-10-12,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,70,1,239.4,Collect,N,Y
BOL-SH-50112,SH-50112,Company Truck,2026-01-18,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,55,16,12349.2,Collect,N,Y
BOL-SH-50115,SH-50115,FedEx Ground,2026-03-25,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,60,1,399.0,Prepaid,N,Y
BOL-SH-50116,SH-50116,FedEx Ground ,2025-12-11,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,55,1,168.1,Collect ,N,Y
BOL-SH-50117,SH-50117,UPS Ground,2025-07-28,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,50,3,1995.8,Prepaid & Add,N,Y
BOL-SH-50118,SH-50118,FedEx Ground,2025-09-11,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,50,3,2004.0,Prepaid & Add,N,Y
BOL-SH-50119,SH-50119,LTL - Estes,2026-03-27,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,70,6,4078.8,Prepaid & Add,N,Y
BOL-SH-50120,SH-50120,Customer Pickup,2025-12-31,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,55,14,10937.8,Prepaid & Add,N,Y
