Freight Invoice Id,Carrier,Shipment Id,Invoice Date,Quoted Amount,Billed Amount,Accessorials,Audit Status
FI-00001,FedEx Ground,SH-50001,2025-07-10,93.31,95.18,Redelivery ,Pending
FI-00002,Company Truck,SH-50003,2026-04-05,560.14,621.76,Redelivery,Disputed
FI-00003,Company Truck,SH-50004,2026-03-27,129.06,139.38,,Pending
FI-00004,LTL - Estes,SH-50005,2025-09-10,208.56,235.67,,Approved
FI-00005,Company Truck,SH-50006,2025-09-18,134.9,134.9,Liftgate,Pending
FI-00006,Company Truck,SH-50007,2026-01-19,1217.1,1375.32,Liftgate,Approved
FI-00007,Company Truck,SH-50009,2025-12-10,3487.91,3871.58,Redelivery,Disputed
FI-00008,UPS Ground,SH-50011,2025-07-28,180.95,191.81,Reweigh,Approved
FI-00009,LTL - Estes,SH-50012,"Oct 17, 2025",327.01,372.79,Residential,Approved
FI-00010,Company Truck,SH-50014,2025-11-09,462.01,462.01,,Disputed
FI-00011,FedEx Ground,SH-50015,2026-01-10,1464.01,1668.97,Redelivery,Approved
FI-00012,Customer Pickup,SH-50016,2025-08-02,8519.45,9456.59,Redelivery,Pending
FI-00013,FedEx Ground,SH-50017,2026-02-15,146.8,161.48,Redelivery,Approved
FI-00014,Customer Pickup,SH-50018,2026-03-28,257.77,260.35,Liftgate,Approved
FI-00015 ,Customer Pickup,SH-50019,2025-11-13,144.26,168.78,,Disputed
FI-00016,Company Truck,SH-50020,2025-09-05,953.77,1154.06,Redelivery,Approved
FI-00017,LTL - XPO,SH-50021,2025-11-02,350.9,350.9,Liftgate,Pending
FI-00018,FedEx Ground,SH-50022,2025-07-08 ,5973.69,6033.43,Residential,Pending
FI-00019,Customer Pickup,SH-50023 ,2025-06-19,156.86,178.82,Liftgate,Approved
FI-00020,UPS Ground,SH-50024,2025-12-29,6733.67,7407.04,Redelivery,Disputed
FI-00021,LTL - XPO,SH-50026,24-Dec-2025,285.57,308.42,Redelivery,Approved
FI-00022,Company Truck,SH-50027,2026-02-20,547.01,585.3,,Approved
FI-00023,Company Truck,SH-50029,"Dec 17, 2025",7149.46,8221.88,,Disputed
FI-00024,Customer Pickup ,SH-50031,2025-09-09,113.26,121.19,Redelivery,Approved
FI-00025,Company Truck,SH-50032,2026-02-11,434.12,425.44,Reweigh,Pending
FI-00026,Company Truck,SH-50034,2025-10-21,247.7,272.47,Redelivery,Approved
FI-00027,LTL - XPO,SH-50035,2026-02-16,172.25,175.69,Redelivery,Pending
FI-00028,LTL - Estes,SH-50036,2026-02-05,3138.97,3578.43,Redelivery,Approved
FI-00029,LTL - XPO,SH-50037,2026-04-11,793.13,896.24,,Approved
FI-00030,Company Truck,SH-50038,2026-01-31,122.15,146.58,Reweigh,Pending
FI-00031,UPS Ground,SH-50039,2025-12-20,2126.19,2360.07,Liftgate,Approved
