Pick Id,So Number,So Line,Item Id,Qty To Pick,Qty Picked,Bin Location,Picker Id,Pick Date,Shipment Id
PK-00001,SO-26001,1,AC-1033,2,2,B-32-3,E037,2025-07-02,SH-50001
PK-00002,SO-26001,2,GAT-B62,12,12,A-32-1,E039,2025-07-02,SH-50001
PK-00003,SO-26001,3,GEAR-1016,1,1,A-17-4,E036,2025-07-03,SH-50001
PK-00004,SO-26002,1,AC-1040,3,3,C-22-5,E029,2025-08-20,SH-50002
PK-00005,SO-26003,1,SPRO-1087,50,50,F-13-1,E035,2026-03-19,SH-50003
PK-00006,SO-26003,2,GEAR-1010,1,1,D-24-3,E026,2026-03-19,SH-50003
PK-00007,SO-26003,3,GEAR-1060,1,1,B-16-2,E037,2026-03-19,SH-50003
PK-00008,SO-26003,4,SPRO-1004,50,50,A-35-3,E031,2026-03-19,SH-50003
PK-00009 ,SO-26003,5,AC-1057,3,3,B-08-1,E030,2026-03-19,SH-50003
PK-00010,SO-26004,1,AC-1048,1,1,D-24-4,E027,2026-03-15,SH-50004
PK-00011,SO-26004,2,CONV-1051 ,3,3,F-01-3,E037,2026-03-15,SH-50004
PK-00012,SO-26004,3,CONV-1052,3,3,E-02-3,E039,2026-03-15,SH-50004
PK-00013,SO-26004,4,GEAR-1084,1,1,D-05-5,E038,2026-03-14,SH-50004
PK-00014,SO-26005,1,SHEA-1019,6,6,C-20-5,E028,09/04/25,SH-50005
PK-00015,SO-26005,2,GEAR-1073,1,1,E-33-4,E027,2025-09-03,SH-50005
PK-00016,SO-26005,3,CONV-1023,1,1,B-11-3,E027,2025-09-04,SH-50005
PK-00017,SO-26005,4,DOD-TXT315,1,1,B-36-2,E026,2025-09-03,SH-50005
PK-00018,SO-26006,1,SHEA-1035,1,1,C-33-1,E035,2025-09-11,SH-50006
PK-00019,SO-26006,2,BRI-HHCS-0500-13-200-G8,6,6,E-03-3,E031,2025-09-11,SH-50006
PK-00020,SO-26006,3,MOUN-1018,2,2,D-13-5,E032,2025-09-11,SH-50006
PK-00021,SO-26006,4,ROLL-1053,4,4,A-02-3,E030,2025-09-11,SH-50006
PK-00022,SO-26007,1,SPRO-1078,25,25,D-06-3,E031,2026-01-03,SH-50007
PK-00023,SO-26007,2,CONV-1046,3,3,D-20-5,E039,2026-01-03,SH-50007
PK-00024,SO-26007,3,SHEA-1035,3,3,D-01-1,E032,2026-01-03,SH-50007
PK-00025,SO-26007,4,SHEA-1072,3,3,A-04-1,E039,2026-01-02,SH-50007
PK-00026,SO-26007,5,AC-1054,5,5,F-31-1,E026,2026-01-02,SH-50007
PK-00027,SO-26008,1,SHEA-1064,5,5,A-12-2,E038,2025-06-06,SH-50008
PK-00028,SO-26009,1,MOUN-1031,25,25,C-22-5 ,E031,2025-11-29,SH-50009
PK-00029,SO-26009,2,TIMI-1020,100,100,B-08-5,E027,2025-11-29,SH-50009
PK-00030,SO-26010,1,BRI-HHCS-0500-13-200-G8,2,2,D-33-2,E030,2025-08-16,SH-50010
PK-00031,SO-26011,1,CONV-1043,3,3,D-18-3,E035,2025-07-15,SH-50011
PK-00032,SO-26011,2,CONV-1023,5,5,C-18-2,E027,2025-07-15,SH-50011
PK-00033,SO-26012,1,TIMI-1032 ,6,6,F-09-4,E034,2025-10-07,SH-50012
PK-00034,SO-26012,2,MOUN-1062,1,1,F-38-3,E039,2025-10-07,SH-50012
PK-00035,SO-26012,3,SKF-6308-2Z,12,12,B-32-1,E034,2025-10-06,SH-50012
PK-00036,SO-26012,4,SHEA-1045,4,4,E-20-4,E031,2025-10-06,SH-50012
PK-00037,SO-26013,1,AC-1040,3,3,D-40-5,E029,2025-06-17,SH-50013 
PK-00038,SO-26015,1,SHEA-1049 ,1,1,D-21-4,E034,25-Oct-2025,SH-50014
PK-00039,SO-26015,2,SPRO-1055 ,10,10,C-15-4 ,E027,2025-10-25,SH-50014
PK-00040,SO-26016,1,MOUN-1008,1,1,B-20-1,E032,2025-12-28,SH-50015
PK-00041,SO-26016,2,TIMI-1017,50,50,F-31-2,E036,2025-12-28,SH-50015
PK-00042,SO-26017,1,TIMI-1014,10,10,E-35-1,E031,2025-07-26,SH-50016
PK-00043,SO-26017,2,CONV-1013,3,3,A-34-4,E028,2025-07-27,SH-50016
PK-00044,SO-26017,3,CONV-1023,5,5,A-05-1,E037,2025-07-27,SH-50016
PK-00045,SO-26017,4,CONV-1051,1,1,A-23-4,E035,2025-07-27,SH-50016
PK-00046,SO-26017,5,ROLL-1012,200,200,E-32-3,E035,2025-07-27,SH-50016
PK-00047,SO-26018,1,CONV-1013,1,1,F-07-4,E028,2026-02-06,SH-50017
PK-00048,SO-26018,3,ROLL-1044,3,3,E-35-2 ,E031,2026-02-06,SH-50017
PK-00049,SO-26018,4,MOUN-1034,1,1,F-13-2,E028,02/05/2026 ,SH-50017
PK-00050,SO-26019,1,GEAR-1073,5,5,D-09-3,E029,2026-03-18,SH-50018
PK-00051,SO-26019,3,SPRO-1027,2,2,B-20-4,E038,"Mar 17, 2026",SH-50018
PK-00052,SO-26020,1,CONV-1043,3,3,B-02-1,E034,2025-11-07,SH-50019
PK-00053,SO-26020,2,SHEA-1049,1,1,A-04-4,E038,2025-11-07,SH-50019
