Shipment Id,So Number,Customer Id,Ship To Id,Ship Date,Carrier,Mode,Service,Tracking Number,Cartons,Weight Lb,Freight Cost,Freight Billed To Customer,Shipped By,Packing Slip,Status
SH-50001,SO-26001,KBD-CUST0003,KBD-CUST0003-S1,2025-07-03 ,FedEx Ground,LTL,,246585265503,5,169.8,93.31,101.71,E036,PS-SH-50001.pdf,Delivered
SH-50002,SO-26002,KBD-CUST0025,KBD-CUST0025-S1,2025-08-21,Customer Pickup,Pickup,,,4,127.4,0.0,0.0,E032,PS-SH-50002.pdf,Delivered
SH-50003,SO-26003,KBD-CUST0007,KBD-CUST0007-S1,2026-03-19,Company Truck,LTL,,PRO873959553,30,1162.2,560.14,0.0,E034,PS-SH-50003.pdf,Delivered
SH-50004,SO-26004,KBD-CUST0026,KBD-CUST0026-S1,2026-03-15,Company Truck,LTL,,PRO108420902,7,245.8,129.06,0.0,E029,PS-SH-50004.pdf,Delivered
SH-50005,SO-26005,KBD-CUST0021,KBD-CUST0021-S1,2025-09-04,LTL - Estes,LTL,,PRO986126263,11,414.8,208.56,0.0,E031,PS-SH-50005.pdf,Delivered
SH-50006,SO-26006,KBD-CUST0026,KBD-CUST0026-S1,2025-09-12,Company Truck,LTL,,PRO811140354,7,258.2,134.9,180.77,E033,PS-SH-50006.pdf,Delivered
SH-50007,SO-26007,KBD-CUST0011,KBD-CUST0011-S1,2026-01-03,Company Truck,LTL,,PRO936976096,64,2558.8,1217.1,1253.61,E037,PS-SH-50007.pdf,Delivered
SH-50008,SO-26008,KBD-CUST0007,KBD-CUST0007-S1,2025-06-06,Company Truck,Company Truck,,,3,85.0,0.0,0.0,E029,PS-SH-50008.pdf,Delivered
SH-50009,SO-26009,KBD-CUST0011,KBD-CUST0011-S1,2025-11-29,Company Truck,LTL,,PRO177313249,185,7386.2,3487.91,0.0,E039,PS-SH-50009.pdf,Delivered
SH-50010,SO-26010,KBD-CUST0019,KBD-CUST0019-S1,2025-08-17,LTL - XPO,Company Truck,,,1,13.0,0.0,0.0,E028,PS-SH-50010.pdf,Delivered
SH-50011,SO-26011,KBD-CUST0022,KBD-CUST0022-S1,2025-07-16,UPS Ground,LTL ,,1Z8670570809,9,356.1,180.95,218.95,E030,PS-SH-50011.pdf ,Delivered
SH-50012,SO-26012,KBD-CUST0010,KBD-CUST0010-S1,2025-10-07,LTL - Estes,LTL,,PRO703651373,17,666.6,327.01,379.33,E036,PS-SH-50012.pdf,Delivered
SH-50013,SO-26013,KBD-CUST0028,KBD-CUST0028-S1,2025-06-18,UPS Ground,Parcel,Ground,1Z6166486600,4,127.4,73.37,0.0,E029,PS-SH-50013.pdf,Delivered
SH-50014,SO-26015,KBD-CUST0011,KBD-CUST0011-S1,2025-10-26,Company Truck,LTL,,PRO978285201,24,953.6,462.01,0.0,E030,PS-SH-50014.pdf,Delivered
SH-50015,SO-26016,KBD-CUST0016,KBD-CUST0016-S1,2025-12-29,FedEx Ground,LTL,,184600055123,78,3083.7,1464.01,0.0,E039,PS-SH-50015.pdf,Delivered
SH-50016,SO-26017,KBD-CUST0001,KBD-CUST0001-S1,2025-07-27,Customer Pickup,LTL,,PRO757873627,453,18082.5,8519.45,0.0,E037 ,PS-SH-50016.pdf,Delivered
SH-50017,SO-26018,KBD-CUST0027,KBD-CUST0027-S1,2026-02-06,FedEx Ground,LTL,,757797213409,8,283.5,146.8,0.0,E028,PS-SH-50017.pdf,Delivered
SH-50018,SO-26019,KBD-CUST0030,KBD-CUST0030-S1,2026-03-18,Customer Pickup,LTL,,PRO130105654,13,519.4,257.77,270.66,E035,PS-SH-50018.pdf,Delivered
SH-50019,SO-26020,KBD-CUST0025,KBD-CUST0025-S1,2025-11-07,Customer Pickup,LTL,,PRO685996380,7,278.1,144.26,0.0,E031,PS-SH-50019.pdf,Delivered
SH-50020,SO-26021,KBD-CUST0026,KBD-CUST0026-S1,08/27/2025,Company Truck,LTL,,PRO438581566,50,1999.0,953.77,0.0,E039,PS-SH-50020.pdf,Delivered
SH-50021,SO-26022,KBD-CUST0019,KBD-CUST0019-S1,2025-10-14,LTL - XPO,LTL,,PRO587118997,18,717.4,350.9,442.13,E027,PS-SH-50021.pdf,Delivered
SH-50022,SO-26023,KBD-CUST0006,KBD-CUST0006-S1,2025-06-30,FedEx Ground,LTL,,248795341524,317,12670.6,5973.69,0.0,E038,PS-SH-50022.pdf,Delivered
SH-50023,SO-26024,KBD-CUST0004,KBD-CUST0004-S1,2025-06-07,Customer Pickup,LTL,,PRO120158386,8,304.9,156.86,164.7,E037,PS-SH-50023.pdf,Delivered
SH-50024,SO-26025,KBD-CUST0023,KBD-CUST0023-S1,2025-12-09,UPS Ground,LTL,,1Z4849571013,358,14286.2,6733.67,0.0,E039,PS-SH-50024.pdf,Delivered
SH-50025,SO-26026,KBD-CUST0025,KBD-CUST0025-S1,2025-11-08,Customer Pickup,Pickup,,,1,19.1,0.0,0.0,E036,PS-SH-50025.pdf,Delivered
SH-50026,SO-26027,KBD-CUST0019,KBD-CUST0019-S1,2025-12-12,LTL - XPO,LTL,,PRO518858371,15,578.5,285.57,0.0,E031,PS-SH-50026.pdf,Delivered
SH-50027,SO-26028,KBD-CUST0020,KBD-CUST0020-S1,2026-02-01,Company Truck,LTL,,PRO292853496,29,1134.3,547.01,0.0,E034,PS-SH-50027.pdf,Delivered
SH-50028,SO-26029,KBD-CUST0019,KBD-CUST0019-S1,2025-09-13,LTL - XPO,Company Truck,,,2,77.1,0.0,0.0,E037,PS-SH-50028.pdf,Delivered
SH-50029,SO-26030,KBD-CUST0007,KBD-CUST0007-S1,2025-12-03,Company Truck,LTL,,PRO779992737 ,380,15170.1,7149.46,8150.38,E038,PS-SH-50029.pdf,Delivered
SH-50030,SO-26031,KBD-CUST0013,KBD-CUST0013-S1 ,2025-08-30,Customer Pickup,Pickup,,,1,16.9,0.0,0.0,E035,PS-SH-50030.pdf,Delivered
SH-50031,SO-26032,KBD-CUST0025,KBD-CUST0025-S1,2025-08-20,Customer Pickup,LTL,,PRO120495891,6,212.2,113.26,0.0,E035,PS-SH-50031.pdf,Delivered
SH-50032,SO-26033,KBD-CUST0007,KBD-CUST0007-S1,2026-02-06,Company Truck,LTL,,PRO627129596,23,894.3,434.12,0.0,E034,PS-SH-50032.pdf,Delivered
SH-50033,SO-26034,KBD-CUST0008,KBD-CUST0008-S1,2025-12-12,LTL - Estes,Company Truck,,,1,7.5,0.0,0.0,E033,PS-SH-50033.pdf,Delivered
SH-50034,SO-26035,KBD-CUST0011,KBD-CUST0011-S1,2025-10-04,Company Truck,LTL,,PRO102117323,13,498.0,247.7,319.53,E032,PS-SH-50034.pdf,Delivered
SH-50035,SO-26036,KBD-CUST0031,KBD-CUST0031-S1,2026-01-27,LTL - XPO,LTL,,PRO945456864,9,337.6,172.25,0.0,E028,PS-SH-50035.pdf,Delivered
SH-50036,SO-26037,KBD-CUST0008,KBD-CUST0008-S1,2026-01-27,LTL - Estes,LTL,,PRO847548327,167,6644.4,3138.97,3264.53,E028,PS-SH-50036.pdf,Delivered
SH-50037,SO-26038,KBD-CUST0019,KBD-CUST0019-S1,2026-03-23,LTL - XPO,LTL,,PRO734691428,42,1657.5,793.13,1062.79,E032,PS-SH-50037.pdf,Delivered
SH-50038,SO-26039,KBD-CUST0007,KBD-CUST0007-S1,2026-01-13 ,Company Truck,LTL,,PRO929060631,6,231.1,122.15,0.0,E029,PS-SH-50038.pdf,Delivered
SH-50039 ,SO-26040,KBD-CUST0014,KBD-CUST0014-S1,2025-12-06,UPS Ground,LTL,,1Z6657636899,113,4491.4,2126.19,2508.9,E030,PS-SH-50039.pdf,Delivered
SH-50040,SO-26041,KBD-CUST0026,KBD-CUST0026-S1,2025-10-09,Company Truck,LTL,,PRO820492564,102,4073.7,1929.71,1949.01,E030,PS-SH-50040.pdf,Delivered
SH-50041,SO-26042,KBD-CUST0014,KBD-CUST0014-S1 ,2026-03-11,UPS Ground,LTL,,1Z5820792712,8,314.4,161.33,183.92,E032,PS-SH-50041.pdf,Delivered
SH-50042,SO-26043,KBD-CUST0004,KBD-CUST0004-S1,2025-10-07,Customer Pickup,Pickup,,,4,122.9,0.0,0.0,E032 ,PS-SH-50042.pdf,Delivered
SH-50043,SO-26044,KBD-CUST0025,KBD-CUST0025-S1,2026-03-19,Customer Pickup,LTL,,PRO836037836,383,15310.0,7215.26,0.0,E039,PS-SH-50043.pdf,Delivered
SH-50044,SO-26045,KBD-CUST0030,KBD-CUST0030-S1,2025-12-03,Customer Pickup,LTL,,PRO453246738,18,716.1,350.29,0.0,E030,PS-SH-50044.pdf,Delivered
SH-50045,SO-26046,KBD-CUST0030,KBD-CUST0030-S1,10/03/25,Customer Pickup,LTL,,PRO861129981,13,498.2,247.79,0.0,E034,PS-SH-50045.pdf,Delivered
SH-50046,SO-26047,KBD-CUST0004,KBD-CUST0004-S1,2025-05-09,Customer Pickup,LTL,,PRO835612934,28,1116.2,538.5,0.0,E039,PS-SH-50046.pdf,Delivered
SH-50047,SO-26048,KBD-CUST0013,KBD-CUST0013-S1,2025-06-20,Customer Pickup,LTL,,PRO901898288,59,2331.9,1110.37,1154.78,E030,PS-SH-50047.pdf,Delivered
SH-50048,SO-26049,KBD-CUST0022,KBD-CUST0022-S1,2025-06-11,UPS Ground,Parcel,Next Day Air,1Z4922456431,3,86.4,54.08,62.73,E032,PS-SH-50048.pdf,Delivered
SH-50049,SO-26050,KBD-CUST0022,KBD-CUST0022-S1,2025-05-06,UPS Ground,LTL,,1Z3352312285,96,3811.9,1806.56,2023.35,E035,PS-SH-50049.pdf,Delivered
SH-50050,SO-26051,KBD-CUST0019,KBD-CUST0019-S1,2025-04-26,LTL - XPO,LTL,,PRO342762359,99,3946.5,1869.87,2281.24,E036,PS-SH-50050.pdf,Delivered
SH-50051,SO-26052,KBD-CUST0005,KBD-CUST0005-S1,2025-11-29,UPS Ground,LTL,,1Z5725196995,15,586.8,289.47,0.0,E029,PS-SH-50051.pdf,Delivered
SH-50052,SO-26053,KBD-CUST0031,KBD-CUST0031-S1,2025-11-11,LTL - XPO,LTL,,PRO196010527,6,210.0,112.22,130.18,E034,PS-SH-50052.pdf,Delivered
SH-50053,SO-26054 ,KBD-CUST0020,KBD-CUST0020-S1,2025-08-27,Company Truck ,LTL,,PRO466082280,221,8801.4,4153.62,4568.98,E031,PS-SH-50053.pdf,Delivered
SH-50054,SO-26055,KBD-CUST0026,KBD-CUST0026-S1,2025-06-22,Company Truck,LTL,,PRO735562963,14,542.8,268.77,352.09,E028,PS-SH-50054.pdf,Delivered
SH-50055,SO-26056,KBD-CUST0027,KBD-CUST0027-S1,2025-12-18,FedEx Ground,LTL,,696741930485,90,3565.2,1690.51,0.0,E032,PS-SH-50055.pdf,Delivered
SH-50056,SO-26057,KBD-CUST0032,KBD-CUST0032-S1,2026-02-15,UPS Ground,Parcel,Ground,1Z4169335825,4,127.0,73.18,0.0,E036,PS-SH-50056.pdf,Delivered
SH-50057,SO-26058,KBD-CUST0020,KBD-CUST0020-S1,13-Oct-2025,Company Truck,LTL,,PRO489252707,5,166.0,91.53,101.6,E036,PS-SH-50057.pdf,Delivered
SH-50058,SO-26059,KBD-CUST0031,KBD-CUST0031-S1,2025-05-05,LTL - XPO,LTL,,PRO596059602,18,685.8,336.04,416.69,E039,PS-SH-50058.pdf,Delivered
SH-50059,SO-26060,KBD-CUST0014,KBD-CUST0014-S1,2025-10-29,UPS Ground,Parcel,3 Day,1Z9953033578,4,131.2,75.16,99.21,E030,PS-SH-50059.pdf,Delivered
SH-50060,SO-26061,KBD-CUST0015,KBD-CUST0015-S1,2026-03-03,Customer Pickup,Pickup,,,2,59.9,0.0,0.0,E034,PS-SH-50060.pdf,Delivered
SH-50061,SO-26062,KBD-CUST0016 ,KBD-CUST0016-S1,2026-01-02,FedEx Ground,LTL,,528731866955,4,157.2,87.39,117.98,E032,PS-SH-50061.pdf,Delivered
SH-50062,SO-26063,KBD-CUST0003,KBD-CUST0003-S1,2026-02-22,FedEx Ground,LTL,,225541127583,5,171.3,94.02,125.99,E039,PS-SH-50062.pdf,Delivered
SH-50063,SO-26064,KBD-CUST0015,KBD-CUST0015-S1,2025-10-24,Customer Pickup,LTL,,PRO521326549,72,2857.8,1357.75,1466.37,E026,PS-SH-50063.pdf,Delivered
SH-50064,SO-26065,KBD-CUST0014,KBD-CUST0014-S1,2026-03-12,UPS Ground,LTL,,1Z1787231572,39,1550.2,742.65,0.0,E035,PS-SH-50064.pdf,Delivered
SH-50065,SO-26066,KBD-CUST0030,KBD-CUST0030-S1,2025-12-23,Customer Pickup,LTL,,PRO260764395,219,8722.5,4116.5,0.0,E034,PS-SH-50065.pdf,Delivered
SH-50066,SO-26067,KBD-CUST0003,KBD-CUST0003-S1,2025-06-12,FedEx Ground,LTL,,516704765689,21,833.7,405.61,0.0,E026,PS-SH-50066.pdf,Delivered
SH-50067,SO-26068,KBD-CUST0031,KBD-CUST0031-S1,2025-09-10,LTL - XPO,LTL,,PRO661551017,29,1134.2,546.97,0.0,E030,PS-SH-50067.pdf,Delivered
SH-50068,SO-26069,KBD-CUST0031,KBD-CUST0031-S1,03-Aug-2025,LTL - XPO,Company Truck,,,2,48.9,0.0,0.0,E035,PS-SH-50068.pdf,Delivered
SH-50069,SO-26070,KBD-CUST0010,KBD-CUST0010-S1,2025-07-29,LTL - Estes,LTL,,PRO958175259,17,641.2,315.06,346.57,E032,PS-SH-50069.pdf,Delivered
SH-50070,SO-26071,KBD-CUST0019,KBD-CUST0019-S1,2025-08-18,LTL - XPO,LTL,,PRO770429351,11,401.9,202.49,222.74,E036,PS-SH-50070.pdf,Delivered
SH-50071,SO-26072,KBD-CUST0016,KBD-CUST0016-S1,2025-09-12,FedEx Ground,LTL,,579290126224,47,1858.1,887.49,0.0,E028,PS-SH-50071.pdf,Delivered
SH-50072,SO-26073,KBD-CUST0020,KBD-CUST0020-S1,2025-07-22,Company Truck,LTL,,PRO373097583,22,871.4,423.35,469.92,E037,PS-SH-50072.pdf,Delivered
SH-50073,SO-26074 ,KBD-CUST0011,KBD-CUST0011-S1,2026-01-22,Company Truck,Company Truck,,,4,138.8,0.0,0.0,E034,PS-SH-50073.pdf,Delivered
SH-50074,SO-26075,KBD-CUST0011,KBD-CUST0011-S1,29-Oct-2025,Company Truck,LTL,,PRO701717619,80,3194.2,1515.99,0.0,E036,PS-SH-50074.pdf,Delivered
SH-50075,SO-26076,KBD-CUST0010,KBD-CUST0010-S1,2025-10-16,LTL - Estes,LTL,,PRO142802620,452,18044.6,8501.62,0.0,E031,PS-SH-50075.pdf,Delivered
SH-50076,SO-26077,KBD-CUST0015,KBD-CUST0015-S1,2025-12-27,Customer Pickup,LTL,,PRO689906445,5,167.7,92.33,0.0,E029,PS-SH-50076.pdf,Delivered
SH-50077,SO-26078,KBD-CUST0015,KBD-CUST0015-S1,2026-01-13,Customer Pickup,LTL,,PRO165077738,9,353.9,179.91,0.0,E029,PS-SH-50077.pdf,Delivered
SH-50078,SO-26079,KBD-CUST0016,KBD-CUST0016-S1,"Sep 16, 2025",FedEx Ground,LTL,,480577195620,108,4302.6,2037.38,0.0,E036 ,PS-SH-50078.pdf,Delivered
SH-50079,SO-26080,KBD-CUST0011,KBD-CUST0011-S1,2025-12-28,Company Truck,LTL,,PRO326740630,28,1102.5,532.06,0.0,E039,PS-SH-50079.pdf,Delivered
SH-50080,SO-26081,KBD-CUST0001,KBD-CUST0001-S1,2025-12-06,Customer Pickup,LTL,,PRO494830885,49,1936.0,924.13,1035.03,E034,PS-SH-50080.pdf,Delivered
SH-50081 ,SO-26082,KBD-CUST0013,KBD-CUST0013-S1,2025-04-25,Customer Pickup,LTL,,PRO738361092,36,1435.3,688.61,895.19,E036,PS-SH-50081.pdf,Delivered
SH-50082,SO-26083,KBD-CUST0017,KBD-CUST0017-S1,2025-07-10,FedEx Ground,LTL,,313539958326,11,428.7,215.1,268.88,E037,PS-SH-50082.pdf,Delivered
SH-50083,SO-26084,KBD-CUST0023,KBD-CUST0023-S1,2025-12-04,UPS Ground,LTL,,1Z7596799839,94,3722.4,1764.46,2099.71,E031,PS-SH-50083.pdf,Delivered
SH-50084,SO-26087,KBD-CUST0011,KBD-CUST0011-S1,2025-12-22,Company Truck,LTL,,PRO861323211,14,548.3,271.36,0.0,E034,PS-SH-50084.pdf,Delivered
