Item Id,Forecast Month,Forecast Qty,Method,Planner Id,Customer Id
SPRO-1027,2026-04,115,Sales input,E027,
SPRO-1027,2026-05,109,12-mo moving avg,E009,
SPRO-1027,2026-06,121,Exp smoothing,E036,
SPRO-1027,2026-07,110,Exp smoothing,E037,
SPRO-1027,2026-08,121,12-mo moving avg,E012,
SPRO-1027,2026-09,88,12-mo moving avg,E026,KBD-CUST0022
SPRO-1069,2026-04,3,12-mo moving avg,E018,KBD-CUST0006
SPRO-1069,2026-05,3,12-mo moving avg,E032,KBD-CUST0008
SPRO-1069,2026-06,2,12-mo moving avg,E003,
SPRO-1069,2026-07,3,12-mo moving avg,E023,
SPRO-1069,2026-08 ,3,Sales input,E028,
SPRO-1069,2026-09,3,Sales input,E044,KBD-CUST0023
TIMI-1075,2026-04,55,12-mo moving avg,E042,
TIMI-1075,2026-05,97,Sales input,E022,
TIMI-1075,2026-06,78,Exp smoothing,E035,
TIMI-1075,2026-07,65,12-mo moving avg,E005,
TIMI-1075,2026-08,86,Sales input,E015,
TIMI-1075,2026-09,75,12-mo moving avg,E021,
GEAR-1080,2026-04,4,Exp smoothing,E039,KBD-CUST0010
GEAR-1080,2026-05,4,Sales input,E005,
GEAR-1080,2026-06,4,Sales input,E021,KBD-CUST0032
GEAR-1080,2026-07,4,Exp smoothing,E035,KBD-CUST0015
GEAR-1080,2026-08,3,Sales input,E028 ,KBD-CUST0004
GEAR-1080,2026-09,4,Sales input,E018,
SHEA-1028,2026-04,3,Exp smoothing,E004,
SHEA-1028,2026-05,2,12-mo moving avg,E017,
SHEA-1028,2026-06,3,Sales input,E022,
SHEA-1028,2026-07,3,Sales input,E040,
SHEA-1028,2026-08,3,Sales input,E013,
SHEA-1028,2026-09,4,12-mo moving avg,E005,
CONV-1023,2026-04,7,Sales input,E039,
CONV-1023,2026-05,7,Exp smoothing,E038,
CONV-1023,2026-06,8,Exp smoothing,E010,
CONV-1023,2026-07,5,12-mo moving avg ,E028,KBD-CUST0024
CONV-1023,2026-08,5,Exp smoothing,E013,KBD-CUST0003
CONV-1023,2026-09,7,Exp smoothing,E001,
SHEA-1045,2026-04,96,Exp smoothing,E015,
SHEA-1045 ,2026-05,74,12-mo moving avg,E009,
SHEA-1045,2026-06,74,Sales input,E028,
SHEA-1045,2026-07,54,12-mo moving avg,E028,
SHEA-1045,2026-08,77,Exp smoothing,E023,KBD-CUST0013
SHEA-1045,2026-09,97,Exp smoothing,E016,
CONV-1042,2026-04,4,12-mo moving avg,E034,KBD-CUST0014
CONV-1042,2026-05,3,Exp smoothing,E010,
