Run Date,Item Id,Action,Available,On Order,Reorder Point,Suggested Qty,Suggested Due,Supplier Id,Status
2026-03-31,TIMI-1000,Buy,-6,0,44,84,2026-05-06,KBD-V002,Open
03/31/2026,CONV-1043,Make,34,0,58,33,2026-04-20,,Open
2026-03-31,TIMI-1056,Buy,6,0,30,15,2026-04-12,KBD-V015,Open
31-Mar-2026,MOUN-1062,Buy,29,0,45,97,2026-04-06,KBD-V001,Open
2026-03-31,CONV-1065,Make,29,0,55,121,2026-04-15,,Open
2026-03-31,TIMI-1071,Buy,0,0,48,136,2026-04-17,KBD-V012,Open
2026-03-31,SHEA-1072,Buy,0,22,49,11,2026-04-19,KBD-V011,Open
2026-03-31,TIMI-1075,Buy,13,0,58,41,2026-05-12,KBD-V006,Open
2026-03-31,SHEA-1082,Buy,18,0,31,35,2026-04-20,KBD-V005,Open
2026-03-31,SPRO-1087,Buy,0,0,46,167,2026-05-01,KBD-V002,Open
