Work Order Id,Issue Date,Component Item Id,Required Qty,Issued Qty,Uom,Lot Number,Issued By
WO-70001,2025-10-11,SHEA-1045,2,2.04,EA,,E038
WO-70001,2025-10-09,SKF-6205-2RS1,2,2.08,EA,,E030
WO-70001,2025-10-11,SHEA-1077,2,2.0,EA,,E029
WO-70001,10-Oct-2025,GEAR-1066,2,1.96,EA,,E031
WO-70002,2025-07-30,AC-1086,4,4.16,EA,,E038
WO-70002,2025-07-30,SPRO-1050 ,2,2.04,EA,,E034
WO-70002,2025-07-31,ROLL-1053,4,4.2,EA,,E028
WO-70002,2025-08-01,SHEA-1072,0.75,0.77,EA,,E033
WO-70002,2025-07-31,MOUN-1034,2.5,2.55,EA,,E034
WO-70003,2025-12-19,GEAR-1066,4,4.12,EA,,E039
WO-70003,2025-12-18,SHEA-1003,2.5,2.5,EA,,E031
WO-70003,2025-12-19,SPRO-1055,1,1.0,EA,,E035
WO-70003,2025-12-19,GEAR-1024,0.75,0.78,EA,,E030
WO-70004,2025-05-10,AC-1057,4,4.2,EA,,E032
WO-70004,2025-05-10,GEAR-1084,2,2.08,EA,,E037
WO-70004,09-May-2025,MOUN-1062,8,8.08,EA,,E029
WO-70004,2025-05-10,TIMI-1058,5.0,5.05,EA,,E026
WO-70005,2025-11-17,GEAR-1001,2,2.02,EA,,E035
WO-70005,2025-11-17,AC-1063,4,3.96,EA,,E038
WO-70005,2025-11-16,GEAR-1080,2,2.06,EA,,E027
WO-70005,2025-11-16,AC-1057,5.0,5.25,EA,,E030
WO-70006,2025-05-28,TIMI-1058,3.0,3.03,EA,,E032
WO-70006,2025-05-28,SPRO-1009,3.0,3.15,EA,,E030
WO-70006,2025-05-29,TIMI-1020,4,4.08,EA,,E034
WO-70006,2025-05-28,MOUN-1031,16,16.0,EA,,E036
WO-70006,2025-05-27,MOUN-1029,16,16.0,EA,,E034
WO-70007,2025-07-26,GEAR-1066,4,3.96,EA,,E028
WO-70007,2025-07-26,SHEA-1003,2.5,2.48,EA,,E026
WO-70007,2025-07-27,SPRO-1055,1,1.0,EA,,E037
WO-70007,2025-07-28,GEAR-1024 ,0.75,0.74,EA,,E038
WO-70008,2025-04-20,TIMI-1014,0.75,0.74,EA,,E028
WO-70008 ,2025-04-20,AC-1063,1,0.98,EA,,E034
WO-70008,2025-04-20 ,AC-1074 ,2,2.0,EA,,E026
WO-70009,2025-10-05,SHEA-1045,1,1.03,EA,,E026
WO-70009,06-Oct-2025,SKF-6205-2RS1,1,1.02,EA,,E035
WO-70009,2025-10-06,SHEA-1077,1,1.03,EA,,E033
WO-70009,2025-10-06,GEAR-1066,1,0.98,EA,,E028
WO-70010,2025-10-28,GEAR-1066,4,4.04,EA,,E028
WO-70010,2025-10-26,SHEA-1003,2.5,2.58,EA,,E036
WO-70010,2025-10-27,SPRO-1055,1,1.03,EA,,E031
WO-70010,10/26/25,GEAR-1024,0.75,0.73,EA,,E033
WO-70011,2025-11-03,SHEA-1035,4,4.04,EA,,E035
WO-70011,2025-11-01,SHEA-1088,4,4.12,EA,,E029
WO-70011,2025-11-01,TIMI-1058,2,2.0,EA,,E034
WO-70011,2025-11-01,SHEA-1077,5.0,5.2,EA,,E039
WO-70011,2025-11-01 ,SHEA-1072,2,2.02,EA,,E033
WO-70011,2025-11-02,MOUN-1031,2,2.02,EA,,E028
WO-70012,2025-04-02,TIMI-1014,3.0,3.12,EA,,E039
WO-70012,2025-04-02,AC-1063,4,4.16,EA,,E032
WO-70012,04-Apr-2025,AC-1074,8,7.92,EA,,E039
WO-70013,2025-11-08,SPRO-1061,2,2.02,EA,,E038
WO-70013,2025-11-06,GEAR-1084,4,3.96,EA,,E028
WO-70013,2025-11-06,ROLL-1026,4,4.12,EA,,E033
WO-70013,"Nov 07, 2025",TIMI-1071 ,1.5,1.54,EA,,E034
WO-70013,2025-11-08,BRI-HHCS-0500-13-200-G8,1.5,1.54,BX,,E035
WO-70014,2025-06-16,TIMI-1014,5.0,5.0,EA,,E034
WO-70014,2025-06-18,SPRO-1050,2,2.1,EA,,E036
WO-70014,2025-06-18,AC-1086,8,8.0,EA,,E027
WO-70014,2025-06-18,ROLL-1053,5.0,5.15,EA,,E026
WO-70014,2025-06-18,GEAR-1016,4,3.92,EA,,E028
WO-70015,2025-09-27,SHEA-1049,16,16.16,EA,,E026
WO-70015,2025-09-27,TIMI-1000,4,4.2,EA,,E039
WO-70015,2025-09-29,SPRO-1055,8,8.32,EA,,E035
WO-70015,2025-09-27,SHEA-1037,8,8.0,EA,,E030
WO-70015,27-Sep-2025,GEAR-1001,4,4.04,EA,,E034
WO-70016,2025-10-22,SHEA-1049,4,4.16,EA,,E027
WO-70016 ,2025-10-20,TIMI-1000,1,1.04,EA,,E027
WO-70016,2025-10-22,SPRO-1055,2,2.0,EA,,E037
WO-70016,2025-10-21,SHEA-1037,2,2.02,EA,,E031
WO-70016,2025-10-20,GEAR-1001,1,0.98,EA,,E032
WO-70017,2025-07-15,TIMI-1014,3.0,3.12,EA,,E030
WO-70017,2025-07-16,AC-1063,4,4.12,EA,,E032
WO-70017,2025-07-15,AC-1074,8,8.08,EA,,E032
WO-70018,2026-01-03,SHEA-1045,4,4.2,EA,,E036
WO-70018,2026-01-04,SKF-6205-2RS1,4,4.2,EA,,E028
WO-70018,2026-01-04,SHEA-1077,4,4.16,EA,,E036
WO-70018,2026-01-03 ,GEAR-1066,4,3.96,EA,,E029
WO-70019,2025-08-09,SHEA-1045,1,1.04,EA ,,E028
WO-70019,2025-08-10,SKF-6205-2RS1,1,0.99,EA,,E038
WO-70019,2025-08-11,SHEA-1077,1,1.05,EA,,E031
WO-70019,2025-08-11,GEAR-1066,1,1.02,EA,,E030
WO-70020,2025-11-19,SPRO-1061,1,1.0,EA,,E039
WO-70020,"Nov 21, 2025",GEAR-1084,2,2.02,EA,,E037
WO-70020,2025-11-20,ROLL-1026,2,1.96,EA,,E033
WO-70020,2025-11-21,TIMI-1071,0.75,0.77,EA,,E030
WO-70020,2025-11-21,BRI-HHCS-0500-13-200-G8,0.75,0.77,BX,,E039
WO-70021,2026-03-25,AC-1057 ,2,2.1,EA,,E036
WO-70021,03/27/2026,GEAR-1084,1,1.03,EA,,E038
WO-70021,03/26/26,MOUN-1062,4,3.92,EA,,E026
WO-70021,2026-03-26 ,TIMI-1058,2.5,2.5,EA,,E028
WO-70022,2025-07-08,SHEA-1049,4,4.0,EA,,E029
WO-70022,2025-07-10 ,TIMI-1000,1,1.0,EA,,E037
WO-70022,2025-07-09,SPRO-1055,2,2.06,EA,,E026
WO-70022,2025-07-10,SHEA-1037,2,2.0,EA,,E030 
WO-70022,2025-07-10,GEAR-1001,1,1.02,EA,,E026
WO-70023,2026-02-26 ,AC-1086,4,4.0,EA,,E027
WO-70023,2026-02-25,SPRO-1050,2,1.96,EA,,E030
WO-70023,2026-02-27,ROLL-1053,4,4.16,EA,,E036
WO-70023,2026-02-26,SHEA-1072,0.75,0.73,EA,,E037
WO-70023,2026-02-26,MOUN-1034,2.5,2.55,EA,,E031
