Completion Id,Work Order Id,Completion Date,Item Id,Completed Qty,To Location,Std Cost,Actual Cost,Variance,Received By
CMP-00001,WO-70001,2025-10-31,CONV-1043,2,FG-STAGE,3943.06,2729.85,-1213.21,E036
CMP-00002,WO-70003 ,2025-12-27,CONV-1051,1,FG-STAGE,4147.58,6384.78,2237.2,E032
CMP-00003,WO-70004,2025-05-22,CONV-1046,2,FG-STAGE,14623.78,11597.55,-3026.23,E037
CMP-00004,WO-70005,2025-12-13,CONV-1022,2,FG-STAGE,4308.1,15274.56,10966.46,E036
CMP-00005,WO-70007,2025-08-15,CONV-1051,1,FG-STAGE,4147.58,6149.37,2001.79,E039
CMP-00006,WO-70008,2025-05-23,CONV-1039,1,FG-STAGE,7046.72,5006.59,-2040.13,E038
CMP-00007,WO-70009,2025-10-23,CONV-1043,1,FG-STAGE,1971.53,1367.37,-604.16,E026
CMP-00008,WO-70010 ,2025-11-01,CONV-1051,1,FG-STAGE,4147.58,6268.48,2120.9,E038
CMP-00009,WO-70011,2025-11-14,CONV-1023,2,FG-STAGE,7304.3,2188.65,-5115.65,E037
CMP-00010,WO-70012,2025-04-24,CONV-1039,4,FG-STAGE,28186.88,20303.76,-7883.12,E028
CMP-00011,WO-70013,11/18/2025,CONV-1065,2,FG-STAGE,5807.12,14581.52,8774.4,E030
CMP-00012,WO-70014,2025-07-04,CONV-1089,2,FG-STAGE,11729.18,28724.5,16995.32,E030
CMP-00013,WO-70015,2025-10-12,CONV-1052,4,FG-STAGE,9246.4,7614.0,-1632.4,E038
CMP-00014,WO-70016,2025-11-13,CONV-1052,1,FG-STAGE,2311.6,1892.07,-419.53,E030
CMP-00015,WO-70017,2025-08-13,CONV-1039,4,FG-STAGE,28186.88,20502.78,-7684.1,E030
CMP-00016,WO-70018,2026-01-23,CONV-1043,4,FG-STAGE,7886.12,5527.24,-2358.88,E031
CMP-00017,WO-70019,2025-08-28,CONV-1043,1,FG-STAGE,1971.53,1419.9,-551.63,E028
CMP-00018,WO-70020,12/07/2025,CONV-1065,1,FG-STAGE,2903.56,7415.14,4511.58,E028
CMP-00019,WO-70022,2025-08-05,CONV-1052,1,FG-STAGE,2311.6,1904.39,-407.21,E027
CMP-00020,WO-70023,2026-03-08,CONV-1013,1,FG-STAGE,2336.18,10081.97,7745.79,E037
CMP-00021,WO-70024,2025-05-11,CONV-1023,1,FG-STAGE,3652.15,1096.66,-2555.49,E038
CMP-00022,WO-70025,2025-08-09,CONV-1065,4,FG-STAGE,11614.24,30235.21,18620.97,E026
CMP-00023,WO-70026,2025-07-03,CONV-1023,1,FG-STAGE,3652.15,1096.28,-2555.87,E033
CMP-00024,WO-70027,2025-09-11,CONV-1051,2,FG-STAGE,8295.16,12351.36,4056.2,E028
CMP-00025,WO-70028,2026-03-09,CONV-1089,1,FG-STAGE,5864.59,14688.86,8824.27,E034
CMP-00026,WO-70029,2025-09-20,CONV-1046,1,FG-STAGE,7311.89,5788.31,-1523.58,E033
CMP-00027,WO-70030,2026-01-13,CONV-1052,1,FG-STAGE,2311.6,1915.73,-395.87,E034
CMP-00028,WO-70031,2025-07-05,CONV-1051,2,FG-STAGE,8295.16,12516.91,4221.75,E032
CMP-00029,WO-70032 ,2025-12-19,CONV-1039,1,FG-STAGE,7046.72,5041.9,-2004.82,E027
CMP-00030,WO-70033,2025-12-19,CONV-1052,4,FG-STAGE,9246.4,7704.43,-1541.97,E035
CMP-00031,WO-70034,2025-09-26,CONV-1089,2,FG-STAGE,11729.18,28529.7,16800.52,E038
CMP-00032,WO-70036,2025-12-24,CONV-1065,1,FG-STAGE,2903.56,7284.69,4381.13,E026
CMP-00033,WO-70037,2025-04-18,CONV-1089,4,FG-STAGE,23458.36,57616.94,34158.58,E038
CMP-00034,WO-70038,2025-09-11,CONV-1039,2,FG-STAGE,14093.44,10117.77,-3975.67,E038
CMP-00035,WO-70039,2026-02-23,CONV-1051,1,FG-STAGE,4147.58,6441.57,2293.99,E038
CMP-00036 ,WO-70040,2026-02-04,CONV-1022,2,FG-STAGE,4308.1,15275.13,10967.03,E032
CMP-00037,WO-70041,2026-02-05,CONV-1042,4,FG-STAGE,20638.32,2554.8,-18083.52,E031
CMP-00038,WO-70043,2025-05-08,CONV-1022,1,FG-STAGE,2154.05,7748.37,5594.32,E027
CMP-00039,WO-70045,2026-01-10,CONV-1051,4,FG-STAGE,16590.32,25689.6,9099.28,E035
CMP-00040,WO-70046,2025-11-08,CONV-1022,4,FG-STAGE,8616.2,30638.99,22022.79,E027
CMP-00041,WO-70049 ,"Mar 13, 2026",CONV-1023,4,FG-STAGE,14608.6,4328.76,-10279.84,E029
CMP-00042,WO-70050,2025-07-26,CONV-1051,1,FG-STAGE,4147.58,6454.51,2306.93,E035
