Work Order Id,Item Id,Item Revision,Order Qty,Release Date,Due Date,Demand Source,Planner Id,Status,Completed Qty,Scrap Qty,Std Cost Per Unit,Actual Cost
WO-70001,CONV-1043,C,2,09-Oct-2025,2025-11-01,Stock,E020,Closed,2,0,1971.53,2729.85
WO-70002,CONV-1013,B,1,2025-07-30,2025-08-20,SO-26008,E029,In Process,1,0,2336.18,
WO-70003,CONV-1051,B,1,2025-12-18,2025-12-25,Stock,E014,Closed,1,1,4147.58,6384.78
WO-70004,CONV-1046,A,2,05/08/25,2025-05-16,Stock,E031,Closed,2,0,7311.89,11597.55
WO-70005,CONV-1022,B,2,2025-11-16,09-Dec-2025,Stock,E005,Closed,2,0,2154.05,15274.56
WO-70006,CONV-1042,B,4,2025-05-27,2025-06-16,Stock,E002,Released,0,0,5159.58,
WO-70007,CONV-1051,B,1,2025-07-26,2025-08-12,SO-26328,E043,Closed,1,0,4147.58,6149.37
WO-70008,CONV-1039,B,1,2025-04-19,2025-05-17,Stock,E040,Closed,1,0,7046.72,5006.59
WO-70009,CONV-1043,C,1,2025-10-05,2025-10-25,Stock,E030,Closed,1,0,1971.53,1367.37
WO-70010,CONV-1051,B,1,10/26/25,2025-11-02,SO-26031,E043,Closed,1,0,4147.58,6268.48
WO-70011,CONV-1023,A,2,2025-11-01,17-Nov-2025,SO-26355,E017,Closed,2,0,3652.15,2188.65
WO-70012,CONV-1039,B,4,2025-04-02,2025-04-19,Stock,E026,Closed,4,0,7046.72,20303.76
WO-70013,CONV-1065,C,2,2025-11-06,15-Nov-2025,SO-26238,E026,Closed,2,0,2903.56,14581.52
WO-70014,CONV-1089,B,2,2025-06-16,2025-06-29,SO-26102,E002,Closed,2,0,5864.59,28724.5
WO-70015,CONV-1052,C,4,09/27/25,2025-10-08,Stock,E007,Closed,4,0,2311.6,7614.0
WO-70016,CONV-1052,C,1,2025-10-20,2025-11-08,SO-26339,E020,Closed,1,0,2311.6,1892.07
WO-70017,CONV-1039,B,4,2025-07-14,2025-08-07,Stock,E032,Closed,4,0,7046.72,20502.78
WO-70018,CONV-1043,C,4,2026-01-02,2026-01-25,Stock,E008,Closed,4,0,1971.53,5527.24
WO-70019,CONV-1043,C,1,2025-08-09,2025-08-25,SO-26206,E029,Closed,1,0,1971.53,1419.9
WO-70020,CONV-1065,C,1,2025-11-19,2025-12-05,Stock,E044,Closed,1,0,2903.56,7415.14
WO-70021,CONV-1046,A,1,2026-03-25,2026-04-10,SO-26432,E034,In Process,0,0,7311.89,
WO-70022,CONV-1052,C,1,2025-07-08,2025-07-31,SO-26376,E017,Closed,1,0,2311.6,1904.39
WO-70023,CONV-1013,B,1,2026-02-25,2026-03-09,Stock,E010,Closed,1,0,2336.18,10081.97
WO-70024,CONV-1023,A,1,2025-04-22,2025-05-14,SO-26393,E005,Closed,1,0,3652.15,1096.66
WO-70025,CONV-1065,C,4,2025-07-12,2025-08-09,SO-26432,E023,Closed ,4,0,2903.56,30235.21
WO-70026,CONV-1023,A,1,2025-06-15,07/04/2025,SO-26141,E024,Closed,1,0,3652.15,1096.28
WO-70027,CONV-1051,B,2,2025-09-02,2025-09-13,Stock,E037,Closed,2,0,4147.58,12351.36
WO-70028,CONV-1089,B,1,02/24/26,06-Mar-2026,SO-26078,E043,Closed,1,0,5864.59,14688.86
