Coc Id,Work Order Id,Item Id,Revision,Qty,Issue Date,Customer So,Signed By,Material Certs Attached,File
COC-00001,WO-70001,CONV-1043,C,2,2025-11-01,Stock,E045,Y,COC-WO-70001.pdf
COC-00002,WO-70003,CONV-1051,B,1,2025-12-25,Stock,E045,Y,COC-WO-70003.pdf
COC-00003,WO-70004,CONV-1046,A,2,2025-05-16,Stock,E045,Y,COC-WO-70004.pdf
COC-00004,WO-70005,CONV-1022,B,2,2025-12-09,Stock,E045,Y,COC-WO-70005.pdf
COC-00005,WO-70007,CONV-1051,B,1,2025-08-12,SO-26328,E045,Y,COC-WO-70007.pdf
COC-00006,WO-70008,CONV-1039,B,1,2025-05-17,Stock,E045,Y,COC-WO-70008.pdf
COC-00007,WO-70009,CONV-1043,C,1,2025-10-25,Stock,E045,Y,COC-WO-70009.pdf
COC-00008,WO-70010,CONV-1051,B,1,2025-11-02,SO-26031,E045,Y,COC-WO-70010.pdf
COC-00009,WO-70011,CONV-1023,A,2,2025-11-17,SO-26355,E045,Y,COC-WO-70011.pdf
COC-00010,WO-70012,CONV-1039,B,4,2025-04-19,Stock,E045,Y,COC-WO-70012.pdf
COC-00011,WO-70013,CONV-1065,C,2,11/15/25,SO-26238,E045,Y,COC-WO-70013.pdf
COC-00012 ,WO-70014,CONV-1089,B,2,2025-06-29,SO-26102,E045,Y,COC-WO-70014.pdf
COC-00013,WO-70015,CONV-1052,C,4,2025-10-08,Stock,E045,Y,COC-WO-70015.pdf
COC-00014,WO-70016,CONV-1052,C,1,2025-11-08,SO-26339,E045,Y,COC-WO-70016.pdf
COC-00015,WO-70017 ,CONV-1039,B,4,2025-08-07,Stock,E045,Y,COC-WO-70017.pdf
COC-00016,WO-70018,CONV-1043,C,4,2026-01-25,Stock,E045,Y,COC-WO-70018.pdf
COC-00017,WO-70019,CONV-1043,C,1,2025-08-25,SO-26206,E045,Y,COC-WO-70019.pdf
COC-00018,WO-70020,CONV-1065,C,1,2025-12-05,Stock,E045,Y,COC-WO-70020.pdf
COC-00019,WO-70022,CONV-1052,C,1,2025-07-31,SO-26376,E045,Y,COC-WO-70022.pdf
COC-00020,WO-70023,CONV-1013,B,1,2026-03-09,Stock,E045,Y,COC-WO-70023.pdf
COC-00021,WO-70024,CONV-1023,A,1,2025-05-14,SO-26393,E045,Y,COC-WO-70024.pdf
COC-00022,WO-70025,CONV-1065,C,4,2025-08-09,SO-26432,E045,Y,COC-WO-70025.pdf
COC-00023,WO-70026,CONV-1023,A,1,2025-07-04,SO-26141,E045,Y,COC-WO-70026.pdf
COC-00024,WO-70027,CONV-1051,B,2,09/13/2025,Stock,E045,N,COC-WO-70027.pdf
COC-00025,WO-70028,CONV-1089,B,1,2026-03-06,SO-26078,E045,Y,COC-WO-70028.pdf
COC-00026 ,WO-70029,CONV-1046 ,A,1,2025-09-23,Stock,E045,N,COC-WO-70029.pdf
COC-00027,WO-70030,CONV-1052,C,1,2026-01-08,Stock,E045,Y,COC-WO-70030.pdf
COC-00028,WO-70031,CONV-1051,B,2,2025-07-01,Stock,E045,Y,COC-WO-70031.pdf
COC-00029,WO-70032,CONV-1039,B,1,"Dec 13, 2025",Stock,E045,Y,COC-WO-70032.pdf
COC-00030,WO-70033,CONV-1052,C,4,12/22/2025,SO-26001,E045,Y,COC-WO-70033.pdf
COC-00031,WO-70034,CONV-1089,B,2,2025-09-20,Stock,E045,Y,COC-WO-70034.pdf
COC-00032,WO-70036,CONV-1065,C,1,2025-12-19,SO-26247,E045,Y,COC-WO-70036.pdf
COC-00033,WO-70037,CONV-1089,B,4,2025-04-19,Stock,E045,N,COC-WO-70037.pdf
COC-00034,WO-70038,CONV-1039,B,2,2025-09-06,Stock,E045,Y,COC-WO-70038.pdf
COC-00035,WO-70039,CONV-1051,B,1,2026-02-18,Stock,E045,Y,COC-WO-70039.pdf
COC-00036,WO-70040,CONV-1022,B,2,2026-01-31,SO-26059,E045 ,Y,COC-WO-70040.pdf
COC-00037,WO-70041,CONV-1042,B,4,2026-02-07,Stock,E045,Y,COC-WO-70041.pdf
COC-00038,WO-70043,CONV-1022,B,1,2025-05-10,Stock,E045,Y,COC-WO-70043.pdf 
COC-00039,WO-70045,CONV-1051,B,4,2026-01-13,Stock,E045,Y,COC-WO-70045.pdf
COC-00040,WO-70046,CONV-1022,B,4,2025-11-03,SO-26033,E045,Y,COC-WO-70046.pdf
COC-00041,WO-70049,CONV-1023,A,4,2026-03-09,SO-26401,E045,Y,COC-WO-70049.pdf
COC-00042,WO-70050,CONV-1051,B,1,2025-07-27,SO-26374,E045,N,COC-WO-70050.pdf
COC-00043,WO-70051,CONV-1051,B,2,2025-12-09,Stock,E045,Y,COC-WO-70051.pdf
COC-00044,WO-70052,CONV-1065,C,2,10/30/2025,Stock,E045,Y,COC-WO-70052.pdf
COC-00045,WO-70053,CONV-1022,B,1,2026-02-04,SO-26329,E045,Y,COC-WO-70053.pdf
COC-00046,WO-70054,CONV-1089,B,2,2025-06-12,Stock,E045,Y,COC-WO-70054.pdf
COC-00047,WO-70055,CONV-1042,B,1,2026-02-21,SO-26288,E045,Y,COC-WO-70055.pdf
COC-00048,WO-70056,CONV-1023,A,2,2025-05-14,Stock,E045,Y,COC-WO-70056.pdf
COC-00049,WO-70057,CONV-1051,B,1,13-Oct-2025,Stock,E045,Y,COC-WO-70057.pdf
COC-00050,WO-70058,CONV-1013,B,1,2025-11-26,SO-26468,E045,Y,COC-WO-70058.pdf
COC-00051,WO-70059,CONV-1046,A,4,2025-12-02,Stock,E045,Y,COC-WO-70059.pdf
COC-00052,WO-70060,CONV-1013,B,4,2025-08-20,SO-26177,E045,Y,COC-WO-70060.pdf
