Inspection Id,Type,Reference,Item Id,Inspection Date,Inspector Id,Sample Size,Defects Found,Result,Plan
INS-00001,Receiving,RCV-40136,GEAR-1016,2025-07-07,E045,2,0,Accept,AQL 1.0 Level II
INS-00002,Receiving,RCV-40168,SPRO-1070,2025-11-08,E045,8,0,Accept,AQL 1.0 Level II
INS-00003,Receiving,RCV-40064,3M-SF401AF,2025-10-08,E045,5,0,Accept ,AQL 1.0 Level II
INS-00004,Receiving,RCV-40161,SPRO-1050,2025-12-27,E045,5,0,Accept,AQL 1.0 Level II
INS-00005,Receiving,RCV-40172,SPRO-1076,2026-01-10,E045,2,0,Accept,AQL 1.0 Level II
INS-00006,Receiving,RCV-40266,SPRO-1087,03/25/26,E045,8,0,Accept,AQL 1.0 Level II
INS-00007,Receiving,RCV-40041,SPRO-1050,2025-12-24,E045,13,0,Accept,AQL 1.0 Level II
INS-00008,Receiving,RCV-40166,HEN-243,01/10/2026,E045,13,0,Accept,AQL 1.0 Level II
INS-00009,Receiving,RCV-40150,GEAR-1060,2025-12-11,E045,2,1,Reject,AQL 1.0 Level II
INS-00010,Receiving,RCV-40189,TIMI-1075,2025-12-13,E045,13,0,Accept,AQL 1.0 Level II
INS-00011,Receiving,RCV-40249,AC-1074,2025-09-15,E045,2,0,Accept,AQL 1.0 Level II
INS-00012,Receiving,RCV-40261,TIMI-1017,2026-03-03,E045,8,0,Accept,AQL 1.0 Level II
INS-00013,Receiving,RCV-40112,SPRO-1050,2026-03-28,E045,13,0,Accept,AQL 1.0 Level II
INS-00014 ,Receiving,RCV-40149,SHEA-1025,2025-11-02,E045,8,0,Accept,AQL 1.0 Level II
INS-00015,Receiving,RCV-40232,GEAR-1067,2026-03-30,E045,8,0,Accept,AQL 1.0 Level II 
INS-00016,Receiving,RCV-40193,SHEA-1025,2025-10-01,E045,13,0,Accept,AQL 1.0 Level II
INS-00017,Receiving,RCV-40054,3M-SF401AF,2025-09-07,E045,13,0,Accept,AQL 1.0 Level II
INS-00018,Receiving,RCV-40229,ROLL-1079,2025-09-07,E045,13,0,Accept,AQL 1.0 Level II
INS-00019,Receiving,RCV-40237,SPRO-1009,2025-06-15,E045,5,0,Accept,AQL 1.0 Level II 
INS-00020,Receiving,RCV-40212,GEAR-1066,2025-07-20,E045,8,0,Accept,AQL 1.0 Level II
INS-00021,Receiving,RCV-40183,SPRO-1087,2026-01-03,E045,8,0,Accept,AQL 1.0 Level II
INS-00022,Receiving,RCV-40062,SPRO-1002,2026-01-23,E045,13,0,Accept,AQL 1.0 Level II
INS-00023,Receiving,RCV-40174,TIMI-1056,2026-02-05,E045,13,0,Accept ,AQL 1.0 Level II 
INS-00024,Receiving,RCV-40236,SPRO-1004,2025-09-11,E045,8,0,Accept,AQL 1.0 Level II
INS-00025,Receiving,RCV-40218,MOUN-1008,2026-01-02,E045,13,0,Accept,AQL 1.0 Level II
INS-00026,Receiving,RCV-40043,GEAR-1010,2025-12-23,E045,2,0,Accept,AQL 1.0 Level II
INS-00027,Receiving,RCV-40220,AC-1033,05-Jan-2026,E045,8,0,Accept,AQL 1.0 Level II
INS-00028,Receiving,RCV-40039,SHEA-1064,2025-07-12,E045,13,0,Accept,AQL 1.0 Level II
INS-00029,Receiving,RCV-40181,ROLL-1044,28-Mar-2026,E045,13,0,Accept,AQL 1.0 Level II
INS-00030,Receiving,RCV-40258,SHEA-1072,2025-04-20,E045,2,3,Reject,AQL 1.0 Level II
INS-00031,Receiving,RCV-40195,BRI-HHCS-0500-13-200-G8,2025-07-11,E045,5,0,Accept,AQL 1.0 Level II
INS-00032,Receiving,RCV-40267,SPRO-1002,2025-07-24,E045,13,0,Accept,AQL 1.0 Level II
INS-00033,Receiving,RCV-40066,SHEA-1038,2025-10-07,E045,2,0,Accept,AQL 1.0 Level II
