Invoice Number,Line,Item Id,Qty,Unit Price,Extended,Unit Cost,Margin
INV-60001,1,AC-1040,3,800.8,2402.4,609.44,574.08
INV-60002,1,SPRO-1087,50,61.79,3089.5,44.550000000000004,862.0
INV-60002 ,2,GEAR-1010,1,4602.2,4602.2,2784.15,1818.05
INV-60002,3,GEAR-1060,1,4686.22,4686.22,3102.4300000000003,1583.79
INV-60002,4,SPRO-1004,50,53.72,2686.0,42.84,544.0
INV-60002,5,AC-1057,3,1116.16,3348.48,687.08,1287.24
INV-60003,1,AC-1048,1,2277.84,2277.84,1745.47,532.37
INV-60003,2,CONV-1051 ,3,5524.58,16573.74,4147.58,4131.0
INV-60003,3,CONV-1052,3,3640.77,10922.31,2311.6,3987.51
INV-60003,4,GEAR-1084,1,5318.78,5318.78,3456.0,1862.78
INV-60004,1,SHEA-1019,6,166.09,996.54,94.5,429.54
INV-60004,2,GEAR-1073,1,2781.13,2781.13,1938.75,842.38
INV-60004,3,CONV-1023,1,6175.79,6175.79,3652.15,2523.64
INV-60004 ,4,DOD-TXT315,1,1558.19,1558.19,1180.0,378.19
INV-60005,1,SHEA-1035,1,187.14,187.14,148.52,38.62
INV-60005,2,BRI-HHCS-0500-13-200-G8,6,56.79,340.74,44.75,72.24
INV-60005,3,MOUN-1018 ,2,173.84,347.68,109.13,129.42
INV-60005 ,4,ROLL-1053,4,122.44,489.76,86.10000000000001,145.36
INV-60006,1,SPRO-1078,25,101.65,2541.25,69.25,810.0
INV-60006 ,2,CONV-1046,3,8454.0,25362.0,7311.89,3426.33
INV-60006,3,SHEA-1035,3,170.5,511.5,148.52,65.94
INV-60006,4,SHEA-1072 ,3,122.07,366.21,101.96000000000001,60.33
INV-60006,5,AC-1054,5,2204.17,11020.85,1828.58,1877.95
INV-60007,1,SHEA-1064,5,216.6,1083.0,139.88,383.6
INV-60008,1,MOUN-1031,25,48.02,1200.5,38.78,231.0
INV-60008,2,TIMI-1020 ,100,63.14,6314.0,52.03,1111.0
INV-60009,1,BRI-HHCS-0500-13-200-G8,2,63.1,126.2,44.75,36.7
INV-60010,1,CONV-1043,3,2622.13,7866.39,1971.53,1951.8
INV-60010,2,CONV-1023,5,6175.79,30878.95,3652.15,12618.2
INV-60011,1,TIMI-1032,6,54.1,324.6,32.99,126.66
INV-60011,2,MOUN-1062,1,221.27,221.27,135.75,85.52
INV-60011,3,SKF-6308-2Z,12,13.33,159.96,10.25,36.96
INV-60011,4,SHEA-1045,4,71.52,286.08,47.68,95.36
INV-60012,1,AC-1040,3,800.8,2402.4,609.44,574.08
INV-60013,1,SHEA-1049,1,227.67,227.67,153.4,74.27
INV-60013,2,SPRO-1055,10,32.03,320.3,26.94,50.9
INV-60014,1,MOUN-1008,1,109.84,109.84,71.79,38.05
INV-60014,2,TIMI-1017,50,67.52,3376.0,50.69,841.5
INV-60015,1,TIMI-1014,10,68.98,689.8,49.480000000000004,195.0
INV-60015,2,CONV-1013,3,3620.61,10861.83,2336.18,3853.29
INV-60015,3,CONV-1023,5,5010.84,25054.2,3652.15,6793.45
