Invoice Number,Customer Id,So Number,Shipment Id,Customer Po Number,Invoice Date,Due Date,Payment Terms,Merchandise Total,Freight,Sales Tax,Invoice Total,Amount Paid,Balance,Status,Delivery Method,Gl Revenue Account
INV-60001,KBD-CUST0025,SO-26002,SH-50002,PO197525,08/21/2025,2025-10-05,Net 45,2402.4,0.0,174.17,2576.57,2576.57,0.0,Paid ,Email PDF,4010
INV-60002,KBD-CUST0007,SO-26003,SH-50003,4500458676,2026-03-19,"Apr 18, 2026",Net 30,18412.4,0.0,0.0,18412.4,0.0,18412.4,Open,Email PDF,4010
INV-60003,KBD-CUST0026,SO-26004,SH-50004,4500503261,2026-03-15,2026-03-15,COD,35092.67,0.0,0.0,35092.67,0.0,35092.67,Past Due,Email PDF,4010
INV-60004,KBD-CUST0021,SO-26005,SH-50005,P785691,2025-09-04,2025-10-04,2% 10 Net 30,11511.65,0.0,834.59,12346.24,12346.24,0.0,Paid,Email PDF,4010
INV-60005,KBD-CUST0026,SO-26006,SH-50006,P821082,2025-09-12,2025-09-12,COD,1365.32,180.77,0.0,1546.09,1546.09,0.0,Paid,Email PDF,4010
INV-60006,KBD-CUST0011,SO-26007,SH-50007,PO682347,2026-01-03,"Feb 02, 2026",Net 30,39801.81,1253.61,2885.63,43941.05,43941.05,0.0,Paid,Email PDF,4010
INV-60007,KBD-CUST0007,SO-26008,SH-50008,P971067,2025-06-06,2025-07-06,Net 30,1083.0,0.0,0.0,1083.0,1083.0,0.0,Paid,EDI 810,4010
INV-60008,KBD-CUST0011,SO-26009,SH-50009,4500424151,2025-11-29,2025-12-29,Net 30,7514.5,0.0,544.8,8059.3,8059.3,0.0,Paid,EDI 810,4010
INV-60009,KBD-CUST0019,SO-26010,SH-50010,PUR-647553,2025-08-17,2025-10-01,Net 45,126.2,0.0,9.15,135.35,-193.38,328.73,Short Paid,Mail,4010
INV-60010,KBD-CUST0022,SO-26011,SH-50011,4500276836,2025-07-16,2025-09-14,Net 60,38745.34,218.95,0.0,38964.29,38964.29,0.0,Paid,Email PDF,4010
INV-60011,KBD-CUST0010,SO-26012,SH-50012,P725502,2025-10-07,2025-11-06,Net 30,991.91,379.33,71.91,1443.15,1443.15,0.0,Paid,EDI 810,4010 
INV-60012,KBD-CUST0028,SO-26013,SH-50013,4500314058,2025-06-18,2025-08-02,Net 45,2402.4,0.0,0.0,2402.4,2402.4,0.0,Paid,EDI 810,4010
INV-60013,KBD-CUST0011,SO-26015,SH-50014,PO306977,2025-10-26,11/25/25,Net 30,547.97,0.0,39.73,587.7,587.7,0.0,Paid,Portal upload,4010
INV-60014,KBD-CUST0016,SO-26016,SH-50015,P266473,2025-12-29,2026-01-28,Net 30,3485.84,0.0,0.0,3485.84,3485.84,0.0,Paid,Email PDF,4010
INV-60015,KBD-CUST0001,SO-26017,SH-50016,PUR-356485,2025-07-27,2025-08-26,Net 30,51849.33,0.0,0.0,51849.33,51849.33,0.0,Paid,EDI 810,4010
INV-60016,KBD-CUST0027,SO-26018,SH-50017,4500461969,2026-02-06,2026-03-08,Net 30,4963.08,0.0,0.0,4963.08,0.0,4963.08,Past Due,EDI 810,4010
INV-60017,KBD-CUST0030,SO-26019 ,SH-50018,P541294,2026-03-18,2026-04-17,Net 30,14099.73,270.66,0.0,14370.39,0.0,14370.39,Open,Email PDF,4010
INV-60018,KBD-CUST0025,SO-26020,SH-50019,PUR-469305,2025-11-07,"Dec 22, 2025",Net 45,8147.25,0.0,590.68,8737.93,8737.93,0.0,Paid,Email PDF,4010
INV-60019,KBD-CUST0026,SO-26021,SH-50020,PO186462,2025-08-27,2025-08-27,COD,3664.64,0.0,0.0,3664.64,3664.64,0.0,Paid,Email PDF,4010
INV-60020,KBD-CUST0019,SO-26022,SH-50021,4500794401,2025-10-14,2025-11-28,Net 45,8332.09,442.13,604.08,9378.3,9070.11,308.19,Short Paid,Email PDF,4010
INV-60021,KBD-CUST0006,SO-26023,SH-50022,PO400844,2025-06-30,2025-08-29,Net 60,23531.2,0.0,1706.01,25237.21,24841.06,396.15,Short Paid,Portal upload,4010
INV-60022,KBD-CUST0004,SO-26024,SH-50023,P608920,07-Jun-2025,2025-08-06,Net 60,6173.06,164.7,0.0,6337.76,6337.76,0.0,Paid,Email PDF,4010
INV-60023,KBD-CUST0023,SO-26025,SH-50024,PUR-286928,2025-12-09,2026-02-07,Net 60,22534.43,0.0,0.0,22534.43,22534.43,0.0,Paid,Portal upload,4010
INV-60024,KBD-CUST0025,SO-26026,SH-50025,P952578,2025-11-08,2025-12-23,Net 45,2952.36,0.0,214.05,3166.41,3166.41,0.0,Paid,Portal upload,4010
INV-60025,KBD-CUST0019,SO-26027,SH-50026,PUR-421011,2025-12-12,2026-01-26,Net 45,4620.59,0.0,334.99,4955.58,4955.58,0.0,Paid,Mail,4010
INV-60026,KBD-CUST0020,SO-26028,SH-50027,PO112885,2026-02-01,2026-03-18,Net 45,3104.57,0.0,0.0,3104.57,3104.57,0.0,Paid,Email PDF,4010
INV-60027,KBD-CUST0019,SO-26029,SH-50028,PUR-556461,2025-09-13,2025-10-28,Net 45,626.46,0.0,45.42,671.88,671.88,0.0,Paid,Portal upload,4010
INV-60028,KBD-CUST0007,SO-26030,SH-50029,P762607,03-Dec-2025,2026-01-02,Net 30,46394.06,8150.38,0.0,54544.44,54544.44,0.0,Paid,Email PDF,4010
INV-60029,KBD-CUST0013,SO-26031,SH-50030,PUR-618354,2025-08-30,2025-09-29,Net 30,5318.78,0.0,0.0,5318.78,5318.78,0.0,Paid,Email PDF,4010
INV-60030,KBD-CUST0025,SO-26032,SH-50031,4500278054 ,2025-08-20,10/04/25,Net 45,4004.0,0.0,290.29,4294.29,4294.29,0.0,Paid,Mail,4010
INV-60031,KBD-CUST0007,SO-26033,SH-50032,4500321599,2026-02-06,2026-03-08,Net 30,1382.06,0.0,0.0,1382.06,0.0,1382.06,Past Due,Mail,4010
INV-60032,KBD-CUST0008,SO-26034,SH-50033,PO698399,2025-12-12,2026-02-10,Net 60,51.1,0.0,0.0,51.1,51.1,0.0,Paid,Email PDF,4010
INV-60033,KBD-CUST0011,SO-26035,SH-50034,P952763,2025-10-04,2025-11-03,Net 30,660.66,319.53,47.9,1028.09,1028.09,0.0,Paid,Email PDF,4010
INV-60034,KBD-CUST0031,SO-26036,SH-50035,P151366,2026-01-27,2026-03-13,Net 45,4843.38,0.0,351.15,5194.53,5194.53,0.0,Paid,Email PDF ,4010
INV-60035,KBD-CUST0008,SO-26037,SH-50036,P666258,2026-01-27,2026-03-28,Net 60,5776.6,3264.53,0.0,9041.13,0.0,9041.13,Past Due,EDI 810,4010
INV-60036,KBD-CUST0019,SO-26038,SH-50037,P366097,2026-03-23,05/07/26,Net 45,1556.25,1062.79,112.83,2731.87,0.0,2731.87,Open,Email PDF,4010
INV-60037,KBD-CUST0007,SO-26039,SH-50038,4500419979,2026-01-13,2026-02-12,Net 30,6780.06,0.0,0.0,6780.06,6780.06,0.0,Paid,Email PDF,4010
INV-60038,KBD-CUST0014,SO-26040,SH-50039,PUR-316077,2025-12-06,05-Jan-2026,2% 10 Net 30,44869.56,2508.9,0.0,47378.46,47378.46,0.0,Paid,Email PDF,4010
INV-60039,KBD-CUST0026,SO-26041,SH-50040,PO265774,2025-10-09,2025-10-09,COD,19399.45,1949.01,0.0,21348.46,21348.46,0.0,Paid,Mail,4010
INV-60040,KBD-CUST0014,SO-26042,SH-50041,4500398951,03/11/26,2026-04-10,2% 10 Net 30,4290.34,183.92,0.0,4474.26,0.0,4474.26,Open,EDI 810,4010
INV-60041,KBD-CUST0004,SO-26043,SH-50042,P152593,2025-10-07,2025-12-06,Net 60,3896.75,0.0,0.0,3896.75,3896.75,0.0,Paid,Mail,4010
INV-60042,KBD-CUST0025,SO-26044,SH-50043,P953019,2026-03-19,2026-05-03,Net 45,22824.0,0.0,1654.74,24478.74,0.0,24478.74,Open,EDI 810,4010
INV-60043,KBD-CUST0030,SO-26045,SH-50044,PO343721,2025-12-03,01/02/2026,Net 30,24326.6,0.0,0.0,24326.6,24326.6,0.0,Paid,Mail,4010
INV-60044,KBD-CUST0030,SO-26046,SH-50045,PUR-952460,2025-10-03,2025-11-02,Net 30,17131.57,0.0,0.0,17131.57,17131.57,0.0,Paid,EDI 810,4010
INV-60045,KBD-CUST0004,SO-26047 ,SH-50046,PO719075,2025-05-09,2025-07-08,Net 60,24650.12,0.0,0.0,24650.12,24650.12,0.0,Paid,Email PDF,4010
INV-60046,KBD-CUST0013,SO-26048,SH-50047,PUR-515937,20-Jun-2025,2025-07-20,Net 30,7133.47,1154.78,0.0,8288.25,8288.25,0.0,Paid,Mail,4010
INV-60047,KBD-CUST0022,SO-26049 ,SH-50048,4500119384,2025-06-11,2025-08-10,Net 60,18213.35,62.73,0.0,18276.08,18276.08,0.0,Paid,Email PDF,4010
INV-60048,KBD-CUST0022,SO-26050,SH-50049,4500856894,2025-05-06,05-Jul-2025,Net 60,32723.88,2023.35,0.0,34747.23,34747.23,0.0,Paid,EDI 810,4010
INV-60049,KBD-CUST0019,SO-26051,SH-50050,P628006,04/26/25,2025-06-10,Net 45,11301.09,2281.24,819.33,14401.66,14401.66,0.0,Paid,Mail ,4010
INV-60050,KBD-CUST0005,SO-26052,SH-50051,PO592344,2025-11-29,2025-12-29,Net 30,38277.7,0.0,0.0,38277.7,38277.7,0.0,Paid,Portal upload,4010
INV-60051,KBD-CUST0031,SO-26053,SH-50052,P392885,2025-11-11,2025-12-26,Net 45,19890.57,130.18,1442.07,21462.82,21462.82,0.0,Paid,Portal upload,4010
INV-60052,KBD-CUST0020,SO-26054,SH-50053,PO363935,2025-08-27 ,2025-10-11,Net 45,11710.92,4568.98,0.0,16279.9,16279.9,0.0,Paid,EDI 810,4010
INV-60053,KBD-CUST0026,SO-26055,SH-50054,PUR-812851,06/22/25,2025-06-22,COD,1613.89,352.09,0.0,1965.98,1965.98,0.0,Paid,Email PDF,4010
INV-60054,KBD-CUST0027,SO-26056,SH-50055,4500448988,2025-12-18,2026-01-17,Net 30,5128.18,0.0,0.0,5128.18,5128.18,0.0,Paid,Mail,4010
INV-60055,KBD-CUST0032,SO-26057 ,SH-50056,PO545583,2026-02-15,2026-03-17,Net 30,420.42,0.0,0.0,420.42,0.0,420.42,Past Due,Mail,4010
INV-60056,KBD-CUST0020,SO-26058,SH-50057,PO431035,2025-10-13,2025-11-27,Net 45,228.6,101.6,0.0,330.2,24.42,305.78,Short Paid,Portal upload,4010
INV-60057,KBD-CUST0031,SO-26059,SH-50058,4500807327,2025-05-05,2025-06-19,Net 45,17612.62,416.69,1276.91,19306.22,19306.22,0.0,Paid,Email PDF ,4010
INV-60058,KBD-CUST0014,SO-26060,SH-50059,PO523832,2025-10-29,2025-11-28,2% 10 Net 30,10661.36,99.21,0.0,10760.57,10760.57,0.0,Paid,EDI 810,4010
INV-60059,KBD-CUST0015,SO-26061,SH-50060,P408676,2026-03-03,2026-04-02,Net 30,522.79,0.0,0.0,522.79,0.0,522.79,Open,Mail,4010
INV-60060,KBD-CUST0016,SO-26062,SH-50061,PO364809,2026-01-02,2026-02-01,Net 30,11198.56,117.98,0.0,11316.54,11316.54,0.0,Paid,Mail,4010
INV-60061,KBD-CUST0003,SO-26063,SH-50062,P233233,2026-02-22,2026-03-24,Net 30,320.0,125.99,0.0,445.99,0.0,445.99,Past Due,Email PDF,4010
INV-60062,KBD-CUST0015,SO-26064,SH-50063,PO596093,2025-10-24,2025-11-23,Net 30,1796.08,1466.37,0.0,3262.45,3262.45,0.0,Paid,Portal upload,4010
INV-60063,KBD-CUST0014,SO-26065,SH-50064,PO359502,2026-03-12,2026-04-11,2% 10 Net 30,5693.19,0.0,0.0,5693.19,0.0,5693.19,Open,EDI 810,4010
INV-60064,KBD-CUST0030,SO-26066,SH-50065,PO941395,2025-12-23,2026-01-22,Net 30,79451.05,0.0,0.0,79451.05,79451.05,0.0,Paid,Mail,4010
INV-60065,KBD-CUST0003,SO-26067,SH-50066,PUR-353641,2025-06-12,2025-07-12,Net 30,10175.34,0.0,0.0,10175.34,10175.34,0.0,Paid,Email PDF,4010
INV-60066,KBD-CUST0031,SO-26068,SH-50067,PUR-855314,2025-09-10,2025-10-25,Net 45,10858.84,0.0,787.27,11646.11,11646.11,0.0,Paid,Email PDF,4010
INV-60067,KBD-CUST0031,SO-26069,SH-50068 ,PO703188,2025-08-03,2025-09-17 ,Net 45,285.52,0.0,20.7,306.22,306.22,0.0,Paid,Email PDF,4010
INV-60068,KBD-CUST0010,SO-26070,SH-50069,PO595913,2025-07-29,2025-08-28,Net 30,12223.68,346.57,886.22,13456.47,13456.47,0.0,Paid,Email PDF,4010
INV-60069,KBD-CUST0019,SO-26071,SH-50070,4500221794,2025-08-18,2025-10-02,Net 45,2083.9,222.74,151.08,2457.72,2457.72,0.0,Paid,Mail,4010
INV-60070,KBD-CUST0016,SO-26072,SH-50071,4500248244,2025-09-12,2025-10-12,Net 30,5852.76,0.0,0.0,5852.76,5852.76,0.0,Paid,Mail,4010
INV-60071,KBD-CUST0020,SO-26073,SH-50072,P219772,2025-07-22,2025-09-05,Net 45,1778.53,469.92,0.0,2248.45,2248.45,0.0,Paid,Email PDF,4010
INV-60072,KBD-CUST0011,SO-26074,SH-50073,PUR-837321,2026-01-22,2026-02-21,Net 30,24543.3,0.0,1779.39,26322.69,26137.69,185.0,Short Paid,EDI 810,4010
INV-60073,KBD-CUST0011,SO-26075,SH-50074,P815855,2025-10-29,2025-11-28,Net 30,31887.56,0.0,2311.85,34199.41,34199.41,0.0,Paid,Email PDF,4010
INV-60074,KBD-CUST0010,SO-26076,SH-50075,P801489,2025-10-16,2025-11-15,Net 30,46373.8,0.0,3362.1,49735.9,49735.9,0.0,Paid,Email PDF,4010
INV-60075,KBD-CUST0015,SO-26077,SH-50076,PUR-449257,12/27/2025,"Jan 26, 2026",Net 30,118.28,0.0,0.0,118.28,118.28,0.0,Paid,Portal upload,4010
INV-60076,KBD-CUST0015,SO-26078,SH-50077,4500253366,2026-01-13,2026-02-12,Net 30,28177.18,0.0,0.0,28177.18,28177.18,0.0,Paid,EDI 810,4010
INV-60077,KBD-CUST0016,SO-26079,SH-50078,PUR-256607,2025-09-16,2025-10-16,Net 30,10941.05,0.0,0.0,10941.05,10941.05,0.0,Paid,Portal upload,4010
INV-60078,KBD-CUST0011,SO-26080,SH-50079,P783712,2025-12-28,2026-01-27,Net 30,876.0,0.0,63.51,939.51,939.51,0.0,Paid,Email PDF,4010
INV-60079,KBD-CUST0001,SO-26081,SH-50080,P978008,2025-12-06,2026-01-05,Net 30,14076.12,1035.03,0.0,15111.15,15111.15,0.0,Paid,EDI 810,4010
INV-60080,KBD-CUST0013,SO-26082,SH-50081,P216737,2025-04-25,2025-05-25,Net 30,13358.11,895.19,0.0,14253.3,14253.3,0.0,Paid,Email PDF,4010
INV-60081,KBD-CUST0017,SO-26083,SH-50082,P864047,2025-07-10,2025-08-24,Net 45,25678.73,268.88,0.0,25947.61,25947.61,0.0,Paid,Email PDF,4010
INV-60082,KBD-CUST0023,SO-26084,SH-50083,PUR-156865,2025-12-04,2026-02-02,Net 60,87040.01,2099.71,0.0,89139.72,89139.72,0.0,Paid,Portal upload,4010
INV-60083,KBD-CUST0011,SO-26087,SH-50084,4500342585,2025-12-22,2026-01-21,Net 30,15801.3,0.0,1145.59,16946.89,16946.89,0.0,Paid,Mail,4010
INV-60084,KBD-CUST0021 ,SO-26088,SH-50085,PO563147,2025-04-23,2025-05-23,2% 10 Net 30,374.98,0.0,27.19,402.17,315.73,86.44,Short Paid,Email PDF,4010
INV-60085,KBD-CUST0028,SO-26089,SH-50086,P931914 ,2025-06-28,2025-08-12,Net 45,26375.78,398.54,0.0,26774.32,26774.32,0.0,Paid ,Mail,4010
INV-60086,KBD-CUST0019,SO-26090,SH-50087,PO312435,2025-06-17,2025-08-01,Net 45,17310.33,0.0,1255.0,18565.33,18565.33,0.0,Paid,Mail,4010
INV-60087,KBD-CUST0006,SO-26091,SH-50088,PUR-330209,2025-08-07,2025-10-06,Net 60,25353.68,0.0,1838.14,27191.82,27191.82,0.0,Paid,Email PDF,4010
INV-60088,KBD-CUST0013,SO-26092,SH-50089,4500551851,2025-11-02,2025-12-02,Net 30,32111.26,0.0,0.0,32111.26,32111.26,0.0,Paid,EDI 810,4010
INV-60089,KBD-CUST0028,SO-26093,SH-50090,4500209728,2026-03-27,2026-05-11,Net 45,3151.91,0.0,0.0,3151.91,0.0,3151.91,Open,Email PDF,4010
INV-60090,KBD-CUST0015,SO-26094,SH-50091,PO315799,2025-10-02,2025-11-01,Net 30,321.8,0.0,0.0,321.8,321.8,0.0,Paid,Mail,4010
