Payment Id,Customer Id,Payment Date,Method,Reference,Amount,Applied To Invoice,Unapplied,Remittance Source
KBD-CR00001,KBD-CUST0025,2025-10-08,Check,588122,2576.57,INV-60001,0.0,Bank feed
KBD-CR00002,KBD-CUST0021,2025-10-25,ACH,958619,12346.24,INV-60004,0.0,Portal
KBD-CR00003,KBD-CUST0026,2025-09-29,ACH,345183,1546.09,INV-60005,0.0,Portal
KBD-CR00004,KBD-CUST0011,2026-02-06,ACH,265989,43941.05,INV-60006,0.0,Email remittance
KBD-CR00005,KBD-CUST0007,2025-07-14,Check,640796,1083.0,INV-60007,0.0,Email remittance
KBD-CR00006,KBD-CUST0011,2026-01-14,ACH,563299,8059.3,INV-60008,0.0,Portal
KBD-CR00007,KBD-CUST0019,2025-09-25,Card,378280,-193.38,INV-60009,0.0,Lockbox
KBD-CR00008,KBD-CUST0022,2025-10-06,ACH,447454,38964.29,INV-60010,0.0,Email remittance
KBD-CR00009,KBD-CUST0010,2025-11-27,ACH,495751,1443.15,INV-60011,0.0,Bank feed
KBD-CR00010,KBD-CUST0028,2025-08-20,Card,430806,2402.4,INV-60012,0.0,Bank feed
KBD-CR00011,KBD-CUST0011,2025-11-20,ACH,294339,587.7,INV-60013,0.0,Email remittance
KBD-CR00012,KBD-CUST0016,2026-02-12,ACH,891805,3485.84,INV-60014,0.0,Email remittance
KBD-CR00013,KBD-CUST0001,2025-08-20,ACH,700915,51849.33,INV-60015,0.0,Portal
KBD-CR00014,KBD-CUST0025,2025-12-22,ACH,718034,8737.93,INV-60018,0.0,Lockbox
KBD-CR00015,KBD-CUST0026,2025-09-11,Card,209436,3664.64,INV-60019,0.0,Lockbox
KBD-CR00016,KBD-CUST0019,08-Dec-2025,Check,224573,9070.11,INV-60020,0.0,Portal
KBD-CR00017,KBD-CUST0006,2025-09-07 ,Check,794650,24841.06,INV-60021,0.0,Email remittance 
KBD-CR00018,KBD-CUST0004 ,08/06/2025,Wire,391534,6337.76,INV-60022,0.0,Portal
KBD-CR00019,KBD-CUST0023,2026-01-31,ACH,521484,22534.43,INV-60023,0.0,Email remittance
KBD-CR00020,KBD-CUST0025,2026-01-09,Wire,779430,3166.41,INV-60024,0.0,Lockbox
KBD-CR00021,KBD-CUST0019,2026-02-10,Wire,287684,4955.58,INV-60025,0.0,Portal
KBD-CR00022,KBD-CUST0020,2026-03-31,Check,748769,3104.57,INV-60026,0.0,Email remittance
KBD-CR00023,KBD-CUST0019,11-Nov-2025,Wire,887258,671.88,INV-60027,0.0,Lockbox
KBD-CR00024,KBD-CUST0007,2026-01-14,Card,984395,54544.44,INV-60028,0.0,Email remittance
KBD-CR00025,KBD-CUST0013,2025-10-14,ACH,687223,5318.78,INV-60029,0.0,Email remittance
KBD-CR00026,KBD-CUST0025,2025-10-05,ACH,192499,4294.29,INV-60030,0.0,Bank feed
KBD-CR00027,KBD-CUST0008,2026-02-14,ACH,596863,51.1,INV-60032,0.0,Email remittance
KBD-CR00028,KBD-CUST0011,2025-10-30,Check,490697,1028.09,INV-60033,0.0,Email remittance
KBD-CR00029,KBD-CUST0031,2026-03-23,Check ,529404,5194.53,INV-60034,0.0,Email remittance 
KBD-CR00030,KBD-CUST0007,02/19/26,ACH,602518,6780.06,INV-60037,0.0,Lockbox
KBD-CR00031,KBD-CUST0014,2026-01-16,Wire,630858,47378.46,INV-60038,0.0,Email remittance 
KBD-CR00032,KBD-CUST0026,2025-10-03,Check,520687,21348.46,INV-60039,0.0,Bank feed
KBD-CR00033,KBD-CUST0004,2025-12-24,ACH,992882,3896.75,INV-60041,0.0,Portal
KBD-CR00034,KBD-CUST0030,2026-01-09,ACH,699494,24326.6,INV-60043,0.0,Bank feed
KBD-CR00035,KBD-CUST0030,2025-11-07,ACH,851729,17131.57,INV-60044,0.0,Email remittance
KBD-CR00036,KBD-CUST0004,2025-07-30,Card,809760,24650.12,INV-60045,0.0,Lockbox
KBD-CR00037,KBD-CUST0013,2025-07-14,Card,816333,8288.25,INV-60046,0.0,Email remittance
KBD-CR00038,KBD-CUST0022,2025-08-24,Check,809504,18276.08,INV-60047,0.0,Lockbox
KBD-CR00039,KBD-CUST0022,2025-07-25,Card,704263,34747.23,INV-60048,0.0,Lockbox
KBD-CR00040,KBD-CUST0019,2025-06-09,ACH,145851,14401.66,INV-60049,0.0,Bank feed
KBD-CR00041,KBD-CUST0005,2025-12-24,Wire,985982,38277.7,INV-60050,0.0,Portal
KBD-CR00042,KBD-CUST0031,01/12/26,ACH,841222,21462.82,INV-60051,0.0,Lockbox
KBD-CR00043,KBD-CUST0020,2025-10-03 ,Wire,272143,16279.9,INV-60052,0.0,Portal
KBD-CR00044,KBD-CUST0026,2025-06-22,ACH,507536,1965.98,INV-60053,0.0,Bank feed
KBD-CR00045,KBD-CUST0027,2026-01-23,ACH,978045,5128.18,INV-60054,0.0,Email remittance
KBD-CR00046,KBD-CUST0020,2025-12-06,ACH,584337,24.42,INV-60056,0.0,Bank feed
KBD-CR00047,KBD-CUST0031,2025-07-01,Wire,644844,19306.22,INV-60057,0.0,Lockbox
KBD-CR00048,KBD-CUST0014,2025-12-08,ACH,709580,10760.57,INV-60058,0.0,Lockbox
KBD-CR00049,KBD-CUST0016,2026-01-22,Wire,613623,11316.54,INV-60060,0.0,Lockbox
KBD-CR00050,KBD-CUST0015,14-Dec-2025,ACH,470489,3262.45,INV-60062,0.0,Email remittance
KBD-CR00051,KBD-CUST0030,2026-02-06,ACH,508967,79451.05,INV-60064,0.0,Lockbox
KBD-CR00052,KBD-CUST0003,2025-08-03,ACH,519148,10175.34,INV-60065,0.0,Portal
KBD-CR00053,KBD-CUST0031,2025-10-22,Check,733922,11646.11,INV-60066 ,0.0,Bank feed
KBD-CR00054,KBD-CUST0031,2025-09-16,ACH,525274,306.22,INV-60067,0.0,Lockbox
KBD-CR00055,KBD-CUST0010,2025-08-18,Wire,713455,13456.47,INV-60068,0.0,Bank feed
KBD-CR00056,KBD-CUST0019,2025-09-23,Wire,763302,2457.72,INV-60069,0.0,Lockbox
KBD-CR00057,KBD-CUST0016,2025-11-01,Wire,185155,5852.76,INV-60070,0.0,Portal
KBD-CR00058,KBD-CUST0020,2025-09-20,ACH,905780,2248.45,INV-60071,0.0,Portal
KBD-CR00059,KBD-CUST0011,"Mar 14, 2026",ACH,540159,26137.69,INV-60072,0.0,Portal
