Dispute Id,Invoice Number,Customer Id,Opened Date,Amount,Reason Code,Owner Id,Status
KBD-DSP001,INV-60009,KBD-CUST0019,09/25/2025,328.73,Tax charged,E002,Collected
KBD-DSP002,INV-60020,KBD-CUST0019,2025-12-08,308.19,Damaged,E002,Open
KBD-DSP003,INV-60021,KBD-CUST0006,2025-09-07,396.15,Pricing,E002,Open
KBD-DSP004,INV-60056,KBD-CUST0020,2025-12-06,305.78,Short shipment,E002,Open
KBD-DSP005,INV-60072,KBD-CUST0011,2026-03-14,185.0,Tax charged,E002,Open
KBD-DSP006,INV-60084,KBD-CUST0021,2025-06-07,86.44,Unknown deduction,E002,Open
KBD-DSP007,INV-60094,KBD-CUST0016,2026-02-16,163.84,Short shipment,E002,Collected
KBD-DSP008,INV-60130,KBD-CUST0032,2026-02-06,358.03,Freight,E002,Credit issued
KBD-DSP009,INV-60138,KBD-CUST0016 ,2025-10-22,293.06,Tax charged,E002,Open
KBD-DSP010,INV-60146,KBD-CUST0012,2025-10-13,331.2,Pricing,E002,Open
KBD-DSP011 ,INV-60149,KBD-CUST0029,2025-09-14,101.81,Damaged,E002,Credit issued
KBD-DSP012,INV-60166,KBD-CUST0010,2025-08-12,329.24,Damaged,E002,Open
KBD-DSP013,INV-60170,KBD-CUST0008,2026-01-18,144.18,Unknown deduction,E002,Credit issued
KBD-DSP014,INV-60176,KBD-CUST0025,25-Dec-2025,106.91,Unknown deduction,E002,Open
KBD-DSP015,INV-60196,KBD-CUST0027,2025-08-12,167.28,Short shipment,E002,Credit issued 
KBD-DSP016,INV-60227,KBD-CUST0010,2026-02-17,83.09,Freight,E002,Open
KBD-DSP017,INV-60228,KBD-CUST0008,2026-03-08,315.57,Unknown deduction,E002,Collected
KBD-DSP018,INV-60364,KBD-CUST0021,2026-01-30,245.61,Pricing,E002,Collected
KBD-DSP019,INV-60373,KBD-CUST0025 ,2025-08-07,264.81,Damaged,E002,Open
KBD-DSP020,INV-60414,KBD-CUST0022,2025-09-08,290.7,Unknown deduction,E002,Collected
KBD-DSP021 ,INV-60418,KBD-CUST0020,2025-12-24,258.94,Tax charged,E002,Collected
KBD-DSP022,INV-60474,KBD-CUST0021,2026-02-10,286.2,Tax charged,E002,Collected
KBD-DSP023,INV-60476,KBD-CUST0020,2025-12-23,217.28,Short shipment ,E002,Open
