Rma Number,Customer Id,Invoice Number,Item Id,Qty,Request Date,Reason Code,Disposition,Credit Memo,Credit Amount,Received Date,Status,Approved By
RMA-0001,KBD-CUST0010,INV-60410,SHEA-1064,3,2025-09-20,Defective,Restock w/ 15% fee,CM-7319,456.0,,Awaiting return,E018
RMA-0002,KBD-CUST0005,INV-60309,TIMI-1020,1,2025-08-18,Defective,Restock w/ 15% fee,CM-7666,133.06,2025-08-23,Closed,E024
RMA-0003,KBD-CUST0017,INV-60423,SHEA-1049,2,2025-10-17,Overshipment,Restock w/ 15% fee,CM-7623,555.3,2025-10-30,Closed,E016
RMA-0004,KBD-CUST0031,INV-60280,SPRO-1027,1,2025-10-18,Overshipment,Scrap,,91.94,2025-10-30,Open,E014
RMA-0005,KBD-CUST0011,INV-60306,TIMI-1014,1,2025-11-07,Damaged in transit,Scrap,CM-7679,60.7,,Closed,E018
RMA-0006,KBD-CUST0032,INV-60295,CONV-1052,3,2025-06-09 ,Wrong part ordered,Scrap,,7148.04,2025-06-23,Closed,E017
RMA-0007,KBD-CUST0020,INV-60263,SHEA-1068,5,2026-02-10,Wrong part ordered,Repair,,580.48,2026-02-15,Awaiting return,E017
RMA-0008,KBD-CUST0017,INV-60403,SKF-6205-2RS1,1,2026-03-09,No longer needed,Scrap,CM-7705,10.22,19-Mar-2026,Closed,E018
RMA-0009,KBD-CUST0001,INV-60079,ROLL-1053,1,2026-01-23,Damaged in transit,Restock w/ 15% fee,CM-7763,205.26,2026-01-26,Awaiting return,E025
RMA-0010,KBD-CUST0017,INV-60187,SHEA-1072,1,2025-11-26,Wrong part shipped,Scrap,CM-7005,148.86,2025-11-29,Awaiting return,E024
RMA-0011 ,KBD-CUST0013,INV-60029,GEAR-1084,1,2025-10-20,Wrong part shipped,Scrap,CM-7347,5318.78,,Closed,E014
RMA-0012,KBD-CUST0018,INV-60379,SHEA-1088,1,2026-01-01,Wrong part shipped,Repair,CM-7729,494.9,2026-01-07,Awaiting return,E015
RMA-0013,KBD-CUST0012,INV-60390 ,BRI-HHCS-0500-13-200-G8,1,"Mar 10, 2026",Wrong part ordered,Return to vendor,CM-7782,113.58,2026-03-23,Closed,E013
RMA-0014,KBD-CUST0014,INV-60381,AC-1057,1,2025-11-14,Wrong part ordered,Repair,CM-7405,1926.86,11/19/2025,Open,E018
RMA-0015,KBD-CUST0019,INV-60086,CONV-1051,3,2025-08-08,Damaged in transit,Restock,CM-7582 ,11540.22,,Awaiting return,E013
RMA-0016,KBD-CUST0020,INV-60202,CONV-1059,1,07/26/2025,Damaged in transit,Restock,CM-7821,10526.84,2025-08-08,Open,E017
RMA-0017,KBD-CUST0003,INV-60255,CONV-1022,5,2025-06-03,Wrong part shipped,Repair,CM-7014,5859.02,,Closed,E018
RMA-0018,KBD-CUST0032,INV-60126,SPRO-1041,1,2026-03-03,Wrong part ordered,Scrap,CM-7090,122.24,,Awaiting return,E013
RMA-0019,KBD-CUST0013,INV-60211,GEAR-1080,1,2026-01-14,Damaged in transit,Restock,CM-7603,2297.75,2026-01-16,Closed,E014
RMA-0020,KBD-CUST0027,INV-60405,SPRO-1078,1,06/16/2025,Defective,Restock w/ 15% fee,,235.52,,Closed,E018
RMA-0021,KBD-CUST0006,INV-60087,AC-1006 ,3,2025-10-01,No longer needed,Scrap,CM-7110,7043.48,2025-10-15,Closed,E017
RMA-0022,KBD-CUST0019,INV-60460,SPRO-1027,2,2025-09-12,Defective,Restock,CM-7460,204.3,2025-09-25,Closed,E018
RMA-0023,KBD-CUST0004,INV-60244,CONV-1051,2,2025-09-10,Defective,Restock w/ 15% fee,CM-7119,10067.0,2025-09-16,Closed,E016
RMA-0024,KBD-CUST0012,INV-60113,MOUN-1034,2,2026-03-06,No longer needed,Scrap,CM-7798,76.98,2026-03-14,Closed,E024
RMA-0025,KBD-CUST0013,INV-60080,SHEA-1045,2,2025-05-14,Defective,Return to vendor,CM-7309,128.74,2025-05-19,Awaiting return,E018
RMA-0026,KBD-CUST0026,INV-60123,AC-1085,2,2026-03-03,Wrong part shipped,Restock w/ 15% fee,CM-7857,845.88,2026-03-09,Open,E018
