Entry Number,Entry Date,Broker,Supplier Id,Po Number,Country Of Origin,Entered Value,Duty Paid,Mpf Hmf,Brokerage Fee,Isf Filed,Documents
370-7390495-5,2025-08-08,C.H. Robinson,KBD-V002,PO-31015,IT,46674.51,2183.37,53.17,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
469-1542618-6,2025-10-20,Expeditors,KBD-V001,PO-31010,CN,15914.19,3414.99,435.46,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
209-7097403-4,2025-12-20,C.H. Robinson,KBD-V002,PO-31142,IT ,5391.56,3363.83,265.34,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
338-5417002-9,2026-03-20,Livingston,KBD-V010,PO-31141,TW,15136.82,295.56,540.43,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
727-9189468-0,2025-12-29,C.H. Robinson,KBD-V018,PO-31076,IT,14284.16,3697.62,153.04,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
467-1015671-0,2026-01-17,Expeditors,KBD-V019,PO-31083,IN,5364.39,2538.88,187.22,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
665-1790726-5,2026-01-22,Livingston,KBD-V015,PO-31153,DE,37539.76,4278.94,464.42,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
785-8690929-3,2025-08-05,Expeditors,KBD-V007,PO-31014,IN ,46059.47,3331.11,429.25,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
807-4525017-8,04/14/2025,Expeditors,KBD-V009,PO-31296,IN,40358.79,3774.92,188.12,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
190-4592107-9,2025-09-17,Livingston,KBD-V014,PO-31284,IT,7970.0,3863.54,185.15,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
379-3145135-5,2025-07-14,Livingston,KBD-V013,PO-31053,DE ,6531.57,4093.28,395.45,125.0,Y,commercial_invoice.pdf;packing_list.pdf;7501.pdf
