Item Id,Hts Code,Country Of Origin,Duty Rate Pct,Section 301 Applicable,Eccn,Usmca Qualified,Classified By,Classification Date
SKF-6308-2Z,8483.30.8090,DE,2.5,N,EAR99,N,E011,2026-02-09
TIM-LM11949-LM11910,7318.15.2095,IN,0,N,EAR99,N,E012,2026-02-22
GAT-B62,7318.15.2095,DE,2.5,N,EAR99,N,E011,2025-10-18
DOD-TXT315,8483.30.8090,DE,2.5,N,EAR99,N,E012,01/26/26
KIM-G10,7318.15.2095,MX,5.7,N,EAR99,Y,E012,2024-08-28
ULI-S-4123,7318.15.2095,CN,0,Y,EAR99,N,E011,2024-01-22
3M-SF401AF,8482.10.5068,DE,2.5,N,EAR99,N,E011,2026-02-02
TIMI-1000,7318.15.2095,IT,2.5,N,EAR99,N,E012,2025-10-15
SPRO-1002,7318.15.2095,DE,5.7,N,EAR99,N,E012,2024-10-20
SPRO-1004,7318.15.2095,CN,2.5,Y,EAR99,N,E011,2024-02-19
AC-1006,8482.10.5068,CN,5.7,Y,EAR99,N,E012,2025-04-30
SHEA-1007,8482.10.5068,IT,0,N,EAR99,N,E011,2024-10-04
MOUN-1008,8482.10.5068,IT,2.5,N,EAR99,N,E011 ,2025-10-01
SPRO-1009,8483.30.8090,DE,9.0,N,EAR99,N,E011,2024-08-23
GEAR-1010 ,8482.10.5068,DE,0,N,EAR99,N,E012,2025-08-18
ROLL-1012,7318.15.2095,DE,5.7,N,EAR99,N,E012,2024-09-15
TIMI-1014,8482.10.5068,MX,2.5,N,EAR99,Y,E012,11/21/2025
SPRO-1015,7318.15.2095,TW,5.7,N,EAR99,N,E012,2025-02-21
TIMI-1017,8482.10.5068,MX,0,N,EAR99,Y,E011,2026-02-13
MOUN-1018,8482.10.5068,MX,0,N,EAR99,Y,E011,2024-08-24
TIMI-1020,8483.30.8090 ,DE,2.5,N,EAR99,N,E012,2024-07-08
ROLL-1021,7318.15.2095,CN,9.0,Y,EAR99,N ,E012,2024-08-06
GEAR-1024,8482.10.5068,TW,5.7,N,EAR99,N,E012,2025-11-18
SPRO-1027,8483.30.8090,IT,9.0,N,EAR99,N,E011,2025-07-10
MOUN-1029,7318.15.2095,TW,0,N,EAR99,N,E011,05/20/25
TIMI-1030,8483.30.8090,DE,0,N,EAR99,N,E011,2026-01-17
TIMI-1032,8483.40.5010,IT,2.5,N,EAR99,N,E012,2025-01-19
MOUN-1034,7318.15.2095,CN,5.7,Y,EAR99,N,E011,2026-02-14
SHEA-1035,8482.10.5068,MX,2.5,N,EAR99,Y,E011,2024-02-07
GEAR-1036 ,8483.30.8090,DE,5.7,N,EAR99,N,E012,2025-10-08
SHEA-1037,8482.10.5068,DE,9.0,N,EAR99,N,E011,2025-10-31
SHEA-1038,8482.10.5068,DE,9.0,N,EAR99,N,E011,2024-03-22
AC-1040,8483.30.8090,IT,5.7,N,EAR99,N,E012,2025-05-18
SPRO-1041,8482.10.5068 ,CN,0,Y,EAR99,N,E012,2024-06-03
SPRO-1047,8482.10.5068,CN,2.5,Y,EAR99,N,E011,2025-06-03
AC-1048,8482.10.5068,DE,9.0,N,EAR99,N,E012,05/27/24
SHEA-1049 ,8483.30.8090,CN,9.0,Y,EAR99,N,E012,2025-01-02
SPRO-1050,8483.60.8000,TW,9.0,N,EAR99,N,E012,2024-12-09
ROLL-1053,7318.15.2095,CN,5.7,Y,EAR99,N,E011,2024-06-09
AC-1054,8483.30.8090,DE,9.0,N,EAR99,N,E011,2025-11-27
