Ap Invoice Id,Vendor Id,Vendor Name,Invoice Number,Invoice Date,Due Date,Amount,Gl Account,Category,Status,Approved By
KBD-AP00001,KBD-CV001,"Iron Mountain Information Management, LLC",1736156,2025-05-17,2025-06-25,1199.84,6700,Records Storage / Shredding,Paid,E002
KBD-AP00002,KBD-CV001,"Iron Mountain Information Management, LLC",5120941,2025-06-16,2025-07-20,202.19,6700,Records Storage / Shredding,Paid,E002
KBD-AP00003,KBD-CV001,"Iron Mountain Information Management, LLC",4892551,2025-07-29,2025-08-28,2337.84,6700,Records Storage / Shredding,Paid,E002
KBD-AP00004,KBD-CV001,"Iron Mountain Information Management, LLC",6618901,08/16/2025,09/18/25,1840.46,6700,Records Storage / Shredding,Paid,E002
KBD-AP00005,KBD-CV001,"Iron Mountain Information Management, LLC",9993501,2025-09-23,2025-10-21,596.17,6700,Records Storage / Shredding,Paid,E002
KBD-AP00006,KBD-CV001,"Iron Mountain Information Management, LLC",7396700,2025-12-23,2026-01-28,2341.69,6700,Records Storage / Shredding,Paid,E002
KBD-AP00007,KBD-CV001,"Iron Mountain Information Management, LLC",1979796,2026-01-30,2026-02-25,838.67,6700,Records Storage / Shredding,Paid,E002
KBD-AP00008,KBD-CV001,"Iron Mountain Information Management, LLC",2526335,2026-03-14,2026-04-16,3632.75,6700,Records Storage / Shredding,Open,E002
KBD-AP00009,KBD-CV002,GRAINGER,1362619,2025-04-27,2025-05-18,3096.64,6700,MRO Supplies,Paid,E002
KBD-AP00010,KBD-CV002,GRAINGER,1089381,2025-05-14,06/25/25,1110.88,6700,MRO Supplies,Paid,E002
KBD-AP00011,KBD-CV002,GRAINGER,3696351,2025-06-29,2025-07-13,3023.34,6700,MRO Supplies,Paid,E002
KBD-AP00012,KBD-CV002,GRAINGER,3502440,2025-07-22,2025-08-28,3532.72,6700,MRO Supplies,Paid,E002
KBD-AP00013,KBD-CV002,GRAINGER,2779380,2025-09-28,2025-10-19,2075.26,6700,MRO Supplies,Paid,E002
KBD-AP00014,KBD-CV002 ,GRAINGER,2041011,2025-10-18,2025-11-12,4000.87,6700,MRO Supplies,Paid,E002
KBD-AP00015,KBD-CV002,GRAINGER,9126553,"Nov 13, 2025",2025-12-17,2713.69,6700,MRO Supplies,Paid,E002
KBD-AP00016,KBD-CV002,GRAINGER,5609907,2025-12-24,2026-01-15 ,3848.3,6700,MRO Supplies,Paid,E002
KBD-AP00017,KBD-CV002,GRAINGER,8469668,2026-02-19,03/20/2026,476.38,6700,MRO Supplies,Paid,E002
KBD-AP00018,KBD-CV002,GRAINGER,6592106,2026-03-12,2026-04-13,2275.34,6700,MRO Supplies,Open,E002
KBD-AP00019,KBD-CV003,Cintas Corp #472,7913263,2025-04-29,2025-05-21,2020.96,6700,Uniforms / Facility Services,Paid,E002
