Date,Description,Debit,Credit,Balance
2025-04-30,PAYCOM PAYROLL,247017.83,,-28522826.82
2025-05-15,ACH EFT MSC INDUSTRIAL SUPPLY,4935.08,,6266066.41
2025-05-18,ACH DEPOSIT 455602,,3786.94,413786.94
2025-05-21,Check DEPOSIT 965199,,10045.98,423832.92
2025-05-26,ACH DEPOSIT 652035,,1482.1,425315.02
2025-05-29,ACH DEPOSIT 934963,,9214.75,434529.77
2025-05-31,PAYCOM PAYROLL,246513.22,,-28769340.04
2025-06-02,Card DEPOSIT 250591,,14253.3,448783.07
2025-06-02,Card DEPOSIT 953409,,10777.01,459560.08
2025-06-03,ACH DEPOSIT 200079,,3334.37,462894.45
2025-06-04,ACH DEPOSIT 658807,,14647.55,477542.0
2025-06-05,Check DEPOSIT 118294,,12012.03,489554.03
2025-06-06,Check 25650 SANDVIK COROMANT,12896.87,,6253169.54
2025-06-06,ACH EFT GRAINGER,6512.55,,6246656.99
2025-06-07,Wire DEPOSIT 989568,,315.73,489869.76
2025-06-07,Check 20354 GARLOCK SEALING TECHNO,29465.87,,6217191.12
2025-06-08,Card 23707 SANDVIK COROMANT,13263.9,,6203927.22
2025-06-09,ACH DEPOSIT 145851,,14401.66,504271.42
2025-06-09,Check EFT HAAS AUTOMATION,254308.96,,5949618.26
2025-06-10,Check 12941 FASTENAL,29281.0,,5920337.26
2025-06-11,Card EFT MCMASTER-CARR,15249.78,,5905087.48
2025-06-14,Wire DEPOSIT 521549,,1925.58,506197.0
2025-06-16,Card DEPOSIT 484296,,27239.42,533436.42
2025-06-17,ACH DEPOSIT 222158,,1908.51,535344.93
2025-06-17,ACH DEPOSIT 355972,,227.16,535572.09
2025-06-18,ACH DEPOSIT 120600,,25991.29,561563.38
2025-06-19,Card DEPOSIT 160584,,9081.25,570644.63
2025-06-19 ,ACH 14954 HAAS AUTOMATION,9874.44,,5895213.04
"Jun 20, 2025",ACH DEPOSIT 834178,,30737.06,601381.69
2025-06-21,ACH DEPOSIT 850696,,16287.18,617668.87
2025-06-21,Check 13011 BALDOR-RELIANCE (ABB),161669.34,,5733543.7
2025-06-22,ACH DEPOSIT 507536,,1965.98,619634.85
2025-06-23,ACH DEPOSIT 799475,,193.55,619828.4
2025-06-23,Check EFT SANDVIK COROMANT,53402.99,,5680140.71
2025-06-23,Check 29923 MOTION INDUSTRIES,40284.9,,5639855.81
2025-06-24,ACH DEPOSIT 434991,,7834.0,627662.4
2025-06-24,Check EFT PARKER HANNIFIN,1314129.15,,4325726.66
"Jun 25, 2025",ACH DEPOSIT 514339,,3832.57,631494.97
2025-06-25,Card 14347 KAMAN INDUSTRIAL TECHN,564236.44,,3761490.22
2025-06-26,Wire DEPOSIT 444855,,213.58,631708.55
06/29/25,Check DEPOSIT 491711,,460.0,632168.55
2025-06-30,PAYCOM PAYROLL,246797.75,,-29016137.79
07/01/2025,Wire DEPOSIT 644844,,19306.22,651474.77
2025-07-01,ACH 13167 APPLIED INDUSTRIAL TEC,4182.74,,3757307.48
07/03/2025,Card DEPOSIT 924634,,11925.77,663400.54
2025-07-04,ACH DEPOSIT 626366,,14881.98,678282.52
2025-07-04,Check 21029 FASTENAL,91429.0,,3665878.48
2025-07-05,Card DEPOSIT 519998,,25281.51,703564.03
2025-07-05,ACH 19720 SANDVIK COROMANT,31985.03,,3633893.45
2025-07-06,Check EFT SANDVIK COROMANT,43976.68,,3589916.77
07/07/25,Wire DEPOSIT 683695,,813.88,704377.91
2025-07-07,Wire DEPOSIT 958640,,19014.65,723392.56
2025-07-07,Card EFT ULINE,5699.54,,3584217.23
2025-07-08,ACH DEPOSIT 342825,,3906.39,727298.95
2025-07-09,Wire DEPOSIT 787863,,35030.82,762329.77
2025-07-09,Check 25325 FASTENAL,208291.2,,3375926.03
"Jul 10, 2025 ",Wire DEPOSIT 273734,,7616.35,769946.12
2025-07-10,ACH 18844 BALDOR-RELIANCE (ABB),315827.33,,3060098.7
2025-07-10,Check EFT ULINE,44198.06,,3015900.64
2025-07-12,ACH EFT GRAINGER,2893.45,,3013007.19
2025-07-12,ACH EFT APPLIED INDUSTRIAL TEC,1995.06,,3011012.13
2025-07-14,Check DEPOSIT 640796 ,,1083.0,771029.12
07/14/2025,Card DEPOSIT 816333,,8288.25,779317.37
2025-07-14,ACH DEPOSIT 146283,,8972.79,788290.16
2025-07-14,ACH DEPOSIT 639272,,9836.8,798126.96
2025-07-14,Wire DEPOSIT 794656,,19.48,798146.44
2025-07-15,Card DEPOSIT 161246,,6231.68,804378.12
2025-07-17,Wire DEPOSIT 218214,,8804.5,813182.62
2025-07-18,Check EFT MSC INDUSTRIAL SUPPLY,4220.88,,3006791.25
2025-07-19,Card DEPOSIT 400398,,8642.4,821825.02
2025-07-19,Check DEPOSIT 948384,,25949.61,847774.63
2025-07-19,ACH 18380 BALDOR-RELIANCE (ABB),155559.09,,2851232.16
2025-07-20,Card DEPOSIT 441336,,631.19,848405.82
2025-07-21,Card DEPOSIT 496066,,6261.67,854667.49
21-Jul-2025,ACH DEPOSIT 139807,,6947.56,861615.05
2025-07-21,ACH EFT PARKER HANNIFIN,672186.25,,2179045.91
22-Jul-2025,Wire DEPOSIT 286796,,2805.37,864420.42
22-Jul-2025,ACH EFT APPLIED INDUSTRIAL TEC,216208.2,,1962837.71
2025-07-23,Card DEPOSIT 253829,,11354.74,875775.16
07/23/25 ,Card DEPOSIT 156025,,4846.0,880621.16
2025-07-23,Wire DEPOSIT 324732,,25100.46,905721.62
07/23/25,ACH DEPOSIT 467897,,4414.46,910136.08
2025-07-24,ACH DEPOSIT 900557,,18565.33,928701.41
2025-07-24,ACH DEPOSIT 195490,,7275.87,935977.28
2025-07-24,Wire DEPOSIT 939400,,2014.21,937991.49
2025-07-24 ,Check DEPOSIT 563897,,244.78,938236.27
2025-07-25,Card DEPOSIT 704263,,34747.23,972983.5
2025-07-25,ACH DEPOSIT 966419,,23478.24,996461.74
2025-07-26,ACH DEPOSIT 957595,,43238.44,1039700.18
2025-07-26,Wire DEPOSIT 129515,,7873.74,1047573.92
2025-07-26,Card EFT MSC INDUSTRIAL SUPPLY,11104.08,,1951733.63
2025-07-27,ACH EFT BRIGHTON-BEST INTERNAT,313346.71,,1638386.92
2025-07-27,ACH 22490 PARKER HANNIFIN,274756.25,,1363630.67
07/27/25,ACH EFT FASTENAL,7173.25,,1356457.42
07/28/2025,ACH DEPOSIT 780558,,5853.61,1053427.53
2025-07-28,Wire DEPOSIT 675837,,417.6,1053845.13
2025-07-28,ACH 16341 APEX FASTENER CORP,14916.91,,1341540.51
2025-07-29,ACH DEPOSIT 715024,,35481.01,1089326.14
2025-07-29,ACH DEPOSIT 203889,,18620.2,1107946.34
07/29/2025,Card 14816 SANDVIK COROMANT,32343.06,,1309197.45
2025-07-30,Card DEPOSIT 809760,,24650.12,1132596.46
07/31/25,Check DEPOSIT 266500,,9156.82,1141753.28
2025-07-31,Check EFT GRAINGER,3543.6,,1305653.85
2025-07-31,PAYCOM PAYROLL,242506.91,,-29258644.7
2025-08-01,Card 24911 FASTENAL,17548.14,,1288105.71
2025-08-02,Card DEPOSIT 745387,,18635.85,1160389.13
2025-08-03,ACH DEPOSIT 519148,,10175.34,1170564.47
2025-08-05,Wire DEPOSIT 271479,,22061.0,1192625.47
2025-08-05,ACH EFT GRAINGER,3203.4,,1284902.31
2025-08-06,Wire DEPOSIT 391534,,6337.76,1198963.23
2025-08-06,Card EFT BRIGHTON-BEST INTERNAT,1218003.31,,66899.0
2025-08-07,Card DEPOSIT 789499,,46657.11,1245620.34
2025-08-07,ACH DEPOSIT 934208,,2207.2,1247827.54
2025-08-07,ACH DEPOSIT 714581,,20076.77,1267904.31
2025-08-07,Check DEPOSIT 915289,,2243.83,1270148.14
2025-08-07,ACH DEPOSIT 388710,,4163.67,1274311.81
2025-08-08,Card EFT KAMAN INDUSTRIAL TECHN,293947.34,,-227048.34
08/08/25,Check 10180 BALDOR-RELIANCE (ABB),155244.34,,-382292.68
2025-08-09,Wire DEPOSIT 967537,,26774.32,1301086.13
2025-08-09,Card DEPOSIT 694816,,1132.32,1302218.45
2025-08-09,Card DEPOSIT 732615,,2383.7,1304602.15
2025-08-10,Card DEPOSIT 727633,,17953.13,1322555.28
08/10/2025,Wire DEPOSIT 807563,,610.01,1323165.29
2025-08-10,Check EFT MCMASTER-CARR,299308.16,,-681600.84
