Period,Account Number,Account Name,Budget,Actual,Variance
2026-01,6000,Salaries & Wages,290300,316427.0,26127.0
2026-01,6100,Payroll Taxes,369500,373195.0,3695.0
2026-01,6200,Employee Benefits,12400,13144.0,744.0
2026-01,6300,Rent,285900,317349.0,31449.0
2026-01,6400,Software Subscriptions,161900,142472.0,-19428.0
2026-01,6500,Professional Fees,324700,357170.0,32470.0
2026-01,6600,Insurance Expense,389100,357972.0,-31128.0
2026-01,6700,Office & Supplies,220800,183264.0,-37536.0
2026-01,6800,Travel & Entertainment,272500,313375.0,40875.0
2026-01,6900,Depreciation Expense,296900,350342.0,53442.0
2026-01,4000,Product Sales - Manufactured,381900,336072.0,-45828.0
2026-01,4010,Product Sales - Distributed,241300,253365.0,12065.0
2026-01,4100,Freight Revenue,365700,365700.0,0.0
2026-01,4900,Sales Returns & Allowances,31700,30432.0,-1268.0
2026-01,5000,COGS - Materials,85300,95536.0,10236.0
2026-01,5100,COGS - Direct Labor,370800,378216.0,7416.0
2026-01,5200,COGS - Overhead,59100,66783.0,7683.0
2026-01,5300,Freight In,46500,50220.0,3720.0
2026-01,5400,Inventory Adjustments / Scrap,319500,265185.0,-54315.0
2026-01,5500,Purchase Price Variance,59400,70092.0,10692.0
2026-02,6000,Salaries & Wages,142800,148512.0,5712.0
2026-02,6100,Payroll Taxes,84400,89464.0,5064.0
2026-02,6200,Employee Benefits,158400,177408.0,19008.0
2026-02,6300,Rent,106700,102432.0,-4268.0
2026-02,6400,Software Subscriptions,157700,156123.0,-1577.0
2026-02,6500,Professional Fees,365500,402050.0,36550.0
2026-02,6600,Insurance Expense,72300,80976.0,8676.0
2026-02,6700,Office & Supplies,123400,109826.0,-13574.0
2026-02,6800,Travel & Entertainment,342100,328416.0,-13684.0
2026-02,6900,Depreciation Expense,369100,313735.0,-55365.0
2026-02,4000,Product Sales - Manufactured,370500,411255.0,40755.0
2026-02,4010,Product Sales - Distributed,174900,195888.0,20988.0
2026-02,4100,Freight Revenue,145400,145400.0,0.0
2026-02,4900,Sales Returns & Allowances,113000,109610.0,-3390.0
2026-02,5000,COGS - Materials,328500,328500.0,0.0
2026-02,5100,COGS - Direct Labor,217300,182532.0,-34768.0
2026-02,5200,COGS - Overhead,177100,177100.0,0.0
2026-02,5300,Freight In,302900,330161.0,27261.0
2026-02,5400,Inventory Adjustments / Scrap,378700,359765.0,-18935.0
2026-02,5500,Purchase Price Variance,110100,116706.0,6606.0
2026-03,6000,Salaries & Wages,227000,247430.0,20430.0
2026-03,6100,Payroll Taxes,163300,145337.0,-17963.0
2026-03,6200,Employee Benefits,348100,389872.0,41772.0
2026-03,6300,Rent,52700,53754.0,1054.0
2026-03,6400,Software Subscriptions,156500,184670.0,28170.0
2026-03,6500,Professional Fees,370800,359676.0,-11124.0
2026-03,6600,Insurance Expense,318100,362634.0,44534.0
2026-03,6700,Office & Supplies,38500,43890.0,5390.0
2026-03,6800,Travel & Entertainment,194300,219559.0,25259.0
2026-03,6900,Depreciation Expense,368000,386400.0,18400.0
2026-03,4000,Product Sales - Manufactured,283900,309451.0,25551.0
2026-03,4010,Product Sales - Distributed,188000,216200.0,28200.0
2026-03,4100,Freight Revenue,374800,322328.0,-52472.0
2026-03,4900,Sales Returns & Allowances,73200,65880.0,-7320.0
2026-03,5000,COGS - Materials,174400,188352.0,13952.0
2026-03,5100,COGS - Direct Labor,132400,135048.0,2648.0
2026-03,5200,COGS - Overhead,315400,312246.0,-3154.0
2026-03,5300,Freight In,166700,155031.0,-11669.0
2026-03,5400,Inventory Adjustments / Scrap,242400,239976.0,-2424.0
2026-03,5500,Purchase Price Variance,257400,265122.0,7722.0
