Period,Variance Type,Amount,Gl Account,Explanation
2025-04,Purchase Price Variance,-3040.43,5500,Overtime on rush order
2025-05,Purchase Price Variance,8083.24,5500,Supplier price increase
2025-06,Purchase Price Variance,3396.89,5500,Scrap on WO batch
2025-07,Purchase Price Variance,3675.4,5500,Overtime on rush order
2025-08,Purchase Price Variance,-2428.45,5500,
2025-09,Purchase Price Variance,-5731.44,5500,
2025-10,Purchase Price Variance,7036.04,5500,Scrap on WO batch
2025-11,Purchase Price Variance,-5831.13,5500,Overtime on rush order
2025-12,Purchase Price Variance,-1338.36,5500,Scrap on WO batch
2026-01,Purchase Price Variance,-2488.16,5500,
2026-02,Purchase Price Variance,11191.95,5500,
2026-03,Purchase Price Variance,2945.58,5500,Steel surcharge
