Journal Id,Posting Date,Period,Account Number,Account Name,Debit,Credit,Memo,Source Module,Reference
JE-000800,2025-04-15,2025-04,1100,Accounts Receivable,7834.0,0,Invoice INV-60169,AR,INV-60169
JE-000801,2025-04-15,2025-04,4010,Product Sales - Distributed,0,7834.0,Invoice INV-60169,AR,INV-60169
JE-000802,2025-04-15,2025-04,5000,COGS - Materials,4764.0,0,COGS,AR,INV-60169
JE-000803,2025-04-15,2025-04,1230,Inventory - Purchased for Resale,0,4764.0,Inventory relief,AR,INV-60169
JE-003693,2025-04-20,2025-04,2050,GR/IR Clearing (Received Not Invoiced),4854.64,0,Supplier inv 6779292,AP,6779292
JE-003694,2025-04-20,2025-04,5300,Freight In,80.44,0,Freight in,AP,6779292
JE-003695,2025-04-20,2025-04,2000,Accounts Payable,0,4935.08,Supplier inv 6779292,AP,6779292
JE-004282,2025-04-20,2025-04,1230,Inventory - Purchased for Resale,4854.64,0,PO receipt PO-31267,INV,RCV-40258
JE-004283,2025-04-20,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,4854.64,PO receipt PO-31267,INV,RCV-40258
JE-002029,2025-04-21,2025-04,1100,Accounts Receivable,19.48,0,Invoice INV-60427,AR,INV-60427
JE-002030,21-Apr-2025,2025-04,4010,Product Sales - Distributed,0,4.0,Invoice INV-60427,AR,INV-60427
JE-002031,2025-04-21,2025-04,4100,Freight Revenue,0,15.48,Freight billed,AR,INV-60427
JE-002032,2025-04-21,2025-04,5000,COGS - Materials,3.55,0,COGS,AR,INV-60427
JE-002033,2025-04-21,2025-04,1230,Inventory - Purchased for Resale,0,3.55,Inventory relief,AR,INV-60427
JE-002285,2025-04-21,2025-04,1100,Accounts Receivable,9214.75,0,Invoice INV-60482,AR,INV-60482
JE-002286,2025-04-21,2025-04,4010,Product Sales - Distributed,0,9214.75,Invoice INV-60482,AR,INV-60482
JE-002287,2025-04-21,2025-04,5000,COGS - Materials,8386.2,0,COGS,AR,INV-60482
JE-002288,2025-04-21,2025-04,1230,Inventory - Purchased for Resale,0,8386.2,Inventory relief,AR,INV-60482
JE-000397,2025-04-23,2025-04,1100,Accounts Receivable,402.17,0,Invoice INV-60084,AR,INV-60084
JE-000398,2025-04-23,2025-04 ,4010,Product Sales - Distributed,0,374.98,Invoice INV-60084,AR,INV-60084
JE-000399,2025-04-23,2025-04,2100,Accrued Expenses,0,27.19,Sales tax payable,AR,INV-60084
JE-000400,2025-04-23,2025-04,5000,COGS - Materials,231.03,0,COGS,AR,INV-60084
JE-000401,2025-04-23,2025-04,1230,Inventory - Purchased for Resale,0,231.03,Inventory relief,AR,INV-60084
JE-000512,2025-04-23,2025-04,1100,Accounts Receivable,3786.94,0,Invoice INV-60109,AR,INV-60109
JE-000513,2025-04-23,2025-04,4010,Product Sales - Distributed,0,3147.0,Invoice INV-60109,AR,INV-60109 
JE-000514,2025-04-23,2025-04,4100,Freight Revenue,0,639.94,Freight billed,AR,INV-60109
JE-000515,04/23/2025,2025-04,5000,COGS - Materials,2320.34,0,COGS,AR,INV-60109
JE-000516,2025-04-23,2025-04,1230,Inventory - Purchased for Resale,0,2320.34,Inventory relief,AR,INV-60109
JE-000867,04/23/25,2025-04,1100,Accounts Receivable,27239.42,0,Invoice INV-60183,AR,INV-60183
JE-000868,2025-04-23,2025-04,4010,Product Sales - Distributed,0,26949.53,Invoice INV-60183,AR,INV-60183 
JE-000869,2025-04-23,2025-04 ,4100,Freight Revenue,0,289.89,Freight billed,AR,INV-60183 
JE-000870,2025-04-23,2025-04,5000,COGS - Materials,17826.59,0,COGS,AR ,INV-60183
JE-000871,2025-04-23,2025-04,1230,Inventory - Purchased for Resale,0,17826.59,Inventory relief,AR,INV-60183
JE-000377,2025-04-25,2025-04,1100,Accounts Receivable,14253.3,0,Invoice INV-60080,AR,INV-60080
JE-000378,04/25/25,2025-04,4010,Product Sales - Distributed,0,13358.11,Invoice INV-60080,AR,INV-60080
JE-000379,2025-04-25,2025-04,4100,Freight Revenue,0,895.19,Freight billed,AR,INV-60080
JE-000380,2025-04-25,2025-04,5000,COGS - Materials,9904.94,0,COGS,AR,INV-60080
JE-000381,2025-04-25,2025-04,1230,Inventory - Purchased for Resale,0,9904.94,Inventory relief,AR,INV-60080
JE-001657,2025-04-25,2025-04,1100,Accounts Receivable,213.58,0,Invoice INV-60348,AR,INV-60348
JE-001658,2025-04-25,2025-04,4010,Product Sales - Distributed,0,199.14,Invoice INV-60348,AR,INV-60348
JE-001659,25-Apr-2025,2025-04,2100,Accrued Expenses,0,14.44,Sales tax payable,AR,INV-60348
JE-001660,2025-04-25,2025-04,5000,COGS - Materials,135.75,0,COGS,AR,INV-60348
JE-001661,2025-04-25,2025-04,1230,Inventory - Purchased for Resale,0,135.75,Inventory relief,AR,INV-60348
JE-003960,2025-04-25,2025-04,1230,Inventory - Purchased for Resale,29299.4,0,PO receipt PO-31099,INV,RCV-40097
JE-003961,2025-04-25,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,29299.4,PO receipt PO-31099,INV,RCV-40097
JE-000228,2025-04-26,2025-04,1100,Accounts Receivable,14401.66,0,Invoice INV-60049,AR,INV-60049
JE-000229,2025-04-26,2025-04,4010,Product Sales - Distributed,0,11301.09,Invoice INV-60049,AR,INV-60049
JE-000230,"Apr 26, 2025",2025-04,4100 ,Freight Revenue,0,2281.24,Freight billed,AR,INV-60049
JE-000231,04/26/2025,2025-04,2100,Accrued Expenses,0,819.33,Sales tax payable,AR,INV-60049
JE-000232,2025-04-26,2025-04,5000,COGS - Materials,7565.61,0,COGS,AR ,INV-60049
JE-000233,"Apr 26, 2025",2025-04,1230,Inventory - Purchased for Resale,0,7565.61,Inventory relief,AR,INV-60049
JE-001890,04/26/25,2025-04,1100,Accounts Receivable,12012.03,0,Invoice INV-60397,AR,INV-60397
JE-001891,2025-04-26,2025-04,4010,Product Sales - Distributed,0,11440.78,Invoice INV-60397,AR,INV-60397
JE-001892,2025-04-26,2025-04,4100,Freight Revenue,0,571.25,Freight billed,AR,INV-60397
JE-001893,2025-04-26,2025-04,5000,COGS - Materials,7761.0,0,COGS,AR,INV-60397
JE-001894,2025-04-26,2025-04,1230,Inventory - Purchased for Resale,0,7761.0,Inventory relief,AR,INV-60397
JE-003792,2025-04-26,2025-04 ,1230,Inventory - Purchased for Resale,161669.34,0,PO receipt PO-31013,INV,RCV-40013
JE-003793,2025-04-26,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,161669.34,PO receipt PO-31013,INV,RCV-40013
JE-004294,2025-04-28,2025-04 ,1230,Inventory - Purchased for Resale ,6444.0,0,PO receipt PO-31274,INV,RCV-40264
JE-004295,2025-04-28,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,6444.0,PO receipt PO-31274,INV,RCV-40264
JE-003976,2025-04-29,2025-04,1230,Inventory - Purchased for Resale,12877.8,0,PO receipt PO-31107,INV,RCV-40105
JE-003977 ,2025-04-29,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,12877.8,PO receipt PO-31107,INV,RCV-40105
JE-004178,2025-04-30,2025-04,1230,Inventory - Purchased for Resale,1306625.14,0,PO receipt PO-31211,INV,RCV-40206
JE-004179,"Apr 30, 2025",2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,1306625.14,PO receipt PO-31211,INV,RCV-40206
