As Of Date,Item Class,Gl Account,Qty On Hand,Extended Cost,Costing Method,Reserve For Obsolescence
31-Dec-2025,RAW,1200,0,0.0,Average,5054.05
12/31/2025,COMP,1200,0,0.0,Average,8301.17
2025-12-31,FG,1220,1653,7497141.19,Average,11903.37
"Dec 31, 2025",RESALE,1230,15275,7582196.02,Average,10986.42
2025-12-31,PKG,1200,337,9647.0,Average,2804.0
2026-01-31,RAW,1200,0,0.0,Average,6296.46
2026-01-31,COMP,1200,0,0.0,Average,9031.73
2026-01-31,FG,1220,1653,8286313.95,Average,5677.23
2026-01-31,RESALE,1230,15275,7840679.97,Average,4865.47
2026-01-31,PKG,1200,337,10611.7,Average,5809.45
2026-02-28,RAW,1200,0,0.0,Average,4501.73
2026-02-28,COMP,1200,0,0.0,Average,159.74
2026-02-28,FG,1220,1653,7339306.64,Average,4073.49
2026-02-28,RESALE,1230,15275,8529970.52,Average,8943.16
2026-02-28,PKG,1200,337,9454.06,Average,9005.92
2026-03-31,RAW,1200,0,0.0,Average,3198.58
2026-03-31,COMP,1200,0,0.0,Average,3708.52
2026-03-31,FG,1220,1653,8365231.22,Average,7581.02
2026-03-31,RESALE,1230,15275,8099163.93,Average,9708.96
03/31/2026,PKG,1200,337,10515.23,Average,5753.84
