Pay Period End,Employee Id,Department,Regular Hours,Overtime Hours,Gross Pay,Overtime Pay,Federal Tax,State Tax,Fica,401K,Health Deduction,Net Pay
2025-04-30,E001,Executive,,0,12416.67,0,1490.0,381.19,949.88,620.83,285.0,8689.77
2025-04-30,E002,Finance,,0,11166.67,0,1340.0,342.82,854.25,558.33,142.5,7928.77
2025-04-30,E003,Finance,,0,8958.33,0,1075.0,275.02,685.31,447.92,0,6475.08
2025-04-30,E004,Operations,,0,10750.0,0,1290.0,330.03,822.38,645.0,0,7662.59
2025-04-30,E005,Operations,173.3,9.0,5619.61,388.12,674.35,172.52,429.9,168.59,285.0,3889.25
2025-04-30,E006,Operations,173.3,14.0,5984.72,603.75,718.17,183.73,457.83,179.54,410.0,4035.45
2025-04-30,E007,Operations,173.3,13.0,6356.11,594.75,762.73,195.13,486.24,381.37,285.0,4245.64
2025-04-30,E008,Operations,173.3,3.0,5076.67,118.12,609.2,155.85,388.37,304.6,410.0,3208.65
2025-04-30,E009,Operations,173.3,6.0,5194.8,236.25,623.38,159.48,397.4,259.74,142.5,3612.3
2025-04-30,E010,Operations,173.3,17.0,6216.52,790.5,745.98,190.85,475.56,372.99,142.5,4288.64
2025-04-30,E011,Purchasing,,0,10708.33,0,1285.0,328.75,819.19,535.42,285.0,7454.97
2025-04-30,E012,Purchasing,,0,11416.67,0,1370.0,350.49,873.38,342.5,0,8480.3
2025-04-30,E013,Sales,,0,11500.0,0,1380.0,353.05,879.75,690.0,0,8197.2
2025-04-30,E014,Sales,,0,7041.67,0,845.0,216.18,538.69,0.0,142.5,5299.3
2025-04-30,E015,Sales,,0,12541.67,0,1505.0,385.03,959.44,752.5,285.0,8654.7
2025-04-30,E016,Sales,,0,13416.67,0,1610.0,411.89,1026.38,402.5,142.5,9823.4
2025-04-30 ,E017,Sales,,0,5250.0,0,630.0,161.18,401.62,315.0,0,3742.2
2025-04-30,E018,Sales,,0,4791.67,0,575.0,147.1,366.56,143.75,285.0,3274.26
2025-04-30,E019,Sales,,0,8708.33,0,1045.0,267.35,666.19,522.5,0,6207.29
2025-04-30,E020,Sales,,0,10375.0,0,1245.0,318.51,793.69,518.75,142.5,7356.55
2025-04-30,E021,Sales,,0,6583.33,0,790.0,202.11,503.62,0.0,142.5,4945.1
2025-04-30,E022,Sales,,0,4791.67,0,575.0,147.1,366.56,287.5,0,3415.51
2025-04-30,E023,Sales,,0,6833.33,0,820.0,209.78,522.75,205.0,0,5075.8
2025-04-30,E024,Sales,,0,12958.33,0,1555.0,397.82,991.31,0.0,410.0,9604.2
2025-04-30,E025,Sales,,0,12958.33,0,1555.0,397.82,991.31,777.5,0,9236.7
2025-04-30,E026,Warehouse,173.3,1.0,5463.34,44.25,655.6,167.72,417.95,273.17,0,3948.9
2025-04-30,E027,Warehouse,173.3,12.0,5451.38,495.0,654.17,167.36,417.03,272.57,410.0,3530.25
2025-04-30,E028,Warehouse,173.3,22.0,5278.9,866.25,633.47,162.06,403.84,263.94,0,3815.59
2025-04-30,E029,Warehouse,173.3,13.0,3615.0,365.62,433.8,110.98,276.55,108.45,0,2685.22
2025-04-30,E030,Warehouse,173.3,17.0,6374.97,796.88,765.0,195.71,487.69,318.75,142.5,4465.32
2025-04-30,E031,Warehouse,173.3,0,5671.24,0.0,680.55,174.11,433.85,0.0,285.0,4097.73
2025-04-30,E032,Warehouse,173.3,18.0,5994.41,837.0,719.33,184.03,458.57,359.66,0,4272.82
2025-04-30,E033,Warehouse,173.3,4.0,5551.5,174.0,666.18,170.43,424.69,333.09,285.0,3672.11
2025-04-30,E034,Warehouse,173.3,15.0,4957.78,590.62,594.93,152.2,379.27,0.0,0,3831.38
2025-04-30,E035,Warehouse,173.3,18.0,6059.99,783.0,727.2,186.04,463.59,303.0,285.0,4095.16
2025-04-30,E036,Warehouse,,0,11833.33,0,1420.0,363.28,905.25,710.0,285.0,8149.8
2025-04-30,E037,Warehouse,173.3,8.0,5751.26,369.0,690.15,176.56,439.97,172.54,0,4272.04
2025-04-30,E038,Warehouse,173.3,19.0,4383.37,598.5,526.0,134.57,335.33,219.17,410.0,2758.3
2025-04-30,E039,Warehouse,173.3,19.0,5079.85,655.5,609.58,155.95,388.61,253.99,142.5,3529.22
2025-04-30,E040,Engineering,,0,8833.33,0,1060.0,271.18,675.75,0.0,410.0,6416.4
2025-04-30,E041,Engineering,,0,4833.33,0,580.0,148.38,369.75,0.0,0,3735.2
2025-04-30,E042,Sales,,0,7291.67,0,875.0,223.85,557.81,0.0,0,5635.01
2025-04-30,E043,Sales,,0,12333.33,0,1480.0,378.63,943.5,0.0,410.0,9121.2
2025-04-30,E044,HR,,0,8458.33,0,1015.0,259.67,647.06,253.75,142.5,6140.35
2025-04-30,E045,Quality,173.3,1.0,5633.69,46.5,676.04,172.95,430.98,169.01,142.5,4042.21
2025-05-31,E001,Executive,,0,12416.67,0,1490.0,381.19,949.88,0.0,0,9595.6
2025-05-31,E002,Finance,,0,11166.67,0,1340.0,342.82,854.25,558.33,0,8071.27
2025-05-31,E003,Finance,,0,8958.33,0,1075.0,275.02,685.31,0.0,142.5,6780.5
2025-05-31,E004,Operations,,0,10750.0,0,1290.0,330.03,822.38,537.5,0,7770.09
2025-05-31,E005,Operations,173.3,20.0,6392.94,862.5,767.15,196.26,489.06,383.58,410.0,4146.89
2025-05-31,E006,Operations,173.3,11.0,6054.64,474.38,726.56,185.88,463.18,0.0,285.0,4394.02
2025-05-31,E007,Operations,173.3,7.0,5447.33,320.25,653.68,167.23,416.72,163.42,285.0,3761.28
2025-05-31,E008,Operations,173.3,17.0,4991.05,669.38,598.93,153.23,381.82,149.73,285.0,3422.34
2025-05-31,E009,Operations,173.3,17.0,5400.47,669.38,648.06,165.79,413.14,324.03,0,3849.45
2025-05-31,E010,Operations,173.3,20.0,6946.98,930.0,833.64,213.27,531.44,0.0,285.0,5083.63
2025-05-31,E011,Purchasing,,0,10708.33,0,1285.0,328.75,819.19,642.5,410.0,7222.89
2025-05-31,E012,Purchasing,,0,11416.67,0,1370.0,350.49,873.38,342.5,285.0,8195.3
2025-05-31,E013,Sales,,0,11500.0,0,1380.0,353.05,879.75,345.0,285.0,8257.2
2025-05-31,E014,Sales,,0,7041.67,0,845.0,216.18,538.69,352.08,410.0,4679.72
2025-05-31,E015,Sales,,0,12541.67,0,1505.0,385.03,959.44,0.0,142.5,9549.7
2025-05-31,E016,Sales,,0,13416.67,0,1610.0,411.89,1026.38,670.83,285.0,9412.57
2025-05-31,E017,Sales,,0,5250.0,0,630.0,161.18,401.62,157.5,142.5,3757.2
2025-05-31,E018,Sales,,0,4791.67,0,575.0,147.1,366.56,287.5,410.0,3005.51
2025-05-31,E019,Sales,,0,8708.33,0,1045.0,267.35,666.19,435.42,410.0,5884.37
2025-05-31,E020,Sales,,0,10375.0,0,1245.0,318.51,793.69,518.75,285.0,7214.05
2025-05-31,E021,Sales,,0,6583.33,0,790.0,202.11,503.62,395.0,142.5,4550.1
2025-05-31,E022,Sales,,0,4791.67,0,575.0,147.1,366.56,287.5,285.0,3130.51
2025-05-31,E023 ,Sales,,0,6833.33,0,820.0,209.78,522.75,341.67,0,4939.13
2025-05-31,E024,Sales,,0,12958.33,0,1555.0,397.82,991.31,647.92,285.0,9081.28
2025-05-31,E025,Sales,,0,12958.33,0,1555.0,397.82,991.31,388.75,142.5,9482.95
2025-05-31,E026,Warehouse ,173.3,10.0,5912.71,442.5,709.53,181.52,452.32,177.38,285.0,4106.96
2025-05-31,E027,Warehouse,173.3,6.0,5537.48,247.5,664.5,170.0,423.62,276.87,0,4002.49
2025-05-31,E028,Warehouse,173.3,4.0,5161.54,157.5,619.38,158.46,394.86,309.69,285.0,3394.15
2025-05-31,E029,Warehouse,173.3,17.0,3630.01,478.12,435.6,111.44,277.7,181.5,142.5,2481.27
2025-05-31,E030,Warehouse,173.3,7.0,5743.74,328.12,689.25,176.33,439.4,344.62,0,4094.14
2025-05-31,E031,Warehouse,173.3,5.0,5636.58,223.12,676.39,173.04,431.2,0.0,0,4355.95
2025-05-31,E032,Warehouse,173.3,17.0,6216.52,790.5,745.98,190.85,475.56,310.83,285.0,4208.3
2025-05-31,E033,Warehouse ,173.3,22.0,5932.44,957.0,711.89,182.13,453.83,355.95,142.5,4086.14
2025-05-31,E034,Warehouse,173.3,0,4913.06,0.0,589.57,150.83,375.85,294.78,410.0,3092.03
2025-05-31,E035,Warehouse,173.3,21.0,6190.49,913.5,742.86,190.05,473.57,0.0,0,4784.01
2025-05-31,E036,Warehouse,,0,11833.33,0,1420.0,363.28,905.25,0.0,285.0,8859.8
2025-05-31,E037,Warehouse,173.3,16.0,6013.69,738.0,721.64,184.62,460.05,180.41,285.0,4181.97
2025-05-31,E038,Warehouse,173.3,5.0,3869.59,157.5,464.35,118.8,296.02,0.0,410.0,2580.42
2025-05-31,E039,Warehouse,173.3,12.0,4399.9,414.0,527.99,135.08,336.59,220.0,285.0,2895.24
2025-05-31,E040,Engineering,,0,8833.33,0,1060.0,271.18,675.75,265.0,142.5,6418.9
2025-05-31,E041,Engineering,,0,4833.33,0,580.0,148.38,369.75,290.0,285.0,3160.2
2025-05-31,E042,Sales,,0,7291.67,0,875.0,223.85,557.81,0.0,410.0,5225.01
2025-05-31,E043,Sales,,0,12333.33,0,1480.0,378.63,943.5,0.0,410.0,9121.2
2025-05-31,E044,HR,,0,8458.33,0,1015.0,259.67,647.06,253.75,0,6282.85
2025-05-31,E045,Quality,173.3,8.0,5851.75,372.0,702.21,179.65,447.66,292.59,285.0,3944.64
2025-06-30,E001,Executive,,0,12416.67,0,1490.0,381.19,949.88,0.0,0,9595.6
2025-06-30,E002,Finance,,0,11166.67,0,1340.0,342.82,854.25,558.33,142.5,7928.77
2025-06-30,E003,Finance,,0,8958.33,0,1075.0,275.02,685.31,447.92,285.0,6190.08
2025-06-30,E004,Operations,,0,10750.0,0,1290.0,330.03,822.38,537.5,142.5,7627.59
2025-06-30,E005,Operations,173.3,17.0,5615.85,733.12,673.9,172.41,429.61,168.48,285.0,3886.45
2025-06-30,E006,Operations,173.3,11.0,5506.58,474.38,660.79,169.05,421.25,165.2,142.5,3947.79
2025-06-30,E007,Operations,173.3,11.0,6000.33,503.25,720.04,184.21,459.03,360.02,285.0,3992.03
2025-06-30,E008,Operations,173.3,21.0,5330.51,826.88,639.66,163.65,407.78,319.83,0,3799.59
2025-06-30,E009,Operations,173.3,22.0,5506.36,866.25,660.76,169.05,421.24,330.38,285.0,3639.93
2025-06-30,E010,Operations,173.3,1.0,5472.52,46.5,656.7,168.01,418.65,164.18,142.5,3922.48
2025-06-30,E011,Purchasing,,0,10708.33,0,1285.0,328.75,819.19,535.42,285.0,7454.97
2025-06-30,E012,Purchasing,,0,11416.67,0,1370.0,350.49,873.38,342.5,0,8480.3
2025-06-30,E013,Sales,,0,11500.0,0,1380.0,353.05,879.75,575.0,142.5,8169.7
2025-06-30,E014,Sales,,0,7041.67,0,845.0,216.18,538.69,352.08,142.5,4947.22
2025-06-30,E015,Sales,,0,12541.67,0,1505.0,385.03,959.44,376.25,410.0,8905.95
2025-06-30,E016,Sales,,0,13416.67,0,1610.0,411.89,1026.38,402.5,142.5,9823.4
2025-06-30,E017,Sales,,0,5250.0,0,630.0,161.18,401.62,0.0,142.5,3914.7
2025-06-30,E018,Sales,,0,4791.67,0,575.0,147.1,366.56,239.58,142.5,3320.93
2025-06-30,E019,Sales ,,0,8708.33,0,1045.0,267.35,666.19,0.0,410.0,6319.79
2025-06-30,E020,Sales,,0,10375.0,0,1245.0,318.51,793.69,0.0,0,8017.8
2025-06-30,E021,Sales,,0,6583.33,0,790.0,202.11,503.62,329.17,410.0,4348.43
2025-06-30,E022,Sales,,0,4791.67,0,575.0,147.1,366.56,0.0,285.0,3418.01
2025-06-30,E023,Sales,,0,6833.33,0,820.0,209.78,522.75,410.0,410.0,4460.8
2025-06-30,E024,Sales,,0,12958.33,0,1555.0,397.82,991.31,647.92,410.0,8956.28
2025-06-30,E025,Sales,,0,12958.33,0,1555.0,397.82,991.31,0.0,410.0,9604.2
2025-06-30,E026,Warehouse,173.3,16.0,6127.09,708.0,735.25,188.1,468.72,367.63,142.5,4224.89
2025-06-30,E027,Warehouse,173.3,4.0,5073.72,165.0,608.85,155.76,388.14,0.0,285.0,3635.97
2025-06-30,E028,Warehouse,173.3,7.0,5234.17,275.62,628.1,160.69,400.41,157.03,142.5,3745.44
2025-06-30,E029,Warehouse,173.3,9.0,3502.5,253.12,420.3,107.53,267.94,105.08,410.0,2191.65
