Employee Id,As Of Date,Pto Accrued Hours,Pto Used Hours,Sick Accrued Hours,Sick Used Hours,Carryover Hours
E001,2026-03-31,97.0,44.5,40.0,30.0,18.0
E002,2026-03-31,48.0,81.5,40.0,28.5,14.5
E003,2026-03-31,132.5,14.5,40.0,10.0,10.0
E004,03/31/26,143.0,18.0,40.0,5.0,13.5
E005,2026-03-31,145.0,46.0,40.0,4.0,40.0
E006,2026-03-31,64.5,51.0,40.0,32.0,6.5
E007,2026-03-31,80.0,25.5,40.0,25.5,27.5
E008,2026-03-31,146.5,52.0,40.0,23.0,33.5
E009,2026-03-31,77.5,51.0,40.0,3.0,1.0
E010,2026-03-31,98.0,63.0,40.0,31.5,11.0
E011,2026-03-31,79.5,50.5,40.0,11.0,34.0
E012,2026-03-31,130.5,41.5,40.0,29.0,4.5
E013,2026-03-31,44.5,31.5,40.0,14.5,14.5
E014,2026-03-31,86.0,14.5,40.0,0.5,12.0
E015,2026-03-31,67.5,26.5,40.0,35.0,3.5
E016,2026-03-31,114.0,12.5,40.0,11.5,29.0
E017,2026-03-31,51.5,47.5,40.0,30.5,27.5
E018,2026-03-31,82.0,44.5,40.0,7.0,13.0
E019,2026-03-31,114.0,53.5,40.0,16.0,27.0
E020,2026-03-31,128.0,33.5,40.0,4.0,9.0
E021,2026-03-31,113.5,53.0,40.0,31.5,15.0
E022,2026-03-31,100.5,60.5,40.0,37.5,15.5
E023,2026-03-31,145.5,8.0,40.0,37.5,33.5
E024,2026-03-31,147.0,77.0,40.0,6.5,26.0
E025,03/31/2026,64.5,13.0,40.0,20.5,13.5
E027,2026-03-31,140.5,92.0,40.0,13.5,11.0
E028,2026-03-31,46.0,9.0,40.0,25.5,15.0
E029,2026-03-31,59.5,49.0,40.0,6.0,4.0
E030,2026-03-31,46.5,6.0,40.0,0.5,37.5
E031,2026-03-31,80.0,81.5,40.0,22.0,20.5
E032,2026-03-31,137.0,36.5,40.0,3.0,23.0
E033,2026-03-31,137.5,38.5,40.0,7.5,17.0
E035,2026-03-31,63.5,26.5,40.0,31.5,4.5
E036,2026-03-31,101.5,84.5,40.0,34.5,15.5
E038,2026-03-31,57.0,17.0,40.0,15.5,12.5
E040,2026-03-31,94.0,83.5,40.0,30.5,15.5
E041,2026-03-31,101.0,92.0,40.0,37.5,30.0
E042,2026-03-31,111.0,33.0,40.0,8.0,25.0
E043,03/31/2026,118.0,16.0,40.0,16.0,10.5
E044,2026-03-31,150.5,33.0,40.0,2.5,8.5
E045,2026-03-31,94.0,90.5,40.0,8.5,38.0
