Employee Id,Course,Completed Date,Expiration Date,Provider,Status,Certificate File
E001,Hazard Communication,2024-10-11,2026-10-11,OSHA Outreach,Current,
E001,Crane & Rigging,2023-03-21,2025-03-20,Toyota Material Handling,Expired,E001_crane.pdf
E002,Forklift Certification,2023-10-22,2026-10-21,ASQ,Current,
E002,DOT Medical Card,2024-01-18,2026-01-17,Red Cross,Expired,E002_dot.pdf
E002,Fall Protection,15-Apr-2025,2027-04-15,ASQ,Current,
E003,ISO 9001 Internal Auditor,2024-01-29,2026-01-28,OSHA Outreach,Expired,E003_iso.pdf
E003 ,GD&T Fundamentals,09-Jan-2023,2025-01-08,Toyota Material Handling,Expired,E003_gd&t.pdf
E003,Hazard Communication,2024-05-16,2026-05-16,OSHA Outreach,Current,E003_hazard.pdf
E003,First Aid/CPR,2024-11-25,2026-11-25,Internal,Current,E003_first.pdf
E004,Fall Protection,2025-09-24,2027-09-24,Toyota Material Handling,Current,E004_fall.pdf
E004,First Aid/CPR,2025-03-04,2027-03-04,Toyota Material Handling ,Current,E004_first.pdf
E004,DOT Medical Card,2025-04-05,2027-04-05,Internal,Current,E004_dot.pdf
E004,Crane & Rigging,2024-10-21,2026-10-21,ASQ,Current,E004_crane.pdf
E005,Fall Protection,2025-01-12,2027-01-12,Internal,Current,
E005,Forklift Certification,2024-08-17,2027-08-17,OSHA Outreach,Current,E005_forklift.pdf
E005,First Aid/CPR,2024-03-10,2026-03-10,Red Cross,Expired,E005_first.pdf
E005,ISO 9001 Internal Auditor,2025-07-21,2027-07-21,Red Cross,Current,E005_iso.pdf
E006,Fall Protection,2023-10-14,2025-10-13,Toyota Material Handling,Expired,E006_fall.pdf
E006,Crane & Rigging,2024-04-21,2026-04-21,Red Cross,Current,E006_crane.pdf
E006,DOT Medical Card,2023-06-04,2025-06-03,Red Cross,Expired,E006_dot.pdf
E007,First Aid/CPR,2024-05-23,2026-05-23,Toyota Material Handling,Current,E007_first.pdf
E007,Forklift Certification,2023-09-17,2026-09-16,Red Cross,Current,
E007,ISO 9001 Internal Auditor,2024-12-08,2026-12-08,Internal,Current,
E007,Crane & Rigging,2024-10-17,2026-10-17,Toyota Material Handling,Current,E007_crane.pdf
E008,Fall Protection,2023-07-17,2025-07-16,ASQ,Expired,E008_fall.pdf
E008,Lockout/Tagout,"May 15, 2024",15-May-2026,Internal,Current,E008_lockout/tagout.pdf
E008,Crane & Rigging,2024-03-13,2026-03-13,Internal,Expired,E008_crane.pdf
E009,GD&T Fundamentals,2025-12-30,2027-12-30,Internal,Current,
E009,Forklift Certification,2024-01-10,2027-01-09,Red Cross,Current,E009_forklift.pdf
E010,GD&T Fundamentals,2023-02-23,2025-02-22,Internal,Expired,E010_gd&t.pdf
E011,DOT Medical Card,2025-10-12,2027-10-12,Internal,Current,
E011,Fall Protection,2023-08-20,2025-08-19 ,Red Cross,Expired,
E011,Crane & Rigging,2024-09-09,2026-09-09,ASQ,Current,E011_crane.pdf
E011,Hearing Conservation,2025-08-15,08/15/2027,ASQ,Current,E011_hearing.pdf
E012,First Aid/CPR,2023-09-14,2025-09-13,Internal,Expired,
E012,Forklift Certification,2023-10-07,2026-10-06,ASQ,Current,E012_forklift.pdf
E012,Crane & Rigging,2023-08-28,2025-08-27,OSHA Outreach,Expired,E012_crane.pdf
E013,Fall Protection,2023-08-09,2025-08-08,ASQ,Expired,E013_fall.pdf 
E013,ISO 9001 Internal Auditor,2024-01-03,2026-01-02,Toyota Material Handling,Expired,E013_iso.pdf
E013,Lockout/Tagout,26-Feb-2025,2027-02-26,ASQ,Current,
E014,DOT Medical Card,2025-01-05,2027-01-05,Internal,Current,
E014,Hearing Conservation,2025-02-05,2027-02-05,Toyota Material Handling,Current,E014_hearing.pdf
E014,GD&T Fundamentals,05/05/25,2027-05-05,Red Cross,Current,
E014,First Aid/CPR,05/04/24,05/04/2026,Internal,Current,
