Event Id,Company Id,Workflow Type,Object Type,Object Id,Timestamp,Actor,Action,Previous State,New State,Source Document,Confidence,Requires Review
EV-000173,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26051,2025-04-01T13:09:00,E015,order_entered,,open,customer_po_P628006,0.9,N
EV-000011,keystone_bearing_and_drive,quote_to_order,quote,Q-26011,2025-04-01T14:14:00,E018,quote_sent,draft,sent,Q-26011.pdf,1.0,N
EV-002254,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31234,2025-04-01T17:06:00,E012 ,po_issued,draft,open,PO-31234.pdf,1.0,N
EV-002919,keystone_bearing_and_drive,manufacturing,work_order,WO-70012,2025-04-02T13:45:00,E026,wo_released,planned,released,MRP,1.0,N
EV-002031,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31011,2025-04-02T16:37:00,E012,po_issued,draft,open,PO-31011.pdf,1.0,N
EV-002294,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31274,2025-04-03T08:12:00,E011,po_issued,draft,open,PO-31274.pdf,1.0,N
EV-002287,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31267,2025-04-03T08:33:00,E012,po_issued,draft,open,PO-31267.pdf,1.0,N
EV-000316,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26192,2025-04-03T10:11:00,E025,order_entered,,open,customer_po_PO539170,1.0,N
EV-002967,keystone_bearing_and_drive,manufacturing,work_order ,WO-70037,2025-04-03T17:14:00,E006,wo_released,planned,released,MRP,1.0,N
EV-000302,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26178,2025-04-03T17:34:00,E013,order_entered,,open,customer_po_P624260,1.0,N
EV-002113,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31093,2025-04-04T14:38:00,E011,po_issued,draft,open,PO-31093.pdf,1.0,N
EV-002127,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31107,2025-04-04T17:43:00,E011,po_issued,draft,open,PO-31107.pdf,1.0,N
EV-000238,keystone_bearing_and_drive,credit_control,sales_order,SO-26115,2025-04-05T09:11:00,E002,credit_hold_applied,open,credit_hold,credit_checks,1.0,N
EV-000355,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26231,2025-04-05T15:58:00,E015,order_entered,,open,customer_po_PO162970,1.0,N
EV-000237,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26115 ,2025-04-05T16:28:00,E024,order_entered,,open,customer_po_PO834205,0.9,Y
EV-000204,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26082,2025-04-07T11:24:00,E018,order_entered,,open ,customer_po_P216737,1.0,N
EV-000550,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26423,2025-04-07T14:48:00,E017,order_entered,,open,customer_po_4500620365,1.0,N
EV-000558,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26431,2025-04-07T15:47:00,E013,order_entered,,open,customer_po_P211410,0.9,N
EV-000395,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26271,2025-04-08T07:37:00,E016,order_entered,,open,customer_po_PO661843,0.9,N
EV-002033,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31013,2025-04-08T16:15:00,E012,po_issued,draft,open,PO-31013.pdf,1.0,N
EV-000581,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26454,2025-04-09T11:55:00,E025,order_entered,,open,customer_po_P396192,0.9,N
EV-000014,keystone_bearing_and_drive,quote_to_order,quote,Q-26014,2025-04-10T14:22:00,E019,quote_sent,draft,sent,Q-26014.pdf,1.0,N
EV-000210,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26088,2025-04-10T15:26:00,E024,order_entered,,open,customer_po_PO563147,0.9,N
EV-000642,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26515,2025-04-10T15:28:00,E015,order_entered,,open,customer_po_PO361070,1.0,N
EV-002978,keystone_bearing_and_drive,manufacturing,work_order,WO-70043,2025-04-11T07:38:00,E006,wo_released,planned,released,MRP,1.0,N
EV-002038,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31018,2025-04-11T09:28:00,E012,po_issued,draft,open,PO-31018.pdf,1.0,N
EV-002050,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31030,2025-04-11T11:53:00,E012,po_issued,draft,open,PO-31030.pdf,1.0,N
EV-000051,keystone_bearing_and_drive,quote_to_order,quote,Q-26051,2025-04-12T08:58:00,E020,quote_sent,draft,sent,Q-26051.pdf,1.0,N
EV-000181,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26059,2025-04-12T11:06:00,E018,order_entered,,open,customer_po_4500807327,1.0,N
