bom_id,parent_item_id,parent_revision,line,component_item_id,component_revision,qty_per,uom,scrap_pct,effective_date,status
BOM-A-20002,A-20002,A,10,P-20079,A,1,EA,0,2025-01-01,Released
BOM-A-20002,A-20002,A,20,P-20042,,1,EA,5,2025-01-01,Released
BOM-A-20002,A-20002,A,30,P-20029,,1,EA,0,2025-01-01,Released
BOM-A-20002,A-20002,A,40,P-20023,,0.75,EA,0,2025-01-01,Released
BOM-A-20002,A-20002,A,50,P-20001,,2,EA,0,2025-01-01,Released
BOM-A-20003,A-20003,C,10,P-20057,,1,EA,0,2025-01-01,Released
BOM-A-20003,A-20003,C,20,P-20085,,2.5,EA,5,2025-01-01,Released
BOM-A-20003,A-20003,C,30,P-20054,,0.75,EA,3,2025-01-01,Released
BOM-A-20003,A-20003,C,40,P-20115,,0.75,EA,3,2025-01-01,Released
BOM-A-20004,A-20004,A,10,P-20105,,2.5,EA,0,2025-01-01,Released
BOM-A-20004,A-20004,A,20,P-20050,,1,EA,0,2025-01-01,Released
BOM-A-20004,A-20004,A,30,P-10084,,0.75,BX,3,2025-01-01,Released
BOM-A-20004,A-20004,A,40,P-20024,,0.75,EA,5,2025-01-01,Released
BOM-A-20004,A-20004,A,50,P-20059,,1,EA,0,2025-01-01,Released
BOM-A-20010,A-20010,A,10,P-20105,,2,EA,0,2025-01-01,Released
BOM-A-20010,A-20010,A,20,P-20050,,2.5,EA,0,2025-01-01,Released
BOM-A-20010,A-20010,A,30,P-10000,,4,EA,3,2025-01-01,Released
BOM-A-20010,A-20010,A,40,P-20086,,2,EA,0,2025-01-01,Released
BOM-A-20010,A-20010,A,50,P-20095,,2,EA,5,2025-01-01,Released
BOM-A-20010,A-20010,A,60,P-20048,,0.75,EA,3,2025-01-01,Released
BOM-A-20013,A-20013,A,10,P-10028,,1,EA,3,2025-01-01,Released
BOM-A-20013,A-20013,A,20,P-20106,,4,EA,0,2025-01-01,Released
BOM-A-20013,A-20013,A,30,P-20032,,4,EA,3,2025-01-01,Released
BOM-A-20013,A-20013,A,40,P-20000,,0.75,EA,5,2025-01-01,Released
BOM-A-20020,A-20020,B,10,P-20023,,0.75,EA,2,2025-01-01,Released
BOM-A-20020,A-20020,B,20,P-20007,,2,EA,5,2025-01-01,Released
BOM-A-20020,A-20020,B,30,P-20050,,4,EA,3,2025-01-01,Released
BOM-A-20022,A-20022,B,10,P-20048,,0.75,EA,2,2025-01-01,Released
BOM-A-20022,A-20022,B,20,P-20109,,1,EA,3,2025-01-01,Released
BOM-A-20022,A-20022,B,30,P-20104,,1,EA,2,2025-01-01,Released
BOM-A-20022,A-20022,B,40,P-20044,,2,EA,3,2025-01-01,Released
BOM-A-20022,A-20022,B,50,P-20009,,0.75,EA,2,2025-01-01,Released
BOM-A-20022,A-20022,B,60,P-20008,,0.75,EA,2,2025-01-01,Released
BOM-A-20025,A-20025,C,10,P-20118,,2.5,EA,2,2025-01-01,Released
BOM-A-20025,A-20025,C,20,P-20011,,1,EA,0,2025-01-01,Released
BOM-A-20025,A-20025,C,30,P-20045,,0.75,EA,3,2025-01-01,Released
BOM-A-20025,A-20025,C,40,P-20106,,0.75,EA,0,2025-01-01,Released
BOM-A-20030,A-20030,A,10,P-20042,,2.5,EA,2,2025-01-01,Released
BOM-A-20030,A-20030,A,20,P-20050,,1,EA,5,2025-01-01,Released
BOM-A-20030,A-20030,A,30,P-20068,,1,EA,5,2025-01-01,Released
BOM-A-20030,A-20030,A,40,P-20044,,1,EA,5,2025-01-01,Released
BOM-A-20030,A-20030,A,50,P-20023,,1,EA,0,2025-01-01,Released
BOM-A-20030,A-20030,A,60,P-20108,,4,EA,3,2025-01-01,Released
BOM-A-20031,A-20031,A,10,P-20099,,4,EA,3,2025-01-01,Released
BOM-A-20031,A-20031,A,20,P-20080,,4,EA,2,2025-01-01,Released
BOM-A-20031,A-20031,A,30,P-20117,,4,EA,2,2025-01-01,Released
BOM-A-20031,A-20031,A,40,P-20050,,1,EA,5,2025-01-01,Released
BOM-A-20031,A-20031,A,50,P-10098,,5.7,LB,3,2025-01-01,Released
BOM-A-20033,A-20033,C,10,P-20062,,4,EA,2,2025-01-01,Released
BOM-A-20033,A-20033,C,20,P-20109,,4,EA,5,2025-01-01,Released
BOM-A-20033,A-20033,C,30,P-10021,,1,EA,5,2025-01-01,Released
BOM-A-20034,A-20034,B,10,P-20116,,2.5,EA,0,2025-01-01,Released
BOM-A-20034,A-20034,B,20,P-20085,,2.5,EA,3,2025-01-01,Released
BOM-A-20034,A-20034,B,30,P-20095,,0.75,EA,2,2025-01-01,Released
BOM-A-20034,A-20034,B,40,P-20001,,1,EA,0,2025-01-01,Released
BOM-A-20036,A-20036,A,10,P-20026,,4,EA,5,2025-01-01,Released
BOM-A-20036,A-20036,A,20,P-20012,,2,EA,2,2025-01-01,Released
BOM-A-20036,A-20036,A,30,P-20044,,2,EA,0,2025-01-01,Released
BOM-A-20036,A-20036,A,40,P-20028,,2.5,EA,2,2025-01-01,Released
BOM-A-20038,A-20038,C,10,P-20113,,1,EA,0,2025-01-01,Released
BOM-A-20038,A-20038,C,20,P-20011,,0.75,EA,0,2025-01-01,Released
BOM-A-20038,A-20038,C,30,P-20007,,4,EA,0,2025-01-01,Released
BOM-A-20039,A-20039,B,10,P-20086,,1,EA,0,2025-01-01,Released
BOM-A-20039,A-20039,B,20,P-20018,,0.75,EA,3,2025-01-01,Released
BOM-A-20039,A-20039,B,30,P-20049,,0.75,EA,0,2025-01-01,Released
BOM-A-20039,A-20039,B,40,P-10105,,13.5,LB,0,2025-01-01,Released
BOM-A-20040,A-20040,C,10,P-20099,,1,EA,5,2025-01-01,Released
BOM-A-20040,A-20040,C,20,P-20049,,4,EA,5,2025-01-01,Released
BOM-A-20040,A-20040,C,30,P-20011,,1,EA,5,2025-01-01,Released
BOM-A-20040,A-20040,C,40,P-20085,,1,EA,5,2025-01-01,Released
BOM-A-20043,A-20043,C,10,P-20083,,1,EA,0,2025-01-01,Released
BOM-A-20043,A-20043,C,20,P-20035,,2,EA,3,2025-01-01,Released
BOM-A-20043,A-20043,C,30,P-20081,,1,EA,5,2025-01-01,Released
BOM-A-20043,A-20043,C,40,P-20050,,2,EA,5,2025-01-01,Released
BOM-A-20053,A-20053,A,10,P-20108,,4,EA,5,2025-01-01,Released
BOM-A-20053,A-20053,A,20,P-20050,,2,EA,0,2025-01-01,Released
BOM-A-20053,A-20053,A,30,P-20028,,0.75,EA,0,2025-01-01,Released
BOM-A-20053,A-20053,A,40,P-20081,,2,EA,3,2025-01-01,Released
BOM-A-20053,A-20053,A,50,P-20007,,2.5,EA,2,2025-01-01,Released
BOM-A-20053,A-20053,A,60,P-10014,,1,EA,0,2025-01-01,Released
BOM-A-20058,A-20058,C,10,P-20027,,4,EA,0,2025-01-01,Released
BOM-A-20058,A-20058,C,20,P-10028,,2.5,EA,2,2025-01-01,Released
BOM-A-20058,A-20058,C,30,P-20006,,2,EA,2,2025-01-01,Released
BOM-A-20058,A-20058,C,40,P-20117,,1,EA,0,2025-01-01,Released
BOM-A-20058,A-20058,C,50,P-20032,,1,EA,3,2025-01-01,Released
BOM-A-20061,A-20061,C,10,P-20081,,2.5,EA,2,2025-01-01,Released
BOM-A-20061,A-20061,C,20,P-20055,,4,EA,3,2025-01-01,Released
BOM-A-20061,A-20061,C,30,P-20035,,1,EA,2,2025-01-01,Released
BOM-A-20061,A-20061,C,40,P-10091,,1,BX,0,2025-01-01,Released
BOM-A-20061,A-20061,C,50,P-20069,,1,EA,0,2025-01-01,Released
BOM-A-20061,A-20061,C,60,P-20109,,0.75,EA,2,2025-01-01,Released
BOM-A-20063,A-20063,A,10,P-20112,,0.75,EA,0,2025-01-01,Released
BOM-A-20063,A-20063,A,20,P-20011,,2,EA,5,2025-01-01,Released
BOM-A-20063,A-20063,A,30,P-20106,,1,EA,2,2025-01-01,Released
BOM-A-20065,A-20065,A,10,P-20041,,0.75,EA,3,2025-01-01,Released
BOM-A-20065,A-20065,A,20,P-20009,,2,EA,5,2025-01-01,Released
BOM-A-20065,A-20065,A,30,P-20026,,4,EA,5,2025-01-01,Released
BOM-A-20070,A-20070,A,10,P-20054,,0.75,EA,3,2025-01-01,Released
BOM-A-20070,A-20070,A,20,P-20059,,2,EA,5,2025-01-01,Released
BOM-A-20070,A-20070,A,30,P-20099,,0.75,EA,3,2025-01-01,Released
BOM-A-20072,A-20072,A,10,P-10000,,1,EA,5,2025-01-01,Released
BOM-A-20072,A-20072,A,20,P-20081,,1,EA,3,2025-01-01,Released
BOM-A-20072,A-20072,A,30,P-20015,,2,EA,2,2025-01-01,Released
BOM-A-20073,A-20073,B,10,P-20048,,4,EA,2,2025-01-01,Released
BOM-A-20073,A-20073,B,20,P-20044,,4,EA,2,2025-01-01,Released
BOM-A-20073,A-20073,B,30,P-20009,,4,EA,3,2025-01-01,Released
BOM-A-20073,A-20073,B,40,P-20006,,1,EA,2,2025-01-01,Released
BOM-A-20073,A-20073,B,50,P-20080,,0.75,EA,3,2025-01-01,Released
BOM-A-20076,A-20076,B,10,P-20109,,0.75,EA,0,2025-01-01,Released
BOM-A-20076,A-20076,B,20,P-20086,,0.75,EA,2,2025-01-01,Released
BOM-A-20076,A-20076,B,30,P-20045,,2,EA,2,2025-01-01,Released
BOM-A-20076,A-20076,B,40,P-20041,,2,EA,0,2025-01-01,Released
BOM-A-20077,A-20077,A,10,P-20081,,2,EA,3,2025-01-01,Released
BOM-A-20077,A-20077,A,20,P-20024,,2,EA,3,2025-01-01,Released
BOM-A-20077,A-20077,A,30,P-20085,,0.75,EA,5,2025-01-01,Released
BOM-A-20077,A-20077,A,40,P-20009,,0.75,EA,5,2025-01-01,Released
BOM-A-20077,A-20077,A,50,P-20098,,1,EA,0,2025-01-01,Released
BOM-A-20078,A-20078,B,10,P-20109,,1,EA,2,2025-01-01,Released
BOM-A-20078,A-20078,B,20,P-20104,,0.75,EA,5,2025-01-01,Released
BOM-A-20078,A-20078,B,30,P-20049,,4,EA,2,2025-01-01,Released
