agreement_id,customer_id,item_id,contract_price,min_qty,effective_date,expiration_date,approved_by,source_document
NIC-CPA001,NIC-CUST0039,A-20038,2415.34,10,2025-01-01,2026-12-31,E001,quote_2591.pdf
NIC-CPA002,NIC-CUST0039,A-20093,2520.72,100,2025-01-01,2025-12-31,E001,quote_2455.pdf
NIC-CPA003,NIC-CUST0039,A-20087,520.37,100,2025-01-01,2026-12-31,E001,quote_2452.pdf
NIC-CPA004,NIC-CUST0004,A-20034,121.57,1,2025-01-01,2026-06-30,E001,quote_2540.pdf
NIC-CPA005,NIC-CUST0004,A-20040,226.29,100,2025-01-01,2026-12-31,E001,quote_2541.pdf
NIC-CPA006,NIC-CUST0004,A-20038,2509.45,25,2025-01-01,2026-12-31,E001,quote_2517.pdf
NIC-CPA007,NIC-CUST0025,A-20061,204.08,1,2025-01-01,2025-12-31,E001,quote_2401.pdf
NIC-CPA008,NIC-CUST0025,A-20072,404.49,25,2025-01-01,2025-12-31,E001,quote_2507.pdf
NIC-CPA009,NIC-CUST0025,A-20076,1134.05,100,2025-01-01,2026-12-31,E001,quote_2587.pdf
NIC-CPA010,NIC-CUST0020,A-20076,1000.63,1,2025-01-01,2026-12-31,E001,quote_2433.pdf
NIC-CPA011,NIC-CUST0020,A-20070,2445.35,100,2025-01-01,2026-06-30,E001,quote_2599.pdf
NIC-CPA012,NIC-CUST0020,A-20003,2652.35,10,2025-01-01,2025-12-31,E001,quote_2599.pdf
NIC-CPA013,NIC-CUST0018,A-20082,1089.66,1,2025-01-01,2025-12-31,E001,quote_2573.pdf
NIC-CPA014,NIC-CUST0018,A-20003,2585.2,25,2025-01-01,2026-06-30,E001,quote_2494.pdf
NIC-CPA015,NIC-CUST0018,A-20070,2509.7,100,2025-01-01,2025-12-31,E001,quote_2417.pdf
NIC-CPA016,NIC-CUST0034,A-20072,404.49,10,2025-01-01,2025-12-31,E001,quote_2486.pdf
NIC-CPA017,NIC-CUST0034,A-20036,3216.65,1,2025-01-01,2025-12-31,E001,quote_2545.pdf
NIC-CPA018,NIC-CUST0034,A-20070,2767.1,25,2025-01-01,2025-12-31,E001,quote_2460.pdf
NIC-CPA019,NIC-CUST0040,A-20031,188.62,1,2025-01-01,2026-06-30,E001,quote_2486.pdf
NIC-CPA020,NIC-CUST0040,A-20053,671.16,10,2025-01-01,2025-12-31,E001,quote_2520.pdf
NIC-CPA021,NIC-CUST0040,A-20078,969.46,100,2025-01-01,2026-06-30,E001,quote_2512.pdf
NIC-CPA022,NIC-CUST0006,A-20107,3228.61,1,2025-01-01,2025-12-31,E001,quote_2431.pdf
NIC-CPA023,NIC-CUST0006,A-20040,257.72,25,2025-01-01,2026-12-31,E001,quote_2594.pdf
NIC-CPA024,NIC-CUST0006,A-20077,1011.09,100,2025-01-01,2025-12-31,E001,quote_2504.pdf
