price_list_id,price_level,item_id,unit_price,currency,effective_date,expiration_date
PL-A,A,A-20002,2568.43,USD,2025-01-01,2026-12-31
PL-B,B,A-20002,2440.01,USD,2025-01-01,2026-12-31
PL-C,C,A-20002,2311.59,USD,2025-01-01,2026-12-31
PL-D,D,A-20002,2106.11,USD,2025-01-01,2026-12-31
PL-A,A,A-20003,3357.4,USD,2025-01-01,2026-12-31
PL-B,B,A-20003,3189.53,USD,2025-01-01,2026-12-31
PL-C,C,A-20003,3021.66,USD,2025-01-01,2026-12-31
PL-D,D,A-20003,2753.07,USD,2025-01-01,2026-12-31
PL-A,A,A-20013,230.32,USD,2025-01-01,2026-12-31
PL-B,B,A-20013,218.8,USD,2025-01-01,2026-12-31
PL-C,C,A-20013,207.29,USD,2025-01-01,2026-12-31
PL-D,D,A-20013,188.86,USD,2025-01-01,2026-12-31
PL-A,A,A-20020,588.91,USD,2025-01-01,2026-12-31
PL-B,B,A-20020,559.46,USD,2025-01-01,2026-12-31
PL-C,C,A-20020,530.02,USD,2025-01-01,2026-12-31
PL-D,D,A-20020,482.91,USD,2025-01-01,2026-12-31
PL-A,A,A-20022,225.34,USD,2025-01-01,2026-12-31
PL-B,B,A-20022,214.07,USD,2025-01-01,2026-12-31
PL-C,C,A-20022,202.81,USD,2025-01-01,2026-12-31
PL-D,D,A-20022,184.78,USD,2025-01-01,2026-12-31
PL-A,A,A-20030,272.55,USD,2025-01-01,2026-12-31
PL-B,B,A-20030,258.92,USD,2025-01-01,2026-12-31
PL-C,C,A-20030,245.3,USD,2025-01-01,2026-12-31
PL-D,D,A-20030,223.49,USD,2025-01-01,2026-12-31
PL-A,A,A-20031,235.78,USD,2025-01-01,2026-12-31
PL-B,B,A-20031,223.99,USD,2025-01-01,2026-12-31
PL-C,C,A-20031,212.2,USD,2025-01-01,2026-12-31
PL-D,D,A-20031,193.34,USD,2025-01-01,2026-12-31
PL-A,A,A-20033,535.65,USD,2025-01-01,2026-12-31
PL-B,B,A-20033,508.87,USD,2025-01-01,2026-12-31
PL-C,C,A-20033,482.08,USD,2025-01-01,2026-12-31
PL-D,D,A-20033,439.23,USD,2025-01-01,2026-12-31
PL-A,A,A-20034,155.86,USD,2025-01-01,2026-12-31
PL-B,B,A-20034,148.07,USD,2025-01-01,2026-12-31
PL-C,C,A-20034,140.27,USD,2025-01-01,2026-12-31
PL-D,D,A-20034,127.81,USD,2025-01-01,2026-12-31
PL-A,A,A-20036,4123.91,USD,2025-01-01,2026-12-31
PL-B,B,A-20036,3917.71,USD,2025-01-01,2026-12-31
PL-C,C,A-20036,3711.52,USD,2025-01-01,2026-12-31
PL-D,D,A-20036,3381.61,USD,2025-01-01,2026-12-31
PL-A,A,A-20038,3136.81,USD,2025-01-01,2026-12-31
PL-B,B,A-20038,2979.97,USD,2025-01-01,2026-12-31
PL-C,C,A-20038,2823.13,USD,2025-01-01,2026-12-31
PL-D,D,A-20038,2572.18,USD,2025-01-01,2026-12-31
PL-A,A,A-20039,686.19,USD,2025-01-01,2026-12-31
PL-B,B,A-20039,651.88,USD,2025-01-01,2026-12-31
