routing_id,item_id,operation,work_center_id,description,setup_hours,run_hours_per_unit,queue_days
RTG-A-20002,A-20002,10,WC-SAW,Bar Saw,1.0,0.34,2
RTG-A-20002,A-20002,20,WC-CNC1,CNC Lathe Cell 1,0.75,0.41,0
RTG-A-20002,A-20002,30,WC-CNC2,CNC Mill Cell 2,1.25,0.79,0
RTG-A-20002,A-20002,40,WC-ASSY,Assembly,0.75,0.77,1
RTG-A-20002,A-20002,50,WC-INSP,Final Inspection,1.75,0.16,2
RTG-A-20002,A-20002,60,WC-PACK,Packaging,1.25,0.43,0
RTG-A-20003,A-20003,10,WC-SAW,Bar Saw,0.5,0.91,1
RTG-A-20003,A-20003,20,WC-CNC1,CNC Lathe Cell 1,1.25,0.37,1
RTG-A-20003,A-20003,30,WC-INSP,Final Inspection,0.5,1.03,1
RTG-A-20003,A-20003,40,WC-PACK,Packaging,1.5,1.04,1
RTG-A-20004,A-20004,10,WC-DEBUR,Deburr / Finish,1.75,0.82,2
RTG-A-20004,A-20004,20,WC-SAW,Bar Saw,1.0,0.13,0
RTG-A-20004,A-20004,30,WC-INSP,Final Inspection,2.0,0.31,0
RTG-A-20004,A-20004,40,WC-PACK,Packaging,1.75,1.11,2
RTG-A-20010,A-20010,10,WC-ASSY,Assembly,0.5,0.91,0
RTG-A-20010,A-20010,20,WC-SAW,Bar Saw,0.5,1.16,1
RTG-A-20010,A-20010,30,WC-DEBUR,Deburr / Finish,2.0,0.18,2
RTG-A-20010,A-20010,40,WC-INSP,Final Inspection,0.75,0.85,2
RTG-A-20010,A-20010,50,WC-PACK,Packaging,1.75,0.8,0
RTG-A-20013,A-20013,10,WC-ASSY,Assembly,0.25,0.35,2
RTG-A-20013,A-20013,20,WC-SAW,Bar Saw,1.75,0.6,0
RTG-A-20013,A-20013,30,WC-INSP,Final Inspection,0.5,1.07,1
RTG-A-20013,A-20013,40,WC-PACK,Packaging,0.5,0.55,2
RTG-A-20020,A-20020,10,WC-DEBUR,Deburr / Finish,1.0,1.07,0
RTG-A-20020,A-20020,20,WC-ASSY,Assembly,0.75,1.02,0
RTG-A-20020,A-20020,30,WC-SAW,Bar Saw,0.75,0.72,0
RTG-A-20020,A-20020,40,WC-CNC1,CNC Lathe Cell 1,0.25,0.66,1
RTG-A-20020,A-20020,50,WC-INSP,Final Inspection,1.25,0.21,2
RTG-A-20020,A-20020,60,WC-PACK,Packaging,0.75,0.08,0
RTG-A-20022,A-20022,10,WC-SAW,Bar Saw,1.25,0.3,2
RTG-A-20022,A-20022,20,WC-CNC2,CNC Mill Cell 2,1.0,1.12,2
RTG-A-20022,A-20022,30,WC-CNC1,CNC Lathe Cell 1,1.0,0.85,0
RTG-A-20022,A-20022,40,WC-ASSY,Assembly,1.0,1.07,0
RTG-A-20022,A-20022,50,WC-INSP,Final Inspection,2.0,1.17,0
RTG-A-20022,A-20022,60,WC-PACK,Packaging,1.75,0.32,2
RTG-A-20025,A-20025,10,WC-ASSY,Assembly,2.0,0.5,0
RTG-A-20025,A-20025,20,WC-CNC1,CNC Lathe Cell 1,0.25,0.62,1
RTG-A-20025,A-20025,30,WC-INSP,Final Inspection,0.75,0.49,2
RTG-A-20025,A-20025,40,WC-PACK,Packaging,0.75,1.2,0
RTG-A-20030,A-20030,10,WC-SAW,Bar Saw,2.0,0.13,0
RTG-A-20030,A-20030,20,WC-CNC1,CNC Lathe Cell 1,0.5,0.4,2
RTG-A-20030,A-20030,30,WC-ASSY,Assembly,1.75,0.48,1
RTG-A-20030,A-20030,40,WC-DEBUR,Deburr / Finish,1.5,0.67,1
RTG-A-20030,A-20030,50,WC-INSP,Final Inspection,0.75,0.59,0
RTG-A-20030,A-20030,60,WC-PACK,Packaging,0.5,0.3,0
RTG-A-20031,A-20031,10,WC-SAW,Bar Saw,1.0,0.37,1
RTG-A-20031,A-20031,20,WC-CNC1,CNC Lathe Cell 1,2.0,1.03,0
RTG-A-20031,A-20031,30,WC-INSP,Final Inspection,1.75,0.28,2
RTG-A-20031,A-20031,40,WC-PACK,Packaging,1.0,0.61,1
RTG-A-20033,A-20033,10,WC-SAW,Bar Saw,1.5,0.72,0
RTG-A-20033,A-20033,20,WC-DEBUR,Deburr / Finish,0.75,0.97,0
RTG-A-20033,A-20033,30,WC-ASSY,Assembly,2.0,0.93,0
RTG-A-20033,A-20033,40,WC-INSP,Final Inspection,0.75,0.47,0
RTG-A-20033,A-20033,50,WC-PACK,Packaging,1.75,1.08,2
RTG-A-20034,A-20034,10,WC-CNC1,CNC Lathe Cell 1,1.5,1.0,1
RTG-A-20034,A-20034,20,WC-DEBUR,Deburr / Finish,0.25,0.4,0
RTG-A-20034,A-20034,30,WC-ASSY,Assembly,0.75,0.38,2
