so_number,check_date,customer_id,credit_limit,open_ar_at_check,order_total,result,reviewed_by
SO-26001,2025-08-04,NIC-CUST0013,25000,11759.81,25311.85,Approved,E002
SO-26004,2025-08-06,NIC-CUST0011,25000,5509.33,5948.04,Approved,E002
SO-26005,2025-05-15,NIC-CUST0034,100000,29562.17,1126.2,Approved,E002
SO-26007,2025-07-18,NIC-CUST0018,50000,34856.86,1089.66,Approved,E002
SO-26012,2025-06-25,NIC-CUST0003,25000,22220.06,9715.13,Approved,E002
SO-26013,2025-08-26,NIC-CUST0021,25000,4604.26,885.78,Approved,E002
SO-26014,2025-04-30,NIC-CUST0040,50000,6171.76,8321.77,Approved,E002
SO-26018,2025-08-06,NIC-CUST0006,50000,50771.23,49415.85,Approved,E002
SO-26019,2025-07-10,NIC-CUST0026,150000,89044.24,4698.17,Approved,E002
SO-26023,2025-06-30,NIC-CUST0040,50000,29813.38,6671.07,Approved,E002
SO-26026,2026-03-28,NIC-CUST0003,25000,7005.84,10355.85,Approved,E002
SO-26027,2026-01-31,NIC-CUST0011,25000,26522.36,2594.03,Approved,E002
SO-26030,2026-03-19,NIC-CUST0008,50000,19476.94,14630.33,Approved,E002
SO-26031,2025-11-12,NIC-CUST0040,50000,12502.83,13345.5,Approved,E002
SO-26033,2025-08-29,NIC-CUST0017,150000,53731.58,7516.76,Approved,E002
SO-26035,2025-06-05,NIC-CUST0030,25000,8711.76,25388.45,Approved,E002
SO-26039,2025-12-26,NIC-CUST0029,25000,15308.8,16136.73,Approved,E002
SO-26040,2025-05-08,NIC-CUST0013,25000,5889.42,588.52,Approved,E002
SO-26042,2025-12-11,NIC-CUST0018,50000,24.69,4822.58,Approved,E002
SO-26044,2025-10-15,NIC-CUST0006,50000,20318.84,16118.36,Approved,E002
SO-26045,2026-01-30,NIC-CUST0019,250000,92534.59,5587.73,Approved,E002
SO-26048,2026-03-26,NIC-CUST0037,250000,227294.67,8128.72,Approved,E002
SO-26049,2025-05-21,NIC-CUST0018,50000,1028.3,1352.51,Approved,E002
SO-26052,2025-04-17,NIC-CUST0019,250000,146947.32,5262.47,Approved,E002
SO-26055,2026-02-21,NIC-CUST0007,25000,5249.33,9207.4,Approved,E002
SO-26058,2025-09-02,NIC-CUST0030,25000,2560.4,16458.48,Approved,E002
SO-26060,2025-11-17,NIC-CUST0011,25000,17743.0,4143.24,Approved,E002
SO-26061,2026-01-16,NIC-CUST0014,25000,12362.3,14869.49,Approved,E002
SO-26066,2025-07-09,NIC-CUST0011,25000,24904.81,10211.64,Approved,E002
SO-26067,2025-09-13,NIC-CUST0002,25000,16419.56,9941.61,Approved,E002
SO-26068,2025-12-31,NIC-CUST0005,100000,46303.09,8754.25,Approved,E002
SO-26069,2025-08-28,NIC-CUST0008,50000,18087.19,5419.04,Approved,E002
SO-26071,2025-11-05,NIC-CUST0030,25000,12704.01,6689.26,Approved,E002
SO-26074,2025-11-10,NIC-CUST0031,75000,16816.49,6146.87,Approved,E002
SO-26075,2025-04-13,NIC-CUST0030,25000,12671.34,15342.32,Approved,E002
SO-26078,2026-03-04,NIC-CUST0008,50000,48997.95,16498.59,Approved,E002
SO-26080,2025-09-02,NIC-CUST0029,25000,4253.23,3189.53,Approved,E002
SO-26084,2025-09-30,NIC-CUST0023,250000,129222.32,6270.44,Approved,E002
SO-26087,2025-04-19,NIC-CUST0001,75000,3285.33,17807.08,Approved,E002
SO-26090,2025-06-01,NIC-CUST0001,75000,25774.86,27832.59,Approved,E002
SO-26091,2025-04-29,NIC-CUST0030,25000,20938.1,6388.9,Approved,E002
SO-26093,2026-02-19,NIC-CUST0021,25000,10395.09,22411.99,Approved,E002
SO-26094,2025-05-05,NIC-CUST0006,50000,30396.23,7911.3,Approved,E002
SO-26095,2025-07-17,NIC-CUST0029,25000,3597.78,5968.78,Approved,E002
SO-26096,2026-03-12,NIC-CUST0018,50000,12221.07,5998.29,Approved,E002
SO-26097,2025-11-27,NIC-CUST0013,25000,11089.44,10292.54,Approved,E002
