change_id,so_number,change_date,change_type,requested_by,old_value,new_value,approved_by,source
NIC-CHG0001,SO-26001,2025-08-14,Ship-to change,Customer,25,38,E072,Phone
NIC-CHG0002,SO-26002,2025-06-28,Add line,Customer,5,48,E068,Email
NIC-CHG0003,SO-26004,2025-08-09,Qty change,Customer,13,40,E070,Email
NIC-CHG0004,SO-26006,2025-12-09,Date change,Customer,4,8,E068,EDI 860
NIC-CHG0005,SO-26012,2025-06-28,Ship-to change,Customer,41,22,E067,EDI 860
NIC-CHG0006,SO-26022,2025-11-05,Date change,Customer,13,10,E070,EDI 860
NIC-CHG0007,SO-26023,2025-07-04,Date change,Customer,12,46,E064,Phone
NIC-CHG0008,SO-26036,2025-04-22,Ship-to change,Customer,27,13,E070,Email
NIC-CHG0009,SO-26048,2026-03-31,Add line,Customer,45,46,E066,Email
NIC-CHG0010,SO-26062,2025-04-09,Ship-to change,Customer,47,45,E066,EDI 860
NIC-CHG0011,SO-26078,2026-03-05,Cancel line,Customer,29,45,E071,Email
NIC-CHG0012,SO-26081,2026-03-23,Date change,Customer,44,42,E067,Phone
NIC-CHG0013,SO-26096,2026-03-20,Ship-to change,Customer,2,45,E069,Phone
NIC-CHG0014,SO-26098,2025-10-07,Date change,Customer,37,42,E068,Phone
NIC-CHG0015,SO-26101,2025-07-27,Qty change,Customer,19,43,E070,EDI 860
NIC-CHG0016,SO-26135,2025-06-29,Cancel line,Customer,3,24,E064,EDI 860
NIC-CHG0017,SO-26138,2025-04-05,Cancel line,Customer,1,26,E070,Email
NIC-CHG0018,SO-26140,2025-10-02,Ship-to change,Customer,32,34,E071,Phone
NIC-CHG0019,SO-26144,2025-08-06,Add line,Customer,37,3,E067,EDI 860
NIC-CHG0020,SO-26154,2025-10-15,Qty change,Customer,28,17,E072,Phone
NIC-CHG0021,SO-26158,2025-05-31,Ship-to change,Customer,49,27,E072,Phone
NIC-CHG0022,SO-26172,2026-03-04,Ship-to change,Customer,7,2,E066,EDI 860
NIC-CHG0023,SO-26188,2025-12-13,Ship-to change,Customer,38,32,E068,EDI 860
NIC-CHG0024,SO-26191,2025-12-09,Ship-to change,Customer,25,44,E069,EDI 860
NIC-CHG0025,SO-26193,2026-03-14,Cancel line,Customer,28,21,E066,Email
NIC-CHG0026,SO-26199,2025-06-11,Add line,Customer,23,43,E067,Email
NIC-CHG0027,SO-26212,2025-12-12,Ship-to change,Customer,3,33,E070,Phone
NIC-CHG0028,SO-26218,2026-02-24,Ship-to change,Customer,36,24,E064,Email
NIC-CHG0029,SO-26219,2026-02-15,Date change,Customer,3,27,E070,Phone
NIC-CHG0030,SO-26221,2026-01-05,Qty change,Customer,28,39,E072,Email
NIC-CHG0031,SO-26225,2025-12-12,Qty change,Customer,35,9,E070,Phone
NIC-CHG0032,SO-26227,2025-09-10,Add line,Customer,29,13,E066,Email
NIC-CHG0033,SO-26231,2025-12-04,Ship-to change,Customer,47,15,E070,Phone
NIC-CHG0034,SO-26245,2025-08-14,Add line,Customer,12,19,E072,Email
NIC-CHG0035,SO-26264,2025-12-26,Add line,Customer,12,10,E072,EDI 860
NIC-CHG0036,SO-26267,2025-11-29,Cancel line,Customer,16,35,E064,Phone
NIC-CHG0037,SO-26275,2026-01-08,Cancel line,Customer,35,45,E070,Email
NIC-CHG0038,SO-26281,2025-11-18,Date change,Customer,28,3,E066,Email
NIC-CHG0039,SO-26282,2025-08-17,Add line,Customer,2,39,E072,Phone
NIC-CHG0040,SO-26283,2026-01-22,Cancel line,Customer,27,25,E071,Email
NIC-CHG0041,SO-26298,2025-05-15,Cancel line,Customer,39,8,E072,Phone
NIC-CHG0042,SO-26323,2025-07-18,Cancel line,Customer,39,46,E070,EDI 860
NIC-CHG0043,SO-26326,2025-10-18,Date change,Customer,8,6,E072,Phone
NIC-CHG0044,SO-26333,2025-05-19,Ship-to change,Customer,48,2,E071,Email
NIC-CHG0045,SO-26334,2025-06-10,Qty change,Customer,34,6,E070,Phone
NIC-CHG0046,SO-26343,2025-12-01,Date change,Customer,12,35,E070,Phone
NIC-CHG0047,SO-26345,2025-12-25,Add line,Customer,12,44,E070,Email
NIC-CHG0048,SO-26366,2026-02-27,Date change,Customer,6,7,E069,EDI 860
NIC-CHG0049,SO-26368,2025-05-10,Date change,Customer,35,10,E068,Phone
NIC-CHG0050,SO-26381,2025-07-17,Cancel line,Customer,47,12,E064,EDI 860
NIC-CHG0051,SO-26384,2025-07-27,Add line,Customer,47,20,E071,EDI 860
NIC-CHG0052,SO-26395,2025-10-09,Add line,Customer,41,50,E071,Email
NIC-CHG0053,SO-26411,2025-10-22,Date change,Customer,26,21,E067,EDI 860
NIC-CHG0054,SO-26420,2025-08-12,Qty change,Customer,41,36,E069,EDI 860
