so_number,line,item_id,description,ordered_qty,uom,unit_price,extended_price,unit_cost_at_order,price_source,requested_date,promised_date,shipped_qty,line_status,ship_to_id
SO-26001,1,A-20031,Shaft Coupling M10,3,EA,223.99,671.97,128.84,Price List B,2025-08-07,2025-08-07,3,Shipped,NIC-CUST0013-S1
SO-26001,2,A-20078,Machined Housing 3/8-16,5,EA,1211.82,6059.1,704.75,Price List B,2025-08-29,2025-08-29,5,Shipped,NIC-CUST0013-S1
SO-26001,3,A-20003,Gearbox Sub-Assembly 2.000,5,EA,3189.53,15947.65,2450.66,Price List B,2025-08-27,2025-09-03,5,Shipped,NIC-CUST0013-S1
SO-26001,4,A-20039,Shaft Coupling 1.000,1,EA,651.88,651.88,415.87,Price List B,2025-08-15,2025-08-15,1,Shipped,NIC-CUST0013-S1
SO-26001,5,A-20097,Machined Housing #80,5,EA,396.25,1981.25,246.81,Price List B,2025-08-19,2025-08-20,5,Shipped,NIC-CUST0013-S1
SO-26002,1,A-20002,Gearbox Sub-Assembly 3/8-16,2,EA,2311.59,4623.18,1931.15,Price List C,2025-07-04,2025-07-04,2,Shipped,NIC-CUST0001-S1
SO-26003,1,A-20034,Shaft Coupling M10,1,EA,140.27,140.27,111.33,Price List C,2025-08-16,2025-08-16,1,Shipped,NIC-CUST0001-S1
SO-26003,2,A-20110,Gearbox Sub-Assembly 2.000,1,EA,4450.9,4450.9,2979.18,Price List C,2025-08-20,2025-08-20,1,Shipped,NIC-CUST0001-S1
SO-26003,3,A-20040,Machined Housing #60,3,EA,282.86,848.58,210.93,Price List C,2025-08-04,2025-08-05,3,Shipped,NIC-CUST0001-S1
SO-26003,4,A-20114,Shaft Coupling 3/8-16,1,EA,398.6,398.6,244.69,Price List C,2025-08-08,2025-08-09,0,Open,NIC-CUST0001-S1
SO-26004,1,A-20013,Shaft Coupling 5/8-11,2,EA,188.86,377.72,162.20000000000002,Price List D,2025-08-27,2025-08-28,2,Shipped,NIC-CUST0011-S1
