so_number,customer_id,customer_po_number,order_date,quote_id,sales_rep_id,entered_by,order_source,payment_terms,ship_via,freight_terms,order_total,credit_hold,order_status,invoiced
SO-26001,NIC-CUST0013,PUR-865992,2025-08-04,Q-26001,E072,E066,Phone,Net 30,FedEx Ground,Prepaid,25311.85,N,Closed,Y
SO-26002,NIC-CUST0001,4500163417,2025-06-18,Q-26002,E068,E074,Portal,Net 30,Company Truck,Prepaid & Add,4623.18,N,Closed,Y
SO-26003,NIC-CUST0001,P960254,2025-07-27,,E068,E073,Email,Net 30,Company Truck,Prepaid,5838.35,N,Partially Shipped,Y
SO-26004,NIC-CUST0011,PUR-500260,2025-08-06,Q-26003,E070,E067,Phone,2% 10 Net 30,Company Truck,Prepaid & Add,5948.04,N,Closed,Y
SO-26005,NIC-CUST0034,P177208,2025-05-15,Q-26004,E072,E074,EDI 850,Net 45,Customer Pickup,Prepaid & Add,1126.2,N,Closed,Y
SO-26006,NIC-CUST0010,PUR-792542,2025-12-03,Q-26005,E068,E073,Phone,COD,UPS Ground,Prepaid & Add,10828.65,N,Closed,Y
SO-26007,NIC-CUST0018,P201174,2025-07-18,,E069,E065,Email,Net 45,FedEx Ground,Collect,1089.66,N,Open,N
SO-26008,NIC-CUST0015,PO753237,2025-09-21,,E069,E066,Phone,Net 60,UPS Ground,Prepaid,1808.38,N,Closed,Y
SO-26009,NIC-CUST0031,PUR-172077,2025-09-08,,E070,E067,Portal,2% 10 Net 30,LTL - XPO,Prepaid & Add,11232.96,N,Closed,Y
SO-26010,NIC-CUST0039,PO596940,2025-12-18,,E072,E067,EDI 850,Net 30,Company Truck,Collect,4736.33,N,Closed,Y
SO-26011,NIC-CUST0009,PO481878,2025-07-06,Q-26006,E064,E065,Email,Net 45,LTL - Estes,Prepaid,33038.04,N,Partially Shipped,Y
SO-26012,NIC-CUST0003,P592293,2025-06-25,,E067,E074,Phone,Net 30,FedEx Ground,Prepaid & Add,9715.13,N,Closed,Y
SO-26013,NIC-CUST0021,P495595,2025-08-26,Q-26007,E072,E075,Portal,Net 30,LTL - XPO,Prepaid,885.78,N,Closed,Y
SO-26014,NIC-CUST0040,PO217589,2025-04-30,,E064,E066,Email,Net 30,FedEx Ground,Prepaid,8321.77,N,Partially Shipped,Y
SO-26015,NIC-CUST0010,PO804847,2025-07-14,,E068,E066,EDI 850,COD,UPS Ground,Prepaid,588.52,N,Closed,Y
SO-26016,NIC-CUST0039,4500178650,2025-05-23,,E072,E074,Email,Net 30,Company Truck,Collect,5427.37,N,Partially Shipped,Y
SO-26017,NIC-CUST0017,PUR-626421,2025-12-04,,E069,E066,Email,Net 30,UPS Ground,Prepaid & Add,3855.53,N,Closed,Y
SO-26018,NIC-CUST0006,4500737202,2025-08-06,Q-26008,E072,E075,Email,Net 45,UPS Ground,Collect,49415.85,N,Closed,Y
SO-26019,NIC-CUST0026,PO269328,2025-07-10,Q-26009,E066,E066,Phone,Net 60,Customer Pickup,Prepaid & Add,4698.17,N,Closed,Y
SO-26020,NIC-CUST0001,PUR-512932,2025-07-08,Q-26010,E068,E073,Email,Net 30,Company Truck,Prepaid & Add,477.08,N,Closed,Y
SO-26021,NIC-CUST0015,4500179165,2025-09-27,Q-26011,E069,E075,Email,Net 60,UPS Ground,Prepaid & Add,18817.04,N,Closed,Y
SO-26022,NIC-CUST0022,PO398069,2025-10-30,,E070,E065,Phone,Net 30,LTL - Estes,Prepaid & Add,11620.81,N,Closed,Y
SO-26023,NIC-CUST0040,P204296,2025-06-30,,E064,E073,EDI 850,Net 30,FedEx Ground,Prepaid & Add,6671.07,N,Closed,Y
SO-26024,NIC-CUST0022,4500292391,2025-05-22,,E070,E068,Email,Net 30,LTL - Estes,Collect,8521.64,N,Closed,Y
SO-26025,NIC-CUST0001,4500490461,2026-01-08,,E068,E074,Portal,Net 30,Company Truck,Prepaid,13542.21,N,Closed,Y
SO-26026,NIC-CUST0003,P720718,2026-03-28,Q-26012,E067,E075,Email,Net 30,FedEx Ground,Prepaid & Add,10355.85,N,Open,N
SO-26027,NIC-CUST0011,PO391629,2026-01-31,Q-26013,E070,E068,Email,2% 10 Net 30,Company Truck,Prepaid,2594.03,N,Closed,Y
SO-26028,NIC-CUST0035,PO301504,2026-03-21,,E070,E074,EDI 850,Net 30,Customer Pickup,Collect,298.58,N,Open,N
SO-26029,NIC-CUST0026,P568610,2026-03-05,,E066,E064,Portal,Net 60,Customer Pickup,Collect,7211.0,N,Closed,Y
SO-26030,NIC-CUST0008,PO354799,2026-03-19,Q-26014,E071,E065,EDI 850,2% 10 Net 30,UPS Ground,Prepaid,14630.33,N,Partially Shipped,Y
SO-26031,NIC-CUST0040,4500234897,2025-11-12,,E064,E073,Portal,Net 30,FedEx Ground,Prepaid & Add,13345.5,N,Closed,Y
SO-26032,NIC-CUST0024,P731566,2025-12-17,Q-26015,E067,E068,Portal,Net 30,Company Truck,Prepaid & Add,17900.3,N,Closed,Y
SO-26033,NIC-CUST0017,P778508,2025-08-29,Q-26016,E069,E073,Email,Net 30,UPS Ground,Prepaid & Add,7516.76,N,Closed,Y
SO-26034,NIC-CUST0033,P432085,2025-09-16,Q-26017,E071,E066,Phone,Net 30,LTL - XPO,Prepaid & Add,4471.32,N,Closed,Y
SO-26035,NIC-CUST0030,4500167838,2025-06-05,,E069,E073,Phone,Net 45,LTL - Estes,Collect,25388.45,N,Closed,Y
SO-26036,NIC-CUST0031,PO398887,2025-04-14,,E070,E066,Email,2% 10 Net 30,LTL - XPO,Collect,3826.97,N,Closed,Y
SO-26037,NIC-CUST0009,PUR-647455,2026-01-12,Q-26018,E064,E065,EDI 850,Net 45,LTL - Estes,Collect,7075.74,N,Closed,Y
SO-26038,NIC-CUST0033,PO502945,2025-08-12,,E071,E073,Email,Net 30,LTL - XPO,Prepaid & Add,2064.2,N,Closed,Y
SO-26039,NIC-CUST0029,PUR-505037,2025-12-26,Q-26019,E064,E074,Email,Net 30,Customer Pickup,Prepaid,16136.73,N,Partially Shipped,Y
SO-26040,NIC-CUST0013,4500933901,2025-05-08,,E072,E065,Phone,Net 30,FedEx Ground,Prepaid & Add,588.52,N,Closed,Y
SO-26041,NIC-CUST0023,P667013,2025-12-14,,E067,E068,Email,2% 10 Net 30,Customer Pickup,Prepaid,13936.17,N,Closed,Y
SO-26042,NIC-CUST0018,PUR-578547,2025-12-11,Q-26020,E069,E068,Portal,Net 45,FedEx Ground,Prepaid,4822.58,N,Closed,Y
SO-26043,NIC-CUST0020,P683241,2026-03-05,Q-26021,E068,E075,EDI 850,Net 30,Customer Pickup,Prepaid & Add,3428.23,N,Closed,Y
SO-26044,NIC-CUST0006,4500927151,2025-10-15,Q-26022,E072,E068,EDI 850,Net 45,UPS Ground,Prepaid & Add,16118.36,N,Partially Shipped,Y
SO-26045,NIC-CUST0019,PUR-424240,2026-01-30,,E072,E066,Email,COD,LTL - Estes,Collect,5587.73,N,Closed,Y
SO-26046,NIC-CUST0024,4500273298,2025-06-15,,E067,E065,Portal,Net 30,Company Truck,Prepaid,22524.57,N,Closed,Y
SO-26047,NIC-CUST0034,PO632590,2025-05-26,,E072,E074,Phone,Net 45,Customer Pickup,Prepaid & Add,18657.25,N,Closed,Y
SO-26048,NIC-CUST0037,PUR-682007,2026-03-26,Q-26023,E066,E064,Phone,Net 60,LTL - XPO,Prepaid & Add,8128.72,N,Open,N
SO-26049,NIC-CUST0018,4500242513,2025-05-21,,E069,E065,Email,Net 45,FedEx Ground,Prepaid & Add,1352.51,N,Closed,Y
SO-26050,NIC-CUST0020,P307946,2025-05-06,Q-26024,E068,E065,Portal,Net 30,Customer Pickup,Prepaid & Add,1371.74,N,Closed,Y
SO-26051,NIC-CUST0025,PUR-309771,2025-05-03,,E066,E064,EDI 850,Net 60,FedEx Ground,Collect,15756.07,N,Closed,Y
SO-26052,NIC-CUST0019,PUR-828456,2025-04-17,Q-26025,E072,E075,Email,COD,LTL - Estes,Prepaid & Add,5262.47,N,Closed,Y
SO-26053,NIC-CUST0004,4500330839,2026-03-02,,E070,E064,Phone,Net 60,Customer Pickup,Collect,1185.82,N,Partially Shipped,Y
SO-26054,NIC-CUST0010,PUR-494909,2025-12-23,Q-26026,E068,E065,EDI 850,COD,UPS Ground,Prepaid & Add,11547.37,N,Partially Shipped,Y
SO-26055,NIC-CUST0007,PUR-518723,2026-02-21,,E070,E074,Email,Net 45,Customer Pickup,Prepaid & Add,9207.4,N,Closed,Y
SO-26056,NIC-CUST0035,P875914,2025-11-25,,E070,E066,EDI 850,Net 30,Customer Pickup,Prepaid,19847.71,N,Partially Shipped,Y
SO-26057,NIC-CUST0004,PO253685,2025-04-10,,E070,E064,EDI 850,Net 60,Customer Pickup,Prepaid & Add,2203.69,N,Partially Shipped,Y
SO-26058,NIC-CUST0030,P988735,2025-09-02,Q-26027,E069,E065,EDI 850,Net 45,LTL - Estes,Collect,16458.48,N,Closed,Y
SO-26059,NIC-CUST0026,P241940,2025-06-30,,E066,E067,Phone,Net 60,Customer Pickup,Collect,8000.66,N,Closed,Y
SO-26060,NIC-CUST0011,P173108,2025-11-17,Q-26028,E070,E066,Email,2% 10 Net 30,Company Truck,Prepaid & Add,4143.24,N,Closed,Y
SO-26061,NIC-CUST0014,PO284863,2026-01-16,,E067,E068,Phone,Net 60,Company Truck,Prepaid,14869.49,N,Closed,Y
SO-26062,NIC-CUST0026,4500348302,2025-04-07,,E066,E073,Email,Net 60,Customer Pickup,Collect,22017.3,N,Closed,Y
SO-26063,NIC-CUST0004,P976663,2026-02-26,Q-26029,E070,E073,Email,Net 60,Customer Pickup,Prepaid,6243.35,N,Closed,Y
