quote_id,line,item_id,qty,unit_price,lead_time_days
Q-26001,1,A-20031,3,223.99,25
Q-26001,2,A-20078,5,1211.82,3
Q-26001,3,A-20003,5,3189.53,7
Q-26001,4,A-20039,1,651.88,16
Q-26001,5,A-20097,5,396.25,5
Q-26002,1,A-20002,2,2311.59,29
Q-26003,1,A-20013,2,188.86,25
Q-26003,2,A-20034,2,127.81,10
Q-26003,3,A-20077,5,1062.94,24
Q-26004,1,A-20097,3,375.4,8
Q-26005,1,A-20063,3,1702.06,16
Q-26005,2,A-20072,3,512.35,12
Q-26005,3,A-20013,1,218.8,11
Q-26005,4,A-20033,3,508.87,17
Q-26005,5,A-20002,1,2440.01,8
Q-26006,1,A-20110,5,4055.26,22
Q-26006,2,A-20077,5,1062.94,16
Q-26006,3,A-20101,1,2949.88,16
Q-26006,4,A-20034,2,127.81,13
Q-26006,5,A-20092,2,2120.77,28
Q-26007,1,A-20114,2,442.89,3
Q-26008,1,A-20114,1,442.89,5
Q-26008,2,A-20003,1,3357.4,17
Q-26008,3,A-20110,5,4945.44,28
Q-26008,4,A-20093,5,3550.31,17
Q-26008,5,A-20038,1,3136.81,9
Q-26009,1,A-20110,1,4698.17,19
Q-26010,1,A-20061,2,238.54,20
Q-26011,1,A-20110,3,4055.26,4
Q-26011,2,A-20093,2,2911.25,3
Q-26011,3,A-20033,1,386.52,24
Q-26011,4,A-20072,1,442.24,12
Q-26012,1,A-20061,1,217.33,20
Q-26012,2,A-20061,5,217.33,27
Q-26012,3,A-20092,3,1972.32,22
Q-26012,4,A-20039,5,562.68,12
Q-26012,5,A-20097,1,321.51,23
Q-26013,1,A-20097,5,342.03,18
Q-26013,2,A-20087,2,441.94,7
Q-26014,1,A-20020,5,482.91,28
Q-26014,2,A-20033,3,439.23,28
Q-26014,3,A-20110,2,4055.26,23
Q-26014,4,A-20065,3,929.19,7
Q-26015,1,A-20038,5,2823.13,12
Q-26015,2,A-20063,1,1791.65,17
Q-26015,3,A-20114,5,398.6,4
Q-26016,1,A-20093,2,3195.28,4
Q-26016,2,A-20097,3,375.4,12
Q-26017,1,A-20058,1,430.53,13
Q-26017,2,A-20090,3,1346.93,29
Q-26018,1,A-20033,1,439.23,24
Q-26018,2,A-20077,5,1062.94,27
Q-26018,3,A-20090,1,1104.48,24
Q-26018,4,A-20061,1,217.33,18
Q-26019,1,A-20087,5,588.52,11
Q-26019,2,A-20038,3,2771.37,12
Q-26019,3,A-20002,2,2440.01,8
Q-26020,1,A-20039,2,617.57,11
Q-26020,2,A-20013,1,207.29,29
Q-26020,3,A-20040,2,282.86,14
Q-26020,4,A-20058,1,387.48,25
Q-26020,5,A-20072,5,485.39,11
Q-26021,1,A-20072,3,512.35,13
Q-26021,2,A-20063,1,1891.18,18
Q-26022,1,A-20092,3,2586.3,21
Q-26022,2,A-20092,2,2586.3,25
Q-26022,3,A-20043,1,2035.26,18
Q-26022,4,A-20013,5,230.32,25
Q-26023,1,A-20038,2,2572.18,22
Q-26023,2,A-20040,3,257.72,20
Q-26023,3,A-20072,5,442.24,24
Q-26024,1,A-20061,1,251.79,20
Q-26024,2,A-20031,5,223.99,17
Q-26025,1,A-20076,3,1094.03,30
Q-26025,2,A-20072,2,442.24,8
Q-26025,3,A-20114,2,363.17,19
Q-26025,4,A-20022,2,184.78,12
Q-26026,1,A-20090,1,1177.21,7
Q-26026,2,A-20061,1,251.79,11
Q-26026,3,A-20093,3,3372.79,28
Q-26027,1,A-20033,1,482.08,7
Q-26027,2,A-20093,5,3195.28,19
Q-26028,1,A-20063,2,1632.39,11
Q-26028,2,A-20033,2,439.23,8
Q-26029,1,A-20082,2,1325.27,11
Q-26029,2,A-20092,1,2327.67,20
Q-26029,3,A-20030,1,245.3,8
Q-26029,4,A-20065,1,1019.84,15
Q-26030,1,A-20092,1,2456.99,27
Q-26030,2,A-20038,2,2979.97,8
Q-26030,3,A-20073,1,754.96,11
Q-26031,1,A-20053,1,764.38,29
Q-26031,2,A-20020,3,482.91,5
Q-26031,3,A-20082,3,1207.47,7
Q-26031,4,A-20076,3,1094.03,11
Q-26031,5,A-20076,1,1094.03,29
Q-26032,1,A-20076,1,1200.76,27
Q-26032,2,A-20036,1,3711.52,20
Q-26032,3,A-20101,1,3237.68,5
Q-26032,4,A-20063,1,1791.65,8
Q-26033,1,A-20022,1,184.78,19
Q-26033,2,A-20063,1,1632.39,14
Q-26033,3,A-20101,1,2949.88,11
Q-26033,4,A-20061,3,217.33,20
Q-26034,1,A-20030,2,245.3,26
Q-26034,2,A-20070,2,2519.35,9
Q-26034,3,A-20039,1,617.57,12
Q-26035,1,A-20082,1,1207.47,29
Q-26035,2,A-20110,3,4055.26,20
Q-26035,3,A-20033,5,439.23,12
Q-26035,4,A-20065,1,929.19,4
Q-26036,1,A-20077,3,1062.94,10
Q-26036,2,A-20022,1,184.78,29
Q-26036,3,A-20039,3,562.68,7
Q-26036,4,A-20058,1,353.03,7
Q-26037,1,A-20013,2,207.29,25
Q-26037,2,A-20065,1,1019.84,19
Q-26037,3,A-20093,2,3195.28,22
Q-26037,4,A-20077,1,1166.64,11
Q-26038,1,A-20020,1,482.91,14
Q-26038,2,A-20076,1,1094.03,3
Q-26038,3,A-20082,2,1207.47,9
Q-26038,4,A-20039,1,562.68,18
Q-26039,1,A-20053,5,932.17,21
Q-26039,2,A-20070,3,3217.56,16
Q-26039,3,A-20031,1,235.78,26
Q-26039,4,A-20063,5,1990.72,9
Q-26039,5,A-20038,2,2415.34,29
Q-26040,1,A-20107,3,3339.95,12
Q-26040,2,A-20087,2,557.54,3
Q-26040,3,A-20053,1,838.95,8
Q-26040,4,A-20077,5,1166.64,24
Q-26041,1,A-20030,2,245.3,26
Q-26041,2,A-20040,1,282.86,25
Q-26041,3,A-20034,2,140.27,3
Q-26042,1,A-20061,3,238.54,6
Q-26042,2,A-20002,1,2311.59,17
Q-26042,3,A-20077,5,1166.64,29
Q-26042,4,A-20013,2,207.29,4
Q-26042,5,A-20036,5,3711.52,15
Q-26043,1,A-20040,5,282.86,11
Q-26043,2,A-20073,2,737.34,11
Q-26043,3,A-20077,3,1166.64,13
Q-26044,1,A-20063,3,1791.65,3
Q-26045,1,A-20036,5,4123.91,28
Q-26045,2,A-20072,1,496.17,12
Q-26045,3,A-20077,1,1296.27,20
Q-26046,1,A-20072,3,490.78,19
Q-26046,2,A-20065,5,1133.16,4
Q-26046,3,A-20040,3,257.72,28
Q-26047,1,A-20022,1,214.07,24
Q-26047,2,A-20082,3,1398.89,18
Q-26047,3,A-20114,5,420.75,6
Q-26047,4,A-20003,1,3189.53,20
Q-26047,5,A-20087,1,588.52,4
