quote_id,rfq_id,customer_id,quote_date,valid_until,sales_rep_id,status,converted_order_id,total
Q-26001,NIC-RFQ0001,NIC-CUST0013,2025-07-25,2025-08-24,E072,Won,SO-26001,25311.85
Q-26002,NIC-RFQ0002,NIC-CUST0001,2025-06-16,2025-07-16,E068,Won,SO-26002,4623.18
Q-26003,NIC-RFQ0003,NIC-CUST0011,2025-07-22,2025-08-21,E070,Won,SO-26004,5948.04
Q-26004,NIC-RFQ0004,NIC-CUST0034,2025-04-25,2025-05-25,E072,Won,SO-26005,1126.2
Q-26005,NIC-RFQ0005,NIC-CUST0010,2025-11-16,2025-12-16,E068,Won,SO-26006,10828.65
Q-26006,NIC-RFQ0006,NIC-CUST0009,2025-07-02,2025-08-01,E064,Won,SO-26011,33038.04
Q-26007,NIC-RFQ0007,NIC-CUST0021,2025-08-11,2025-09-10,E072,Won,SO-26013,885.78
Q-26008,NIC-RFQ0008,NIC-CUST0006,2025-08-03,2025-09-02,E072,Won,SO-26018,49415.85
Q-26009,NIC-RFQ0009,NIC-CUST0026,2025-07-04,2025-08-03,E066,Won,SO-26019,4698.17
Q-26010,NIC-RFQ0010,NIC-CUST0001,2025-06-23,2025-07-23,E068,Won,SO-26020,477.08
Q-26011,NIC-RFQ0011,NIC-CUST0015,2025-09-14,2025-10-14,E069,Won,SO-26021,18817.04
Q-26012,NIC-RFQ0012,NIC-CUST0003,2026-03-13,2026-04-12,E067,Won,SO-26026,10355.85
Q-26013,NIC-RFQ0013,NIC-CUST0011,2026-01-11,2026-02-10,E070,Won,SO-26027,2594.03
Q-26014,NIC-RFQ0014,NIC-CUST0008,2026-03-03,2026-04-02,E071,Won,SO-26030,14630.33
Q-26015,NIC-RFQ0015,NIC-CUST0024,2025-11-30,2025-12-30,E067,Won,SO-26032,17900.3
Q-26016,NIC-RFQ0016,NIC-CUST0017,2025-08-15,2025-09-14,E069,Won,SO-26033,7516.76
Q-26017,NIC-RFQ0017,NIC-CUST0033,2025-08-27,2025-09-26,E071,Won,SO-26034,4471.32
Q-26018,NIC-RFQ0018,NIC-CUST0009,2025-12-23,2026-01-22,E064,Won,SO-26037,7075.74
Q-26019,NIC-RFQ0019,NIC-CUST0029,2025-12-11,2026-01-10,E064,Won,SO-26039,16136.73
Q-26020,NIC-RFQ0020,NIC-CUST0018,2025-11-24,2025-12-24,E069,Won,SO-26042,4822.58
Q-26021,NIC-RFQ0021,NIC-CUST0020,2026-03-02,2026-04-01,E068,Won,SO-26043,3428.23
Q-26022,NIC-RFQ0022,NIC-CUST0006,2025-10-10,2025-11-09,E072,Won,SO-26044,16118.36
Q-26023,NIC-RFQ0023,NIC-CUST0037,2026-03-19,2026-04-18,E066,Won,SO-26048,8128.72
Q-26024,NIC-RFQ0024,NIC-CUST0020,2025-04-29,2025-05-29,E068,Won,SO-26050,1371.74
Q-26025,NIC-RFQ0025,NIC-CUST0019,2025-03-28,2025-04-27,E072,Won,SO-26052,5262.47
Q-26026,NIC-RFQ0026,NIC-CUST0010,2025-12-16,2026-01-15,E068,Won,SO-26054,11547.37
Q-26027,NIC-RFQ0027,NIC-CUST0030,2025-08-17,2025-09-16,E069,Won,SO-26058,16458.48
Q-26028,NIC-RFQ0028,NIC-CUST0011,2025-11-08,2025-12-08,E070,Won,SO-26060,4143.24
Q-26029,NIC-RFQ0029,NIC-CUST0004,2026-02-13,2026-03-15,E070,Won,SO-26063,6243.35
Q-26030,NIC-RFQ0030,NIC-CUST0035,2026-02-26,2026-03-28,E070,Won,SO-26064,9171.89
Q-26031,NIC-RFQ0031,NIC-CUST0011,2025-06-25,2025-07-25,E070,Won,SO-26066,10211.64
Q-26032,NIC-RFQ0032,NIC-CUST0002,2025-09-04,2025-10-04,E066,Won,SO-26067,9941.61
Q-26033,NIC-RFQ0033,NIC-CUST0008,2025-08-15,2025-09-14,E071,Won,SO-26069,5419.04
Q-26034,NIC-RFQ0034,NIC-CUST0031,2025-11-03,2025-12-03,E070,Won,SO-26074,6146.87
Q-26035,NIC-RFQ0035,NIC-CUST0008,2026-02-24,2026-03-26,E071,Won,SO-26078,16498.59
Q-26036,NIC-RFQ0036,NIC-CUST0015,2025-04-22,2025-05-22,E069,Won,SO-26079,5414.67
Q-26037,NIC-RFQ0037,NIC-CUST0024,2026-03-10,2026-04-09,E067,Won,SO-26081,8991.62
Q-26038,NIC-RFQ0038,NIC-CUST0015,2025-05-17,2025-06-16,E069,Won,SO-26082,4554.56
Q-26039,NIC-RFQ0039,NIC-CUST0039,2025-10-27,2025-11-26,E072,Won,SO-26083,29333.59
Q-26040,NIC-RFQ0040,NIC-CUST0001,2025-04-08,2025-05-08,E068,Won,SO-26087,17807.08
Q-26041,NIC-RFQ0041,NIC-CUST0034,2025-08-25,2025-09-24,E072,Won,SO-26089,1054.0
Q-26042,NIC-RFQ0042,NIC-CUST0001,2025-05-18,2025-06-17,E068,Won,SO-26090,27832.59
Q-26043,NIC-RFQ0043,NIC-CUST0030,2025-04-25,2025-05-25,E069,Won,SO-26091,6388.9
Q-26044,NIC-RFQ0044,NIC-CUST0031,2026-03-16,2026-04-15,E070,Won,SO-26092,5374.95
Q-26045,NIC-RFQ0045,NIC-CUST0021,2026-02-08,2026-03-10,E072,Won,SO-26093,22411.99
Q-26046,NIC-RFQ0046,NIC-CUST0006,2025-04-14,2025-05-14,E072,Won,SO-26094,7911.3
Q-26047,NIC-RFQ0047,NIC-CUST0013,2025-11-08,2025-12-08,E072,Won,SO-26097,10292.54
Q-26048,NIC-RFQ0048,NIC-CUST0037,2025-07-24,2025-08-23,E066,Won,SO-26100,2120.77
Q-26049,NIC-RFQ0049,NIC-CUST0008,2025-03-27,2025-04-26,E071,Won,SO-26103,1070.66
Q-26050,NIC-RFQ0050,NIC-CUST0003,2025-03-20,2025-04-19,E067,Won,SO-26104,19632.93
Q-26051,NIC-RFQ0051,NIC-CUST0013,2025-04-13,2025-05-13,E072,Won,SO-26105,18611.28
Q-26052,NIC-RFQ0052,NIC-CUST0002,2025-12-26,2026-01-25,E066,Won,SO-26106,3440.7
Q-26053,NIC-RFQ0053,NIC-CUST0025,2025-11-01,2025-12-01,E066,Won,SO-26107,17044.52
Q-26054,NIC-RFQ0054,NIC-CUST0013,2025-07-28,2025-08-27,E072,Won,SO-26108,1231.46
Q-26055,NIC-RFQ0055,NIC-CUST0022,2025-09-04,2025-10-04,E070,Won,SO-26109,10414.69
Q-26056,NIC-RFQ0056,NIC-CUST0014,2025-12-04,2026-01-03,E067,Won,SO-26114,5392.05
Q-26057,NIC-RFQ0057,NIC-CUST0037,2025-05-15,2025-06-14,E066,Won,SO-26116,3536.1
Q-26058,NIC-RFQ0058,NIC-CUST0025,2025-08-09,2025-09-08,E066,Won,SO-26118,9992.12
Q-26059,NIC-RFQ0059,NIC-CUST0015,2025-10-16,2025-11-15,E069,Won,SO-26122,4739.01
Q-26060,NIC-RFQ0060,NIC-CUST0006,2025-08-27,2025-09-26,E072,Won,SO-26123,3551.78
Q-26061,NIC-RFQ0061,NIC-CUST0040,2025-10-31,2025-11-30,E064,Won,SO-26124,1081.29
Q-26062,NIC-RFQ0062,NIC-CUST0007,2025-06-25,2025-07-25,E070,Won,SO-26125,3650.98
Q-26063,NIC-RFQ0063,NIC-CUST0023,2025-12-30,2026-01-29,E067,Won,SO-26126,38337.01
Q-26064,NIC-RFQ0064,NIC-CUST0011,2026-01-06,2026-02-05,E070,Won,SO-26127,1225.44
Q-26065,NIC-RFQ0065,NIC-CUST0030,2025-12-21,2026-01-20,E069,Won,SO-26129,14840.67
Q-26066,NIC-RFQ0066,NIC-CUST0001,2025-12-01,2025-12-31,E068,Won,SO-26130,280.54
Q-26067,NIC-RFQ0067,NIC-CUST0003,2025-07-08,2025-08-07,E067,Won,SO-26131,23542.27
Q-26068,NIC-RFQ0068,NIC-CUST0023,2025-06-18,2025-07-18,E067,Won,SO-26134,13948.89
Q-26069,NIC-RFQ0069,NIC-CUST0029,2025-06-06,2025-07-06,E064,Won,SO-26135,2917.22
Q-26070,NIC-RFQ0070,NIC-CUST0008,2025-06-26,2025-07-26,E071,Won,SO-26137,11304.97
