po_number,ack_date,confirmed_total,confirmed_ship_date,method
PO-31002,2025-12-15,15.62,2026-01-12,Email
PO-31003,2025-12-06,1731.82,2025-12-24,Portal
PO-31004,2026-03-04,1654.8,2026-03-27,EDI 855
PO-31005,2025-05-11,1497.96,2025-05-22,Portal
PO-31006,2026-02-14,1591.46,2026-02-25,Portal
PO-31008,2025-06-24,11942.0,2025-07-11,EDI 855
PO-31009,2025-10-04,26890.41,2025-10-06,Portal
PO-31011,2025-08-24,570.6,2025-09-16,Portal
PO-31012,2026-01-22,25.08,2026-02-03,EDI 855
PO-31013,2025-04-18,5385.34,2025-05-17,EDI 855
PO-31014,2025-07-12,15992.57,2025-07-27,Portal
PO-31015,2025-10-03,1150.0,2025-10-23,Portal
PO-31016,2025-08-03,5884.2,2025-08-12,EDI 855
PO-31017,2025-04-13,517.58,2025-04-15,EDI 855
PO-31018,2025-08-07,3134.07,2025-08-16,EDI 855
PO-31019,2025-08-17,1730.52,2025-09-04,Portal
PO-31021,2025-11-28,4130.2,2025-12-13,Email
PO-31022,2025-06-04,2710.0,2025-06-25,EDI 855
PO-31023,2025-10-10,626.08,2025-11-05,Portal
PO-31024,2025-11-01,6583.1,2025-11-21,Email
PO-31025,2025-05-02,3080.75,2025-05-14,Email
PO-31026,2025-04-20,5949.2,2025-05-07,Portal
PO-31028,2025-12-12,1197.58,2026-01-08,Email
PO-31030,2026-02-04,6259.5,2026-03-05,Email
PO-31031,2026-03-18,8261.44,2026-04-02,Email
PO-31032,2025-09-09,7877.15,2025-10-02,Portal
PO-31033,2026-01-30,2272.68,2026-02-09,EDI 855
PO-31034,2025-06-06,17521.88,2025-06-30,EDI 855
PO-31035,2025-10-07,1372.0,2025-10-07,EDI 855
PO-31037,2025-07-28,6198.6,2025-08-27,Email
PO-31039,2025-07-24,5545.79,2025-08-17,Portal
PO-31040,2025-07-21,2354.25,2025-08-17,Email
PO-31041,2026-02-17,31540.73,2026-02-28,EDI 855
PO-31042,2025-06-24,12089.32,2025-07-16,EDI 855
PO-31043,2025-09-02,25550.22,2025-10-01,Portal
PO-31044,2025-09-13,5413.8,2025-09-15,Portal
PO-31045,2025-07-28,2029.17,2025-08-04,Portal
PO-31046,2026-02-16,9664.21,2026-03-01,Email
PO-31047,2026-01-29,1059.06,2026-02-22,Portal
PO-31048,2026-01-31,18335.78,2026-02-23,Portal
PO-31049,2025-05-22,31974.47,2025-06-14,EDI 855
PO-31051,2025-12-19,5496.0,2026-01-09,EDI 855
PO-31053,2025-09-10,17326.88,2025-09-30,Email
PO-31055,2025-07-04,6105.0,2025-07-27,Email
PO-31056,2026-01-07,1120.96,2026-01-20,Email
PO-31057,2025-11-20,1076.92,2025-12-14,Email
PO-31058,2026-01-15,20074.36,2026-01-24,EDI 855
PO-31059,2026-02-26,273.76,2026-03-04,Email
PO-31060,2025-10-01,2420.4,2025-10-24,EDI 855
PO-31061,2026-03-07,2450.0,2026-03-12,EDI 855
PO-31062,2026-02-19,152.57,2026-03-05,EDI 855
PO-31063,2025-12-26,9090.0,2026-01-14,Email
PO-31064,2025-11-17,229.68,2025-12-03,Portal
PO-31065,2025-04-24,17740.6,2025-05-20,Email
PO-31067,2025-08-11,130.0,2025-08-28,EDI 855
PO-31068,2025-10-24,15606.74,2025-11-22,Portal
PO-31071,2025-06-02,9373.18,2025-06-06,EDI 855
PO-31073,2025-07-02,12387.9,2025-07-11,EDI 855
PO-31075,2025-08-23,2928.0,2025-09-06,Portal
PO-31077,2025-07-03,4397.65,2025-07-07,Email
PO-31078,2025-08-16,76.0,2025-08-18,Portal
PO-31079,2025-04-18,562.06,2025-05-06,Portal
PO-31080,2025-08-21,28836.14,2025-08-31,Portal
PO-31083,2025-04-22,619.25,2025-05-21,Email
PO-31085,2025-09-22,4130.2,2025-09-22,Portal
PO-31086,2025-05-02,3827.2,2025-05-31,EDI 855
PO-31088,2026-01-30,15859.73,2026-02-05,Email
PO-31089,2025-12-31,185.73,2026-01-25,EDI 855
PO-31091,2026-01-07,510.0,2026-01-28,EDI 855
PO-31092,2025-08-19,7778.0,2025-08-25,Portal
PO-31093,2025-07-05,5947.55,2025-07-15,Portal
PO-31094,2026-01-10,1490.55,2026-02-01,Portal
PO-31096,2025-06-17,7547.63,2025-07-06,EDI 855
PO-31097,2025-08-22,1203.4,2025-09-18,Email
PO-31099,2025-04-19,7.1,2025-04-28,Portal
PO-31100,2025-04-08,6920.19,2025-04-19,EDI 855
PO-31101,2025-11-13,4251.8,2025-12-06,Portal
PO-31102,2025-04-12,303.6,2025-05-02,Email
PO-31104,2025-12-13,155.65,2026-01-09,Email
PO-31105,2026-01-24,3559.1,2026-02-19,Portal
PO-31107,2026-03-13,34.7,2026-03-20,EDI 855
PO-31108,2025-04-09,3964.0,2025-05-01,Email
PO-31110,2025-07-22,444.56,2025-08-19,Email
PO-31111,2025-08-29,3793.1,2025-09-02,Portal
PO-31112,2025-11-22,3451.2,2025-12-12,EDI 855
PO-31113,2025-09-14,1067.64,2025-09-30,EDI 855
PO-31114,2026-03-31,10760.43,2026-04-17,Portal
PO-31115,2025-06-12,945.8,2025-07-09,Portal
PO-31116,2025-12-26,5251.66,2026-01-14,Portal
PO-31117,2025-05-06,105.43,2025-05-30,Portal
PO-31118,2025-10-10,927.08,2025-10-23,Portal
PO-31119,2025-04-27,4964.4,2025-05-18,EDI 855
PO-31120,2025-04-10,18892.0,2025-04-14,Email
PO-31121,2025-08-10,13196.6,2025-09-05,Email
PO-31122,2025-09-15,1033.51,2025-10-03,Email
PO-31123,2025-05-01,10510.9,2025-05-08,Portal
PO-31124,2025-08-05,1049.16,2025-08-31,Email
PO-31125,2026-01-08,18447.12,2026-01-30,Portal
PO-31126,2025-08-21,17419.4,2025-08-25,Portal
PO-31127,2025-07-16,7712.22,2025-07-19,Email
PO-31129,2026-02-27,2250.64,2026-03-27,Email
PO-31130,2026-03-11,14600.92,2026-04-06,Email
PO-31131,2025-04-12,2999.68,2025-04-22,Portal
PO-31134,2025-12-24,8412.17,2026-01-15,Email
PO-31135,2026-01-18,1474.0,2026-02-14,Email
PO-31136,2025-10-22,6616.1,2025-10-25,Portal
PO-31137,2025-09-24,3324.34,2025-10-17,Portal
PO-31138,2026-01-14,5525.0,2026-01-18,Email
PO-31139,2025-04-22,2592.46,2025-05-08,EDI 855
PO-31141,2025-04-16,109.2,2025-04-26,EDI 855
PO-31143,2025-07-13,3944.23,2025-07-23,Portal
PO-31144,2026-02-16,217.16,2026-02-20,EDI 855
PO-31145,2025-10-15,2481.0,2025-11-10,EDI 855
PO-31146,2025-06-15,3630.6,2025-06-24,Portal
